Script started on 2026-07-26 16:23:43-05:00 [<not executed on terminal>]
source_file_count=26
entry_count=950
kind_counts={'rule': 707, 'context': 5, 'syntax': 234, 'configuration': 1, 'claim': 3}
attribute_entry_counts={'function': 148, 'functional': 0, 'total': 108, 'symbol': 25, 'no-evaluators': 22, 'priority': 29, 'simplification': 1, 'concrete': 32, 'owise': 26, 'macro': 7, 'macro-rec': 1}

ID	LOCATION	KIND	ATTRIBUTES	DECLARATION_OR_RULE
K0191	reference-semantics/semantics/builtins.k:296	rule	-	rule isStrV(str(_:IntSeq)) => true
K0192	reference-semantics/semantics/builtins.k:297	rule	owise	rule isStrV(_:Val)         => false [owise]
K0193	reference-semantics/semantics/call.k:16	rule	-	rule <k> Attribute(V:Val, M:String) => boundMethodV(V, M) ... </k>
K0194	reference-semantics/semantics/call.k:19	syntax	-	syntax KItem ::= #callee(Exprs)
K0195	reference-semantics/semantics/call.k:20	rule	owise	rule <k> Call(Fe:Expr, ARGS:Exprs) => Fe ~> #callee(ARGS) ... </k> [owise]
K0196	reference-semantics/semantics/call.k:21	rule	-	rule <k> CV:Val ~> #callee(ARGS:Exprs) => #evalArgs(ARGS, .Vals, toCall(CV)) ... </k>
K0197	reference-semantics/semantics/call.k:24	rule	-	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), ACC:Vals) => applyMethod(OBJ, M, ACC) ... </k>
K0198	reference-semantics/semantics/call.k:26	rule	-	rule <k> #applyK(toCall(builtinV("sum")), (OBJ:Iterable, .Vals)) => #sumAcc(OBJ, 0) ... </k>
K0199	reference-semantics/semantics/call.k:27	rule	-	rule <k> #applyK(toCall(builtinV("all")), (OBJ:Iterable, .Vals)) => #allAcc(OBJ)    ... </k>
K0200	reference-semantics/semantics/call.k:28	rule	-	rule <k> #applyK(toCall(builtinV("any")), (OBJ:Iterable, .Vals)) => #anyAcc(OBJ)    ... </k>
K0201	reference-semantics/semantics/call.k:29	rule	-	rule <k> #applyK(toCall(builtinV("max")), (OBJ:Iterable, .Vals)) => #maxAcc0(OBJ)   ... </k>
K0202	reference-semantics/semantics/call.k:30	rule	-	rule <k> #applyK(toCall(builtinV("min")), (OBJ:Iterable, .Vals)) => #minAcc0(OBJ)   ... </k>
K0203	reference-semantics/semantics/call.k:31	rule	owise	rule <k> #applyK(toCall(builtinV(BN:String)), ACC:Vals) => applyBuiltin(BN, ACC) ... </k> [owise]
K0204	reference-semantics/semantics/call.k:32	rule	-	rule <k> #applyK(toCall(typeV(T:String)),     ACC:Vals) => applyBuiltin(T, ACC)  ... </k>
K0205	reference-semantics/semantics/call.k:38	rule	priority	rule <k> #applyK(toCall(builtinV(BN:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0206	reference-semantics/semantics/call.k:42	rule	-	rule <k> #applyK(toCall(builtinV(BN:String)), (A:Val, ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (A, V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
K0207	reference-semantics/semantics/call.k:47	rule	priority	rule <k> #applyK(toCall(typeV(T:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(typeV(T)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0208	reference-semantics/semantics/call.k:52	syntax	function,total	syntax Bool ::= isMutMethod(String) [function, total]
K0209	reference-semantics/semantics/call.k:53	rule	-	rule isMutMethod(M:String) => M ==String "append" orBool M ==String "sort" orBool M ==String "extend" orBool M ==String "insert" orBool M ==String "pop" orBool M ==String "remove"
K0210	reference-semantics/semantics/call.k:56	rule	-	rule <k> #applyK(toCall(boundMethodV(ref(H:Int), M:String)), ACC:Vals) => #applyK(toCall(boundMethodV(V, M)), ACC) ... </k> <heap> ... H |-> V:Val ... </heap>
K0211	reference-semantics/semantics/call.k:63	rule	-	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(boundMethodV(OBJ, M)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
K0212	reference-semantics/semantics/call.k:69	rule	-	rule <k> #applyK(toCall(closureVal(PNS:ParamNames, BODY:Stmts, DEFL:Int)), ACC:Vals) ~> CONT => #bindP(PNS, ACC) ~> BODY ~> #endcall </k> <env>     CALLERL:Int => NEWL </env> <scopes>   STORE:Map => STORE [ NEWL <- scope(.Map, parent(DEFL)) ] </scopes> <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc> <stack>   .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>
K0213	reference-semantics/semantics/call.k:80	rule	-	rule <k> #applyK(toCall(closureValC(PNS:ParamNames, CVS:ParamNames, BODY:Stmts, CM:Map)), ACC:Vals) ~> CONT => #allocCells(CVS) ~> #bindP(PNS, ACC) ~> BODY ~> #endcall </k> <env>     CALLERL:Int => NEWL </env> <scopes>   STORE:Map => STORE [ NEWL <- scope(CM [ "$cells" <- cellsMark(CVS) ], parent(0)) ] </scopes> <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc> <stack>   .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>
K0214	reference-semantics/semantics/call.k:87	syntax	-	syntax KItem ::= #allocCells(ParamNames)
K0215	reference-semantics/semantics/call.k:88	rule	-	rule <k> #allocCells(.ParamNames) => .K ... </k>
K0216	reference-semantics/semantics/call.k:89	rule	-	rule <k> #allocCells((CV:String, R:ParamNames)) => #allocCells(R) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ CV <- cellRef(N) ], _) ... </scopes> <heap>    H:Map => (N |-> cellV(noneV)) H </heap> <heapLoc> N:Int => N +Int 1 </heapLoc>
K0217	reference-semantics/semantics/comprehension.k:11	rule	-	rule ListComp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
K0218	reference-semantics/semantics/comprehension.k:12	rule	-	rule GenExp(ELT:Expr, Gs:CompFors)   => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
K0219	reference-semantics/semantics/comprehension.k:14	syntax	macro	syntax Stmts ::= compBody(CompFors, Expr) [macro]
K0220	reference-semantics/semantics/comprehension.k:15	rule	-	rule compBody(Gs:CompFors, ELT:Expr) => Assign(Name("$acc"), ListExpr(.Exprs)) compNest(Gs, ELT) Return(Name("$acc"))
K0221	reference-semantics/semantics/comprehension.k:18	syntax	macro,macro-rec	syntax Stmt ::= compNest(CompFors, Expr) [macro-rec]
K0222	reference-semantics/semantics/comprehension.k:19	rule	-	rule compNest(.CompFors, ELT:Expr) => Assign(Name("$acc"), BinOp("+", Name("$acc"), ListExpr(ELT)))
K0223	reference-semantics/semantics/comprehension.k:21	rule	-	rule compNest((CompFor(T:Expr, ITER:Expr, Fs:Exprs) GRest:CompFors), ELT:Expr) => For(T, ITER, If(compGuard(Fs), compNest(GRest, ELT), .Stmts))
K0224	reference-semantics/semantics/comprehension.k:24	syntax	macro	syntax Expr ::= compGuard(Exprs) [macro]
K0225	reference-semantics/semantics/comprehension.k:25	rule	-	rule compGuard(.Exprs)             => Bool(true)
K0226	reference-semantics/semantics/comprehension.k:26	rule	-	rule compGuard((F:Expr, Fs:Exprs)) => BoolOp("and", (F, Fs))
K0227	reference-semantics/semantics/concrete.k:13	rule	-	rule <k> Compare(list(A:ValSeq), CmpOp("==", list(B:ValSeq))) => deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap>
K0228	reference-semantics/semantics/concrete.k:16	rule	-	rule <k> Compare(list(A:ValSeq), CmpOp("!=", list(B:ValSeq))) => notBool deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap>
K0229	reference-semantics/semantics/concrete.k:25	syntax	-	syntax Val ::= kvP(Val, Val)
K0230	reference-semantics/semantics/concrete.k:26	syntax	-	syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool) | #ksIns(Val, ValSeq, Val, ValSeq, Bool)
K0231	reference-semantics/semantics/concrete.k:28	rule	priority	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), .Vals)) => #ksort(VS, KV, .ValSeq, false) ... </k> [priority(40)]
K0232	reference-semantics/semantics/concrete.k:31	rule	priority	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), kwV("reverse", RB:Bool), .Vals)) => #ksort(VS, KV, .ValSeq, RB) ... </k> [priority(40)]
K0233	reference-semantics/semantics/concrete.k:34	rule	-	rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool) => #alloc(list(condRev(unpairVS(ACC), RB))) ... </k>
K0234	reference-semantics/semantics/concrete.k:36	rule	-	rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool) => KV ~> #callee((V, .Exprs)) ~> #ksIns(V, R, KV, ACC, RB) ... </k>
K0235	reference-semantics/semantics/concrete.k:38	rule	-	rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool) => #ksort(R, KV, insPair(ACC, K, V), RB) ... </k>
K0236	reference-semantics/semantics/concrete.k:42	syntax	function	syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]
K0237	reference-semantics/semantics/concrete.k:43	rule	-	rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)
K0238	reference-semantics/semantics/concrete.k:44	rule	-	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K, V), vCons(kvP(K2, V2), R))
K0239	reference-semantics/semantics/concrete.k:47	rule	-	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K2, V2), insPair(R, K, V))
K0240	reference-semantics/semantics/concrete.k:51	syntax	function	syntax Bool ::= kLt(Val, Val) [function]
K0241	reference-semantics/semantics/concrete.k:52	rule	-	rule kLt(I1:Int, I2:Int)             => I1 <Int I2
K0242	reference-semantics/semantics/concrete.k:53	rule	-	rule kLt(F1:Float, F2:Float)         => F1 <Float F2
K0243	reference-semantics/semantics/concrete.k:54	rule	-	rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)
K0244	reference-semantics/semantics/concrete.k:56	syntax	function,total	syntax ValSeq ::= unpairVS(ValSeq) [function, total]
K0245	reference-semantics/semantics/concrete.k:57	rule	-	rule unpairVS(.ValSeq) => .ValSeq
K0246	reference-semantics/semantics/concrete.k:58	rule	-	rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))
K0247	reference-semantics/semantics/concrete.k:59	rule	owise	rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]
K0248	reference-semantics/semantics/controls.k:9	rule	-	rule <k> Assign(Name(X:String), V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- V ], _) ... </scopes>
K0249	reference-semantics/semantics/controls.k:12	rule	-	rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes>
K0250	reference-semantics/semantics/controls.k:20	rule	-	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- applyBin(OP, {M[X]}:>Val, V) ], _) ... </scopes>
K0251	reference-semantics/semantics/controls.k:27	rule	-	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes>
K0252	reference-semantics/semantics/controls.k:35	rule	-	rule <k> ImportFrom("math", NS:ParamNames) => #bindImports(NS) ... </k>
K0253	reference-semantics/semantics/controls.k:36	rule	owise	rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]
K0254	reference-semantics/semantics/controls.k:37	syntax	-	syntax KItem ::= #bindImports(ParamNames)
K0255	reference-semantics/semantics/controls.k:38	rule	-	rule <k> #bindImports(.ParamNames) => .K ... </k>
K0256	reference-semantics/semantics/controls.k:39	rule	-	rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ N <- builtinV(N) ], _) ... </scopes>
K0257	reference-semantics/semantics/controls.k:43	rule	-	rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k>
K0258	reference-semantics/semantics/controls.k:48	rule	-	rule <k> Expr(_:Val) => .K ... </k>
K0259	reference-semantics/semantics/controls.k:51	syntax	-	syntax KItem ::= #branch(Bool, Stmts, Stmts)
K0260	reference-semantics/semantics/controls.k:52	rule	-	rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>
K0261	reference-semantics/semantics/controls.k:53	rule	-	rule <k> #branch(true,  T:Stmts, _:Stmts) => T ... </k>
K0262	reference-semantics/semantics/controls.k:54	rule	-	rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>
K0263	reference-semantics/semantics/controls.k:57	rule	-	rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k>
K0264	reference-semantics/semantics/controls.k:59	rule	-	rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k>
K0265	reference-semantics/semantics/controls.k:65	syntax	-	syntax KItem ::= #loop(Val, Expr, Stmts) | #loopStep(Expr, Stmts) | #while(Expr, Stmts) | #whileCond(Expr, Stmts) | #loopLbl(K) | "#cont" | "#brk"
K0266	reference-semantics/semantics/controls.k:69	rule	-	rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>
K0267	reference-semantics/semantics/controls.k:71	rule	-	rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>
K0268	reference-semantics/semantics/controls.k:72	rule	-	rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>
K0269	reference-semantics/semantics/controls.k:73	rule	-	rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts) => #bindTgt(T, V) ~> B ~> #loopLbl(#loop(REST, T, B)) ... </k>
K0270	reference-semantics/semantics/controls.k:77	rule	-	rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>
K0271	reference-semantics/semantics/controls.k:78	rule	-	rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>
K0272	reference-semantics/semantics/controls.k:79	rule	-	rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k>
K0273	reference-semantics/semantics/controls.k:81	rule	-	rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k>
K0274	reference-semantics/semantics/controls.k:85	rule	-	rule <k> #loopLbl(NEXT:K) => NEXT ... </k>
K0275	reference-semantics/semantics/controls.k:86	rule	-	rule <k> Continue => #cont ... </k>
K0276	reference-semantics/semantics/controls.k:87	rule	-	rule <k> Break => #brk ... </k>
K0277	reference-semantics/semantics/controls.k:88	rule	-	rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>
K0278	reference-semantics/semantics/controls.k:89	rule	owise	rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]
K0279	reference-semantics/semantics/controls.k:90	rule	-	rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>
K0280	reference-semantics/semantics/controls.k:91	rule	owise	rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]
K0281	reference-semantics/semantics/controls.k:95	rule	priority	rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0282	reference-semantics/semantics/controls.k:98	rule	priority	rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0283	reference-semantics/semantics/controls.k:101	rule	priority	rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0284	reference-semantics/semantics/controls.k:106	rule	priority	rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0285	reference-semantics/semantics/core.k:13	syntax	-	syntax IntSeq ::= ".IntSeq" | iCons(Int, IntSeq)
K0286	reference-semantics/semantics/core.k:14	syntax	-	syntax ValSeq ::= ".ValSeq" | vCons(Val, ValSeq)
K0287	reference-semantics/semantics/core.k:15	syntax	-	syntax Str    ::= str(IntSeq)
K0288	reference-semantics/semantics/core.k:18	syntax	-	syntax Iterable ::= list(ValSeq) | tuple(ValSeq) | Str | rangeObj(Int, Int, Int) | zipObj(ValSeq, ValSeq) | zipObjS(IntSeq, IntSeq)
K0289	reference-semantics/semantics/core.k:25	syntax	function	syntax Val      ::= Int | Bool | "noneV" | Iterable | ref(Int)          // a heap object: <heap> holds its list(VS) | cellRef(Int)      // a closure cell: <heap> holds cellV(V) | closureVal(ParamNames, Stmts, Int) | typeV(String)     // a type object (int/str), resolved from the builtins frame | builtinV(String)  // a builtin function, resolved like any name (LEGB fallthrough) | boundMethodV(Val, String)   // a cooled Attribute: obj.method
K0290	reference-semantics/semantics/core.k:36	syntax	-	syntax Parent   ::= "root" | parent(Int)
K0291	reference-semantics/semantics/core.k:37	syntax	-	syntax Scope    ::= scope(Map, Parent)
K0292	reference-semantics/semantics/core.k:38	syntax	-	syntax KResult  ::= Val
K0293	reference-semantics/semantics/core.k:39	syntax	-	syntax Expr     ::= Val   // cooling puts results back into expression holes
K0294	reference-semantics/semantics/core.k:40	syntax	-	syntax Vals     ::= List{Val, ","}
K0295	reference-semantics/semantics/core.k:41	syntax	-	syntax Exc      ::= "NoExc" | "AssertionError"
K0296	reference-semantics/semantics/core.k:42	syntax	-	syntax RetState ::= "noRet" | retV(Val)
K0297	reference-semantics/semantics/core.k:49	configuration	-	configuration <k>       #loadAll($PGM:Module) </k> <env>     0 </env> <scopes>   0     |-> scope(.Map, parent(-1)) -1    |-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap>    .Map </heap> <heapLoc> 0 </heapLoc> <stack>   .List </stack> <ret>     noRet </ret> <exc>     NoExc </exc> <exit-code exit=""> 0 </exit-code>
K0298	reference-semantics/semantics/core.k:68	syntax	function,total	syntax Bool ::= isRefV(Val) [function, total]
K0299	reference-semantics/semantics/core.k:69	rule	-	rule isRefV(ref(_:Int)) => true
K0300	reference-semantics/semantics/core.k:70	rule	owise	rule isRefV(_:Val)      => false [owise]
K0301	reference-semantics/semantics/core.k:75	syntax	-	syntax HeapVal ::= cellV(Val)
K0302	reference-semantics/semantics/core.k:76	syntax	function,total	syntax Bool ::= isCellRef(Val) [function, total]
K0303	reference-semantics/semantics/core.k:77	rule	-	rule isCellRef(cellRef(_:Int)) => true
K0304	reference-semantics/semantics/core.k:78	rule	owise	rule isCellRef(_:Val)          => false [owise]
K0305	reference-semantics/semantics/core.k:85	rule	-	rule <k> cellRef(H:Int) => V ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap>
K0306	reference-semantics/semantics/core.k:95	syntax	-	syntax Val ::= kwV(String, Val)
K0307	reference-semantics/semantics/core.k:96	syntax	-	syntax KItem ::= #kwTag(String)
K0308	reference-semantics/semantics/core.k:97	rule	-	rule <k> KwArg(N:String, E:Expr) => E ~> #kwTag(N) ... </k>
K0309	reference-semantics/semantics/core.k:98	rule	-	rule <k> V:Val ~> #kwTag(N:String) => kwV(N, V) ... </k>
K0310	reference-semantics/semantics/core.k:100	syntax	function,total	syntax Bool ::= isKwV(Val) [function, total]
K0311	reference-semantics/semantics/core.k:101	rule	-	rule isKwV(kwV(_:String, _:Val)) => true
K0312	reference-semantics/semantics/core.k:102	rule	owise	rule isKwV(_:Val)                => false [owise]
K0313	reference-semantics/semantics/core.k:106	syntax	-	syntax Val ::= cellsMark(ParamNames)
K0314	reference-semantics/semantics/core.k:107	syntax	function	syntax ParamNames ::= cellsOf(Val) [function]
K0315	reference-semantics/semantics/core.k:108	rule	-	rule cellsOf(cellsMark(CVS:ParamNames)) => CVS
K0316	reference-semantics/semantics/core.k:109	syntax	function,total	syntax Bool ::= pnMember(String, ParamNames) [function, total]
K0317	reference-semantics/semantics/core.k:110	rule	-	rule pnMember(_:String, .ParamNames) => false
K0318	reference-semantics/semantics/core.k:111	rule	-	rule pnMember(X:String, (P:String, R:ParamNames)) => X ==String P orBool pnMember(X, R)
K0319	reference-semantics/semantics/core.k:113	syntax	-	syntax KItem ::= #cellW(Val, Val)
K0320	reference-semantics/semantics/core.k:114	rule	-	rule <k> #cellW(cellRef(H:Int), V:Val) => .K ... </k> <heap> ... H |-> cellV(_:Val => V) ... </heap>
K0321	reference-semantics/semantics/core.k:117	syntax	-	syntax KItem ::= #alloc(Val)
K0322	reference-semantics/semantics/core.k:118	rule	-	rule <k> #alloc(V:Val) => ref(N) ... </k> <heap>    H:Map => (N |-> V) H </heap> <heapLoc> N:Int => N +Int 1 </heapLoc>
K0323	reference-semantics/semantics/core.k:124	syntax	-	syntax KItem ::= #loadAll(Module)
K0324	reference-semantics/semantics/core.k:125	rule	-	rule <k> #loadAll(Module(SS:Stmts)) => SS ... </k>
K0325	reference-semantics/semantics/core.k:126	rule	-	rule <k> (S:Stmt SS:Stmts):Stmts => S ~> SS ... </k>
K0326	reference-semantics/semantics/core.k:127	rule	-	rule <k> .Stmts => .K ... </k>
K0327	reference-semantics/semantics/core.k:130	syntax	-	syntax KItem ::= #look(String, Int)
K0328	reference-semantics/semantics/core.k:131	rule	-	rule <k> Name(X:String) => #look(X, L) ... </k> <env> L:Int </env>
K0329	reference-semantics/semantics/core.k:132	rule	-	rule <k> #look(X:String, L:Int) => {M[X]}:>Val ... </k> <scopes> ... L |-> scope(M:Map, _:Parent) ... </scopes>
K0330	reference-semantics/semantics/core.k:145	rule	-	rule <k> #look(X:String, L:Int) => V ... </k> <scopes> ... L |-> scope(M:Map, _:Parent) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap>
K0331	reference-semantics/semantics/core.k:152	rule	-	rule <k> #look(X:String, L:Int) => #look(X, P) ... </k> <scopes> ... L |-> scope(M:Map, parent(P:Int)) ... </scopes>
K0332	reference-semantics/semantics/core.k:157	syntax	function,total	syntax Scope ::= "builtinsScope" [function, total]
K0333	reference-semantics/semantics/core.k:158	rule	-	rule builtinsScope => scope(.Map [ "len"    <- builtinV("len")    ] [ "set"    <- builtinV("set")    ] [ "sum"    <- builtinV("sum")    ] [ "abs"    <- builtinV("abs")    ] [ "min"    <- builtinV("min")    ] [ "max"    <- builtinV("max")    ] [ "ord"    <- builtinV("ord")    ] [ "chr"    <- builtinV("chr")    ] [ "range"  <- builtinV("range")  ] [ "all"    <- builtinV("all")    ] [ "any"    <- builtinV("any")    ] [ "zip"    <- builtinV("zip")    ] [ "isinstance" <- builtinV("isinstance") ] [ "sorted" <- builtinV("sorted") ] [ "list"   <- builtinV("list")   ] [ "round"  <- builtinV("round")  ] [ "bin"    <- builtinV("bin")    ] [ "enumerate" <- builtinV("enumerate") ] [ "map"    <- builtinV("map")    ] [ "eval"   <- builtinV("eval")   ] [ "int"    <- typeV("int")       ] [ "str"    <- typeV("str")       ] [ "float"  <- typeV("float")     ], root)
K0334	reference-semantics/semantics/core.k:185	syntax	-	syntax ApplyK ::= toCall(Val)
K0335	reference-semantics/semantics/core.k:186	syntax	-	syntax KItem  ::= #evalArgs(Exprs, Vals, ApplyK) | #evalArgCont(Exprs, Vals, ApplyK) | #applyK(ApplyK, Vals)
K0336	reference-semantics/semantics/core.k:189	rule	-	rule <k> #evalArgs((A:Expr, REST:Exprs), ACC:Vals, K:ApplyK) => A ~> #evalArgCont(REST, ACC, K) ... </k>
K0337	reference-semantics/semantics/core.k:190	rule	-	rule <k> V:Val ~> #evalArgCont(REST:Exprs, ACC:Vals, K:ApplyK) => #evalArgs(REST, appendVal(ACC, V), K) ... </k>
K0338	reference-semantics/semantics/core.k:191	rule	-	rule <k> #evalArgs(.Exprs, ACC:Vals, K:ApplyK) => #applyK(K, ACC) ... </k>
K0339	reference-semantics/semantics/core.k:194	rule	-	rule <k> Int(I:Int)   => I ... </k>
K0340	reference-semantics/semantics/core.k:195	rule	-	rule <k> Bool(B:Bool) => B ... </k>
K0341	reference-semantics/semantics/core.k:196	rule	-	rule <k> NoneVal      => noneV ... </k>
K0342	reference-semantics/semantics/core.k:199	syntax	function	syntax Bool ::= truthy(Val) [function]
K0343	reference-semantics/semantics/core.k:200	rule	-	rule truthy(B:Bool)          => B
K0344	reference-semantics/semantics/core.k:201	rule	-	rule truthy(noneV)           => false
K0345	reference-semantics/semantics/core.k:202	rule	-	rule truthy(I:Int)           => I =/=Int 0
K0346	reference-semantics/semantics/core.k:203	rule	-	rule truthy(str(S:IntSeq))   => notBool (S ==K .IntSeq)
K0347	reference-semantics/semantics/core.k:204	rule	-	rule truthy(list(V:ValSeq))  => notBool (V ==K .ValSeq)
K0348	reference-semantics/semantics/core.k:205	rule	-	rule truthy(tuple(V:ValSeq)) => notBool (V ==K .ValSeq)
K0349	reference-semantics/semantics/core.k:208	syntax	function	syntax Val  ::= applyUn(String, Val) [function]
K0350	reference-semantics/semantics/core.k:209	syntax	function	syntax Val  ::= applyBin(String, Val, Val) [function]
K0351	reference-semantics/semantics/core.k:210	syntax	function	syntax Bool ::= applyCmp(String, Val, Val) [function]
K0352	reference-semantics/semantics/core.k:213	syntax	function,total	syntax Vals ::= appendVal(Vals, Val) [function, total]
K0353	reference-semantics/semantics/core.k:214	rule	-	rule appendVal(.Vals, V:Val)              => V , .Vals
K0354	reference-semantics/semantics/core.k:215	rule	-	rule appendVal((V0:Val, VS:Vals), V:Val)  => V0 , appendVal(VS, V)
K0355	reference-semantics/semantics/core.k:217	syntax	function,total	syntax ValSeq ::= vals2valSeq(Vals) [function, total]
K0356	reference-semantics/semantics/core.k:218	rule	-	rule vals2valSeq(.Vals)            => .ValSeq
K0357	reference-semantics/semantics/core.k:219	rule	-	rule vals2valSeq((V:Val, VS:Vals)) => vCons(V, vals2valSeq(VS))
K0358	reference-semantics/semantics/core.k:223	syntax	function,total	syntax Int ::= vsLen(ValSeq) [function, total]
K0359	reference-semantics/semantics/core.k:224	rule	-	rule vsLen(.ValSeq)                => 0
K0360	reference-semantics/semantics/core.k:225	rule	-	rule vsLen(vCons(_:Val, S:ValSeq)) => 1 +Int vsLen(S)
K0361	reference-semantics/semantics/core.k:227	syntax	function,total	syntax Int ::= isLen(IntSeq) [function, total]
K0362	reference-semantics/semantics/core.k:228	rule	-	rule isLen(.IntSeq)                => 0
K0363	reference-semantics/semantics/core.k:229	rule	-	rule isLen(iCons(_:Int, S:IntSeq)) => 1 +Int isLen(S)
K0364	reference-semantics/semantics/core.k:233	syntax	function,total	syntax ValSeq ::= setVSAt(ValSeq, Int, Val) [function, total]
K0365	reference-semantics/semantics/core.k:234	rule	-	rule setVSAt(.ValSeq, _:Int, _:Val)               => .ValSeq
K0366	reference-semantics/semantics/core.k:235	rule	-	rule setVSAt(vCons(_:Val, S:ValSeq), 0, V:Val)    => vCons(V, S)
K0367	reference-semantics/semantics/core.k:236	rule	-	rule setVSAt(vCons(W:Val, S:ValSeq), I:Int, V:Val) => vCons(W, setVSAt(S, I -Int 1, V))
