id	file	start_line	end_line	kind	classification	attributes	assessment	text
347	unicode-case.k	320	320	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\x95"") => ""\xc7\x96"""
348	unicode-case.k	321	321	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\x96"") => ""\xc7\x95"""
349	unicode-case.k	322	322	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\x97"") => ""\xc7\x98"""
350	unicode-case.k	323	323	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\x98"") => ""\xc7\x97"""
351	unicode-case.k	324	324	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\x99"") => ""\xc7\x9a"""
352	unicode-case.k	325	325	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\x9a"") => ""\xc7\x99"""
353	unicode-case.k	326	326	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\x9b"") => ""\xc7\x9c"""
354	unicode-case.k	327	327	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\x9c"") => ""\xc7\x9b"""
355	unicode-case.k	328	328	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\x9d"") => ""\xc6\x8e"""
356	unicode-case.k	329	329	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\x9e"") => ""\xc7\x9f"""
357	unicode-case.k	330	330	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\x9f"") => ""\xc7\x9e"""
358	unicode-case.k	331	331	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xa0"") => ""\xc7\xa1"""
359	unicode-case.k	332	332	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xa1"") => ""\xc7\xa0"""
360	unicode-case.k	333	333	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xa2"") => ""\xc7\xa3"""
361	unicode-case.k	334	334	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xa3"") => ""\xc7\xa2"""
362	unicode-case.k	335	335	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xa4"") => ""\xc7\xa5"""
363	unicode-case.k	336	336	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xa5"") => ""\xc7\xa4"""
364	unicode-case.k	337	337	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xa6"") => ""\xc7\xa7"""
365	unicode-case.k	338	338	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xa7"") => ""\xc7\xa6"""
366	unicode-case.k	339	339	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xa8"") => ""\xc7\xa9"""
367	unicode-case.k	340	340	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xa9"") => ""\xc7\xa8"""
368	unicode-case.k	341	341	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xaa"") => ""\xc7\xab"""
369	unicode-case.k	342	342	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xab"") => ""\xc7\xaa"""
370	unicode-case.k	343	343	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xac"") => ""\xc7\xad"""
371	unicode-case.k	344	344	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xad"") => ""\xc7\xac"""
372	unicode-case.k	345	345	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xae"") => ""\xc7\xaf"""
373	unicode-case.k	346	346	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xaf"") => ""\xc7\xae"""
374	unicode-case.k	347	347	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xb0"") => ""J\xcc\x8c"""
375	unicode-case.k	348	348	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xb1"") => ""\xc7\xb3"""
376	unicode-case.k	349	349	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xb3"") => ""\xc7\xb1"""
377	unicode-case.k	350	350	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xb4"") => ""\xc7\xb5"""
378	unicode-case.k	351	351	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xb5"") => ""\xc7\xb4"""
379	unicode-case.k	352	352	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xb6"") => ""\xc6\x95"""
380	unicode-case.k	353	353	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xb7"") => ""\xc6\xbf"""
381	unicode-case.k	354	354	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xb8"") => ""\xc7\xb9"""
382	unicode-case.k	355	355	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xb9"") => ""\xc7\xb8"""
383	unicode-case.k	356	356	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xba"") => ""\xc7\xbb"""
384	unicode-case.k	357	357	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xbb"") => ""\xc7\xba"""
385	unicode-case.k	358	358	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xbc"") => ""\xc7\xbd"""
386	unicode-case.k	359	359	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xbd"") => ""\xc7\xbc"""
387	unicode-case.k	360	360	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xbe"") => ""\xc7\xbf"""
388	unicode-case.k	361	361	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc7\xbf"") => ""\xc7\xbe"""
389	unicode-case.k	362	362	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x80"") => ""\xc8\x81"""
390	unicode-case.k	363	363	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x81"") => ""\xc8\x80"""
391	unicode-case.k	364	364	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x82"") => ""\xc8\x83"""
392	unicode-case.k	365	365	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x83"") => ""\xc8\x82"""
393	unicode-case.k	366	366	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x84"") => ""\xc8\x85"""
394	unicode-case.k	367	367	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x85"") => ""\xc8\x84"""
395	unicode-case.k	368	368	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x86"") => ""\xc8\x87"""
396	unicode-case.k	369	369	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x87"") => ""\xc8\x86"""
397	unicode-case.k	370	370	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x88"") => ""\xc8\x89"""
398	unicode-case.k	371	371	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x89"") => ""\xc8\x88"""
399	unicode-case.k	372	372	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x8a"") => ""\xc8\x8b"""
400	unicode-case.k	373	373	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x8b"") => ""\xc8\x8a"""
401	unicode-case.k	374	374	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x8c"") => ""\xc8\x8d"""
402	unicode-case.k	375	375	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x8d"") => ""\xc8\x8c"""
403	unicode-case.k	376	376	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x8e"") => ""\xc8\x8f"""
404	unicode-case.k	377	377	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x8f"") => ""\xc8\x8e"""
405	unicode-case.k	378	378	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x90"") => ""\xc8\x91"""
406	unicode-case.k	379	379	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x91"") => ""\xc8\x90"""
407	unicode-case.k	380	380	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x92"") => ""\xc8\x93"""
408	unicode-case.k	381	381	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x93"") => ""\xc8\x92"""
409	unicode-case.k	382	382	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x94"") => ""\xc8\x95"""
410	unicode-case.k	383	383	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x95"") => ""\xc8\x94"""
411	unicode-case.k	384	384	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x96"") => ""\xc8\x97"""
412	unicode-case.k	385	385	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x97"") => ""\xc8\x96"""
413	unicode-case.k	386	386	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x98"") => ""\xc8\x99"""
414	unicode-case.k	387	387	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x99"") => ""\xc8\x98"""
415	unicode-case.k	388	388	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x9a"") => ""\xc8\x9b"""
416	unicode-case.k	389	389	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x9b"") => ""\xc8\x9a"""
417	unicode-case.k	390	390	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x9c"") => ""\xc8\x9d"""
418	unicode-case.k	391	391	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x9d"") => ""\xc8\x9c"""
419	unicode-case.k	392	392	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x9e"") => ""\xc8\x9f"""
420	unicode-case.k	393	393	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\x9f"") => ""\xc8\x9e"""
421	unicode-case.k	394	394	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xa0"") => ""\xc6\x9e"""
422	unicode-case.k	395	395	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xa2"") => ""\xc8\xa3"""
423	unicode-case.k	396	396	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xa3"") => ""\xc8\xa2"""
424	unicode-case.k	397	397	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xa4"") => ""\xc8\xa5"""
425	unicode-case.k	398	398	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xa5"") => ""\xc8\xa4"""
426	unicode-case.k	399	399	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xa6"") => ""\xc8\xa7"""
427	unicode-case.k	400	400	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xa7"") => ""\xc8\xa6"""
428	unicode-case.k	401	401	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xa8"") => ""\xc8\xa9"""
429	unicode-case.k	402	402	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xa9"") => ""\xc8\xa8"""
430	unicode-case.k	403	403	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xaa"") => ""\xc8\xab"""
431	unicode-case.k	404	404	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xab"") => ""\xc8\xaa"""
432	unicode-case.k	405	405	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xac"") => ""\xc8\xad"""
433	unicode-case.k	406	406	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xad"") => ""\xc8\xac"""
434	unicode-case.k	407	407	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xae"") => ""\xc8\xaf"""
435	unicode-case.k	408	408	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xaf"") => ""\xc8\xae"""
436	unicode-case.k	409	409	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xb0"") => ""\xc8\xb1"""
437	unicode-case.k	410	410	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xb1"") => ""\xc8\xb0"""
438	unicode-case.k	411	411	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xb2"") => ""\xc8\xb3"""
439	unicode-case.k	412	412	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xb3"") => ""\xc8\xb2"""
440	unicode-case.k	413	413	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xba"") => ""\xe2\xb1\xa5"""
441	unicode-case.k	414	414	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xbb"") => ""\xc8\xbc"""
442	unicode-case.k	415	415	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xbc"") => ""\xc8\xbb"""
443	unicode-case.k	416	416	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xbd"") => ""\xc6\x9a"""
444	unicode-case.k	417	417	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xbe"") => ""\xe2\xb1\xa6"""
445	unicode-case.k	418	418	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc8\xbf"") => ""\xe2\xb1\xbe"""
446	unicode-case.k	419	419	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x80"") => ""\xe2\xb1\xbf"""
447	unicode-case.k	420	420	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x81"") => ""\xc9\x82"""
448	unicode-case.k	421	421	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x82"") => ""\xc9\x81"""
449	unicode-case.k	422	422	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x83"") => ""\xc6\x80"""
450	unicode-case.k	423	423	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x84"") => ""\xca\x89"""
451	unicode-case.k	424	424	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x85"") => ""\xca\x8c"""
452	unicode-case.k	425	425	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x86"") => ""\xc9\x87"""
453	unicode-case.k	426	426	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x87"") => ""\xc9\x86"""
454	unicode-case.k	427	427	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x88"") => ""\xc9\x89"""
455	unicode-case.k	428	428	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x89"") => ""\xc9\x88"""
456	unicode-case.k	429	429	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x8a"") => ""\xc9\x8b"""
457	unicode-case.k	430	430	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x8b"") => ""\xc9\x8a"""
458	unicode-case.k	431	431	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x8c"") => ""\xc9\x8d"""
459	unicode-case.k	432	432	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x8d"") => ""\xc9\x8c"""
460	unicode-case.k	433	433	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x8e"") => ""\xc9\x8f"""
461	unicode-case.k	434	434	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x8f"") => ""\xc9\x8e"""
462	unicode-case.k	435	435	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x90"") => ""\xe2\xb1\xaf"""
463	unicode-case.k	436	436	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x91"") => ""\xe2\xb1\xad"""
464	unicode-case.k	437	437	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x92"") => ""\xe2\xb1\xb0"""
465	unicode-case.k	438	438	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x93"") => ""\xc6\x81"""
466	unicode-case.k	439	439	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x94"") => ""\xc6\x86"""
467	unicode-case.k	440	440	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x96"") => ""\xc6\x89"""
468	unicode-case.k	441	441	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x97"") => ""\xc6\x8a"""
469	unicode-case.k	442	442	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x99"") => ""\xc6\x8f"""
470	unicode-case.k	443	443	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x9b"") => ""\xc6\x90"""
471	unicode-case.k	444	444	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\x9c"") => ""\xea\x9e\xab"""
472	unicode-case.k	445	445	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\xa0"") => ""\xc6\x93"""
473	unicode-case.k	446	446	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\xa1"") => ""\xea\x9e\xac"""
474	unicode-case.k	447	447	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\xa3"") => ""\xc6\x94"""
475	unicode-case.k	448	448	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\xa5"") => ""\xea\x9e\x8d"""
476	unicode-case.k	449	449	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\xa6"") => ""\xea\x9e\xaa"""
477	unicode-case.k	450	450	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\xa8"") => ""\xc6\x97"""
478	unicode-case.k	451	451	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\xa9"") => ""\xc6\x96"""
479	unicode-case.k	452	452	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\xaa"") => ""\xea\x9e\xae"""
480	unicode-case.k	453	453	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\xab"") => ""\xe2\xb1\xa2"""
481	unicode-case.k	454	454	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\xac"") => ""\xea\x9e\xad"""
482	unicode-case.k	455	455	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\xaf"") => ""\xc6\x9c"""
483	unicode-case.k	456	456	concrete function equation	definitional summary		Exact CPython 3.10/Unicode 13 scalar equation; checked mechanically against chr.swapcase().	"rule pySwapChar(""\xc9\xb1"") => ""\xe2\xb1\xae"""
