entry_kind	source	line	attributes	disposition	declaration
syntax	reference-semantics/semantics/builtins.k	255	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax EvPair ::= passLGoE(String, Int, OpSeq, IntSeq, OpSeq, IntSeq) [function, total]
rule	reference-semantics/semantics/builtins.k	256	-	SUPPLIED_USED_PATH_REVIEWED	rule passLGoE(_:String, CUR:Int, .OpSeq, _:IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR))
rule	reference-semantics/semantics/builtins.k	257	-	SUPPLIED_USED_PATH_REVIEWED	rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq)
rule	reference-semantics/semantics/builtins.k	260	-	SUPPLIED_USED_PATH_REVIEWED	rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq)
rule	reference-semantics/semantics/builtins.k	263	owise	SUPPLIED_USED_PATH_REVIEWED	rule passLGoE(_:String, CUR:Int, oCons(_:String, _:OpSeq), .IntSeq, OO:OpSeq, ON:IntSeq)
syntax	reference-semantics/semantics/builtins.k	265	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax Bool ::= inLevelE(String, String) [function, total]
rule	reference-semantics/semantics/builtins.k	266	-	SUPPLIED_USED_PATH_REVIEWED	rule inLevelE("mul", O:String) => O ==String "*" orBool O ==String "//" orBool O ==String "/"
rule	reference-semantics/semantics/builtins.k	267	-	SUPPLIED_USED_PATH_REVIEWED	rule inLevelE("add", O:String) => O ==String "+" orBool O ==String "-"
rule	reference-semantics/semantics/builtins.k	268	owise	SUPPLIED_USED_PATH_REVIEWED	rule inLevelE(_:String, _:String) => false [owise]
syntax	reference-semantics/semantics/builtins.k	269	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax OpSeq ::= appendOpE(OpSeq, String) [function, total]
rule	reference-semantics/semantics/builtins.k	270	-	SUPPLIED_USED_PATH_REVIEWED	rule appendOpE(.OpSeq, O:String) => oCons(O, .OpSeq)
rule	reference-semantics/semantics/builtins.k	271	-	SUPPLIED_USED_PATH_REVIEWED	rule appendOpE(oCons(H:String, T:OpSeq), O:String) => oCons(H, appendOpE(T, O))
syntax	reference-semantics/semantics/builtins.k	272	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax IntSeq ::= appendIE(IntSeq, Int) [function, total]
rule	reference-semantics/semantics/builtins.k	273	-	SUPPLIED_USED_PATH_REVIEWED	rule appendIE(.IntSeq, N:Int) => iCons(N, .IntSeq)
rule	reference-semantics/semantics/builtins.k	274	-	SUPPLIED_USED_PATH_REVIEWED	rule appendIE(iCons(H:Int, T:IntSeq), N:Int) => iCons(H, appendIE(T, N))
syntax	reference-semantics/semantics/builtins.k	279	-	SUPPLIED_USED_PATH_REVIEWED	syntax KItem ::= "#md5"
rule	reference-semantics/semantics/builtins.k	280	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> Call(Attribute(Name("hashlib"), "md5"), (E:Expr, .Exprs)) => E ~> #md5 ... </k>
rule	reference-semantics/semantics/builtins.k	282	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> str(CS:IntSeq) ~> #md5 => md5Obj(CS) ... </k>
syntax	reference-semantics/semantics/builtins.k	283	-	SUPPLIED_USED_PATH_REVIEWED	syntax Val ::= md5Obj(IntSeq)
rule	reference-semantics/semantics/builtins.k	284	-	SUPPLIED_USED_PATH_REVIEWED	rule applyMethod(md5Obj(CS:IntSeq), "hexdigest", .Vals) => str(md5hexCodes(CS))
syntax	reference-semantics/semantics/builtins.k	285	function,total,opaque-no-evaluators	SUPPLIED_USED_PATH_REVIEWED	syntax IntSeq ::= md5hexCodes(IntSeq) [function, total, symbol(md5hexCodes), no-evaluators]
rule	reference-semantics/semantics/builtins.k	291	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("isinstance", V:Val, typeV("int"), .Vals) => isIntV(V)
rule	reference-semantics/semantics/builtins.k	292	-	SUPPLIED_USED_PATH_REVIEWED	rule applyBuiltin("isinstance", V:Val, typeV("str"), .Vals) => isStrV(V)
syntax	reference-semantics/semantics/builtins.k	293	function	SUPPLIED_USED_PATH_REVIEWED	syntax Bool ::= isIntV(Val) [function] | isStrV(Val) [function]
rule	reference-semantics/semantics/builtins.k	294	-	SUPPLIED_USED_PATH_REVIEWED	rule isIntV(_:Int) => true
rule	reference-semantics/semantics/builtins.k	295	owise	SUPPLIED_USED_PATH_REVIEWED	rule isIntV(_:Val) => false [owise]
rule	reference-semantics/semantics/builtins.k	296	-	SUPPLIED_USED_PATH_REVIEWED	rule isStrV(str(_:IntSeq)) => true
rule	reference-semantics/semantics/builtins.k	297	owise	SUPPLIED_USED_PATH_REVIEWED	rule isStrV(_:Val) => false [owise]
rule	reference-semantics/semantics/call.k	16	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> Attribute(V:Val, M:String) => boundMethodV(V, M) ... </k>
syntax	reference-semantics/semantics/call.k	19	-	SUPPLIED_USED_PATH_REVIEWED	syntax KItem ::= #callee(Exprs)
rule	reference-semantics/semantics/call.k	20	owise	SUPPLIED_USED_PATH_REVIEWED	rule <k> Call(Fe:Expr, ARGS:Exprs) => Fe ~> #callee(ARGS) ... </k> [owise]
rule	reference-semantics/semantics/call.k	21	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> CV:Val ~> #callee(ARGS:Exprs) => #evalArgs(ARGS, .Vals, toCall(CV)) ... </k>
rule	reference-semantics/semantics/call.k	24	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), ACC:Vals) => applyMethod(OBJ, M, ACC) ... </k>
rule	reference-semantics/semantics/call.k	26	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(builtinV("sum")), (OBJ:Iterable, .Vals)) => #sumAcc(OBJ, 0) ... </k>
rule	reference-semantics/semantics/call.k	27	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(builtinV("all")), (OBJ:Iterable, .Vals)) => #allAcc(OBJ) ... </k>
rule	reference-semantics/semantics/call.k	28	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(builtinV("any")), (OBJ:Iterable, .Vals)) => #anyAcc(OBJ) ... </k>
rule	reference-semantics/semantics/call.k	29	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(builtinV("max")), (OBJ:Iterable, .Vals)) => #maxAcc0(OBJ) ... </k>
rule	reference-semantics/semantics/call.k	30	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(builtinV("min")), (OBJ:Iterable, .Vals)) => #minAcc0(OBJ) ... </k>
rule	reference-semantics/semantics/call.k	31	owise	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(builtinV(BN:String)), ACC:Vals) => applyBuiltin(BN, ACC) ... </k> [owise]
rule	reference-semantics/semantics/call.k	32	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(typeV(T:String)), ACC:Vals) => applyBuiltin(T, ACC) ... </k>
rule	reference-semantics/semantics/call.k	38	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(builtinV(BN:String)), (ref(H:Int), REST:Vals))
rule	reference-semantics/semantics/call.k	42	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(builtinV(BN:String)), (A:Val, ref(H:Int), REST:Vals))
rule	reference-semantics/semantics/call.k	47	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(typeV(T:String)), (ref(H:Int), REST:Vals))
syntax	reference-semantics/semantics/call.k	52	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax Bool ::= isMutMethod(String) [function, total]
rule	reference-semantics/semantics/call.k	53	-	SUPPLIED_USED_PATH_REVIEWED	rule isMutMethod(M:String)
rule	reference-semantics/semantics/call.k	56	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(boundMethodV(ref(H:Int), M:String)), ACC:Vals)
rule	reference-semantics/semantics/call.k	63	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), (ref(H:Int), REST:Vals))
rule	reference-semantics/semantics/call.k	69	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(closureVal(PNS:ParamNames, BODY:Stmts, DEFL:Int)), ACC:Vals) ~> CONT
rule	reference-semantics/semantics/call.k	80	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #applyK(toCall(closureValC(PNS:ParamNames, CVS:ParamNames, BODY:Stmts, CM:Map)), ACC:Vals) ~> CONT
syntax	reference-semantics/semantics/call.k	87	-	SUPPLIED_USED_PATH_REVIEWED	syntax KItem ::= #allocCells(ParamNames)
rule	reference-semantics/semantics/call.k	88	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #allocCells(.ParamNames) => .K ... </k>
rule	reference-semantics/semantics/call.k	89	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #allocCells((CV:String, R:ParamNames)) => #allocCells(R) ... </k>
rule	reference-semantics/semantics/comprehension.k	11	-	SUPPLIED_UNUSED_PATH	rule ListComp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
rule	reference-semantics/semantics/comprehension.k	12	-	SUPPLIED_UNUSED_PATH	rule GenExp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
syntax	reference-semantics/semantics/comprehension.k	14	macro	SUPPLIED_UNUSED_PATH	syntax Stmts ::= compBody(CompFors, Expr) [macro]
rule	reference-semantics/semantics/comprehension.k	15	-	SUPPLIED_UNUSED_PATH	rule compBody(Gs:CompFors, ELT:Expr)
syntax	reference-semantics/semantics/comprehension.k	18	macro-rec	SUPPLIED_UNUSED_PATH	syntax Stmt ::= compNest(CompFors, Expr) [macro-rec]
rule	reference-semantics/semantics/comprehension.k	19	-	SUPPLIED_UNUSED_PATH	rule compNest(.CompFors, ELT:Expr)
rule	reference-semantics/semantics/comprehension.k	21	-	SUPPLIED_UNUSED_PATH	rule compNest((CompFor(T:Expr, ITER:Expr, Fs:Exprs) GRest:CompFors), ELT:Expr)
syntax	reference-semantics/semantics/comprehension.k	24	macro	SUPPLIED_UNUSED_PATH	syntax Expr ::= compGuard(Exprs) [macro]
rule	reference-semantics/semantics/comprehension.k	25	-	SUPPLIED_UNUSED_PATH	rule compGuard(.Exprs) => Bool(true)
rule	reference-semantics/semantics/comprehension.k	26	-	SUPPLIED_UNUSED_PATH	rule compGuard((F:Expr, Fs:Exprs)) => BoolOp("and", (F, Fs))
rule	reference-semantics/semantics/concrete.k	13	-	SUPPLIED_CONCRETE_ONLY	rule <k> Compare(list(A:ValSeq), CmpOp("==", list(B:ValSeq))) => deepEqVS(A, B, HP) ... </k>
rule	reference-semantics/semantics/concrete.k	16	-	SUPPLIED_CONCRETE_ONLY	rule <k> Compare(list(A:ValSeq), CmpOp("!=", list(B:ValSeq))) => notBool deepEqVS(A, B, HP) ... </k>
syntax	reference-semantics/semantics/concrete.k	25	-	SUPPLIED_CONCRETE_ONLY	syntax Val ::= kvP(Val, Val)
syntax	reference-semantics/semantics/concrete.k	26	-	SUPPLIED_CONCRETE_ONLY	syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool)
rule	reference-semantics/semantics/concrete.k	28	priority	SUPPLIED_CONCRETE_ONLY	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), .Vals))
rule	reference-semantics/semantics/concrete.k	31	priority	SUPPLIED_CONCRETE_ONLY	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), kwV("reverse", RB:Bool), .Vals))
rule	reference-semantics/semantics/concrete.k	34	-	SUPPLIED_CONCRETE_ONLY	rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool)
rule	reference-semantics/semantics/concrete.k	36	-	SUPPLIED_CONCRETE_ONLY	rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool)
rule	reference-semantics/semantics/concrete.k	38	-	SUPPLIED_CONCRETE_ONLY	rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool)
syntax	reference-semantics/semantics/concrete.k	42	function	SUPPLIED_CONCRETE_ONLY	syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]
rule	reference-semantics/semantics/concrete.k	43	-	SUPPLIED_CONCRETE_ONLY	rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)
rule	reference-semantics/semantics/concrete.k	44	-	SUPPLIED_CONCRETE_ONLY	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val)
rule	reference-semantics/semantics/concrete.k	47	-	SUPPLIED_CONCRETE_ONLY	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val)
syntax	reference-semantics/semantics/concrete.k	51	function	SUPPLIED_CONCRETE_ONLY	syntax Bool ::= kLt(Val, Val) [function]
rule	reference-semantics/semantics/concrete.k	52	-	SUPPLIED_CONCRETE_ONLY	rule kLt(I1:Int, I2:Int) => I1 <Int I2
rule	reference-semantics/semantics/concrete.k	53	-	SUPPLIED_CONCRETE_ONLY	rule kLt(F1:Float, F2:Float) => F1 <Float F2
rule	reference-semantics/semantics/concrete.k	54	-	SUPPLIED_CONCRETE_ONLY	rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)
syntax	reference-semantics/semantics/concrete.k	56	function,total	SUPPLIED_CONCRETE_ONLY	syntax ValSeq ::= unpairVS(ValSeq) [function, total]
rule	reference-semantics/semantics/concrete.k	57	-	SUPPLIED_CONCRETE_ONLY	rule unpairVS(.ValSeq) => .ValSeq
rule	reference-semantics/semantics/concrete.k	58	-	SUPPLIED_CONCRETE_ONLY	rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))
rule	reference-semantics/semantics/concrete.k	59	owise	SUPPLIED_CONCRETE_ONLY	rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]
rule	reference-semantics/semantics/controls.k	9	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> Assign(Name(X:String), V:Val) => .K ... </k>
rule	reference-semantics/semantics/controls.k	12	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k>
rule	reference-semantics/semantics/controls.k	20	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k>
rule	reference-semantics/semantics/controls.k	27	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k>
rule	reference-semantics/semantics/controls.k	35	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> ImportFrom("math", NS:ParamNames) => #bindImports(NS) ... </k>
rule	reference-semantics/semantics/controls.k	36	owise	SUPPLIED_USED_PATH_REVIEWED	rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]
syntax	reference-semantics/semantics/controls.k	37	-	SUPPLIED_USED_PATH_REVIEWED	syntax KItem ::= #bindImports(ParamNames)
rule	reference-semantics/semantics/controls.k	38	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #bindImports(.ParamNames) => .K ... </k>
rule	reference-semantics/semantics/controls.k	39	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k>
rule	reference-semantics/semantics/controls.k	43	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k>
rule	reference-semantics/semantics/controls.k	48	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> Expr(_:Val) => .K ... </k>
syntax	reference-semantics/semantics/controls.k	51	-	SUPPLIED_USED_PATH_REVIEWED	syntax KItem ::= #branch(Bool, Stmts, Stmts)
rule	reference-semantics/semantics/controls.k	52	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>
rule	reference-semantics/semantics/controls.k	53	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #branch(true, T:Stmts, _:Stmts) => T ... </k>
rule	reference-semantics/semantics/controls.k	54	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>
rule	reference-semantics/semantics/controls.k	57	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k>
rule	reference-semantics/semantics/controls.k	59	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k>
syntax	reference-semantics/semantics/controls.k	65	-	SUPPLIED_USED_PATH_REVIEWED	syntax KItem ::= #loop(Val, Expr, Stmts) | #loopStep(Expr, Stmts)
rule	reference-semantics/semantics/controls.k	69	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>
rule	reference-semantics/semantics/controls.k	71	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>
rule	reference-semantics/semantics/controls.k	72	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>
rule	reference-semantics/semantics/controls.k	73	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts)
rule	reference-semantics/semantics/controls.k	77	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>
rule	reference-semantics/semantics/controls.k	78	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>
rule	reference-semantics/semantics/controls.k	79	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k>
rule	reference-semantics/semantics/controls.k	81	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k>
rule	reference-semantics/semantics/controls.k	85	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #loopLbl(NEXT:K) => NEXT ... </k>
rule	reference-semantics/semantics/controls.k	86	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> Continue => #cont ... </k>
rule	reference-semantics/semantics/controls.k	87	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> Break => #brk ... </k>
rule	reference-semantics/semantics/controls.k	88	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>
rule	reference-semantics/semantics/controls.k	89	owise	SUPPLIED_USED_PATH_REVIEWED	rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]
rule	reference-semantics/semantics/controls.k	90	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>
rule	reference-semantics/semantics/controls.k	91	owise	SUPPLIED_USED_PATH_REVIEWED	rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]
rule	reference-semantics/semantics/controls.k	95	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k>
rule	reference-semantics/semantics/controls.k	98	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k>
rule	reference-semantics/semantics/controls.k	101	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k>
rule	reference-semantics/semantics/controls.k	106	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k>
syntax	reference-semantics/semantics/core.k	13	-	SUPPLIED_USED_PATH_REVIEWED	syntax IntSeq ::= ".IntSeq" | iCons(Int, IntSeq)
syntax	reference-semantics/semantics/core.k	14	-	SUPPLIED_USED_PATH_REVIEWED	syntax ValSeq ::= ".ValSeq" | vCons(Val, ValSeq)
syntax	reference-semantics/semantics/core.k	15	-	SUPPLIED_USED_PATH_REVIEWED	syntax Str ::= str(IntSeq)
syntax	reference-semantics/semantics/core.k	18	-	SUPPLIED_USED_PATH_REVIEWED	syntax Iterable ::= list(ValSeq)
syntax	reference-semantics/semantics/core.k	25	-	SUPPLIED_USED_PATH_REVIEWED	syntax Val ::= Int
syntax	reference-semantics/semantics/core.k	36	-	SUPPLIED_USED_PATH_REVIEWED	syntax Parent ::= "root" | parent(Int)
syntax	reference-semantics/semantics/core.k	37	-	SUPPLIED_USED_PATH_REVIEWED	syntax Scope ::= scope(Map, Parent)
syntax	reference-semantics/semantics/core.k	38	-	SUPPLIED_USED_PATH_REVIEWED	syntax KResult ::= Val
syntax	reference-semantics/semantics/core.k	39	-	SUPPLIED_USED_PATH_REVIEWED	syntax Expr ::= Val // cooling puts results back into expression holes
syntax	reference-semantics/semantics/core.k	40	-	SUPPLIED_USED_PATH_REVIEWED	syntax Vals ::= List{Val, ","}
syntax	reference-semantics/semantics/core.k	41	-	SUPPLIED_USED_PATH_REVIEWED	syntax Exc ::= "NoExc" | "AssertionError"
syntax	reference-semantics/semantics/core.k	42	-	SUPPLIED_USED_PATH_REVIEWED	syntax RetState ::= "noRet" | retV(Val)
configuration	reference-semantics/semantics/core.k	49	-	SUPPLIED_USED_PATH_REVIEWED	configuration
syntax	reference-semantics/semantics/core.k	68	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax Bool ::= isRefV(Val) [function, total]
rule	reference-semantics/semantics/core.k	69	-	SUPPLIED_USED_PATH_REVIEWED	rule isRefV(ref(_:Int)) => true
rule	reference-semantics/semantics/core.k	70	owise	SUPPLIED_USED_PATH_REVIEWED	rule isRefV(_:Val) => false [owise]
syntax	reference-semantics/semantics/core.k	75	-	SUPPLIED_USED_PATH_REVIEWED	syntax HeapVal ::= cellV(Val)
syntax	reference-semantics/semantics/core.k	76	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax Bool ::= isCellRef(Val) [function, total]
rule	reference-semantics/semantics/core.k	77	-	SUPPLIED_USED_PATH_REVIEWED	rule isCellRef(cellRef(_:Int)) => true
rule	reference-semantics/semantics/core.k	78	owise	SUPPLIED_USED_PATH_REVIEWED	rule isCellRef(_:Val) => false [owise]
rule	reference-semantics/semantics/core.k	85	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> cellRef(H:Int) => V ... </k>
syntax	reference-semantics/semantics/core.k	95	-	SUPPLIED_USED_PATH_REVIEWED	syntax Val ::= kwV(String, Val)
syntax	reference-semantics/semantics/core.k	96	-	SUPPLIED_USED_PATH_REVIEWED	syntax KItem ::= #kwTag(String)
rule	reference-semantics/semantics/core.k	97	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> KwArg(N:String, E:Expr) => E ~> #kwTag(N) ... </k>
rule	reference-semantics/semantics/core.k	98	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> V:Val ~> #kwTag(N:String) => kwV(N, V) ... </k>
syntax	reference-semantics/semantics/core.k	100	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax Bool ::= isKwV(Val) [function, total]
rule	reference-semantics/semantics/core.k	101	-	SUPPLIED_USED_PATH_REVIEWED	rule isKwV(kwV(_:String, _:Val)) => true
rule	reference-semantics/semantics/core.k	102	owise	SUPPLIED_USED_PATH_REVIEWED	rule isKwV(_:Val) => false [owise]
syntax	reference-semantics/semantics/core.k	106	-	SUPPLIED_USED_PATH_REVIEWED	syntax Val ::= cellsMark(ParamNames)
syntax	reference-semantics/semantics/core.k	107	function	SUPPLIED_USED_PATH_REVIEWED	syntax ParamNames ::= cellsOf(Val) [function]
rule	reference-semantics/semantics/core.k	108	-	SUPPLIED_USED_PATH_REVIEWED	rule cellsOf(cellsMark(CVS:ParamNames)) => CVS
syntax	reference-semantics/semantics/core.k	109	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax Bool ::= pnMember(String, ParamNames) [function, total]
rule	reference-semantics/semantics/core.k	110	-	SUPPLIED_USED_PATH_REVIEWED	rule pnMember(_:String, .ParamNames) => false
rule	reference-semantics/semantics/core.k	111	-	SUPPLIED_USED_PATH_REVIEWED	rule pnMember(X:String, (P:String, R:ParamNames)) => X ==String P orBool pnMember(X, R)
syntax	reference-semantics/semantics/core.k	113	-	SUPPLIED_USED_PATH_REVIEWED	syntax KItem ::= #cellW(Val, Val)
rule	reference-semantics/semantics/core.k	114	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #cellW(cellRef(H:Int), V:Val) => .K ... </k>
syntax	reference-semantics/semantics/core.k	117	-	SUPPLIED_USED_PATH_REVIEWED	syntax KItem ::= #alloc(Val)
rule	reference-semantics/semantics/core.k	118	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #alloc(V:Val) => ref(N) ... </k>
syntax	reference-semantics/semantics/core.k	124	-	SUPPLIED_USED_PATH_REVIEWED	syntax KItem ::= #loadAll(Module)
rule	reference-semantics/semantics/core.k	125	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #loadAll(Module(SS:Stmts)) => SS ... </k>
rule	reference-semantics/semantics/core.k	126	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> (S:Stmt SS:Stmts):Stmts => S ~> SS ... </k>
rule	reference-semantics/semantics/core.k	127	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> .Stmts => .K ... </k>
syntax	reference-semantics/semantics/core.k	130	-	SUPPLIED_USED_PATH_REVIEWED	syntax KItem ::= #look(String, Int)
rule	reference-semantics/semantics/core.k	131	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> Name(X:String) => #look(X, L) ... </k> <env> L:Int </env>
rule	reference-semantics/semantics/core.k	132	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #look(X:String, L:Int) => {M[X]}:>Val ... </k>
rule	reference-semantics/semantics/core.k	145	priority	SUPPLIED_USED_PATH_REVIEWED	rule <k> #look(X:String, L:Int) => V ... </k>
rule	reference-semantics/semantics/core.k	152	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #look(X:String, L:Int) => #look(X, P) ... </k>
syntax	reference-semantics/semantics/core.k	157	function,total	SUPPLIED_USED_PATH_REVIEWED	syntax Scope ::= "builtinsScope" [function, total]
rule	reference-semantics/semantics/core.k	158	-	SUPPLIED_USED_PATH_REVIEWED	rule builtinsScope
syntax	reference-semantics/semantics/core.k	185	-	SUPPLIED_USED_PATH_REVIEWED	syntax ApplyK ::= toCall(Val)
syntax	reference-semantics/semantics/core.k	186	-	SUPPLIED_USED_PATH_REVIEWED	syntax KItem ::= #evalArgs(Exprs, Vals, ApplyK)
rule	reference-semantics/semantics/core.k	189	-	SUPPLIED_USED_PATH_REVIEWED	rule <k> #evalArgs((A:Expr, REST:Exprs), ACC:Vals, K:ApplyK) => A ~> #evalArgCont(REST, ACC, K) ... </k>
