index	a	b	canonical	submitted	math_gcd
6735	-13	64	1	1	1
6736	-12	-64	-4	4	4
6737	-12	-63	-3	3	3
6738	-12	-62	-2	2	2
6739	-12	-61	-1	1	1
6740	-12	-60	-12	12	12
6741	-12	-59	-1	1	1
6742	-12	-58	-2	2	2
6743	-12	-57	-3	3	3
6744	-12	-56	-4	4	4
6745	-12	-55	-1	1	1
6746	-12	-54	-6	6	6
6747	-12	-53	-1	1	1
6748	-12	-52	-4	4	4
6749	-12	-51	-3	3	3
6750	-12	-50	-2	2	2
6751	-12	-49	-1	1	1
6752	-12	-48	-12	12	12
6753	-12	-47	-1	1	1
6754	-12	-46	-2	2	2
6755	-12	-45	-3	3	3
6756	-12	-44	-4	4	4
6757	-12	-43	-1	1	1
6758	-12	-42	-6	6	6
6759	-12	-41	-1	1	1
6760	-12	-40	-4	4	4
6761	-12	-39	-3	3	3
6762	-12	-38	-2	2	2
6763	-12	-37	-1	1	1
6764	-12	-36	-12	12	12
6765	-12	-35	-1	1	1
6766	-12	-34	-2	2	2
6767	-12	-33	-3	3	3
6768	-12	-32	-4	4	4
6769	-12	-31	-1	1	1
6770	-12	-30	-6	6	6
6771	-12	-29	-1	1	1
6772	-12	-28	-4	4	4
6773	-12	-27	-3	3	3
6774	-12	-26	-2	2	2
6775	-12	-25	-1	1	1
6776	-12	-24	-12	12	12
6777	-12	-23	-1	1	1
6778	-12	-22	-2	2	2
6779	-12	-21	-3	3	3
6780	-12	-20	-4	4	4
6781	-12	-19	-1	1	1
6782	-12	-18	-6	6	6
6783	-12	-17	-1	1	1
6784	-12	-16	-4	4	4
6785	-12	-15	-3	3	3
6786	-12	-14	-2	2	2
6787	-12	-13	-1	1	1
6788	-12	-12	-12	12	12
6789	-12	-11	-1	1	1
6790	-12	-10	-2	2	2
6791	-12	-9	-3	3	3
6792	-12	-8	-4	4	4
6793	-12	-7	-1	1	1
6794	-12	-6	-6	6	6
6795	-12	-5	-1	1	1
6796	-12	-4	-4	4	4
6797	-12	-3	-3	3	3
6798	-12	-2	-2	2	2
6799	-12	-1	-1	1	1
6800	-12	0	-12	12	12
6801	-12	1	1	1	1
6802	-12	2	2	2	2
6803	-12	3	3	3	3
6804	-12	4	4	4	4
6805	-12	5	1	1	1
6806	-12	6	6	6	6
6807	-12	7	1	1	1
6808	-12	8	4	4	4
6809	-12	9	3	3	3
6810	-12	10	2	2	2
6811	-12	11	1	1	1
6812	-12	12	12	12	12
6813	-12	13	1	1	1
6814	-12	14	2	2	2
6815	-12	15	3	3	3
6816	-12	16	4	4	4
6817	-12	17	1	1	1
6818	-12	18	6	6	6
6819	-12	19	1	1	1
6820	-12	20	4	4	4
6821	-12	21	3	3	3
6822	-12	22	2	2	2
6823	-12	23	1	1	1
6824	-12	24	12	12	12
6825	-12	25	1	1	1
6826	-12	26	2	2	2
6827	-12	27	3	3	3
6828	-12	28	4	4	4
6829	-12	29	1	1	1
6830	-12	30	6	6	6
6831	-12	31	1	1	1
6832	-12	32	4	4	4
6833	-12	33	3	3	3
6834	-12	34	2	2	2
6835	-12	35	1	1	1
6836	-12	36	12	12	12
6837	-12	37	1	1	1
6838	-12	38	2	2	2
6839	-12	39	3	3	3
6840	-12	40	4	4	4
6841	-12	41	1	1	1
6842	-12	42	6	6	6
6843	-12	43	1	1	1
6844	-12	44	4	4	4
6845	-12	45	3	3	3
6846	-12	46	2	2	2
6847	-12	47	1	1	1
6848	-12	48	12	12	12
6849	-12	49	1	1	1
6850	-12	50	2	2	2
6851	-12	51	3	3	3
6852	-12	52	4	4	4
6853	-12	53	1	1	1
6854	-12	54	6	6	6
6855	-12	55	1	1	1
6856	-12	56	4	4	4
6857	-12	57	3	3	3
6858	-12	58	2	2	2
6859	-12	59	1	1	1
6860	-12	60	12	12	12
6861	-12	61	1	1	1
6862	-12	62	2	2	2
6863	-12	63	3	3	3
6864	-12	64	4	4	4
6865	-11	-64	-1	1	1
6866	-11	-63	-1	1	1
6867	-11	-62	-1	1	1
6868	-11	-61	-1	1	1
6869	-11	-60	-1	1	1
6870	-11	-59	-1	1	1
6871	-11	-58	-1	1	1
6872	-11	-57	-1	1	1
6873	-11	-56	-1	1	1
6874	-11	-55	-11	11	11
6875	-11	-54	-1	1	1
6876	-11	-53	-1	1	1
6877	-11	-52	-1	1	1
6878	-11	-51	-1	1	1
6879	-11	-50	-1	1	1
6880	-11	-49	-1	1	1
6881	-11	-48	-1	1	1
6882	-11	-47	-1	1	1
6883	-11	-46	-1	1	1
6884	-11	-45	-1	1	1
6885	-11	-44	-11	11	11
6886	-11	-43	-1	1	1
6887	-11	-42	-1	1	1
6888	-11	-41	-1	1	1
6889	-11	-40	-1	1	1
6890	-11	-39	-1	1	1
6891	-11	-38	-1	1	1
6892	-11	-37	-1	1	1
6893	-11	-36	-1	1	1
6894	-11	-35	-1	1	1
6895	-11	-34	-1	1	1
6896	-11	-33	-11	11	11
6897	-11	-32	-1	1	1
6898	-11	-31	-1	1	1
6899	-11	-30	-1	1	1
6900	-11	-29	-1	1	1
6901	-11	-28	-1	1	1
6902	-11	-27	-1	1	1
6903	-11	-26	-1	1	1
6904	-11	-25	-1	1	1
6905	-11	-24	-1	1	1
6906	-11	-23	-1	1	1
6907	-11	-22	-11	11	11
6908	-11	-21	-1	1	1
6909	-11	-20	-1	1	1
6910	-11	-19	-1	1	1
6911	-11	-18	-1	1	1
6912	-11	-17	-1	1	1
6913	-11	-16	-1	1	1
6914	-11	-15	-1	1	1
6915	-11	-14	-1	1	1
6916	-11	-13	-1	1	1
6917	-11	-12	-1	1	1
6918	-11	-11	-11	11	11
6919	-11	-10	-1	1	1
6920	-11	-9	-1	1	1
6921	-11	-8	-1	1	1
6922	-11	-7	-1	1	1
6923	-11	-6	-1	1	1
6924	-11	-5	-1	1	1
6925	-11	-4	-1	1	1
6926	-11	-3	-1	1	1
6927	-11	-2	-1	1	1
6928	-11	-1	-1	1	1
6929	-11	0	-11	11	11
6930	-11	1	1	1	1
6931	-11	2	1	1	1
6932	-11	3	1	1	1
6933	-11	4	1	1	1
6934	-11	5	1	1	1
6935	-11	6	1	1	1
6936	-11	7	1	1	1
6937	-11	8	1	1	1
6938	-11	9	1	1	1
6939	-11	10	1	1	1
6940	-11	11	11	11	11
6941	-11	12	1	1	1
6942	-11	13	1	1	1
6943	-11	14	1	1	1
6944	-11	15	1	1	1
6945	-11	16	1	1	1
6946	-11	17	1	1	1
6947	-11	18	1	1	1
6948	-11	19	1	1	1
6949	-11	20	1	1	1
6950	-11	21	1	1	1
6951	-11	22	11	11	11
6952	-11	23	1	1	1
6953	-11	24	1	1	1
6954	-11	25	1	1	1
6955	-11	26	1	1	1
6956	-11	27	1	1	1
6957	-11	28	1	1	1
6958	-11	29	1	1	1
6959	-11	30	1	1	1
6960	-11	31	1	1	1
6961	-11	32	1	1	1
6962	-11	33	11	11	11
6963	-11	34	1	1	1
6964	-11	35	1	1	1
6965	-11	36	1	1	1
6966	-11	37	1	1	1
6967	-11	38	1	1	1
6968	-11	39	1	1	1
6969	-11	40	1	1	1
6970	-11	41	1	1	1
6971	-11	42	1	1	1
6972	-11	43	1	1	1
6973	-11	44	11	11	11
6974	-11	45	1	1	1
6975	-11	46	1	1	1
6976	-11	47	1	1	1
6977	-11	48	1	1	1
6978	-11	49	1	1	1
6979	-11	50	1	1	1
6980	-11	51	1	1	1
6981	-11	52	1	1	1
6982	-11	53	1	1	1
6983	-11	54	1	1	1
6984	-11	55	11	11	11
6985	-11	56	1	1	1
6986	-11	57	1	1	1
6987	-11	58	1	1	1
6988	-11	59	1	1	1
6989	-11	60	1	1	1
6990	-11	61	1	1	1
6991	-11	62	1	1	1
6992	-11	63	1	1	1
6993	-11	64	1	1	1
6994	-10	-64	-2	2	2
6995	-10	-63	-1	1	1
6996	-10	-62	-2	2	2
6997	-10	-61	-1	1	1
6998	-10	-60	-10	10	10
6999	-10	-59	-1	1	1
7000	-10	-58	-2	2	2
7001	-10	-57	-1	1	1
7002	-10	-56	-2	2	2
7003	-10	-55	-5	5	5
7004	-10	-54	-2	2	2
7005	-10	-53	-1	1	1
7006	-10	-52	-2	2	2
7007	-10	-51	-1	1	1
7008	-10	-50	-10	10	10
7009	-10	-49	-1	1	1
7010	-10	-48	-2	2	2
7011	-10	-47	-1	1	1
7012	-10	-46	-2	2	2
7013	-10	-45	-5	5	5
7014	-10	-44	-2	2	2
7015	-10	-43	-1	1	1
7016	-10	-42	-2	2	2
7017	-10	-41	-1	1	1
7018	-10	-40	-10	10	10
7019	-10	-39	-1	1	1
7020	-10	-38	-2	2	2
7021	-10	-37	-1	1	1
7022	-10	-36	-2	2	2
7023	-10	-35	-5	5	5
7024	-10	-34	-2	2	2
7025	-10	-33	-1	1	1
7026	-10	-32	-2	2	2
7027	-10	-31	-1	1	1
7028	-10	-30	-10	10	10
7029	-10	-29	-1	1	1
7030	-10	-28	-2	2	2
7031	-10	-27	-1	1	1
7032	-10	-26	-2	2	2
7033	-10	-25	-5	5	5
7034	-10	-24	-2	2	2
7035	-10	-23	-1	1	1
7036	-10	-22	-2	2	2
7037	-10	-21	-1	1	1
7038	-10	-20	-10	10	10
7039	-10	-19	-1	1	1
7040	-10	-18	-2	2	2
7041	-10	-17	-1	1	1
7042	-10	-16	-2	2	2
7043	-10	-15	-5	5	5
7044	-10	-14	-2	2	2
7045	-10	-13	-1	1	1
7046	-10	-12	-2	2	2
7047	-10	-11	-1	1	1
7048	-10	-10	-10	10	10
7049	-10	-9	-1	1	1
7050	-10	-8	-2	2	2
7051	-10	-7	-1	1	1
7052	-10	-6	-2	2	2
7053	-10	-5	-5	5	5
7054	-10	-4	-2	2	2
7055	-10	-3	-1	1	1
7056	-10	-2	-2	2	2
7057	-10	-1	-1	1	1
7058	-10	0	-10	10	10
7059	-10	1	1	1	1
7060	-10	2	2	2	2
7061	-10	3	1	1	1
7062	-10	4	2	2	2
7063	-10	5	5	5	5
7064	-10	6	2	2	2
7065	-10	7	1	1	1
7066	-10	8	2	2	2
7067	-10	9	1	1	1
7068	-10	10	10	10	10
7069	-10	11	1	1	1
7070	-10	12	2	2	2
7071	-10	13	1	1	1
7072	-10	14	2	2	2
7073	-10	15	5	5	5
7074	-10	16	2	2	2
7075	-10	17	1	1	1
7076	-10	18	2	2	2
7077	-10	19	1	1	1
7078	-10	20	10	10	10
7079	-10	21	1	1	1
7080	-10	22	2	2	2
7081	-10	23	1	1	1
7082	-10	24	2	2	2
7083	-10	25	5	5	5
7084	-10	26	2	2	2
7085	-10	27	1	1	1
7086	-10	28	2	2	2
7087	-10	29	1	1	1
7088	-10	30	10	10	10
7089	-10	31	1	1	1
7090	-10	32	2	2	2
7091	-10	33	1	1	1
7092	-10	34	2	2	2
7093	-10	35	5	5	5
7094	-10	36	2	2	2
7095	-10	37	1	1	1
7096	-10	38	2	2	2
7097	-10	39	1	1	1
7098	-10	40	10	10	10
7099	-10	41	1	1	1
7100	-10	42	2	2	2
7101	-10	43	1	1	1
7102	-10	44	2	2	2
7103	-10	45	5	5	5
7104	-10	46	2	2	2
7105	-10	47	1	1	1
7106	-10	48	2	2	2
7107	-10	49	1	1	1
7108	-10	50	10	10	10
7109	-10	51	1	1	1
7110	-10	52	2	2	2
7111	-10	53	1	1	1
7112	-10	54	2	2	2
7113	-10	55	5	5	5
7114	-10	56	2	2	2
7115	-10	57	1	1	1
7116	-10	58	2	2	2
7117	-10	59	1	1	1
7118	-10	60	10	10	10
7119	-10	61	1	1	1
7120	-10	62	2	2	2
7121	-10	63	1	1	1
7122	-10	64	2	2	2
7123	-9	-64	-1	1	1
7124	-9	-63	-9	9	9
7125	-9	-62	-1	1	1
7126	-9	-61	-1	1	1
7127	-9	-60	-3	3	3
7128	-9	-59	-1	1	1
7129	-9	-58	-1	1	1
7130	-9	-57	-3	3	3
7131	-9	-56	-1	1	1
7132	-9	-55	-1	1	1
7133	-9	-54	-9	9	9
7134	-9	-53	-1	1	1
7135	-9	-52	-1	1	1
7136	-9	-51	-3	3	3
7137	-9	-50	-1	1	1
7138	-9	-49	-1	1	1
7139	-9	-48	-3	3	3
7140	-9	-47	-1	1	1
7141	-9	-46	-1	1	1
7142	-9	-45	-9	9	9
7143	-9	-44	-1	1	1
7144	-9	-43	-1	1	1
7145	-9	-42	-3	3	3
7146	-9	-41	-1	1	1
7147	-9	-40	-1	1	1
7148	-9	-39	-3	3	3
7149	-9	-38	-1	1	1
7150	-9	-37	-1	1	1
7151	-9	-36	-9	9	9
7152	-9	-35	-1	1	1
7153	-9	-34	-1	1	1
7154	-9	-33	-3	3	3
7155	-9	-32	-1	1	1
7156	-9	-31	-1	1	1
7157	-9	-30	-3	3	3
7158	-9	-29	-1	1	1
7159	-9	-28	-1	1	1
7160	-9	-27	-9	9	9
7161	-9	-26	-1	1	1
7162	-9	-25	-1	1	1
7163	-9	-24	-3	3	3
7164	-9	-23	-1	1	1
7165	-9	-22	-1	1	1
7166	-9	-21	-3	3	3
7167	-9	-20	-1	1	1
7168	-9	-19	-1	1	1
7169	-9	-18	-9	9	9
7170	-9	-17	-1	1	1
7171	-9	-16	-1	1	1
7172	-9	-15	-3	3	3
7173	-9	-14	-1	1	1
7174	-9	-13	-1	1	1
7175	-9	-12	-3	3	3
7176	-9	-11	-1	1	1
7177	-9	-10	-1	1	1
7178	-9	-9	-9	9	9
7179	-9	-8	-1	1	1
7180	-9	-7	-1	1	1
7181	-9	-6	-3	3	3
7182	-9	-5	-1	1	1
7183	-9	-4	-1	1	1
7184	-9	-3	-3	3	3
7185	-9	-2	-1	1	1
7186	-9	-1	-1	1	1
7187	-9	1	1	1	1
7188	-9	2	1	1	1
7189	-9	3	3	3	3
7190	-9	4	1	1	1
7191	-9	5	1	1	1
7192	-9	6	3	3	3
7193	-9	7	1	1	1
7194	-9	8	1	1	1
7195	-9	9	9	9	9
7196	-9	10	1	1	1
7197	-9	11	1	1	1
7198	-9	12	3	3	3
7199	-9	13	1	1	1
7200	-9	14	1	1	1
7201	-9	15	3	3	3
7202	-9	16	1	1	1
7203	-9	17	1	1	1
7204	-9	18	9	9	9
7205	-9	19	1	1	1
7206	-9	20	1	1	1
7207	-9	21	3	3	3
7208	-9	22	1	1	1
7209	-9	23	1	1	1
7210	-9	24	3	3	3
7211	-9	25	1	1	1
7212	-9	26	1	1	1
7213	-9	27	9	9	9
7214	-9	28	1	1	1
7215	-9	29	1	1	1
7216	-9	30	3	3	3
7217	-9	31	1	1	1
7218	-9	32	1	1	1
7219	-9	33	3	3	3
7220	-9	34	1	1	1
7221	-9	35	1	1	1
7222	-9	36	9	9	9
7223	-9	37	1	1	1
7224	-9	38	1	1	1
7225	-9	39	3	3	3
7226	-9	40	1	1	1
7227	-9	41	1	1	1
7228	-9	42	3	3	3
7229	-9	43	1	1	1
7230	-9	44	1	1	1
7231	-9	45	9	9	9
7232	-9	46	1	1	1
7233	-9	47	1	1	1
7234	-9	48	3	3	3
7235	-9	49	1	1	1
7236	-9	50	1	1	1
7237	-9	51	3	3	3
7238	-9	52	1	1	1
7239	-9	53	1	1	1
7240	-9	54	9	9	9
7241	-9	55	1	1	1
7242	-9	56	1	1	1
7243	-9	57	3	3	3
7244	-9	58	1	1	1
7245	-9	59	1	1	1
7246	-9	60	3	3	3
7247	-9	61	1	1	1
7248	-9	62	1	1	1
7249	-9	63	9	9	9
7250	-9	64	1	1	1
7251	-8	-64	-8	8	8
7252	-8	-63	-1	1	1
7253	-8	-62	-2	2	2
7254	-8	-61	-1	1	1
7255	-8	-60	-4	4	4
7256	-8	-59	-1	1	1
7257	-8	-58	-2	2	2
7258	-8	-57	-1	1	1
7259	-8	-56	-8	8	8
7260	-8	-55	-1	1	1
7261	-8	-54	-2	2	2
7262	-8	-53	-1	1	1
7263	-8	-52	-4	4	4
7264	-8	-51	-1	1	1
7265	-8	-50	-2	2	2
7266	-8	-49	-1	1	1
7267	-8	-48	-8	8	8
7268	-8	-47	-1	1	1
7269	-8	-46	-2	2	2
7270	-8	-45	-1	1	1
7271	-8	-44	-4	4	4
7272	-8	-43	-1	1	1
7273	-8	-42	-2	2	2
7274	-8	-41	-1	1	1
7275	-8	-40	-8	8	8
7276	-8	-39	-1	1	1
7277	-8	-38	-2	2	2
7278	-8	-37	-1	1	1
7279	-8	-36	-4	4	4
7280	-8	-35	-1	1	1
7281	-8	-34	-2	2	2
7282	-8	-33	-1	1	1
7283	-8	-32	-8	8	8
7284	-8	-31	-1	1	1
7285	-8	-30	-2	2	2
7286	-8	-29	-1	1	1
7287	-8	-28	-4	4	4
7288	-8	-27	-1	1	1
7289	-8	-26	-2	2	2
7290	-8	-25	-1	1	1
7291	-8	-24	-8	8	8
7292	-8	-23	-1	1	1
7293	-8	-22	-2	2	2
7294	-8	-21	-1	1	1
7295	-8	-20	-4	4	4
7296	-8	-19	-1	1	1
7297	-8	-18	-2	2	2
7298	-8	-17	-1	1	1
7299	-8	-16	-8	8	8
7300	-8	-15	-1	1	1
7301	-8	-14	-2	2	2
7302	-8	-13	-1	1	1
7303	-8	-12	-4	4	4
7304	-8	-11	-1	1	1
7305	-8	-10	-2	2	2
7306	-8	-9	-1	1	1
7307	-8	-8	-8	8	8
7308	-8	-7	-1	1	1
7309	-8	-6	-2	2	2
7310	-8	-5	-1	1	1
7311	-8	-4	-4	4	4
7312	-8	-3	-1	1	1
7313	-8	-2	-2	2	2
7314	-8	-1	-1	1	1
7315	-8	0	-8	8	8
7316	-8	1	1	1	1
7317	-8	2	2	2	2
7318	-8	3	1	1	1
7319	-8	4	4	4	4
7320	-8	5	1	1	1
7321	-8	6	2	2	2
7322	-8	7	1	1	1
7323	-8	8	8	8	8
7324	-8	9	1	1	1
7325	-8	10	2	2	2
7326	-8	11	1	1	1
7327	-8	12	4	4	4
7328	-8	13	1	1	1
7329	-8	14	2	2	2
7330	-8	15	1	1	1
7331	-8	16	8	8	8
7332	-8	17	1	1	1
7333	-8	18	2	2	2
7334	-8	19	1	1	1
7335	-8	20	4	4	4
7336	-8	21	1	1	1
7337	-8	22	2	2	2
7338	-8	23	1	1	1
7339	-8	24	8	8	8
7340	-8	25	1	1	1
7341	-8	26	2	2	2
7342	-8	27	1	1	1
7343	-8	28	4	4	4
7344	-8	29	1	1	1
7345	-8	30	2	2	2
7346	-8	31	1	1	1
7347	-8	32	8	8	8
7348	-8	33	1	1	1
7349	-8	34	2	2	2
7350	-8	35	1	1	1
7351	-8	36	4	4	4
7352	-8	37	1	1	1
7353	-8	38	2	2	2
7354	-8	39	1	1	1
7355	-8	40	8	8	8
7356	-8	41	1	1	1
7357	-8	42	2	2	2
7358	-8	43	1	1	1
7359	-8	44	4	4	4
7360	-8	45	1	1	1
7361	-8	46	2	2	2
7362	-8	47	1	1	1
7363	-8	48	8	8	8
7364	-8	49	1	1	1
7365	-8	50	2	2	2
7366	-8	51	1	1	1
7367	-8	52	4	4	4
7368	-8	53	1	1	1
7369	-8	54	2	2	2
7370	-8	55	1	1	1
7371	-8	56	8	8	8
7372	-8	57	1	1	1
7373	-8	58	2	2	2
7374	-8	59	1	1	1
7375	-8	60	4	4	4
7376	-8	61	1	1	1
7377	-8	62	2	2	2
7378	-8	63	1	1	1
7379	-8	64	8	8	8
7380	-7	-64	-1	1	1
7381	-7	-63	-7	7	7
7382	-7	-62	-1	1	1
7383	-7	-61	-1	1	1
7384	-7	-60	-1	1	1
7385	-7	-59	-1	1	1
7386	-7	-58	-1	1	1
7387	-7	-57	-1	1	1
7388	-7	-56	-7	7	7
7389	-7	-55	-1	1	1
7390	-7	-54	-1	1	1
7391	-7	-53	-1	1	1
7392	-7	-52	-1	1	1
7393	-7	-51	-1	1	1
7394	-7	-50	-1	1	1
7395	-7	-49	-7	7	7
7396	-7	-48	-1	1	1
7397	-7	-47	-1	1	1
7398	-7	-46	-1	1	1
7399	-7	-45	-1	1	1
7400	-7	-44	-1	1	1
7401	-7	-43	-1	1	1
7402	-7	-42	-7	7	7
7403	-7	-41	-1	1	1
7404	-7	-40	-1	1	1
7405	-7	-39	-1	1	1
7406	-7	-38	-1	1	1
7407	-7	-37	-1	1	1
7408	-7	-36	-1	1	1
7409	-7	-35	-7	7	7
7410	-7	-34	-1	1	1
7411	-7	-33	-1	1	1
7412	-7	-32	-1	1	1
7413	-7	-31	-1	1	1
7414	-7	-30	-1	1	1
7415	-7	-29	-1	1	1
7416	-7	-28	-7	7	7
7417	-7	-27	-1	1	1
7418	-7	-26	-1	1	1
7419	-7	-25	-1	1	1
7420	-7	-24	-1	1	1
7421	-7	-23	-1	1	1
7422	-7	-22	-1	1	1
7423	-7	-21	-7	7	7
7424	-7	-20	-1	1	1
7425	-7	-19	-1	1	1
7426	-7	-18	-1	1	1
7427	-7	-17	-1	1	1
7428	-7	-16	-1	1	1
7429	-7	-15	-1	1	1
7430	-7	-14	-7	7	7
7431	-7	-13	-1	1	1
7432	-7	-12	-1	1	1
7433	-7	-11	-1	1	1
7434	-7	-10	-1	1	1
7435	-7	-9	-1	1	1
7436	-7	-8	-1	1	1
7437	-7	-6	-1	1	1
7438	-7	-5	-1	1	1
7439	-7	-4	-1	1	1
7440	-7	-3	-1	1	1
7441	-7	-2	-1	1	1
7442	-7	-1	-1	1	1
7443	-7	0	-7	7	7
7444	-7	1	1	1	1
7445	-7	2	1	1	1
7446	-7	3	1	1	1
7447	-7	4	1	1	1
7448	-7	5	1	1	1
7449	-7	6	1	1	1
7450	-7	8	1	1	1
7451	-7	9	1	1	1
7452	-7	10	1	1	1
7453	-7	11	1	1	1
7454	-7	12	1	1	1
7455	-7	13	1	1	1
7456	-7	14	7	7	7
7457	-7	15	1	1	1
7458	-7	16	1	1	1
7459	-7	17	1	1	1
7460	-7	18	1	1	1
7461	-7	19	1	1	1
7462	-7	20	1	1	1
7463	-7	21	7	7	7
7464	-7	22	1	1	1
7465	-7	23	1	1	1
7466	-7	24	1	1	1
7467	-7	25	1	1	1
7468	-7	26	1	1	1
7469	-7	27	1	1	1
7470	-7	28	7	7	7
7471	-7	29	1	1	1
7472	-7	30	1	1	1
7473	-7	31	1	1	1
7474	-7	32	1	1	1
7475	-7	33	1	1	1
7476	-7	34	1	1	1
7477	-7	35	7	7	7
7478	-7	36	1	1	1
7479	-7	37	1	1	1
7480	-7	38	1	1	1
7481	-7	39	1	1	1
7482	-7	40	1	1	1
7483	-7	41	1	1	1
7484	-7	42	7	7	7
7485	-7	43	1	1	1
7486	-7	44	1	1	1
7487	-7	45	1	1	1
7488	-7	46	1	1	1
7489	-7	47	1	1	1
7490	-7	48	1	1	1
7491	-7	49	7	7	7
7492	-7	50	1	1	1
7493	-7	51	1	1	1
7494	-7	52	1	1	1
7495	-7	53	1	1	1
7496	-7	54	1	1	1
7497	-7	55	1	1	1
7498	-7	56	7	7	7
7499	-7	57	1	1	1
7500	-7	58	1	1	1
7501	-7	59	1	1	1
7502	-7	60	1	1	1
7503	-7	61	1	1	1
7504	-7	62	1	1	1
7505	-7	63	7	7	7
7506	-7	64	1	1	1
7507	-6	-64	-2	2	2
7508	-6	-63	-3	3	3
7509	-6	-62	-2	2	2
7510	-6	-61	-1	1	1
7511	-6	-60	-6	6	6
7512	-6	-59	-1	1	1
7513	-6	-58	-2	2	2
7514	-6	-57	-3	3	3
7515	-6	-56	-2	2	2
7516	-6	-55	-1	1	1
7517	-6	-54	-6	6	6
7518	-6	-53	-1	1	1
7519	-6	-52	-2	2	2
7520	-6	-51	-3	3	3
7521	-6	-50	-2	2	2
7522	-6	-49	-1	1	1
7523	-6	-48	-6	6	6
7524	-6	-47	-1	1	1
7525	-6	-46	-2	2	2
7526	-6	-45	-3	3	3
7527	-6	-44	-2	2	2
7528	-6	-43	-1	1	1
7529	-6	-42	-6	6	6
7530	-6	-41	-1	1	1
7531	-6	-40	-2	2	2
7532	-6	-39	-3	3	3
7533	-6	-38	-2	2	2
7534	-6	-37	-1	1	1
7535	-6	-36	-6	6	6
7536	-6	-35	-1	1	1
7537	-6	-34	-2	2	2
7538	-6	-33	-3	3	3
7539	-6	-32	-2	2	2
7540	-6	-31	-1	1	1
7541	-6	-30	-6	6	6
7542	-6	-29	-1	1	1
7543	-6	-28	-2	2	2
7544	-6	-27	-3	3	3
7545	-6	-26	-2	2	2
7546	-6	-25	-1	1	1
7547	-6	-24	-6	6	6
7548	-6	-23	-1	1	1
7549	-6	-22	-2	2	2
7550	-6	-21	-3	3	3
7551	-6	-20	-2	2	2
7552	-6	-19	-1	1	1
7553	-6	-18	-6	6	6
7554	-6	-17	-1	1	1
7555	-6	-16	-2	2	2
7556	-6	-15	-3	3	3
7557	-6	-14	-2	2	2
7558	-6	-13	-1	1	1
7559	-6	-12	-6	6	6
7560	-6	-11	-1	1	1
7561	-6	-10	-2	2	2
7562	-6	-9	-3	3	3
7563	-6	-8	-2	2	2
7564	-6	-7	-1	1	1
7565	-6	-6	-6	6	6
7566	-6	-5	-1	1	1
7567	-6	-4	-2	2	2
7568	-6	-3	-3	3	3
7569	-6	-2	-2	2	2
7570	-6	-1	-1	1	1
7571	-6	0	-6	6	6
7572	-6	1	1	1	1
7573	-6	2	2	2	2
7574	-6	3	3	3	3
7575	-6	4	2	2	2
7576	-6	5	1	1	1
7577	-6	6	6	6	6
7578	-6	7	1	1	1
7579	-6	8	2	2	2
7580	-6	9	3	3	3
7581	-6	10	2	2	2
7582	-6	11	1	1	1
7583	-6	12	6	6	6
7584	-6	13	1	1	1
7585	-6	14	2	2	2
7586	-6	15	3	3	3
7587	-6	16	2	2	2
7588	-6	17	1	1	1
7589	-6	18	6	6	6
7590	-6	19	1	1	1
7591	-6	20	2	2	2
7592	-6	21	3	3	3
7593	-6	22	2	2	2
7594	-6	23	1	1	1
7595	-6	24	6	6	6
7596	-6	25	1	1	1
7597	-6	26	2	2	2
7598	-6	27	3	3	3
7599	-6	28	2	2	2
7600	-6	29	1	1	1
7601	-6	30	6	6	6
7602	-6	31	1	1	1
7603	-6	32	2	2	2
7604	-6	33	3	3	3
7605	-6	34	2	2	2
7606	-6	35	1	1	1
7607	-6	36	6	6	6
7608	-6	37	1	1	1
7609	-6	38	2	2	2
7610	-6	39	3	3	3
7611	-6	40	2	2	2
7612	-6	41	1	1	1
7613	-6	42	6	6	6
7614	-6	43	1	1	1
7615	-6	44	2	2	2
7616	-6	45	3	3	3
7617	-6	46	2	2	2
7618	-6	47	1	1	1
7619	-6	48	6	6	6
7620	-6	49	1	1	1
7621	-6	50	2	2	2
7622	-6	51	3	3	3
7623	-6	52	2	2	2
7624	-6	53	1	1	1
7625	-6	54	6	6	6
7626	-6	55	1	1	1
7627	-6	56	2	2	2
7628	-6	57	3	3	3
7629	-6	58	2	2	2
7630	-6	59	1	1	1
7631	-6	60	6	6	6
7632	-6	61	1	1	1
7633	-6	62	2	2	2
7634	-6	63	3	3	3
7635	-6	64	2	2	2
7636	-5	-64	-1	1	1
7637	-5	-63	-1	1	1
7638	-5	-62	-1	1	1
7639	-5	-61	-1	1	1
7640	-5	-60	-5	5	5
7641	-5	-59	-1	1	1
7642	-5	-58	-1	1	1
7643	-5	-57	-1	1	1
7644	-5	-56	-1	1	1
7645	-5	-55	-5	5	5
7646	-5	-54	-1	1	1
7647	-5	-53	-1	1	1
7648	-5	-52	-1	1	1
7649	-5	-51	-1	1	1
7650	-5	-50	-5	5	5
7651	-5	-49	-1	1	1
7652	-5	-48	-1	1	1
7653	-5	-47	-1	1	1
7654	-5	-46	-1	1	1
7655	-5	-45	-5	5	5
7656	-5	-44	-1	1	1
7657	-5	-43	-1	1	1
7658	-5	-42	-1	1	1
7659	-5	-41	-1	1	1
7660	-5	-40	-5	5	5
7661	-5	-39	-1	1	1
7662	-5	-38	-1	1	1
7663	-5	-37	-1	1	1
7664	-5	-36	-1	1	1
