source,line,kind,decision,notes,first_line
reference-semantics/semantics/concrete.k,25,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax Val ::= kvP(Val, Val)"
reference-semantics/semantics/concrete.k,26,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool)"
reference-semantics/semantics/concrete.k,28,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> #applyK(toCall(builtinV(""sorted"")), (list(VS:ValSeq), kwV(""key"", KV:Val), .Vals))"
reference-semantics/semantics/concrete.k,31,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> #applyK(toCall(builtinV(""sorted"")), (list(VS:ValSeq), kwV(""key"", KV:Val), kwV(""reverse"", RB:Bool), .Vals))"
reference-semantics/semantics/concrete.k,34,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool)"
reference-semantics/semantics/concrete.k,36,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool)"
reference-semantics/semantics/concrete.k,38,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool)"
reference-semantics/semantics/concrete.k,42,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]"
reference-semantics/semantics/concrete.k,43,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)"
reference-semantics/semantics/concrete.k,44,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val)"
reference-semantics/semantics/concrete.k,47,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val)"
reference-semantics/semantics/concrete.k,51,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax Bool ::= kLt(Val, Val) [function]"
reference-semantics/semantics/concrete.k,52,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule kLt(I1:Int, I2:Int) => I1 <Int I2"
reference-semantics/semantics/concrete.k,53,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule kLt(F1:Float, F2:Float) => F1 <Float F2"
reference-semantics/semantics/concrete.k,54,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)"
reference-semantics/semantics/concrete.k,56,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax ValSeq ::= unpairVS(ValSeq) [function, total]"
reference-semantics/semantics/concrete.k,57,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule unpairVS(.ValSeq) => .ValSeq
reference-semantics/semantics/concrete.k,58,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))"
reference-semantics/semantics/concrete.k,59,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]"
reference-semantics/semantics/controls.k,3,module,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,module MPY-CONTROLS
reference-semantics/semantics/controls.k,4,imports,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,imports MPY-CORE
reference-semantics/semantics/controls.k,5,imports,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,imports MPY-TUPLE
reference-semantics/semantics/controls.k,6,imports,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,imports MPY-ITER
reference-semantics/semantics/controls.k,9,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,"rule <k> Assign(Name(X:String), V:Val) => .K ... </k>"
reference-semantics/semantics/controls.k,12,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k>"
reference-semantics/semantics/controls.k,20,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,"rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k>"
reference-semantics/semantics/controls.k,27,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k>"
reference-semantics/semantics/controls.k,35,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> ImportFrom(""math"", NS:ParamNames) => #bindImports(NS) ... </k>"
reference-semantics/semantics/controls.k,36,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,"rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]"
reference-semantics/semantics/controls.k,37,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,syntax KItem ::= #bindImports(ParamNames)
reference-semantics/semantics/controls.k,38,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule <k> #bindImports(.ParamNames) => .K ... </k>
reference-semantics/semantics/controls.k,39,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k>"
reference-semantics/semantics/controls.k,43,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k>"
reference-semantics/semantics/controls.k,48,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule <k> Expr(_:Val) => .K ... </k>
reference-semantics/semantics/controls.k,51,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax KItem ::= #branch(Bool, Stmts, Stmts)"
reference-semantics/semantics/controls.k,52,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>"
reference-semantics/semantics/controls.k,53,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> #branch(true, T:Stmts, _:Stmts) => T ... </k>"
reference-semantics/semantics/controls.k,54,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>"
reference-semantics/semantics/controls.k,57,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k>"
reference-semantics/semantics/controls.k,59,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k>"
reference-semantics/semantics/controls.k,65,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax KItem ::= #loop(Val, Expr, Stmts) | #loopStep(Expr, Stmts)"
reference-semantics/semantics/controls.k,69,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,"rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>"
reference-semantics/semantics/controls.k,71,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,"rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>"
reference-semantics/semantics/controls.k,72,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,"rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>"
reference-semantics/semantics/controls.k,73,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,"rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts)"
reference-semantics/semantics/controls.k,77,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>"
reference-semantics/semantics/controls.k,78,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>"
reference-semantics/semantics/controls.k,79,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k>"
reference-semantics/semantics/controls.k,81,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k>"
reference-semantics/semantics/controls.k,85,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule <k> #loopLbl(NEXT:K) => NEXT ... </k>
reference-semantics/semantics/controls.k,86,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule <k> Continue => #cont ... </k>
reference-semantics/semantics/controls.k,87,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule <k> Break => #brk ... </k>
reference-semantics/semantics/controls.k,88,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>
reference-semantics/semantics/controls.k,89,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]
reference-semantics/semantics/controls.k,90,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>
reference-semantics/semantics/controls.k,91,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]
reference-semantics/semantics/controls.k,95,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k>"
reference-semantics/semantics/controls.k,98,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k>"
reference-semantics/semantics/controls.k,101,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k>"
reference-semantics/semantics/controls.k,106,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,"rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k>"
reference-semantics/semantics/core.k,3,module,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,module MPY-CORE
reference-semantics/semantics/core.k,4,imports,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,imports MPY-SYNTAX
reference-semantics/semantics/core.k,5,imports,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,imports INT
reference-semantics/semantics/core.k,6,imports,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,imports BOOL
reference-semantics/semantics/core.k,7,imports,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,imports STRING
reference-semantics/semantics/core.k,8,imports,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,imports MAP
reference-semantics/semantics/core.k,9,imports,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,imports LIST
reference-semantics/semantics/core.k,10,imports,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,imports K-EQUAL
reference-semantics/semantics/core.k,13,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax IntSeq ::= "".IntSeq"" | iCons(Int, IntSeq)"
reference-semantics/semantics/core.k,14,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax ValSeq ::= "".ValSeq"" | vCons(Val, ValSeq)"
reference-semantics/semantics/core.k,15,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,syntax Str ::= str(IntSeq)
reference-semantics/semantics/core.k,18,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,syntax Iterable ::= list(ValSeq)
reference-semantics/semantics/core.k,25,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,syntax Val ::= Int
reference-semantics/semantics/core.k,36,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax Parent ::= ""root"" | parent(Int)"
reference-semantics/semantics/core.k,37,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax Scope ::= scope(Map, Parent)"
reference-semantics/semantics/core.k,38,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,syntax KResult ::= Val
reference-semantics/semantics/core.k,39,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,syntax Expr ::= Val // cooling puts results back into expression holes
reference-semantics/semantics/core.k,40,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax Vals ::= List{Val, "",""}"
reference-semantics/semantics/core.k,41,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax Exc ::= ""NoExc"" | ""AssertionError"""
reference-semantics/semantics/core.k,42,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax RetState ::= ""noRet"" | retV(Val)"
reference-semantics/semantics/core.k,49,configuration,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,configuration
reference-semantics/semantics/core.k,68,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax Bool ::= isRefV(Val) [function, total]"
reference-semantics/semantics/core.k,69,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule isRefV(ref(_:Int)) => true
reference-semantics/semantics/core.k,70,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule isRefV(_:Val) => false [owise]
reference-semantics/semantics/core.k,75,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,syntax HeapVal ::= cellV(Val)
reference-semantics/semantics/core.k,76,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax Bool ::= isCellRef(Val) [function, total]"
reference-semantics/semantics/core.k,77,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule isCellRef(cellRef(_:Int)) => true
reference-semantics/semantics/core.k,78,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule isCellRef(_:Val) => false [owise]
reference-semantics/semantics/core.k,85,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule <k> cellRef(H:Int) => V ... </k>
reference-semantics/semantics/core.k,95,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax Val ::= kwV(String, Val)"
reference-semantics/semantics/core.k,96,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,syntax KItem ::= #kwTag(String)
reference-semantics/semantics/core.k,97,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> KwArg(N:String, E:Expr) => E ~> #kwTag(N) ... </k>"
reference-semantics/semantics/core.k,98,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> V:Val ~> #kwTag(N:String) => kwV(N, V) ... </k>"
reference-semantics/semantics/core.k,100,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax Bool ::= isKwV(Val) [function, total]"
reference-semantics/semantics/core.k,101,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule isKwV(kwV(_:String, _:Val)) => true"
reference-semantics/semantics/core.k,102,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule isKwV(_:Val) => false [owise]
reference-semantics/semantics/core.k,106,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,syntax Val ::= cellsMark(ParamNames)
reference-semantics/semantics/core.k,107,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,syntax ParamNames ::= cellsOf(Val) [function]
reference-semantics/semantics/core.k,108,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule cellsOf(cellsMark(CVS:ParamNames)) => CVS
reference-semantics/semantics/core.k,109,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax Bool ::= pnMember(String, ParamNames) [function, total]"
reference-semantics/semantics/core.k,110,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule pnMember(_:String, .ParamNames) => false"
reference-semantics/semantics/core.k,111,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule pnMember(X:String, (P:String, R:ParamNames)) => X ==String P orBool pnMember(X, R)"
reference-semantics/semantics/core.k,113,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax KItem ::= #cellW(Val, Val)"
reference-semantics/semantics/core.k,114,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> #cellW(cellRef(H:Int), V:Val) => .K ... </k>"
reference-semantics/semantics/core.k,117,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,syntax KItem ::= #alloc(Val)
reference-semantics/semantics/core.k,118,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,rule <k> #alloc(V:Val) => ref(N) ... </k>
reference-semantics/semantics/core.k,124,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,syntax KItem ::= #loadAll(Module)
reference-semantics/semantics/core.k,125,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,rule <k> #loadAll(Module(SS:Stmts)) => SS ... </k>
reference-semantics/semantics/core.k,126,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,rule <k> (S:Stmt SS:Stmts):Stmts => S ~> SS ... </k>
reference-semantics/semantics/core.k,127,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,rule <k> .Stmts => .K ... </k>
reference-semantics/semantics/core.k,130,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax KItem ::= #look(String, Int)"
reference-semantics/semantics/core.k,131,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,"rule <k> Name(X:String) => #look(X, L) ... </k> <env> L:Int </env>"
reference-semantics/semantics/core.k,132,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,"rule <k> #look(X:String, L:Int) => {M[X]}:>Val ... </k>"
reference-semantics/semantics/core.k,145,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> #look(X:String, L:Int) => V ... </k>"
reference-semantics/semantics/core.k,152,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,"rule <k> #look(X:String, L:Int) => #look(X, P) ... </k>"
reference-semantics/semantics/core.k,157,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax Scope ::= ""builtinsScope"" [function, total]"
reference-semantics/semantics/core.k,158,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,rule builtinsScope
reference-semantics/semantics/core.k,185,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,syntax ApplyK ::= toCall(Val)
reference-semantics/semantics/core.k,186,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax KItem ::= #evalArgs(Exprs, Vals, ApplyK)"
reference-semantics/semantics/core.k,189,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,"rule <k> #evalArgs((A:Expr, REST:Exprs), ACC:Vals, K:ApplyK) => A ~> #evalArgCont(REST, ACC, K) ... </k>"
reference-semantics/semantics/core.k,190,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,"rule <k> V:Val ~> #evalArgCont(REST:Exprs, ACC:Vals, K:ApplyK) => #evalArgs(REST, appendVal(ACC, V), K) ... </k>"
reference-semantics/semantics/core.k,191,rule,TRUSTED_SUPPLIED_USED,Selected fixed semantics; reviewed in the real-program execution route.,"rule <k> #evalArgs(.Exprs, ACC:Vals, K:ApplyK) => #applyK(K, ACC) ... </k>"
reference-semantics/semantics/core.k,194,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule <k> Int(I:Int) => I ... </k>
reference-semantics/semantics/core.k,195,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule <k> Bool(B:Bool) => B ... </k>
reference-semantics/semantics/core.k,196,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule <k> NoneVal => noneV ... </k>
reference-semantics/semantics/core.k,199,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,syntax Bool ::= truthy(Val) [function]
reference-semantics/semantics/core.k,200,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule truthy(B:Bool) => B
reference-semantics/semantics/core.k,201,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule truthy(noneV) => false
reference-semantics/semantics/core.k,202,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule truthy(I:Int) => I =/=Int 0
reference-semantics/semantics/core.k,203,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule truthy(str(S:IntSeq)) => notBool (S ==K .IntSeq)
reference-semantics/semantics/core.k,204,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule truthy(list(V:ValSeq)) => notBool (V ==K .ValSeq)
reference-semantics/semantics/core.k,205,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule truthy(tuple(V:ValSeq)) => notBool (V ==K .ValSeq)
reference-semantics/semantics/core.k,208,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax Val ::= applyUn(String, Val) [function]"
reference-semantics/semantics/core.k,209,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax Val ::= applyBin(String, Val, Val) [function]"
reference-semantics/semantics/core.k,210,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax Bool ::= applyCmp(String, Val, Val) [function]"
reference-semantics/semantics/core.k,213,syntax,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"syntax Vals ::= appendVal(Vals, Val) [function, total]"
