id	location	module	kind	attributes	declaration
196	reference-semantics/semantics/builtins.k:214	MPY-BUILTINS	syntax	function, total	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]
197	reference-semantics/semantics/builtins.k:216	MPY-BUILTINS	rule		rule tokNds(.IntSeq) => .IntSeq
198	reference-semantics/semantics/builtins.k:217	MPY-BUILTINS	rule		rule tokNds(iCons(32, R:IntSeq)) => tokNds(R)
199	reference-semantics/semantics/builtins.k:218	MPY-BUILTINS	rule		rule tokNds(iCons(C:Int, R:IntSeq)) => tokNdAcc(C -Int 48, R) requires evDigit(C)
200	reference-semantics/semantics/builtins.k:219	MPY-BUILTINS	rule		rule tokNds(iCons(C:Int, R:IntSeq)) => tokNds(R) requires notBool evDigit(C) andBool C =/=Int 32
201	reference-semantics/semantics/builtins.k:221	MPY-BUILTINS	rule		rule tokNdAcc(A:Int, iCons(C:Int, R:IntSeq)) => tokNdAcc(A *Int 10 +Int (C -Int 48), R) requires evDigit(C)
202	reference-semantics/semantics/builtins.k:223	MPY-BUILTINS	rule	owise	rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
203	reference-semantics/semantics/builtins.k:225	MPY-BUILTINS	syntax		syntax EvPair ::= evp(OpSeq, IntSeq)
204	reference-semantics/semantics/builtins.k:226	MPY-BUILTINS	syntax	function, total	syntax Int ::= firstNdE(EvPair) [function, total]
205	reference-semantics/semantics/builtins.k:227	MPY-BUILTINS	rule		rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N
206	reference-semantics/semantics/builtins.k:228	MPY-BUILTINS	rule	owise	rule firstNdE(_:EvPair) => 0 [owise]
207	reference-semantics/semantics/builtins.k:230	MPY-BUILTINS	syntax	function, total	syntax Int ::= applyOpE(String, Int, Int) [function, total]
208	reference-semantics/semantics/builtins.k:231	MPY-BUILTINS	rule		rule applyOpE("+", A:Int, B:Int) => A +Int B
209	reference-semantics/semantics/builtins.k:232	MPY-BUILTINS	rule		rule applyOpE("-", A:Int, B:Int) => A -Int B
210	reference-semantics/semantics/builtins.k:233	MPY-BUILTINS	rule		rule applyOpE("*", A:Int, B:Int) => A *Int B
211	reference-semantics/semantics/builtins.k:234	MPY-BUILTINS	rule		rule applyOpE("//", A:Int, B:Int) => A divInt B
212	reference-semantics/semantics/builtins.k:235	MPY-BUILTINS	rule		rule applyOpE("**", A:Int, B:Int) => A ^Int B
213	reference-semantics/semantics/builtins.k:236	MPY-BUILTINS	rule	owise	rule applyOpE(_:String, A:Int, _:Int) => A [owise]
214	reference-semantics/semantics/builtins.k:238	MPY-BUILTINS	syntax	function, total	syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]
215	reference-semantics/semantics/builtins.k:239	MPY-BUILTINS	rule		rule passPowE(.OpSeq, NDS:IntSeq) => evp(.OpSeq, NDS)
216	reference-semantics/semantics/builtins.k:240	MPY-BUILTINS	rule		rule passPowE(oCons("**", OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCombE(N, passPowE(OPS, NDS))
217	reference-semantics/semantics/builtins.k:241	MPY-BUILTINS	rule		rule passPowE(oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCarryE(O, N, passPowE(OPS, NDS)) requires O =/=String "**"
218	reference-semantics/semantics/builtins.k:243	MPY-BUILTINS	rule	owise	rule passPowE(_:OpSeq, .IntSeq) => evp(.OpSeq, .IntSeq) [owise]
219	reference-semantics/semantics/builtins.k:244	MPY-BUILTINS	syntax	function, total	syntax EvPair ::= powCombE(Int, EvPair) [function, total]
220	reference-semantics/semantics/builtins.k:245	MPY-BUILTINS	rule		rule powCombE(N:Int, evp(OPS:OpSeq, iCons(M:Int, REST:IntSeq))) => evp(OPS, iCons(N ^Int M, REST))
221	reference-semantics/semantics/builtins.k:246	MPY-BUILTINS	rule		rule powCombE(N:Int, evp(OPS:OpSeq, .IntSeq)) => evp(OPS, iCons(N, .IntSeq))
222	reference-semantics/semantics/builtins.k:247	MPY-BUILTINS	syntax	function, total	syntax EvPair ::= powCarryE(String, Int, EvPair) [function, total]
223	reference-semantics/semantics/builtins.k:248	MPY-BUILTINS	rule		rule powCarryE(O:String, N:Int, evp(OPS:OpSeq, NDS:IntSeq)) => evp(oCons(O, OPS), iCons(N, NDS))
224	reference-semantics/semantics/builtins.k:250	MPY-BUILTINS	syntax	function, total	syntax EvPair ::= passMulE(EvPair) [function, total] | passAddE(EvPair) [function, total]
225	reference-semantics/semantics/builtins.k:251	MPY-BUILTINS	rule		rule passMulE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("mul", N0, OPS, NDS, .OpSeq, .IntSeq)
226	reference-semantics/semantics/builtins.k:252	MPY-BUILTINS	rule		rule passMulE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
227	reference-semantics/semantics/builtins.k:253	MPY-BUILTINS	rule		rule passAddE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("add", N0, OPS, NDS, .OpSeq, .IntSeq)
228	reference-semantics/semantics/builtins.k:254	MPY-BUILTINS	rule		rule passAddE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
229	reference-semantics/semantics/builtins.k:255	MPY-BUILTINS	syntax	function, total	syntax EvPair ::= passLGoE(String, Int, OpSeq, IntSeq, OpSeq, IntSeq) [function, total]
230	reference-semantics/semantics/builtins.k:256	MPY-BUILTINS	rule		rule passLGoE(_:String, CUR:Int, .OpSeq, _:IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR))
231	reference-semantics/semantics/builtins.k:257	MPY-BUILTINS	rule		rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq) => passLGoE(L, applyOpE(O, CUR, N), OPS, NDS, OO, ON) requires inLevelE(L, O)
232	reference-semantics/semantics/builtins.k:260	MPY-BUILTINS	rule		rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq) => passLGoE(L, N, OPS, NDS, appendOpE(OO, O), appendIE(ON, CUR)) requires notBool inLevelE(L, O)
233	reference-semantics/semantics/builtins.k:263	MPY-BUILTINS	rule	owise	rule passLGoE(_:String, CUR:Int, oCons(_:String, _:OpSeq), .IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR)) [owise]
234	reference-semantics/semantics/builtins.k:265	MPY-BUILTINS	syntax	function, total	syntax Bool ::= inLevelE(String, String) [function, total]
235	reference-semantics/semantics/builtins.k:266	MPY-BUILTINS	rule		rule inLevelE("mul", O:String) => O ==String "*" orBool O ==String "//" orBool O ==String "/"
236	reference-semantics/semantics/builtins.k:267	MPY-BUILTINS	rule		rule inLevelE("add", O:String) => O ==String "+" orBool O ==String "-"
237	reference-semantics/semantics/builtins.k:268	MPY-BUILTINS	rule	owise	rule inLevelE(_:String, _:String) => false [owise]
238	reference-semantics/semantics/builtins.k:269	MPY-BUILTINS	syntax	function, total	syntax OpSeq ::= appendOpE(OpSeq, String) [function, total]
239	reference-semantics/semantics/builtins.k:270	MPY-BUILTINS	rule		rule appendOpE(.OpSeq, O:String) => oCons(O, .OpSeq)
240	reference-semantics/semantics/builtins.k:271	MPY-BUILTINS	rule		rule appendOpE(oCons(H:String, T:OpSeq), O:String) => oCons(H, appendOpE(T, O))
241	reference-semantics/semantics/builtins.k:272	MPY-BUILTINS	syntax	function, total	syntax IntSeq ::= appendIE(IntSeq, Int) [function, total]
242	reference-semantics/semantics/builtins.k:273	MPY-BUILTINS	rule		rule appendIE(.IntSeq, N:Int) => iCons(N, .IntSeq)
243	reference-semantics/semantics/builtins.k:274	MPY-BUILTINS	rule		rule appendIE(iCons(H:Int, T:IntSeq), N:Int) => iCons(H, appendIE(T, N)) // ==== hashlib.md5(S).hexdigest() — a trusted opaque digest ================== // The md5 value itself is a named shared trust (sortVS-style, no concrete // twin); proofs use the length/hex-charset lemmas (lemmas/builtins.k).
244	reference-semantics/semantics/builtins.k:279	MPY-BUILTINS	syntax		syntax KItem ::= "#md5"
245	reference-semantics/semantics/builtins.k:280	MPY-BUILTINS	rule	priority(40)	rule <k> Call(Attribute(Name("hashlib"), "md5"), (E:Expr, .Exprs)) => E ~> #md5 ... </k> [priority(40)]
246	reference-semantics/semantics/builtins.k:282	MPY-BUILTINS	rule		rule <k> str(CS:IntSeq) ~> #md5 => md5Obj(CS) ... </k>
247	reference-semantics/semantics/builtins.k:283	MPY-BUILTINS	syntax		syntax Val ::= md5Obj(IntSeq)
248	reference-semantics/semantics/builtins.k:284	MPY-BUILTINS	rule		rule applyMethod(md5Obj(CS:IntSeq), "hexdigest", .Vals) => str(md5hexCodes(CS))
249	reference-semantics/semantics/builtins.k:285	MPY-BUILTINS	syntax	function, total, symbol(md5hexCodes), no-evaluators	syntax IntSeq ::= md5hexCodes(IntSeq) [function, total, symbol(md5hexCodes), no-evaluators] // ==== isinstance(V, int|str) — an ordinary 2-arg builtin =================== // The type argument (int/str) is an ordinary name that resolves via the builtins frame to // typeV (see core.k's config); no Call-level special case. isIntV/isStrV mirror the old // owise-on-Val test (concrete-sort args decide; a symbolic Val stays owise, as before).
250	reference-semantics/semantics/builtins.k:291	MPY-BUILTINS	rule		rule applyBuiltin("isinstance", V:Val, typeV("int"), .Vals) => isIntV(V)
251	reference-semantics/semantics/builtins.k:292	MPY-BUILTINS	rule		rule applyBuiltin("isinstance", V:Val, typeV("str"), .Vals) => isStrV(V)
252	reference-semantics/semantics/builtins.k:293	MPY-BUILTINS	syntax	function	syntax Bool ::= isIntV(Val) [function] | isStrV(Val) [function]
253	reference-semantics/semantics/builtins.k:294	MPY-BUILTINS	rule		rule isIntV(_:Int) => true
254	reference-semantics/semantics/builtins.k:295	MPY-BUILTINS	rule	owise	rule isIntV(_:Val) => false [owise]
255	reference-semantics/semantics/builtins.k:296	MPY-BUILTINS	rule		rule isStrV(str(_:IntSeq)) => true
256	reference-semantics/semantics/builtins.k:297	MPY-BUILTINS	rule	owise	rule isStrV(_:Val) => false [owise]
257	reference-semantics/semantics/builtins.k:298	MPY-BUILTINS	endmodule		endmodule
258	reference-semantics/semantics/call.k:10	MPY-CALL	module		module MPY-CALL
259	reference-semantics/semantics/call.k:11	MPY-CALL	imports		imports MPY-METHODS
260	reference-semantics/semantics/call.k:12	MPY-CALL	imports		imports MPY-BUILTINS
261	reference-semantics/semantics/call.k:13	MPY-CALL	imports		imports MPY-FUNCTIONS // a cooled attribute is a bound method value
262	reference-semantics/semantics/call.k:16	MPY-CALL	rule		rule <k> Attribute(V:Val, M:String) => boundMethodV(V, M) ... </k> // evaluate callee, then args ([owise]: problem-local Call interceptions beat this)
263	reference-semantics/semantics/call.k:19	MPY-CALL	syntax		syntax KItem ::= #callee(Exprs)
264	reference-semantics/semantics/call.k:20	MPY-CALL	rule	owise	rule <k> Call(Fe:Expr, ARGS:Exprs) => Fe ~> #callee(ARGS) ... </k> [owise]
265	reference-semantics/semantics/call.k:21	MPY-CALL	rule		rule <k> CV:Val ~> #callee(ARGS:Exprs) => #evalArgs(ARGS, .Vals, toCall(CV)) ... </k> // ==== dispatch on the callee value ========================================
266	reference-semantics/semantics/call.k:24	MPY-CALL	rule		rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), ACC:Vals) => applyMethod(OBJ, M, ACC) ... </k>
267	reference-semantics/semantics/call.k:26	MPY-CALL	rule		rule <k> #applyK(toCall(builtinV("sum")), (OBJ:Iterable, .Vals)) => #sumAcc(OBJ, 0) ... </k>
268	reference-semantics/semantics/call.k:27	MPY-CALL	rule		rule <k> #applyK(toCall(builtinV("all")), (OBJ:Iterable, .Vals)) => #allAcc(OBJ) ... </k>
269	reference-semantics/semantics/call.k:28	MPY-CALL	rule		rule <k> #applyK(toCall(builtinV("any")), (OBJ:Iterable, .Vals)) => #anyAcc(OBJ) ... </k>
270	reference-semantics/semantics/call.k:29	MPY-CALL	rule		rule <k> #applyK(toCall(builtinV("max")), (OBJ:Iterable, .Vals)) => #maxAcc0(OBJ) ... </k>
271	reference-semantics/semantics/call.k:30	MPY-CALL	rule		rule <k> #applyK(toCall(builtinV("min")), (OBJ:Iterable, .Vals)) => #minAcc0(OBJ) ... </k>
272	reference-semantics/semantics/call.k:31	MPY-CALL	rule	owise	rule <k> #applyK(toCall(builtinV(BN:String)), ACC:Vals) => applyBuiltin(BN, ACC) ... </k> [owise]
273	reference-semantics/semantics/call.k:32	MPY-CALL	rule		rule <k> #applyK(toCall(typeV(T:String)), ACC:Vals) => applyBuiltin(T, ACC) ... </k> // ==== heap-object arguments/receivers ===================================== // Builtins and type calls READ structure — deref the first two arg positions // (covers len/sum/all/any/max/min/sorted/list/set + zip's pair). Mutating list // methods take the ref itself; every other method receiver is deref'd.
274	reference-semantics/semantics/call.k:38	MPY-CALL	rule	priority(40)	rule <k> #applyK(toCall(builtinV(BN:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
275	reference-semantics/semantics/call.k:42	MPY-CALL	rule	priority(40)	rule <k> #applyK(toCall(builtinV(BN:String)), (A:Val, ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (A, V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isRefV(A) [priority(40)]
276	reference-semantics/semantics/call.k:47	MPY-CALL	rule	priority(40)	rule <k> #applyK(toCall(typeV(T:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(typeV(T)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
277	reference-semantics/semantics/call.k:52	MPY-CALL	syntax	function, total	syntax Bool ::= isMutMethod(String) [function, total]
278	reference-semantics/semantics/call.k:53	MPY-CALL	rule		rule isMutMethod(M:String) => M ==String "append" orBool M ==String "sort" orBool M ==String "extend" orBool M ==String "insert" orBool M ==String "pop" orBool M ==String "remove"
279	reference-semantics/semantics/call.k:56	MPY-CALL	rule	priority(40)	rule <k> #applyK(toCall(boundMethodV(ref(H:Int), M:String)), ACC:Vals) => #applyK(toCall(boundMethodV(V, M)), ACC) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isMutMethod(M) [priority(40)] // non-mutating methods READ their heap-object arguments too (join's list); // mutators keep refs (append of a list into a list-of-lists stays aliased)
280	reference-semantics/semantics/call.k:63	MPY-CALL	rule	priority(40)	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(boundMethodV(OBJ, M)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isMutMethod(M) andBool notBool isRefV(OBJ) [priority(40)]
281	reference-semantics/semantics/call.k:69	MPY-CALL	rule		rule <k> #applyK(toCall(closureVal(PNS:ParamNames, BODY:Stmts, DEFL:Int)), ACC:Vals) ~> CONT => #bindP(PNS, ACC) ~> BODY ~> #endcall </k> <env> CALLERL:Int => NEWL </env> <scopes> STORE:Map => STORE [ NEWL <- scope(.Map, parent(DEFL)) ] </scopes> <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc> <stack> .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack> // annotated closure: the frame starts with the captured freevar cells, its // parent is the module scope (all enclosing-local reads go through cells), // and the cellvars' fresh cells allocate before params bind (a cellvar param // then writes through its cell in #bindP).
282	reference-semantics/semantics/call.k:80	MPY-CALL	rule		rule <k> #applyK(toCall(closureValC(PNS:ParamNames, CVS:ParamNames, BODY:Stmts, CM:Map)), ACC:Vals) ~> CONT => #allocCells(CVS) ~> #bindP(PNS, ACC) ~> BODY ~> #endcall </k> <env> CALLERL:Int => NEWL </env> <scopes> STORE:Map => STORE [ NEWL <- scope(CM [ "$cells" <- cellsMark(CVS) ], parent(0)) ] </scopes> <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc> <stack> .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>
283	reference-semantics/semantics/call.k:87	MPY-CALL	syntax		syntax KItem ::= #allocCells(ParamNames)
284	reference-semantics/semantics/call.k:88	MPY-CALL	rule		rule <k> #allocCells(.ParamNames) => .K ... </k>
285	reference-semantics/semantics/call.k:89	MPY-CALL	rule		rule <k> #allocCells((CV:String, R:ParamNames)) => #allocCells(R) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ CV <- cellRef(N) ], _) ... </scopes> <heap> H:Map => (N |-> cellV(noneV)) H </heap> <heapLoc> N:Int => N +Int 1 </heapLoc> requires notBool N in_keys(H)
286	reference-semantics/semantics/call.k:95	MPY-CALL	endmodule		endmodule
287	reference-semantics/semantics/comprehension.k:3	MPY-COMPREHENSION	module		module MPY-COMPREHENSION
288	reference-semantics/semantics/comprehension.k:4	MPY-COMPREHENSION	imports		imports MPY-CORE
289	reference-semantics/semantics/comprehension.k:5	MPY-COMPREHENSION	imports		imports MPY-OPERATORS
290	reference-semantics/semantics/comprehension.k:6	MPY-COMPREHENSION	imports		imports MPY-LIST
291	reference-semantics/semantics/comprehension.k:7	MPY-COMPREHENSION	imports		imports MPY-CONTROLS
292	reference-semantics/semantics/comprehension.k:8	MPY-COMPREHENSION	imports		imports MPY-FUNCTIONS // A comprehension is pure syntactic sugar
293	reference-semantics/semantics/comprehension.k:11	MPY-COMPREHENSION	rule		rule ListComp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
294	reference-semantics/semantics/comprehension.k:12	MPY-COMPREHENSION	rule		rule GenExp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
295	reference-semantics/semantics/comprehension.k:14	MPY-COMPREHENSION	syntax	macro	syntax Stmts ::= compBody(CompFors, Expr) [macro]
296	reference-semantics/semantics/comprehension.k:15	MPY-COMPREHENSION	rule		rule compBody(Gs:CompFors, ELT:Expr) => Assign(Name("$acc"), ListExpr(.Exprs)) compNest(Gs, ELT) Return(Name("$acc"))
297	reference-semantics/semantics/comprehension.k:18	MPY-COMPREHENSION	syntax	macro-rec	syntax Stmt ::= compNest(CompFors, Expr) [macro-rec]
298	reference-semantics/semantics/comprehension.k:19	MPY-COMPREHENSION	rule		rule compNest(.CompFors, ELT:Expr) => Assign(Name("$acc"), BinOp("+", Name("$acc"), ListExpr(ELT)))
299	reference-semantics/semantics/comprehension.k:21	MPY-COMPREHENSION	rule		rule compNest((CompFor(T:Expr, ITER:Expr, Fs:Exprs) GRest:CompFors), ELT:Expr) => For(T, ITER, If(compGuard(Fs), compNest(GRest, ELT), .Stmts))
300	reference-semantics/semantics/comprehension.k:24	MPY-COMPREHENSION	syntax	macro	syntax Expr ::= compGuard(Exprs) [macro]
301	reference-semantics/semantics/comprehension.k:25	MPY-COMPREHENSION	rule		rule compGuard(.Exprs) => Bool(true)
302	reference-semantics/semantics/comprehension.k:26	MPY-COMPREHENSION	rule		rule compGuard((F:Expr, Fs:Exprs)) => BoolOp("and", (F, Fs))
303	reference-semantics/semantics/comprehension.k:27	MPY-COMPREHENSION	endmodule		endmodule
304	reference-semantics/semantics/concrete.k:8	MPY-CONCRETE	module		module MPY-CONCRETE
305	reference-semantics/semantics/concrete.k:9	MPY-CONCRETE	imports		imports MPY // deep equality for list compares whose elements are heap objects // (list-of-lists): Python == is structural at every depth.
306	reference-semantics/semantics/concrete.k:13	MPY-CONCRETE	rule		rule <k> Compare(list(A:ValSeq), CmpOp("==", list(B:ValSeq))) => deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap> requires hasRefVS(A) orBool hasRefVS(B)
307	reference-semantics/semantics/concrete.k:16	MPY-CONCRETE	rule		rule <k> Compare(list(A:ValSeq), CmpOp("!=", list(B:ValSeq))) => notBool deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap> requires hasRefVS(A) orBool hasRefVS(B) // ==== keyed sort, concrete leg ============================================ // Computes each key by a REAL call through the uniform #callee machinery // (closures, len, type objects all work), stable-inserts on the key, and // allocates the result. priority(40) beats sort.k's opaque rules, so krun // runs this and proofs (which never see MPY-CONCRETE) keep sortKeyVS.
308	reference-semantics/semantics/concrete.k:25	MPY-CONCRETE	syntax		syntax Val ::= kvP(Val, Val)
309	reference-semantics/semantics/concrete.k:26	MPY-CONCRETE	syntax		syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool) | #ksIns(Val, ValSeq, Val, ValSeq, Bool)
310	reference-semantics/semantics/concrete.k:28	MPY-CONCRETE	rule	priority(40)	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), .Vals)) => #ksort(VS, KV, .ValSeq, false) ... </k> [priority(40)]
311	reference-semantics/semantics/concrete.k:31	MPY-CONCRETE	rule	priority(40)	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), kwV("reverse", RB:Bool), .Vals)) => #ksort(VS, KV, .ValSeq, RB) ... </k> [priority(40)]
312	reference-semantics/semantics/concrete.k:34	MPY-CONCRETE	rule		rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool) => #alloc(list(condRev(unpairVS(ACC), RB))) ... </k>
313	reference-semantics/semantics/concrete.k:36	MPY-CONCRETE	rule		rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool) => KV ~> #callee((V, .Exprs)) ~> #ksIns(V, R, KV, ACC, RB) ... </k>
314	reference-semantics/semantics/concrete.k:38	MPY-CONCRETE	rule		rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool) => #ksort(R, KV, insPair(ACC, K, V), RB) ... </k> requires notBool isKwV(K)
315	reference-semantics/semantics/concrete.k:42	MPY-CONCRETE	syntax	function	syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]
316	reference-semantics/semantics/concrete.k:43	MPY-CONCRETE	rule		rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)
317	reference-semantics/semantics/concrete.k:44	MPY-CONCRETE	rule		rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K, V), vCons(kvP(K2, V2), R)) requires kLt(K, K2)
318	reference-semantics/semantics/concrete.k:47	MPY-CONCRETE	rule		rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K2, V2), insPair(R, K, V)) requires notBool kLt(K, K2)
319	reference-semantics/semantics/concrete.k:51	MPY-CONCRETE	syntax	function	syntax Bool ::= kLt(Val, Val) [function]
320	reference-semantics/semantics/concrete.k:52	MPY-CONCRETE	rule		rule kLt(I1:Int, I2:Int) => I1 <Int I2
321	reference-semantics/semantics/concrete.k:53	MPY-CONCRETE	rule		rule kLt(F1:Float, F2:Float) => F1 <Float F2
322	reference-semantics/semantics/concrete.k:54	MPY-CONCRETE	rule		rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)
323	reference-semantics/semantics/concrete.k:56	MPY-CONCRETE	syntax	function, total	syntax ValSeq ::= unpairVS(ValSeq) [function, total]
324	reference-semantics/semantics/concrete.k:57	MPY-CONCRETE	rule		rule unpairVS(.ValSeq) => .ValSeq
325	reference-semantics/semantics/concrete.k:58	MPY-CONCRETE	rule		rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))
326	reference-semantics/semantics/concrete.k:59	MPY-CONCRETE	rule	owise	rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]
327	reference-semantics/semantics/concrete.k:60	MPY-CONCRETE	endmodule		endmodule
328	reference-semantics/semantics/controls.k:3	MPY-CONTROLS	module		module MPY-CONTROLS
329	reference-semantics/semantics/controls.k:4	MPY-CONTROLS	imports		imports MPY-CORE
330	reference-semantics/semantics/controls.k:5	MPY-CONTROLS	imports		imports MPY-TUPLE
331	reference-semantics/semantics/controls.k:6	MPY-CONTROLS	imports		imports MPY-ITER // ==== Assign / AugAssign (write the current scope; RHS evaluated by strictness) ==
332	reference-semantics/semantics/controls.k:9	MPY-CONTROLS	rule		rule <k> Assign(Name(X:String), V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- V ], _) ... </scopes>
333	reference-semantics/semantics/controls.k:12	MPY-CONTROLS	rule	priority(40)	rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires "$cells" in_keys(M) andBool pnMember(X, cellsOf({M["$cells"]}:>Val)) andBool X in_keys(M) andBool isCellRef({M[X]}:>Val) [priority(40)]
334	reference-semantics/semantics/controls.k:20	MPY-CONTROLS	rule		rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- applyBin(OP, {M[X]}:>Val, V) ], _) ... </scopes> requires X in_keys(M) // `lst += [..]` where lst is a heap ref: the generic rule leaves applyBin(OP, ref, V) — but the // ref-deref preemption is BinOp-level (operators.k), so applyBin never derefs and it sticks. Route // the ref case through BinOp so the deref + list-concat + #alloc path fires (result is a fresh ref).
335	reference-semantics/semantics/controls.k:27	MPY-CONTROLS	rule	priority(40)	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires X in_keys(M) andBool isRefV({M[X]}:>Val) [priority(40)] // ==== import trivia: `from math import floor, ceil` binds the supported // names as builtins in the current scope; every other import is a no-op
336	reference-semantics/semantics/controls.k:35	MPY-CONTROLS	rule		rule <k> ImportFrom("math", NS:ParamNames) => #bindImports(NS) ... </k>
337	reference-semantics/semantics/controls.k:36	MPY-CONTROLS	rule	owise	rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]
338	reference-semantics/semantics/controls.k:37	MPY-CONTROLS	syntax		syntax KItem ::= #bindImports(ParamNames)
339	reference-semantics/semantics/controls.k:38	MPY-CONTROLS	rule		rule <k> #bindImports(.ParamNames) => .K ... </k>
340	reference-semantics/semantics/controls.k:39	MPY-CONTROLS	rule		rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ N <- builtinV(N) ], _) ... </scopes> requires N ==String "floor" orBool N ==String "ceil"
341	reference-semantics/semantics/controls.k:43	MPY-CONTROLS	rule		rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> requires notBool (N ==String "floor" orBool N ==String "ceil") // ==== Expr statement: evaluate for effect, discard the value =============== // (bare calls — mutator methods, docstrings; the WP0 statement-trivia rung)
342	reference-semantics/semantics/controls.k:48	MPY-CONTROLS	rule		rule <k> Expr(_:Val) => .K ... </k> // ==== If (condition evaluated by strictness) ==============================
343	reference-semantics/semantics/controls.k:51	MPY-CONTROLS	syntax		syntax KItem ::= #branch(Bool, Stmts, Stmts)
344	reference-semantics/semantics/controls.k:52	MPY-CONTROLS	rule		rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>
345	reference-semantics/semantics/controls.k:53	MPY-CONTROLS	rule		rule <k> #branch(true, T:Stmts, _:Stmts) => T ... </k>
