id	file	lines	kind	source_class	semantic_class	attributes	declaration
K0289	reference-semantics/semantics/comprehension.k	14-14	syntax	trusted-supplied	syntax	macro	syntax Stmts ::= compBody(CompFors, Expr) [macro]
K0290	reference-semantics/semantics/comprehension.k	15-16	rule	trusted-supplied	equational-rule		rule compBody(Gs:CompFors, ELT:Expr) => Assign(Name("$acc"), ListExpr(.Exprs)) compNest(Gs, ELT) Return(Name("$acc"))
K0291	reference-semantics/semantics/comprehension.k	18-18	syntax	trusted-supplied	syntax	macro-rec	syntax Stmt ::= compNest(CompFors, Expr) [macro-rec]
K0292	reference-semantics/semantics/comprehension.k	19-20	rule	trusted-supplied	equational-rule		rule compNest(.CompFors, ELT:Expr) => Assign(Name("$acc"), BinOp("+", Name("$acc"), ListExpr(ELT)))
K0293	reference-semantics/semantics/comprehension.k	21-22	rule	trusted-supplied	equational-rule		rule compNest((CompFor(T:Expr, ITER:Expr, Fs:Exprs) GRest:CompFors), ELT:Expr) => For(T, ITER, If(compGuard(Fs), compNest(GRest, ELT), .Stmts))
K0294	reference-semantics/semantics/comprehension.k	24-24	syntax	trusted-supplied	syntax	macro	syntax Expr ::= compGuard(Exprs) [macro]
K0295	reference-semantics/semantics/comprehension.k	25-25	rule	trusted-supplied	equational-rule		rule compGuard(.Exprs) => Bool(true)
K0296	reference-semantics/semantics/comprehension.k	26-26	rule	trusted-supplied	equational-rule		rule compGuard((F:Expr, Fs:Exprs)) => BoolOp("and", (F, Fs))
K0297	reference-semantics/semantics/concrete.k	8-8	module	trusted-supplied	module		module MPY-CONCRETE
K0298	reference-semantics/semantics/concrete.k	9-9	imports	trusted-supplied	imports		imports MPY
K0299	reference-semantics/semantics/concrete.k	13-15	rule	trusted-supplied	operational-rule		rule <k> Compare(list(A:ValSeq), CmpOp("==", list(B:ValSeq))) => deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap> requires hasRefVS(A) orBool hasRefVS(B)
K0300	reference-semantics/semantics/concrete.k	16-18	rule	trusted-supplied	operational-rule		rule <k> Compare(list(A:ValSeq), CmpOp("!=", list(B:ValSeq))) => notBool deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap> requires hasRefVS(A) orBool hasRefVS(B)
K0301	reference-semantics/semantics/concrete.k	25-25	syntax	trusted-supplied	syntax		syntax Val ::= kvP(Val, Val)
K0302	reference-semantics/semantics/concrete.k	26-27	syntax	trusted-supplied	syntax		syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool) | #ksIns(Val, ValSeq, Val, ValSeq, Bool)
K0303	reference-semantics/semantics/concrete.k	28-30	rule	trusted-supplied	operational-rule	priority(40)	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), .Vals)) => #ksort(VS, KV, .ValSeq, false) ... </k> [priority(40)]
K0304	reference-semantics/semantics/concrete.k	31-33	rule	trusted-supplied	operational-rule	priority(40)	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), kwV("reverse", RB:Bool), .Vals)) => #ksort(VS, KV, .ValSeq, RB) ... </k> [priority(40)]
K0305	reference-semantics/semantics/concrete.k	34-35	rule	trusted-supplied	operational-rule		rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool) => #alloc(list(condRev(unpairVS(ACC), RB))) ... </k>
K0306	reference-semantics/semantics/concrete.k	36-37	rule	trusted-supplied	operational-rule		rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool) => KV ~> #callee((V, .Exprs)) ~> #ksIns(V, R, KV, ACC, RB) ... </k>
K0307	reference-semantics/semantics/concrete.k	38-40	rule	trusted-supplied	operational-rule		rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool) => #ksort(R, KV, insPair(ACC, K, V), RB) ... </k> requires notBool isKwV(K)
K0308	reference-semantics/semantics/concrete.k	42-42	syntax	trusted-supplied	syntax	function	syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]
K0309	reference-semantics/semantics/concrete.k	43-43	rule	trusted-supplied	equational-rule		rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)
K0310	reference-semantics/semantics/concrete.k	44-46	rule	trusted-supplied	equational-rule		rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K, V), vCons(kvP(K2, V2), R)) requires kLt(K, K2)
K0311	reference-semantics/semantics/concrete.k	47-49	rule	trusted-supplied	equational-rule		rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K2, V2), insPair(R, K, V)) requires notBool kLt(K, K2)
K0312	reference-semantics/semantics/concrete.k	51-51	syntax	trusted-supplied	syntax	function	syntax Bool ::= kLt(Val, Val) [function]
K0313	reference-semantics/semantics/concrete.k	52-52	rule	trusted-supplied	equational-rule		rule kLt(I1:Int, I2:Int) => I1 <Int I2
K0314	reference-semantics/semantics/concrete.k	53-53	rule	trusted-supplied	equational-rule		rule kLt(F1:Float, F2:Float) => F1 <Float F2
K0315	reference-semantics/semantics/concrete.k	54-54	rule	trusted-supplied	equational-rule		rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)
K0316	reference-semantics/semantics/concrete.k	56-56	syntax	trusted-supplied	syntax	function, total	syntax ValSeq ::= unpairVS(ValSeq) [function, total]
K0317	reference-semantics/semantics/concrete.k	57-57	rule	trusted-supplied	equational-rule		rule unpairVS(.ValSeq) => .ValSeq
K0318	reference-semantics/semantics/concrete.k	58-58	rule	trusted-supplied	equational-rule		rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))
K0319	reference-semantics/semantics/concrete.k	59-59	rule	trusted-supplied	equational-rule	owise	rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]
K0320	reference-semantics/semantics/controls.k	3-3	module	trusted-supplied	module		module MPY-CONTROLS
K0321	reference-semantics/semantics/controls.k	4-4	imports	trusted-supplied	imports		imports MPY-CORE
K0322	reference-semantics/semantics/controls.k	5-5	imports	trusted-supplied	imports		imports MPY-TUPLE
K0323	reference-semantics/semantics/controls.k	6-6	imports	trusted-supplied	imports		imports MPY-ITER
K0324	reference-semantics/semantics/controls.k	9-11	rule	trusted-supplied	operational-rule		rule <k> Assign(Name(X:String), V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- V ], _) ... </scopes>
K0325	reference-semantics/semantics/controls.k	12-18	rule	trusted-supplied	operational-rule	priority(40)	rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires "$cells" in_keys(M) andBool pnMember(X, cellsOf({M["$cells"]}:>Val)) andBool X in_keys(M) andBool isCellRef({M[X]}:>Val) [priority(40)]
K0326	reference-semantics/semantics/controls.k	20-23	rule	trusted-supplied	operational-rule		rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- applyBin(OP, {M[X]}:>Val, V) ], _) ... </scopes> requires X in_keys(M)
K0327	reference-semantics/semantics/controls.k	27-31	rule	trusted-supplied	operational-rule	priority(40)	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires X in_keys(M) andBool isRefV({M[X]}:>Val) [priority(40)]
K0328	reference-semantics/semantics/controls.k	35-35	rule	trusted-supplied	operational-rule		rule <k> ImportFrom("math", NS:ParamNames) => #bindImports(NS) ... </k>
K0329	reference-semantics/semantics/controls.k	36-36	rule	trusted-supplied	operational-rule	owise	rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]
K0330	reference-semantics/semantics/controls.k	37-37	syntax	trusted-supplied	syntax		syntax KItem ::= #bindImports(ParamNames)
K0331	reference-semantics/semantics/controls.k	38-38	rule	trusted-supplied	operational-rule		rule <k> #bindImports(.ParamNames) => .K ... </k>
K0332	reference-semantics/semantics/controls.k	39-42	rule	trusted-supplied	operational-rule		rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ N <- builtinV(N) ], _) ... </scopes> requires N ==String "floor" orBool N ==String "ceil"
K0333	reference-semantics/semantics/controls.k	43-44	rule	trusted-supplied	operational-rule		rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> requires notBool (N ==String "floor" orBool N ==String "ceil")
K0334	reference-semantics/semantics/controls.k	48-48	rule	trusted-supplied	operational-rule		rule <k> Expr(_:Val) => .K ... </k>
K0335	reference-semantics/semantics/controls.k	51-51	syntax	trusted-supplied	syntax		syntax KItem ::= #branch(Bool, Stmts, Stmts)
K0336	reference-semantics/semantics/controls.k	52-52	rule	trusted-supplied	operational-rule		rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>
K0337	reference-semantics/semantics/controls.k	53-53	rule	trusted-supplied	operational-rule		rule <k> #branch(true, T:Stmts, _:Stmts) => T ... </k>
K0338	reference-semantics/semantics/controls.k	54-54	rule	trusted-supplied	operational-rule		rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>
K0339	reference-semantics/semantics/controls.k	57-58	rule	trusted-supplied	operational-rule		rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k> requires truthy(V)
K0340	reference-semantics/semantics/controls.k	59-60	rule	trusted-supplied	operational-rule		rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k> requires notBool truthy(V)
K0341	reference-semantics/semantics/controls.k	65-67	syntax	trusted-supplied	syntax		syntax KItem ::= #loop(Val, Expr, Stmts) | #loopStep(Expr, Stmts) | #while(Expr, Stmts) | #whileCond(Expr, Stmts) | #loopLbl(K) | "#cont" | "#brk"
K0342	reference-semantics/semantics/controls.k	69-69	rule	trusted-supplied	operational-rule		rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>
K0343	reference-semantics/semantics/controls.k	71-71	rule	trusted-supplied	operational-rule		rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>
K0344	reference-semantics/semantics/controls.k	72-72	rule	trusted-supplied	operational-rule		rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>
K0345	reference-semantics/semantics/controls.k	73-74	rule	trusted-supplied	operational-rule		rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts) => #bindTgt(T, V) ~> B ~> #loopLbl(#loop(REST, T, B)) ... </k>
K0346	reference-semantics/semantics/controls.k	77-77	rule	trusted-supplied	operational-rule		rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>
K0347	reference-semantics/semantics/controls.k	78-78	rule	trusted-supplied	operational-rule		rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>
K0348	reference-semantics/semantics/controls.k	79-80	rule	trusted-supplied	operational-rule		rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k> requires truthy(V)
K0349	reference-semantics/semantics/controls.k	81-82	rule	trusted-supplied	operational-rule		rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k> requires notBool truthy(V)
K0350	reference-semantics/semantics/controls.k	85-85	rule	trusted-supplied	operational-rule		rule <k> #loopLbl(NEXT:K) => NEXT ... </k>
K0351	reference-semantics/semantics/controls.k	86-86	rule	trusted-supplied	operational-rule		rule <k> Continue => #cont ... </k>
K0352	reference-semantics/semantics/controls.k	87-87	rule	trusted-supplied	operational-rule		rule <k> Break => #brk ... </k>
K0353	reference-semantics/semantics/controls.k	88-88	rule	trusted-supplied	operational-rule		rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>
K0354	reference-semantics/semantics/controls.k	89-89	rule	trusted-supplied	operational-rule	owise	rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]
K0355	reference-semantics/semantics/controls.k	90-90	rule	trusted-supplied	operational-rule		rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>
K0356	reference-semantics/semantics/controls.k	91-91	rule	trusted-supplied	operational-rule	owise	rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]
K0357	reference-semantics/semantics/controls.k	95-97	rule	trusted-supplied	operational-rule	priority(40)	rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0358	reference-semantics/semantics/controls.k	98-100	rule	trusted-supplied	operational-rule	priority(40)	rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0359	reference-semantics/semantics/controls.k	101-103	rule	trusted-supplied	operational-rule	priority(40)	rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0360	reference-semantics/semantics/controls.k	106-108	rule	trusted-supplied	operational-rule	priority(40)	rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0361	reference-semantics/semantics/core.k	3-3	module	trusted-supplied	module		module MPY-CORE
K0362	reference-semantics/semantics/core.k	4-4	imports	trusted-supplied	imports		imports MPY-SYNTAX
K0363	reference-semantics/semantics/core.k	5-5	imports	trusted-supplied	imports		imports INT
K0364	reference-semantics/semantics/core.k	6-6	imports	trusted-supplied	imports		imports BOOL
K0365	reference-semantics/semantics/core.k	7-7	imports	trusted-supplied	imports		imports STRING
K0366	reference-semantics/semantics/core.k	8-8	imports	trusted-supplied	imports		imports MAP
K0367	reference-semantics/semantics/core.k	9-9	imports	trusted-supplied	imports		imports LIST
K0368	reference-semantics/semantics/core.k	10-10	imports	trusted-supplied	imports		imports K-EQUAL
K0369	reference-semantics/semantics/core.k	13-13	syntax	trusted-supplied	syntax		syntax IntSeq ::= ".IntSeq" | iCons(Int, IntSeq)
K0370	reference-semantics/semantics/core.k	14-14	syntax	trusted-supplied	syntax		syntax ValSeq ::= ".ValSeq" | vCons(Val, ValSeq)
K0371	reference-semantics/semantics/core.k	15-15	syntax	trusted-supplied	syntax		syntax Str ::= str(IntSeq)
K0372	reference-semantics/semantics/core.k	18-23	syntax	trusted-supplied	syntax		syntax Iterable ::= list(ValSeq) | tuple(ValSeq) | Str | rangeObj(Int, Int, Int) | zipObj(ValSeq, ValSeq) | zipObjS(IntSeq, IntSeq)
K0373	reference-semantics/semantics/core.k	25-34	syntax	trusted-supplied	syntax		syntax Val ::= Int | Bool | "noneV" | Iterable | ref(Int) // a heap object: <heap> holds its list(VS) | cellRef(Int) // a closure cell: <heap> holds cellV(V) | closureVal(ParamNames, Stmts, Int) | typeV(String) // a type object (int/str), resolved from the builtins frame | builtinV(String) // a builtin function, resolved like any name (LEGB fallthrough) | boundMethodV(Val, String) // a cooled Attribute: obj.method
K0374	reference-semantics/semantics/core.k	36-36	syntax	trusted-supplied	syntax		syntax Parent ::= "root" | parent(Int)
K0375	reference-semantics/semantics/core.k	37-37	syntax	trusted-supplied	syntax		syntax Scope ::= scope(Map, Parent)
K0376	reference-semantics/semantics/core.k	38-38	syntax	trusted-supplied	syntax		syntax KResult ::= Val
K0377	reference-semantics/semantics/core.k	39-39	syntax	trusted-supplied	syntax		syntax Expr ::= Val // cooling puts results back into expression holes
K0378	reference-semantics/semantics/core.k	40-40	syntax	trusted-supplied	syntax		syntax Vals ::= List{Val, ","}
K0379	reference-semantics/semantics/core.k	41-41	syntax	trusted-supplied	syntax		syntax Exc ::= "NoExc" | "AssertionError"
K0380	reference-semantics/semantics/core.k	42-42	syntax	trusted-supplied	syntax		syntax RetState ::= "noRet" | retV(Val)
K0381	reference-semantics/semantics/core.k	49-60	configuration	trusted-supplied	configuration		configuration <k> #loadAll($PGM:Module) </k> <env> 0 </env> <scopes> 0 |-> scope(.Map, parent(-1)) -1 |-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap> .Map </heap> <heapLoc> 0 </heapLoc> <stack> .List </stack> <ret> noRet </ret> <exc> NoExc </exc> <exit-code exit=""> 0 </exit-code>
K0382	reference-semantics/semantics/core.k	68-68	syntax	trusted-supplied	syntax	function, total	syntax Bool ::= isRefV(Val) [function, total]
K0383	reference-semantics/semantics/core.k	69-69	rule	trusted-supplied	equational-rule		rule isRefV(ref(_:Int)) => true
K0384	reference-semantics/semantics/core.k	70-70	rule	trusted-supplied	equational-rule	owise	rule isRefV(_:Val) => false [owise]
K0385	reference-semantics/semantics/core.k	75-75	syntax	trusted-supplied	syntax		syntax HeapVal ::= cellV(Val)
K0386	reference-semantics/semantics/core.k	76-76	syntax	trusted-supplied	syntax	function, total	syntax Bool ::= isCellRef(Val) [function, total]
K0387	reference-semantics/semantics/core.k	77-77	rule	trusted-supplied	equational-rule		rule isCellRef(cellRef(_:Int)) => true
K0388	reference-semantics/semantics/core.k	78-78	rule	trusted-supplied	equational-rule	owise	rule isCellRef(_:Val) => false [owise]
K0389	reference-semantics/semantics/core.k	85-90	rule	trusted-supplied	operational-rule	priority(40)	rule <k> cellRef(H:Int) => V ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap> requires "$cells" in_keys(M) [priority(40)]
K0390	reference-semantics/semantics/core.k	95-95	syntax	trusted-supplied	syntax		syntax Val ::= kwV(String, Val)
K0391	reference-semantics/semantics/core.k	96-96	syntax	trusted-supplied	syntax		syntax KItem ::= #kwTag(String)
K0392	reference-semantics/semantics/core.k	97-97	rule	trusted-supplied	operational-rule		rule <k> KwArg(N:String, E:Expr) => E ~> #kwTag(N) ... </k>
K0393	reference-semantics/semantics/core.k	98-99	rule	trusted-supplied	operational-rule		rule <k> V:Val ~> #kwTag(N:String) => kwV(N, V) ... </k> requires notBool isKwV(V)
K0394	reference-semantics/semantics/core.k	100-100	syntax	trusted-supplied	syntax	function, total	syntax Bool ::= isKwV(Val) [function, total]
K0395	reference-semantics/semantics/core.k	101-101	rule	trusted-supplied	equational-rule		rule isKwV(kwV(_:String, _:Val)) => true
K0396	reference-semantics/semantics/core.k	102-102	rule	trusted-supplied	equational-rule	owise	rule isKwV(_:Val) => false [owise]
K0397	reference-semantics/semantics/core.k	106-106	syntax	trusted-supplied	syntax		syntax Val ::= cellsMark(ParamNames)
K0398	reference-semantics/semantics/core.k	107-107	syntax	trusted-supplied	syntax	function	syntax ParamNames ::= cellsOf(Val) [function]
K0399	reference-semantics/semantics/core.k	108-108	rule	trusted-supplied	equational-rule		rule cellsOf(cellsMark(CVS:ParamNames)) => CVS
K0400	reference-semantics/semantics/core.k	109-109	syntax	trusted-supplied	syntax	function, total	syntax Bool ::= pnMember(String, ParamNames) [function, total]
K0401	reference-semantics/semantics/core.k	110-110	rule	trusted-supplied	equational-rule		rule pnMember(_:String, .ParamNames) => false
K0402	reference-semantics/semantics/core.k	111-111	rule	trusted-supplied	equational-rule		rule pnMember(X:String, (P:String, R:ParamNames)) => X ==String P orBool pnMember(X, R)
K0403	reference-semantics/semantics/core.k	113-113	syntax	trusted-supplied	syntax		syntax KItem ::= #cellW(Val, Val)
K0404	reference-semantics/semantics/core.k	114-115	rule	trusted-supplied	operational-rule		rule <k> #cellW(cellRef(H:Int), V:Val) => .K ... </k> <heap> ... H |-> cellV(_:Val => V) ... </heap>
K0405	reference-semantics/semantics/core.k	117-117	syntax	trusted-supplied	syntax		syntax KItem ::= #alloc(Val)
K0406	reference-semantics/semantics/core.k	118-121	rule	trusted-supplied	operational-rule		rule <k> #alloc(V:Val) => ref(N) ... </k> <heap> H:Map => (N |-> V) H </heap> <heapLoc> N:Int => N +Int 1 </heapLoc> requires notBool N in_keys(H)
K0407	reference-semantics/semantics/core.k	124-124	syntax	trusted-supplied	syntax		syntax KItem ::= #loadAll(Module)
K0408	reference-semantics/semantics/core.k	125-125	rule	trusted-supplied	operational-rule		rule <k> #loadAll(Module(SS:Stmts)) => SS ... </k>
K0409	reference-semantics/semantics/core.k	126-126	rule	trusted-supplied	operational-rule		rule <k> (S:Stmt SS:Stmts):Stmts => S ~> SS ... </k>
K0410	reference-semantics/semantics/core.k	127-127	rule	trusted-supplied	operational-rule		rule <k> .Stmts => .K ... </k>
K0411	reference-semantics/semantics/core.k	130-130	syntax	trusted-supplied	syntax		syntax KItem ::= #look(String, Int)
K0412	reference-semantics/semantics/core.k	131-131	rule	trusted-supplied	operational-rule		rule <k> Name(X:String) => #look(X, L) ... </k> <env> L:Int </env>
K0413	reference-semantics/semantics/core.k	132-134	rule	trusted-supplied	operational-rule		rule <k> #look(X:String, L:Int) => {M[X]}:>Val ... </k> <scopes> ... L |-> scope(M:Map, _:Parent) ... </scopes> requires X in_keys(M)
K0414	reference-semantics/semantics/core.k	145-151	rule	trusted-supplied	operational-rule	priority(40)	rule <k> #look(X:String, L:Int) => V ... </k> <scopes> ... L |-> scope(M:Map, _:Parent) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap> requires X in_keys(M) andBool "$cells" in_keys(M) andBool pnMember(X, cellsOf({M["$cells"]}:>Val)) andBool {M[X]}:>Val ==K cellRef(H) [priority(40)]
K0415	reference-semantics/semantics/core.k	152-154	rule	trusted-supplied	operational-rule		rule <k> #look(X:String, L:Int) => #look(X, P) ... </k> <scopes> ... L |-> scope(M:Map, parent(P:Int)) ... </scopes> requires notBool (X in_keys(M))
K0416	reference-semantics/semantics/core.k	157-157	syntax	trusted-supplied	syntax	function, total	syntax Scope ::= "builtinsScope" [function, total]
K0417	reference-semantics/semantics/core.k	158-181	rule	trusted-supplied	equational-rule		rule builtinsScope => scope(.Map [ "len" <- builtinV("len") ] [ "set" <- builtinV("set") ] [ "sum" <- builtinV("sum") ] [ "abs" <- builtinV("abs") ] [ "min" <- builtinV("min") ] [ "max" <- builtinV("max") ] [ "ord" <- builtinV("ord") ] [ "chr" <- builtinV("chr") ] [ "range" <- builtinV("range") ] [ "all" <- builtinV("all") ] [ "any" <- builtinV("any") ] [ "zip" <- builtinV("zip") ] [ "isinstance" <- builtinV("isinstance") ] [ "sorted" <- builtinV("sorted") ] [ "list" <- builtinV("list") ] [ "round" <- builtinV("round") ] [ "bin" <- builtinV("bin") ] [ "enumerate" <- builtinV("enumerate") ] [ "map" <- builtinV("map") ] [ "eval" <- builtinV("eval") ] [ "int" <- typeV("int") ] [ "str" <- typeV("str") ] [ "float" <- typeV("float") ], root)
K0418	reference-semantics/semantics/core.k	185-185	syntax	trusted-supplied	syntax		syntax ApplyK ::= toCall(Val)
K0419	reference-semantics/semantics/core.k	186-188	syntax	trusted-supplied	syntax		syntax KItem ::= #evalArgs(Exprs, Vals, ApplyK) | #evalArgCont(Exprs, Vals, ApplyK) | #applyK(ApplyK, Vals)
K0420	reference-semantics/semantics/core.k	189-189	rule	trusted-supplied	operational-rule		rule <k> #evalArgs((A:Expr, REST:Exprs), ACC:Vals, K:ApplyK) => A ~> #evalArgCont(REST, ACC, K) ... </k>
K0421	reference-semantics/semantics/core.k	190-190	rule	trusted-supplied	operational-rule		rule <k> V:Val ~> #evalArgCont(REST:Exprs, ACC:Vals, K:ApplyK) => #evalArgs(REST, appendVal(ACC, V), K) ... </k>
K0422	reference-semantics/semantics/core.k	191-191	rule	trusted-supplied	operational-rule		rule <k> #evalArgs(.Exprs, ACC:Vals, K:ApplyK) => #applyK(K, ACC) ... </k>
K0423	reference-semantics/semantics/core.k	194-194	rule	trusted-supplied	operational-rule		rule <k> Int(I:Int) => I ... </k>
K0424	reference-semantics/semantics/core.k	195-195	rule	trusted-supplied	operational-rule		rule <k> Bool(B:Bool) => B ... </k>
K0425	reference-semantics/semantics/core.k	196-196	rule	trusted-supplied	operational-rule		rule <k> NoneVal => noneV ... </k>
K0426	reference-semantics/semantics/core.k	199-199	syntax	trusted-supplied	syntax	function	syntax Bool ::= truthy(Val) [function]
K0427	reference-semantics/semantics/core.k	200-200	rule	trusted-supplied	equational-rule		rule truthy(B:Bool) => B
K0428	reference-semantics/semantics/core.k	201-201	rule	trusted-supplied	equational-rule		rule truthy(noneV) => false
K0429	reference-semantics/semantics/core.k	202-202	rule	trusted-supplied	equational-rule		rule truthy(I:Int) => I =/=Int 0
K0430	reference-semantics/semantics/core.k	203-203	rule	trusted-supplied	equational-rule		rule truthy(str(S:IntSeq)) => notBool (S ==K .IntSeq)
K0431	reference-semantics/semantics/core.k	204-204	rule	trusted-supplied	equational-rule		rule truthy(list(V:ValSeq)) => notBool (V ==K .ValSeq)
K0432	reference-semantics/semantics/core.k	205-205	rule	trusted-supplied	equational-rule		rule truthy(tuple(V:ValSeq)) => notBool (V ==K .ValSeq)
K0433	reference-semantics/semantics/core.k	208-208	syntax	trusted-supplied	syntax	function	syntax Val ::= applyUn(String, Val) [function]
K0434	reference-semantics/semantics/core.k	209-209	syntax	trusted-supplied	syntax	function	syntax Val ::= applyBin(String, Val, Val) [function]
K0435	reference-semantics/semantics/core.k	210-210	syntax	trusted-supplied	syntax	function	syntax Bool ::= applyCmp(String, Val, Val) [function]
K0436	reference-semantics/semantics/core.k	213-213	syntax	trusted-supplied	syntax	function, total	syntax Vals ::= appendVal(Vals, Val) [function, total]
K0437	reference-semantics/semantics/core.k	214-214	rule	trusted-supplied	equational-rule		rule appendVal(.Vals, V:Val) => V , .Vals
K0438	reference-semantics/semantics/core.k	215-215	rule	trusted-supplied	equational-rule		rule appendVal((V0:Val, VS:Vals), V:Val) => V0 , appendVal(VS, V)
K0439	reference-semantics/semantics/core.k	217-217	syntax	trusted-supplied	syntax	function, total	syntax ValSeq ::= vals2valSeq(Vals) [function, total]
K0440	reference-semantics/semantics/core.k	218-218	rule	trusted-supplied	equational-rule		rule vals2valSeq(.Vals) => .ValSeq
K0441	reference-semantics/semantics/core.k	219-219	rule	trusted-supplied	equational-rule		rule vals2valSeq((V:Val, VS:Vals)) => vCons(V, vals2valSeq(VS))
K0442	reference-semantics/semantics/core.k	223-223	syntax	trusted-supplied	syntax	function, total	syntax Int ::= vsLen(ValSeq) [function, total]
K0443	reference-semantics/semantics/core.k	224-224	rule	trusted-supplied	equational-rule		rule vsLen(.ValSeq) => 0
K0444	reference-semantics/semantics/core.k	225-225	rule	trusted-supplied	equational-rule		rule vsLen(vCons(_:Val, S:ValSeq)) => 1 +Int vsLen(S)
K0445	reference-semantics/semantics/core.k	227-227	syntax	trusted-supplied	syntax	function, total	syntax Int ::= isLen(IntSeq) [function, total]
K0446	reference-semantics/semantics/core.k	228-228	rule	trusted-supplied	equational-rule		rule isLen(.IntSeq) => 0
K0447	reference-semantics/semantics/core.k	229-229	rule	trusted-supplied	equational-rule		rule isLen(iCons(_:Int, S:IntSeq)) => 1 +Int isLen(S)
K0448	reference-semantics/semantics/core.k	233-233	syntax	trusted-supplied	syntax	function, total	syntax ValSeq ::= setVSAt(ValSeq, Int, Val) [function, total]
K0449	reference-semantics/semantics/core.k	234-234	rule	trusted-supplied	equational-rule		rule setVSAt(.ValSeq, _:Int, _:Val) => .ValSeq
K0450	reference-semantics/semantics/core.k	235-235	rule	trusted-supplied	equational-rule		rule setVSAt(vCons(_:Val, S:ValSeq), 0, V:Val) => vCons(V, S)
