id	location	kind	attributes	function	total	functional	opaque_symbol	priority	simplification	relevance	decision	normalized_source
307	reference-semantics/semantics/concrete.k:16	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> Compare(list(A:ValSeq), CmpOp(""!="", list(B:ValSeq))) => notBool deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap> requires hasRefVS(A) orBool hasRefVS(B)"
308	reference-semantics/semantics/concrete.k:25	syntax	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax Val ::= kvP(Val, Val)
309	reference-semantics/semantics/concrete.k:26	syntax	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool) | #ksIns(Val, ValSeq, Val, ValSeq, Bool)
310	reference-semantics/semantics/concrete.k:28	rule	priority(40)	no	no	no	no	yes	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> #applyK(toCall(builtinV(""sorted"")), (list(VS:ValSeq), kwV(""key"", KV:Val), .Vals)) => #ksort(VS, KV, .ValSeq, false) ... </k> [priority(40)]"
311	reference-semantics/semantics/concrete.k:31	rule	priority(40)	no	no	no	no	yes	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> #applyK(toCall(builtinV(""sorted"")), (list(VS:ValSeq), kwV(""key"", KV:Val), kwV(""reverse"", RB:Bool), .Vals)) => #ksort(VS, KV, .ValSeq, RB) ... </k> [priority(40)]"
312	reference-semantics/semantics/concrete.k:34	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool) => #alloc(list(condRev(unpairVS(ACC), RB))) ... </k>
313	reference-semantics/semantics/concrete.k:36	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool) => KV ~> #callee((V, .Exprs)) ~> #ksIns(V, R, KV, ACC, RB) ... </k>
314	reference-semantics/semantics/concrete.k:38	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool) => #ksort(R, KV, insPair(ACC, K, V), RB) ... </k> requires notBool isKwV(K)
315	reference-semantics/semantics/concrete.k:42	syntax	function	yes	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]
316	reference-semantics/semantics/concrete.k:43	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)
317	reference-semantics/semantics/concrete.k:44	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K, V), vCons(kvP(K2, V2), R)) requires kLt(K, K2)
318	reference-semantics/semantics/concrete.k:47	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K2, V2), insPair(R, K, V)) requires notBool kLt(K, K2)
319	reference-semantics/semantics/concrete.k:51	syntax	function	yes	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax Bool ::= kLt(Val, Val) [function]
320	reference-semantics/semantics/concrete.k:52	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule kLt(I1:Int, I2:Int)             => I1 <Int I2
321	reference-semantics/semantics/concrete.k:53	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule kLt(F1:Float, F2:Float)         => F1 <Float F2
322	reference-semantics/semantics/concrete.k:54	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)
323	reference-semantics/semantics/concrete.k:56	syntax	function, total	yes	yes	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax ValSeq ::= unpairVS(ValSeq) [function, total]
324	reference-semantics/semantics/concrete.k:57	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule unpairVS(.ValSeq) => .ValSeq
325	reference-semantics/semantics/concrete.k:58	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))
326	reference-semantics/semantics/concrete.k:59	rule	owise	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]
327	reference-semantics/semantics/concrete.k:60	endmodule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	endmodule
328	reference-semantics/semantics/controls.k:3	module	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	module MPY-CONTROLS
329	reference-semantics/semantics/controls.k:4	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-CORE
330	reference-semantics/semantics/controls.k:5	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-TUPLE
331	reference-semantics/semantics/controls.k:6	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-ITER
332	reference-semantics/semantics/controls.k:9	rule	 X <- V 	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> Assign(Name(X:String), V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- V ], _) ... </scopes>
333	reference-semantics/semantics/controls.k:12	rule	"""$cells""; X; priority(40)"	no	no	no	no	yes	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires ""$cells"" in_keys(M) andBool pnMember(X, cellsOf({M[""$cells""]}:>Val)) andBool X in_keys(M) andBool isCellRef({M[X]}:>Val) [priority(40)]"
334	reference-semantics/semantics/controls.k:20	rule	 X <- applyBin(OP, {M[X	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- applyBin(OP, {M[X]}:>Val, V) ], _) ... </scopes> requires X in_keys(M)
335	reference-semantics/semantics/controls.k:27	rule	X; priority(40)	no	no	no	no	yes	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires X in_keys(M) andBool isRefV({M[X]}:>Val) [priority(40)]
336	reference-semantics/semantics/controls.k:35	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> ImportFrom(""math"", NS:ParamNames) => #bindImports(NS) ... </k>"
337	reference-semantics/semantics/controls.k:36	rule	owise	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]
338	reference-semantics/semantics/controls.k:37	syntax	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax KItem ::= #bindImports(ParamNames)
339	reference-semantics/semantics/controls.k:38	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> #bindImports(.ParamNames) => .K ... </k>
340	reference-semantics/semantics/controls.k:39	rule	 N <- builtinV(N) 	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ N <- builtinV(N) ], _) ... </scopes> requires N ==String ""floor"" orBool N ==String ""ceil"""
341	reference-semantics/semantics/controls.k:43	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> requires notBool (N ==String ""floor"" orBool N ==String ""ceil"")"
342	reference-semantics/semantics/controls.k:48	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> Expr(_:Val) => .K ... </k>
343	reference-semantics/semantics/controls.k:51	syntax	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	syntax KItem ::= #branch(Bool, Stmts, Stmts)
344	reference-semantics/semantics/controls.k:52	rule	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>
345	reference-semantics/semantics/controls.k:53	rule	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	rule <k> #branch(true,  T:Stmts, _:Stmts) => T ... </k>
346	reference-semantics/semantics/controls.k:54	rule	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>
347	reference-semantics/semantics/controls.k:57	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k> requires truthy(V)
348	reference-semantics/semantics/controls.k:59	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k> requires notBool truthy(V)
349	reference-semantics/semantics/controls.k:65	syntax	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	"syntax KItem ::= #loop(Val, Expr, Stmts) | #loopStep(Expr, Stmts) | #while(Expr, Stmts) | #whileCond(Expr, Stmts) | #loopLbl(K) | ""#cont"" | ""#brk"""
350	reference-semantics/semantics/controls.k:69	rule	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>
351	reference-semantics/semantics/controls.k:71	rule	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>
352	reference-semantics/semantics/controls.k:72	rule	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>
353	reference-semantics/semantics/controls.k:73	rule	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts) => #bindTgt(T, V) ~> B ~> #loopLbl(#loop(REST, T, B)) ... </k>
354	reference-semantics/semantics/controls.k:77	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>
355	reference-semantics/semantics/controls.k:78	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>
356	reference-semantics/semantics/controls.k:79	rule	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k> requires truthy(V)
357	reference-semantics/semantics/controls.k:81	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k> requires notBool truthy(V)
358	reference-semantics/semantics/controls.k:85	rule	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	rule <k> #loopLbl(NEXT:K) => NEXT ... </k>
359	reference-semantics/semantics/controls.k:86	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> Continue => #cont ... </k>
360	reference-semantics/semantics/controls.k:87	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> Break => #brk ... </k>
361	reference-semantics/semantics/controls.k:88	rule	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>
362	reference-semantics/semantics/controls.k:89	rule	owise	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]
363	reference-semantics/semantics/controls.k:90	rule	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>
364	reference-semantics/semantics/controls.k:91	rule	owise	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]
365	reference-semantics/semantics/controls.k:95	rule	priority(40)	no	no	no	no	yes	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
366	reference-semantics/semantics/controls.k:98	rule	priority(40)	no	no	no	no	yes	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
367	reference-semantics/semantics/controls.k:101	rule	priority(40)	no	no	no	no	yes	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
368	reference-semantics/semantics/controls.k:106	rule	priority(40)	no	no	no	no	yes	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
369	reference-semantics/semantics/controls.k:109	endmodule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	endmodule
370	reference-semantics/semantics/core.k:3	module	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	module MPY-CORE
371	reference-semantics/semantics/core.k:4	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MPY-SYNTAX
372	reference-semantics/semantics/core.k:5	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports INT
373	reference-semantics/semantics/core.k:6	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports BOOL
374	reference-semantics/semantics/core.k:7	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports STRING
375	reference-semantics/semantics/core.k:8	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports MAP
376	reference-semantics/semantics/core.k:9	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports LIST
377	reference-semantics/semantics/core.k:10	imports	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	imports K-EQUAL
378	reference-semantics/semantics/core.k:13	syntax	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"syntax IntSeq ::= "".IntSeq"" | iCons(Int, IntSeq)"
379	reference-semantics/semantics/core.k:14	syntax	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	"syntax ValSeq ::= "".ValSeq"" | vCons(Val, ValSeq)"
380	reference-semantics/semantics/core.k:15	syntax	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax Str    ::= str(IntSeq)
381	reference-semantics/semantics/core.k:18	syntax	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax Iterable ::= list(ValSeq) | tuple(ValSeq) | Str | rangeObj(Int, Int, Int) | zipObj(ValSeq, ValSeq) | zipObjS(IntSeq, IntSeq)
382	reference-semantics/semantics/core.k:25	syntax	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	"syntax Val      ::= Int | Bool | ""noneV"" | Iterable | ref(Int)          // a heap object: <heap> holds its list(VS) | cellRef(Int)      // a closure cell: <heap> holds cellV(V) | closureVal(ParamNames, Stmts, Int) | typeV(String)     // a type object (int/str), resolved from the builtins frame | builtinV(String)  // a builtin function, resolved like any name (LEGB fallthrough) | boundMethodV(Val, String)   // a cooled Attribute: obj.method"
383	reference-semantics/semantics/core.k:36	syntax	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"syntax Parent   ::= ""root"" | parent(Int)"
384	reference-semantics/semantics/core.k:37	syntax	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax Scope    ::= scope(Map, Parent)
385	reference-semantics/semantics/core.k:38	syntax	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	syntax KResult  ::= Val
386	reference-semantics/semantics/core.k:39	syntax	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	syntax Expr     ::= Val   // cooling puts results back into expression holes
387	reference-semantics/semantics/core.k:40	syntax	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	"syntax Vals     ::= List{Val, "",""}"
388	reference-semantics/semantics/core.k:41	syntax	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"syntax Exc      ::= ""NoExc"" | ""AssertionError"""
389	reference-semantics/semantics/core.k:42	syntax	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	"syntax RetState ::= ""noRet"" | retV(Val)"
390	reference-semantics/semantics/core.k:49	configuration	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	"configuration <k>       #loadAll($PGM:Module) </k> <env>     0 </env> <scopes>   0     |-> scope(.Map, parent(-1)) -1    |-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap>    .Map </heap> <heapLoc> 0 </heapLoc> <stack>   .List </stack> <ret>     noRet </ret> <exc>     NoExc </exc> <exit-code exit=""""> 0 </exit-code>"
391	reference-semantics/semantics/core.k:68	syntax	function, total	yes	yes	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax Bool ::= isRefV(Val) [function, total]
392	reference-semantics/semantics/core.k:69	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule isRefV(ref(_:Int)) => true
393	reference-semantics/semantics/core.k:70	rule	owise	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule isRefV(_:Val)      => false [owise]
394	reference-semantics/semantics/core.k:75	syntax	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax HeapVal ::= cellV(Val)
395	reference-semantics/semantics/core.k:76	syntax	function, total	yes	yes	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax Bool ::= isCellRef(Val) [function, total]
396	reference-semantics/semantics/core.k:77	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule isCellRef(cellRef(_:Int)) => true
397	reference-semantics/semantics/core.k:78	rule	owise	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule isCellRef(_:Val)          => false [owise]
398	reference-semantics/semantics/core.k:85	rule	priority(40)	no	no	no	no	yes	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"rule <k> cellRef(H:Int) => V ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap> requires ""$cells"" in_keys(M) [priority(40)]"
399	reference-semantics/semantics/core.k:95	syntax	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	syntax Val ::= kwV(String, Val)
400	reference-semantics/semantics/core.k:96	syntax	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax KItem ::= #kwTag(String)
401	reference-semantics/semantics/core.k:97	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> KwArg(N:String, E:Expr) => E ~> #kwTag(N) ... </k>
402	reference-semantics/semantics/core.k:98	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule <k> V:Val ~> #kwTag(N:String) => kwV(N, V) ... </k> requires notBool isKwV(V)
403	reference-semantics/semantics/core.k:100	syntax	function, total	yes	yes	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax Bool ::= isKwV(Val) [function, total]
404	reference-semantics/semantics/core.k:101	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule isKwV(kwV(_:String, _:Val)) => true
405	reference-semantics/semantics/core.k:102	rule	owise	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule isKwV(_:Val)                => false [owise]
406	reference-semantics/semantics/core.k:106	syntax	-	no	no	no	no	no	no	task-path	ACCEPTED_TASK_PATH_PYTHON_FAITHFUL	syntax Val ::= cellsMark(ParamNames)
407	reference-semantics/semantics/core.k:107	syntax	function	yes	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax ParamNames ::= cellsOf(Val) [function]
408	reference-semantics/semantics/core.k:108	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule cellsOf(cellsMark(CVS:ParamNames)) => CVS
409	reference-semantics/semantics/core.k:109	syntax	function, total	yes	yes	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax Bool ::= pnMember(String, ParamNames) [function, total]
410	reference-semantics/semantics/core.k:110	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule pnMember(_:String, .ParamNames) => false
411	reference-semantics/semantics/core.k:111	rule	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	rule pnMember(X:String, (P:String, R:ParamNames)) => X ==String P orBool pnMember(X, R)
412	reference-semantics/semantics/core.k:113	syntax	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	syntax KItem ::= #cellW(Val, Val)
