WORKDIR: /tmp/audit-work/112-reverse-delete
COMMAND: /audit-output/evidence/k_rule_inventory.py
# Exhaustive K declaration and rule inventory

Files: 26
Inventory rows: 942
Kinds: {'claim': 2, 'configuration': 1, 'context': 5, 'rule': 704, 'syntax': 230}
Decision classes: {'ACCEPT': 142, 'TARGET': 2, 'UNREACHED': 776, 'UNUSED OPAQUE': 22}
Attributes: {'concrete': 35, 'function': 149, 'macro': 3, 'macro-rec': 1, 'no-evaluators': 22, 'owise': 26, 'priority(39)': 1, 'priority(40)': 42, 'priority(45)': 3, 'seqstrict(2, 3)': 1, 'simplification': 4, 'strict(1)': 2, 'strict(2)': 2, 'strict(3)': 1, 'symbol(absF)': 1, 'symbol(addF)': 1, 'symbol(ceilF)': 1, 'symbol(decStrToF)': 1, 'symbol(divF)': 1, 'symbol(divFloatIntV)': 1, 'symbol(divII)': 1, 'symbol(eqF)': 1, 'symbol(floatLt)': 1, 'symbol(floatMod)': 1, 'symbol(floorFI)': 1, 'symbol(gtF)': 1, 'symbol(intFloatDiv)': 1, 'symbol(intToF)': 1, 'symbol(md5hexCodes)': 1, 'symbol(mulF)': 1, 'symbol(powF)': 1, 'symbol(roundF)': 1, 'symbol(roundFN)': 1, 'symbol(sortKeyVS)': 1, 'symbol(sortVS)': 1, 'symbol(sqrtF)': 1, 'symbol(subF)': 1, 'symbol(toF)': 1, 'symbol(truncF)': 1, 'total': 110}

| Source | Line | Kind | Attributes | Decision | Normalized declaration/rule |
|---|---:|---|---|---|---|
| `semantics/assert.k` | 6 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)` |
| `semantics/concrete.k` | 25 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Val ::= kvP(Val, Val)` |
| `semantics/concrete.k` | 26 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool) \| #ksIns(Val, ValSeq, Val, ValSeq, Bool)` |
| `semantics/concrete.k` | 28 | rule | priority(40) | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), .Vals)) => #ksort(VS, KV, .ValSeq, false) ... </k> [priority(40)]` |
| `semantics/concrete.k` | 31 | rule | priority(40) | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), kwV("reverse", RB:Bool), .Vals)) => #ksort(VS, KV, .ValSeq, RB) ... </k> [priority(40)]` |
| `semantics/concrete.k` | 34 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool) => #alloc(list(condRev(unpairVS(ACC), RB))) ... </k>` |
| `semantics/concrete.k` | 36 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool) => KV ~> #callee((V, .Exprs)) ~> #ksIns(V, R, KV, ACC, RB) ... </k>` |
| `semantics/concrete.k` | 38 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool) => #ksort(R, KV, insPair(ACC, K, V), RB) ... </k> requires notBool isKwV(K)` |
| `semantics/concrete.k` | 42 | syntax | function | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]` |
| `semantics/concrete.k` | 43 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)` |
| `semantics/concrete.k` | 44 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K, V), vCons(kvP(K2, V2), R)) requires kLt(K, K2)` |
| `semantics/concrete.k` | 47 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K2, V2), insPair(R, K, V)) requires notBool kLt(K, K2)` |
| `semantics/concrete.k` | 51 | syntax | function | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Bool ::= kLt(Val, Val) [function]` |
| `semantics/concrete.k` | 52 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule kLt(I1:Int, I2:Int) => I1 <Int I2` |
| `semantics/concrete.k` | 53 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule kLt(F1:Float, F2:Float) => F1 <Float F2` |
| `semantics/concrete.k` | 54 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)` |
| `semantics/concrete.k` | 56 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax ValSeq ::= unpairVS(ValSeq) [function, total]` |
| `semantics/concrete.k` | 57 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule unpairVS(.ValSeq) => .ValSeq` |
| `semantics/concrete.k` | 58 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))` |
| `semantics/concrete.k` | 59 | rule | owise | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]` |
| `semantics/controls.k` | 9 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> Assign(Name(X:String), V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L \|-> scope(M:Map => M [ X <- V ], _) ... </scopes>` |
| `semantics/controls.k` | 12 | rule | priority(40) | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L \|-> scope(M:Map, _) ... </scopes> requires "$cells" in_keys(M) andBool pnMember(X, cellsOf({M["$cells"]}:>Val)) andBool X in_keys(M) andBool isCellRef({M[X]}:>Val) [priority(40)]` |
| `semantics/controls.k` | 20 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L \|-> scope(M:Map => M [ X <- applyBin(OP, {M[X]}:>Val, V) ], _) ... </scopes> requires X in_keys(M)` |
| `semantics/controls.k` | 27 | rule | priority(40) | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k> <env> L:Int </env> <scopes> ... L \|-> scope(M:Map, _) ... </scopes> requires X in_keys(M) andBool isRefV({M[X]}:>Val) [priority(40)]` |
| `semantics/controls.k` | 35 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> ImportFrom("math", NS:ParamNames) => #bindImports(NS) ... </k>` |
| `semantics/controls.k` | 36 | rule | owise | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]` |
| `semantics/controls.k` | 37 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax KItem ::= #bindImports(ParamNames)` |
| `semantics/controls.k` | 38 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #bindImports(.ParamNames) => .K ... </k>` |
| `semantics/controls.k` | 39 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> <env> L:Int </env> <scopes> ... L \|-> scope(M:Map => M [ N <- builtinV(N) ], _) ... </scopes> requires N ==String "floor" orBool N ==String "ceil"` |
| `semantics/controls.k` | 43 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> requires notBool (N ==String "floor" orBool N ==String "ceil")` |
| `semantics/controls.k` | 48 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> Expr(_:Val) => .K ... </k>` |
| `semantics/controls.k` | 51 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax KItem ::= #branch(Bool, Stmts, Stmts)` |
| `semantics/controls.k` | 52 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>` |
| `semantics/controls.k` | 53 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> #branch(true, T:Stmts, _:Stmts) => T ... </k>` |
| `semantics/controls.k` | 54 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>` |
| `semantics/controls.k` | 57 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k> requires truthy(V)` |
| `semantics/controls.k` | 59 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k> requires notBool truthy(V)` |
| `semantics/controls.k` | 65 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax KItem ::= #loop(Val, Expr, Stmts) \| #loopStep(Expr, Stmts) \| #while(Expr, Stmts) \| #whileCond(Expr, Stmts) \| #loopLbl(K) \| "#cont" \| "#brk"` |
| `semantics/controls.k` | 69 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>` |
| `semantics/controls.k` | 71 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>` |
| `semantics/controls.k` | 72 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>` |
| `semantics/controls.k` | 73 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts) => #bindTgt(T, V) ~> B ~> #loopLbl(#loop(REST, T, B)) ... </k>` |
| `semantics/controls.k` | 77 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>` |
| `semantics/controls.k` | 78 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>` |
| `semantics/controls.k` | 79 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k> requires truthy(V)` |
| `semantics/controls.k` | 81 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k> requires notBool truthy(V)` |
| `semantics/controls.k` | 85 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #loopLbl(NEXT:K) => NEXT ... </k>` |
| `semantics/controls.k` | 86 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> Continue => #cont ... </k>` |
| `semantics/controls.k` | 87 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> Break => #brk ... </k>` |
| `semantics/controls.k` | 88 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>` |
| `semantics/controls.k` | 89 | rule | owise | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]` |
| `semantics/controls.k` | 90 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>` |
| `semantics/controls.k` | 91 | rule | owise | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]` |
| `semantics/controls.k` | 95 | rule | priority(40) | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k> <heap> ... H \|-> V:Val ... </heap> [priority(40)]` |
| `semantics/controls.k` | 98 | rule | priority(40) | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k> <heap> ... H \|-> V:Val ... </heap> [priority(40)]` |
| `semantics/controls.k` | 101 | rule | priority(40) | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k> <heap> ... H \|-> V:Val ... </heap> [priority(40)]` |
| `semantics/controls.k` | 106 | rule | priority(40) | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k> <heap> ... H \|-> V:Val ... </heap> [priority(40)]` |
| `semantics/core.k` | 13 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax IntSeq ::= ".IntSeq" \| iCons(Int, IntSeq)` |
| `semantics/core.k` | 14 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax ValSeq ::= ".ValSeq" \| vCons(Val, ValSeq)` |
| `semantics/core.k` | 15 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax Str ::= str(IntSeq)` |
| `semantics/core.k` | 18 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax Iterable ::= list(ValSeq) \| tuple(ValSeq) \| Str \| rangeObj(Int, Int, Int) \| zipObj(ValSeq, ValSeq) \| zipObjS(IntSeq, IntSeq)` |
| `semantics/core.k` | 25 | syntax | function | ACCEPT—declaration/strictness used by submitted constructors | `syntax Val ::= Int \| Bool \| "noneV" \| Iterable \| ref(Int) // a heap object: <heap> holds its list(VS) \| cellRef(Int) // a closure cell: <heap> holds cellV(V) \| closureVal(ParamNames, Stmts, Int) \| typeV(String) // a type object (int/str), resolved from the builtins frame \| builtinV(String) // a builtin function, resolved like any name (LEGB fallthrough) \| boundMethodV(Val, String) // a cooled Attribute: obj.method` |
| `semantics/core.k` | 36 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax Parent ::= "root" \| parent(Int)` |
| `semantics/core.k` | 37 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax Scope ::= scope(Map, Parent)` |
| `semantics/core.k` | 38 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax KResult ::= Val` |
| `semantics/core.k` | 39 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax Expr ::= Val // cooling puts results back into expression holes` |
| `semantics/core.k` | 40 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax Vals ::= List{Val, ","}` |
| `semantics/core.k` | 41 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax Exc ::= "NoExc" \| "AssertionError"` |
| `semantics/core.k` | 42 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax RetState ::= "noRet" \| retV(Val)` |
| `semantics/core.k` | 49 | configuration | — | ACCEPT—entry state instantiated exactly by SPEC | `configuration <k> #loadAll($PGM:Module) </k> <env> 0 </env> <scopes> 0 \|-> scope(.Map, parent(-1)) -1 \|-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap> .Map </heap> <heapLoc> 0 </heapLoc> <stack> .List </stack> <ret> noRet </ret> <exc> NoExc </exc> <exit-code exit=""> 0 </exit-code>` |
| `semantics/core.k` | 68 | syntax | function, total | ACCEPT—declaration/strictness used by submitted constructors | `syntax Bool ::= isRefV(Val) [function, total]` |
| `semantics/core.k` | 69 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule isRefV(ref(_:Int)) => true` |
| `semantics/core.k` | 70 | rule | owise | ACCEPT—relevant operational/equational rule; path and state checked | `rule isRefV(_:Val) => false [owise]` |
| `semantics/core.k` | 75 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax HeapVal ::= cellV(Val)` |
| `semantics/core.k` | 76 | syntax | function, total | ACCEPT—declaration/strictness used by submitted constructors | `syntax Bool ::= isCellRef(Val) [function, total]` |
| `semantics/core.k` | 77 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule isCellRef(cellRef(_:Int)) => true` |
| `semantics/core.k` | 78 | rule | owise | ACCEPT—relevant operational/equational rule; path and state checked | `rule isCellRef(_:Val) => false [owise]` |
| `semantics/core.k` | 85 | rule | priority(40) | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> cellRef(H:Int) => V ... </k> <env> L:Int </env> <scopes> ... L \|-> scope(M:Map, _) ... </scopes> <heap> ... H \|-> cellV(V:Val) ... </heap> requires "$cells" in_keys(M) [priority(40)]` |
| `semantics/core.k` | 95 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Val ::= kwV(String, Val)` |
| `semantics/core.k` | 96 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax KItem ::= #kwTag(String)` |
| `semantics/core.k` | 97 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> KwArg(N:String, E:Expr) => E ~> #kwTag(N) ... </k>` |
| `semantics/core.k` | 98 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> V:Val ~> #kwTag(N:String) => kwV(N, V) ... </k> requires notBool isKwV(V)` |
| `semantics/core.k` | 100 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Bool ::= isKwV(Val) [function, total]` |
| `semantics/core.k` | 101 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule isKwV(kwV(_:String, _:Val)) => true` |
| `semantics/core.k` | 102 | rule | owise | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule isKwV(_:Val) => false [owise]` |
| `semantics/core.k` | 106 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Val ::= cellsMark(ParamNames)` |
| `semantics/core.k` | 107 | syntax | function | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax ParamNames ::= cellsOf(Val) [function]` |
| `semantics/core.k` | 108 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule cellsOf(cellsMark(CVS:ParamNames)) => CVS` |
| `semantics/core.k` | 109 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Bool ::= pnMember(String, ParamNames) [function, total]` |
| `semantics/core.k` | 110 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule pnMember(_:String, .ParamNames) => false` |
| `semantics/core.k` | 111 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule pnMember(X:String, (P:String, R:ParamNames)) => X ==String P orBool pnMember(X, R)` |
| `semantics/core.k` | 113 | syntax | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax KItem ::= #cellW(Val, Val)` |
| `semantics/core.k` | 114 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> #cellW(cellRef(H:Int), V:Val) => .K ... </k> <heap> ... H \|-> cellV(_:Val => V) ... </heap>` |
| `semantics/core.k` | 117 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax KItem ::= #alloc(Val)` |
| `semantics/core.k` | 118 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> #alloc(V:Val) => ref(N) ... </k> <heap> H:Map => (N \|-> V) H </heap> <heapLoc> N:Int => N +Int 1 </heapLoc> requires notBool N in_keys(H)` |
| `semantics/core.k` | 124 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax KItem ::= #loadAll(Module)` |
| `semantics/core.k` | 125 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> #loadAll(Module(SS:Stmts)) => SS ... </k>` |
| `semantics/core.k` | 126 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> (S:Stmt SS:Stmts):Stmts => S ~> SS ... </k>` |
| `semantics/core.k` | 127 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> .Stmts => .K ... </k>` |
| `semantics/core.k` | 130 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax KItem ::= #look(String, Int)` |
| `semantics/core.k` | 131 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> Name(X:String) => #look(X, L) ... </k> <env> L:Int </env>` |
| `semantics/core.k` | 132 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> #look(X:String, L:Int) => {M[X]}:>Val ... </k> <scopes> ... L \|-> scope(M:Map, _:Parent) ... </scopes> requires X in_keys(M)` |
| `semantics/core.k` | 145 | rule | priority(40) | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> #look(X:String, L:Int) => V ... </k> <scopes> ... L \|-> scope(M:Map, _:Parent) ... </scopes> <heap> ... H \|-> cellV(V:Val) ... </heap> requires X in_keys(M) andBool "$cells" in_keys(M) andBool pnMember(X, cellsOf({M["$cells"]}:>Val)) andBool {M[X]}:>Val ==K cellRef(H) [priority(40)]` |
| `semantics/core.k` | 152 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> #look(X:String, L:Int) => #look(X, P) ... </k> <scopes> ... L \|-> scope(M:Map, parent(P:Int)) ... </scopes> requires notBool (X in_keys(M))` |
| `semantics/core.k` | 157 | syntax | function, total | ACCEPT—declaration/strictness used by submitted constructors | `syntax Scope ::= "builtinsScope" [function, total]` |
| `semantics/core.k` | 158 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule builtinsScope => scope(.Map [ "len" <- builtinV("len") ] [ "set" <- builtinV("set") ] [ "sum" <- builtinV("sum") ] [ "abs" <- builtinV("abs") ] [ "min" <- builtinV("min") ] [ "max" <- builtinV("max") ] [ "ord" <- builtinV("ord") ] [ "chr" <- builtinV("chr") ] [ "range" <- builtinV("range") ] [ "all" <- builtinV("all") ] [ "any" <- builtinV("any") ] [ "zip" <- builtinV("zip") ] [ "isinstance" <- builtinV("isinstance") ] [ "sorted" <- builtinV("sorted") ] [ "list" <- builtinV("list") ] [ "round" <- builtinV("round") ] [ "bin" <- builtinV("bin") ] [ "enumerate" <- builtinV("enumerate") ] [ "map" <- builtinV("map") ] [ "eval" <- builtinV("eval") ] [ "int" <- typeV("int") ] [ "str" <- typeV("str") ] [ "float" <- typeV("float") ], root)` |
| `semantics/core.k` | 185 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax ApplyK ::= toCall(Val)` |
| `semantics/core.k` | 186 | syntax | — | ACCEPT—declaration/strictness used by submitted constructors | `syntax KItem ::= #evalArgs(Exprs, Vals, ApplyK) \| #evalArgCont(Exprs, Vals, ApplyK) \| #applyK(ApplyK, Vals)` |
| `semantics/core.k` | 189 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> #evalArgs((A:Expr, REST:Exprs), ACC:Vals, K:ApplyK) => A ~> #evalArgCont(REST, ACC, K) ... </k>` |
| `semantics/core.k` | 190 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> V:Val ~> #evalArgCont(REST:Exprs, ACC:Vals, K:ApplyK) => #evalArgs(REST, appendVal(ACC, V), K) ... </k>` |
| `semantics/core.k` | 191 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule <k> #evalArgs(.Exprs, ACC:Vals, K:ApplyK) => #applyK(K, ACC) ... </k>` |
| `semantics/core.k` | 194 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> Int(I:Int) => I ... </k>` |
| `semantics/core.k` | 195 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> Bool(B:Bool) => B ... </k>` |
| `semantics/core.k` | 196 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule <k> NoneVal => noneV ... </k>` |
| `semantics/core.k` | 199 | syntax | function | ACCEPT—declaration/strictness used by submitted constructors | `syntax Bool ::= truthy(Val) [function]` |
| `semantics/core.k` | 200 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule truthy(B:Bool) => B` |
| `semantics/core.k` | 201 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule truthy(noneV) => false` |
| `semantics/core.k` | 202 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule truthy(I:Int) => I =/=Int 0` |
| `semantics/core.k` | 203 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule truthy(str(S:IntSeq)) => notBool (S ==K .IntSeq)` |
| `semantics/core.k` | 204 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule truthy(list(V:ValSeq)) => notBool (V ==K .ValSeq)` |
| `semantics/core.k` | 205 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule truthy(tuple(V:ValSeq)) => notBool (V ==K .ValSeq)` |
| `semantics/core.k` | 208 | syntax | function | ACCEPT—declaration/strictness used by submitted constructors | `syntax Val ::= applyUn(String, Val) [function]` |
| `semantics/core.k` | 209 | syntax | function | ACCEPT—declaration/strictness used by submitted constructors | `syntax Val ::= applyBin(String, Val, Val) [function]` |
| `semantics/core.k` | 210 | syntax | function | ACCEPT—declaration/strictness used by submitted constructors | `syntax Bool ::= applyCmp(String, Val, Val) [function]` |
| `semantics/core.k` | 213 | syntax | function, total | ACCEPT—declaration/strictness used by submitted constructors | `syntax Vals ::= appendVal(Vals, Val) [function, total]` |
| `semantics/core.k` | 214 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule appendVal(.Vals, V:Val) => V , .Vals` |
| `semantics/core.k` | 215 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule appendVal((V0:Val, VS:Vals), V:Val) => V0 , appendVal(VS, V)` |
| `semantics/core.k` | 217 | syntax | function, total | ACCEPT—declaration/strictness used by submitted constructors | `syntax ValSeq ::= vals2valSeq(Vals) [function, total]` |
| `semantics/core.k` | 218 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule vals2valSeq(.Vals) => .ValSeq` |
| `semantics/core.k` | 219 | rule | — | ACCEPT—relevant operational/equational rule; path and state checked | `rule vals2valSeq((V:Val, VS:Vals)) => vCons(V, vals2valSeq(VS))` |
| `semantics/core.k` | 223 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Int ::= vsLen(ValSeq) [function, total]` |
| `semantics/core.k` | 224 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule vsLen(.ValSeq) => 0` |
| `semantics/core.k` | 225 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule vsLen(vCons(_:Val, S:ValSeq)) => 1 +Int vsLen(S)` |
| `semantics/core.k` | 227 | syntax | function, total | UNREACHED—no constructor/path from submitted function; no proof dependency | `syntax Int ::= isLen(IntSeq) [function, total]` |
| `semantics/core.k` | 228 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule isLen(.IntSeq) => 0` |
| `semantics/core.k` | 229 | rule | — | UNREACHED—no constructor/path from submitted function; no proof dependency | `rule isLen(iCons(_:Int, S:IntSeq)) => 1 +Int isLen(S)` |
