source	module	start_line	end_line	kind	decision	declaration
reference-semantics/semantics/concrete.k	MPY-CONCRETE	42	42	syntax:function	ACCEPTED_FIXED_CONCRETE_SEMANTICS_NOT_IN_PROOF_MODULE	syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]
reference-semantics/semantics/concrete.k	MPY-CONCRETE	43	43	rule	ACCEPTED_FIXED_CONCRETE_SEMANTICS_NOT_IN_PROOF_MODULE	rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)
reference-semantics/semantics/concrete.k	MPY-CONCRETE	44	46	rule	ACCEPTED_FIXED_CONCRETE_SEMANTICS_NOT_IN_PROOF_MODULE	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K, V), vCons(kvP(K2, V2), R)) requires kLt(K, K2)
reference-semantics/semantics/concrete.k	MPY-CONCRETE	47	49	rule	ACCEPTED_FIXED_CONCRETE_SEMANTICS_NOT_IN_PROOF_MODULE	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K2, V2), insPair(R, K, V)) requires notBool kLt(K, K2)
reference-semantics/semantics/concrete.k	MPY-CONCRETE	51	51	syntax:function	ACCEPTED_FIXED_CONCRETE_SEMANTICS_NOT_IN_PROOF_MODULE	syntax Bool ::= kLt(Val, Val) [function]
reference-semantics/semantics/concrete.k	MPY-CONCRETE	52	52	rule	ACCEPTED_FIXED_CONCRETE_SEMANTICS_NOT_IN_PROOF_MODULE	rule kLt(I1:Int, I2:Int)             => I1 <Int I2
reference-semantics/semantics/concrete.k	MPY-CONCRETE	53	53	rule	ACCEPTED_FIXED_CONCRETE_SEMANTICS_NOT_IN_PROOF_MODULE	rule kLt(F1:Float, F2:Float)         => F1 <Float F2
reference-semantics/semantics/concrete.k	MPY-CONCRETE	54	54	rule	ACCEPTED_FIXED_CONCRETE_SEMANTICS_NOT_IN_PROOF_MODULE	rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)
reference-semantics/semantics/concrete.k	MPY-CONCRETE	56	56	syntax:function,total	ACCEPTED_FIXED_CONCRETE_SEMANTICS_NOT_IN_PROOF_MODULE	syntax ValSeq ::= unpairVS(ValSeq) [function, total]
reference-semantics/semantics/concrete.k	MPY-CONCRETE	57	57	rule	ACCEPTED_FIXED_CONCRETE_SEMANTICS_NOT_IN_PROOF_MODULE	rule unpairVS(.ValSeq) => .ValSeq
reference-semantics/semantics/concrete.k	MPY-CONCRETE	58	58	rule	ACCEPTED_FIXED_CONCRETE_SEMANTICS_NOT_IN_PROOF_MODULE	rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))
reference-semantics/semantics/concrete.k	MPY-CONCRETE	59	59	rule:owise	ACCEPTED_FIXED_CONCRETE_SEMANTICS_NOT_IN_PROOF_MODULE	rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]
reference-semantics/semantics/concrete.k	MPY-CONCRETE	60	60	endmodule	ACCEPTED_FIXED_CONCRETE_SEMANTICS_NOT_IN_PROOF_MODULE	endmodule
reference-semantics/semantics/controls.k	<outside-module>	3	3	module	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	module MPY-CONTROLS
reference-semantics/semantics/controls.k	MPY-CONTROLS	4	4	imports	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	imports MPY-CORE
reference-semantics/semantics/controls.k	MPY-CONTROLS	5	5	imports	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	imports MPY-TUPLE
reference-semantics/semantics/controls.k	MPY-CONTROLS	6	6	imports	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	imports MPY-ITER
reference-semantics/semantics/controls.k	MPY-CONTROLS	9	11	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> Assign(Name(X:String), V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- V ], _) ... </scopes>
reference-semantics/semantics/controls.k	MPY-CONTROLS	12	18	rule:priority(40)	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires ""$cells"" in_keys(M) andBool pnMember(X, cellsOf({M[""$cells""]}:>Val)) andBool X in_keys(M) andBool isCellRef({M[X]}:>Val) [priority(40)]"
reference-semantics/semantics/controls.k	MPY-CONTROLS	20	23	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- applyBin(OP, {M[X]}:>Val, V) ], _) ... </scopes> requires X in_keys(M)
reference-semantics/semantics/controls.k	MPY-CONTROLS	27	31	rule:priority(40)	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires X in_keys(M) andBool isRefV({M[X]}:>Val) [priority(40)]
reference-semantics/semantics/controls.k	MPY-CONTROLS	35	35	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule <k> ImportFrom(""math"", NS:ParamNames) => #bindImports(NS) ... </k>"
reference-semantics/semantics/controls.k	MPY-CONTROLS	36	36	rule:owise	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]
reference-semantics/semantics/controls.k	MPY-CONTROLS	37	37	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax KItem ::= #bindImports(ParamNames)
reference-semantics/semantics/controls.k	MPY-CONTROLS	38	38	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #bindImports(.ParamNames) => .K ... </k>
reference-semantics/semantics/controls.k	MPY-CONTROLS	39	42	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ N <- builtinV(N) ], _) ... </scopes> requires N ==String ""floor"" orBool N ==String ""ceil"""
reference-semantics/semantics/controls.k	MPY-CONTROLS	43	44	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> requires notBool (N ==String ""floor"" orBool N ==String ""ceil"")"
reference-semantics/semantics/controls.k	MPY-CONTROLS	48	48	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> Expr(_:Val) => .K ... </k>
reference-semantics/semantics/controls.k	MPY-CONTROLS	51	51	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax KItem ::= #branch(Bool, Stmts, Stmts)
reference-semantics/semantics/controls.k	MPY-CONTROLS	52	52	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>
reference-semantics/semantics/controls.k	MPY-CONTROLS	53	53	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #branch(true,  T:Stmts, _:Stmts) => T ... </k>
reference-semantics/semantics/controls.k	MPY-CONTROLS	54	54	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>
reference-semantics/semantics/controls.k	MPY-CONTROLS	57	58	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k> requires truthy(V)
reference-semantics/semantics/controls.k	MPY-CONTROLS	59	60	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k> requires notBool truthy(V)
reference-semantics/semantics/controls.k	MPY-CONTROLS	65	67	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"syntax KItem ::= #loop(Val, Expr, Stmts) | #loopStep(Expr, Stmts) | #while(Expr, Stmts) | #whileCond(Expr, Stmts) | #loopLbl(K) | ""#cont"" | ""#brk"""
reference-semantics/semantics/controls.k	MPY-CONTROLS	69	69	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>
reference-semantics/semantics/controls.k	MPY-CONTROLS	71	71	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>
reference-semantics/semantics/controls.k	MPY-CONTROLS	72	72	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>
reference-semantics/semantics/controls.k	MPY-CONTROLS	73	74	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts) => #bindTgt(T, V) ~> B ~> #loopLbl(#loop(REST, T, B)) ... </k>
reference-semantics/semantics/controls.k	MPY-CONTROLS	77	77	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>
reference-semantics/semantics/controls.k	MPY-CONTROLS	78	78	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>
reference-semantics/semantics/controls.k	MPY-CONTROLS	79	80	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k> requires truthy(V)
reference-semantics/semantics/controls.k	MPY-CONTROLS	81	82	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k> requires notBool truthy(V)
reference-semantics/semantics/controls.k	MPY-CONTROLS	85	85	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #loopLbl(NEXT:K) => NEXT ... </k>
reference-semantics/semantics/controls.k	MPY-CONTROLS	86	86	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> Continue => #cont ... </k>
reference-semantics/semantics/controls.k	MPY-CONTROLS	87	87	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> Break => #brk ... </k>
reference-semantics/semantics/controls.k	MPY-CONTROLS	88	88	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>
reference-semantics/semantics/controls.k	MPY-CONTROLS	89	89	rule:owise	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]
reference-semantics/semantics/controls.k	MPY-CONTROLS	90	90	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>
reference-semantics/semantics/controls.k	MPY-CONTROLS	91	91	rule:owise	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]
reference-semantics/semantics/controls.k	MPY-CONTROLS	95	97	rule:priority(40)	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/controls.k	MPY-CONTROLS	98	100	rule:priority(40)	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/controls.k	MPY-CONTROLS	101	103	rule:priority(40)	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/controls.k	MPY-CONTROLS	106	108	rule:priority(40)	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/controls.k	MPY-CONTROLS	109	109	endmodule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	endmodule
reference-semantics/semantics/core.k	<outside-module>	3	3	module	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	module MPY-CORE
reference-semantics/semantics/core.k	MPY-CORE	4	4	imports	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	imports MPY-SYNTAX
reference-semantics/semantics/core.k	MPY-CORE	5	5	imports	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	imports INT
reference-semantics/semantics/core.k	MPY-CORE	6	6	imports	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	imports BOOL
reference-semantics/semantics/core.k	MPY-CORE	7	7	imports	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	imports STRING
reference-semantics/semantics/core.k	MPY-CORE	8	8	imports	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	imports MAP
reference-semantics/semantics/core.k	MPY-CORE	9	9	imports	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	imports LIST
reference-semantics/semantics/core.k	MPY-CORE	10	10	imports	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	imports K-EQUAL
reference-semantics/semantics/core.k	MPY-CORE	13	13	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"syntax IntSeq ::= "".IntSeq"" | iCons(Int, IntSeq)"
reference-semantics/semantics/core.k	MPY-CORE	14	14	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"syntax ValSeq ::= "".ValSeq"" | vCons(Val, ValSeq)"
reference-semantics/semantics/core.k	MPY-CORE	15	15	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Str    ::= str(IntSeq)
reference-semantics/semantics/core.k	MPY-CORE	18	23	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Iterable ::= list(ValSeq) | tuple(ValSeq) | Str | rangeObj(Int, Int, Int) | zipObj(ValSeq, ValSeq) | zipObjS(IntSeq, IntSeq)
reference-semantics/semantics/core.k	MPY-CORE	25	34	syntax:function	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"syntax Val      ::= Int | Bool | ""noneV"" | Iterable | ref(Int)          // a heap object: <heap> holds its list(VS) | cellRef(Int)      // a closure cell: <heap> holds cellV(V) | closureVal(ParamNames, Stmts, Int) | typeV(String)     // a type object (int/str), resolved from the builtins frame | builtinV(String)  // a builtin function, resolved like any name (LEGB fallthrough) | boundMethodV(Val, String)   // a cooled Attribute: obj.method"
reference-semantics/semantics/core.k	MPY-CORE	36	36	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"syntax Parent   ::= ""root"" | parent(Int)"
reference-semantics/semantics/core.k	MPY-CORE	37	37	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Scope    ::= scope(Map, Parent)
reference-semantics/semantics/core.k	MPY-CORE	38	38	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax KResult  ::= Val
reference-semantics/semantics/core.k	MPY-CORE	39	39	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Expr     ::= Val   // cooling puts results back into expression holes
reference-semantics/semantics/core.k	MPY-CORE	40	40	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"syntax Vals     ::= List{Val, "",""}"
reference-semantics/semantics/core.k	MPY-CORE	41	41	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"syntax Exc      ::= ""NoExc"" | ""AssertionError"""
reference-semantics/semantics/core.k	MPY-CORE	42	42	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"syntax RetState ::= ""noRet"" | retV(Val)"
reference-semantics/semantics/core.k	MPY-CORE	49	60	configuration	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"configuration <k>       #loadAll($PGM:Module) </k> <env>     0 </env> <scopes>   0     |-> scope(.Map, parent(-1)) -1    |-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap>    .Map </heap> <heapLoc> 0 </heapLoc> <stack>   .List </stack> <ret>     noRet </ret> <exc>     NoExc </exc> <exit-code exit=""""> 0 </exit-code>"
reference-semantics/semantics/core.k	MPY-CORE	68	68	syntax:function,total	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Bool ::= isRefV(Val) [function, total]
reference-semantics/semantics/core.k	MPY-CORE	69	69	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule isRefV(ref(_:Int)) => true
reference-semantics/semantics/core.k	MPY-CORE	70	70	rule:owise	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule isRefV(_:Val)      => false [owise]
reference-semantics/semantics/core.k	MPY-CORE	75	75	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax HeapVal ::= cellV(Val)
reference-semantics/semantics/core.k	MPY-CORE	76	76	syntax:function,total	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Bool ::= isCellRef(Val) [function, total]
reference-semantics/semantics/core.k	MPY-CORE	77	77	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule isCellRef(cellRef(_:Int)) => true
reference-semantics/semantics/core.k	MPY-CORE	78	78	rule:owise	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule isCellRef(_:Val)          => false [owise]
reference-semantics/semantics/core.k	MPY-CORE	85	90	rule:priority(40)	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule <k> cellRef(H:Int) => V ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap> requires ""$cells"" in_keys(M) [priority(40)]"
reference-semantics/semantics/core.k	MPY-CORE	95	95	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Val ::= kwV(String, Val)
reference-semantics/semantics/core.k	MPY-CORE	96	96	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax KItem ::= #kwTag(String)
reference-semantics/semantics/core.k	MPY-CORE	97	97	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> KwArg(N:String, E:Expr) => E ~> #kwTag(N) ... </k>
reference-semantics/semantics/core.k	MPY-CORE	98	99	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> V:Val ~> #kwTag(N:String) => kwV(N, V) ... </k> requires notBool isKwV(V)
reference-semantics/semantics/core.k	MPY-CORE	100	100	syntax:function,total	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Bool ::= isKwV(Val) [function, total]
reference-semantics/semantics/core.k	MPY-CORE	101	101	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule isKwV(kwV(_:String, _:Val)) => true
reference-semantics/semantics/core.k	MPY-CORE	102	102	rule:owise	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule isKwV(_:Val)                => false [owise]
reference-semantics/semantics/core.k	MPY-CORE	106	106	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Val ::= cellsMark(ParamNames)
reference-semantics/semantics/core.k	MPY-CORE	107	107	syntax:function	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax ParamNames ::= cellsOf(Val) [function]
reference-semantics/semantics/core.k	MPY-CORE	108	108	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule cellsOf(cellsMark(CVS:ParamNames)) => CVS
reference-semantics/semantics/core.k	MPY-CORE	109	109	syntax:function,total	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Bool ::= pnMember(String, ParamNames) [function, total]
reference-semantics/semantics/core.k	MPY-CORE	110	110	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule pnMember(_:String, .ParamNames) => false
reference-semantics/semantics/core.k	MPY-CORE	111	111	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule pnMember(X:String, (P:String, R:ParamNames)) => X ==String P orBool pnMember(X, R)
reference-semantics/semantics/core.k	MPY-CORE	113	113	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax KItem ::= #cellW(Val, Val)
reference-semantics/semantics/core.k	MPY-CORE	114	115	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #cellW(cellRef(H:Int), V:Val) => .K ... </k> <heap> ... H |-> cellV(_:Val => V) ... </heap>
reference-semantics/semantics/core.k	MPY-CORE	117	117	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax KItem ::= #alloc(Val)
reference-semantics/semantics/core.k	MPY-CORE	118	121	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #alloc(V:Val) => ref(N) ... </k> <heap>    H:Map => (N |-> V) H </heap> <heapLoc> N:Int => N +Int 1 </heapLoc> requires notBool N in_keys(H)
reference-semantics/semantics/core.k	MPY-CORE	124	124	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax KItem ::= #loadAll(Module)
reference-semantics/semantics/core.k	MPY-CORE	125	125	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #loadAll(Module(SS:Stmts)) => SS ... </k>
reference-semantics/semantics/core.k	MPY-CORE	126	126	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> (S:Stmt SS:Stmts):Stmts => S ~> SS ... </k>
reference-semantics/semantics/core.k	MPY-CORE	127	127	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> .Stmts => .K ... </k>
reference-semantics/semantics/core.k	MPY-CORE	130	130	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax KItem ::= #look(String, Int)
reference-semantics/semantics/core.k	MPY-CORE	131	131	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> Name(X:String) => #look(X, L) ... </k> <env> L:Int </env>
reference-semantics/semantics/core.k	MPY-CORE	132	134	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #look(X:String, L:Int) => {M[X]}:>Val ... </k> <scopes> ... L |-> scope(M:Map, _:Parent) ... </scopes> requires X in_keys(M)
reference-semantics/semantics/core.k	MPY-CORE	145	151	rule:priority(40)	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule <k> #look(X:String, L:Int) => V ... </k> <scopes> ... L |-> scope(M:Map, _:Parent) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap> requires X in_keys(M) andBool ""$cells"" in_keys(M) andBool pnMember(X, cellsOf({M[""$cells""]}:>Val)) andBool {M[X]}:>Val ==K cellRef(H) [priority(40)]"
reference-semantics/semantics/core.k	MPY-CORE	152	154	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #look(X:String, L:Int) => #look(X, P) ... </k> <scopes> ... L |-> scope(M:Map, parent(P:Int)) ... </scopes> requires notBool (X in_keys(M))
reference-semantics/semantics/core.k	MPY-CORE	157	157	syntax:function,total	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"syntax Scope ::= ""builtinsScope"" [function, total]"
reference-semantics/semantics/core.k	MPY-CORE	158	181	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	"rule builtinsScope => scope(.Map [ ""len""    <- builtinV(""len"")    ] [ ""set""    <- builtinV(""set"")    ] [ ""sum""    <- builtinV(""sum"")    ] [ ""abs""    <- builtinV(""abs"")    ] [ ""min""    <- builtinV(""min"")    ] [ ""max""    <- builtinV(""max"")    ] [ ""ord""    <- builtinV(""ord"")    ] [ ""chr""    <- builtinV(""chr"")    ] [ ""range""  <- builtinV(""range"")  ] [ ""all""    <- builtinV(""all"")    ] [ ""any""    <- builtinV(""any"")    ] [ ""zip""    <- builtinV(""zip"")    ] [ ""isinstance"" <- builtinV(""isinstance"") ] [ ""sorted"" <- builtinV(""sorted"") ] [ ""list""   <- builtinV(""list"")   ] [ ""round""  <- builtinV(""round"")  ] [ ""bin""    <- builtinV(""bin"")    ] [ ""enumerate"" <- builtinV(""enumerate"") ] [ ""map""    <- builtinV(""map"")    ] [ ""eval""   <- builtinV(""eval"")   ] [ ""int""    <- typeV(""int"")       ] [ ""str""    <- typeV(""str"")       ] [ ""float""  <- typeV(""float"")     ], root)"
reference-semantics/semantics/core.k	MPY-CORE	185	185	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax ApplyK ::= toCall(Val)
reference-semantics/semantics/core.k	MPY-CORE	186	188	syntax	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax KItem  ::= #evalArgs(Exprs, Vals, ApplyK) | #evalArgCont(Exprs, Vals, ApplyK) | #applyK(ApplyK, Vals)
reference-semantics/semantics/core.k	MPY-CORE	189	189	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #evalArgs((A:Expr, REST:Exprs), ACC:Vals, K:ApplyK) => A ~> #evalArgCont(REST, ACC, K) ... </k>
reference-semantics/semantics/core.k	MPY-CORE	190	190	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> V:Val ~> #evalArgCont(REST:Exprs, ACC:Vals, K:ApplyK) => #evalArgs(REST, appendVal(ACC, V), K) ... </k>
reference-semantics/semantics/core.k	MPY-CORE	191	191	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> #evalArgs(.Exprs, ACC:Vals, K:ApplyK) => #applyK(K, ACC) ... </k>
reference-semantics/semantics/core.k	MPY-CORE	194	194	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> Int(I:Int)   => I ... </k>
reference-semantics/semantics/core.k	MPY-CORE	195	195	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> Bool(B:Bool) => B ... </k>
reference-semantics/semantics/core.k	MPY-CORE	196	196	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule <k> NoneVal      => noneV ... </k>
reference-semantics/semantics/core.k	MPY-CORE	199	199	syntax:function	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Bool ::= truthy(Val) [function]
reference-semantics/semantics/core.k	MPY-CORE	200	200	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule truthy(B:Bool)          => B
reference-semantics/semantics/core.k	MPY-CORE	201	201	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule truthy(noneV)           => false
reference-semantics/semantics/core.k	MPY-CORE	202	202	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule truthy(I:Int)           => I =/=Int 0
reference-semantics/semantics/core.k	MPY-CORE	203	203	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule truthy(str(S:IntSeq))   => notBool (S ==K .IntSeq)
reference-semantics/semantics/core.k	MPY-CORE	204	204	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule truthy(list(V:ValSeq))  => notBool (V ==K .ValSeq)
reference-semantics/semantics/core.k	MPY-CORE	205	205	rule	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	rule truthy(tuple(V:ValSeq)) => notBool (V ==K .ValSeq)
reference-semantics/semantics/core.k	MPY-CORE	208	208	syntax:function	ACCEPTED_FIXED_SUPPLIED_SEMANTICS	syntax Val  ::= applyUn(String, Val) [function]
