origin	path	start	end	kind	flags	exact_source_block
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	247	247	syntax	function,total	  syntax EvPair ::= powCarryE(String, Int, EvPair) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	248	248	rule	-	  rule powCarryE(O:String, N:Int, evp(OPS:OpSeq, NDS:IntSeq)) => evp(oCons(O, OPS), iCons(N, NDS))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	250	250	syntax	function,total	  syntax EvPair ::= passMulE(EvPair) [function, total] | passAddE(EvPair) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	251	251	rule	-	  rule passMulE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("mul", N0, OPS, NDS, .OpSeq, .IntSeq)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	252	252	rule	-	  rule passMulE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	253	253	rule	-	  rule passAddE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("add", N0, OPS, NDS, .OpSeq, .IntSeq)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	254	254	rule	-	  rule passAddE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	255	255	syntax	function,total	  syntax EvPair ::= passLGoE(String, Int, OpSeq, IntSeq, OpSeq, IntSeq) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	256	256	rule	-	  rule passLGoE(_:String, CUR:Int, .OpSeq, _:IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	257	259	rule	-	  rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq)\n    => passLGoE(L, applyOpE(O, CUR, N), OPS, NDS, OO, ON)\n       requires inLevelE(L, O)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	260	262	rule	-	  rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq)\n    => passLGoE(L, N, OPS, NDS, appendOpE(OO, O), appendIE(ON, CUR))\n       requires notBool inLevelE(L, O)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	263	264	rule	owise	  rule passLGoE(_:String, CUR:Int, oCons(_:String, _:OpSeq), .IntSeq, OO:OpSeq, ON:IntSeq)\n    => evp(OO, appendIE(ON, CUR)) [owise]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	265	265	syntax	function,total	  syntax Bool ::= inLevelE(String, String) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	266	266	rule	-	  rule inLevelE("mul", O:String) => O ==String "*" orBool O ==String "//" orBool O ==String "/"
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	267	267	rule	-	  rule inLevelE("add", O:String) => O ==String "+" orBool O ==String "-"
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	268	268	rule	owise	  rule inLevelE(_:String, _:String) => false [owise]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	269	269	syntax	function,total	  syntax OpSeq ::= appendOpE(OpSeq, String) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	270	270	rule	-	  rule appendOpE(.OpSeq, O:String) => oCons(O, .OpSeq)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	271	271	rule	-	  rule appendOpE(oCons(H:String, T:OpSeq), O:String) => oCons(H, appendOpE(T, O))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	272	272	syntax	function,total	  syntax IntSeq ::= appendIE(IntSeq, Int) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	273	273	rule	-	  rule appendIE(.IntSeq, N:Int) => iCons(N, .IntSeq)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	274	274	rule	-	  rule appendIE(iCons(H:Int, T:IntSeq), N:Int) => iCons(H, appendIE(T, N))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	279	279	syntax	-	  syntax KItem ::= "#md5"
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	280	281	rule	priority	  rule <k> Call(Attribute(Name("hashlib"), "md5"), (E:Expr, .Exprs)) => E ~> #md5 ... </k>\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	282	282	rule	-	  rule <k> str(CS:IntSeq) ~> #md5 => md5Obj(CS) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	283	283	syntax	-	  syntax Val ::= md5Obj(IntSeq)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	284	284	rule	-	  rule applyMethod(md5Obj(CS:IntSeq), "hexdigest", .Vals) => str(md5hexCodes(CS))
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	285	285	syntax	function,total,symbol,no-evaluators	  syntax IntSeq ::= md5hexCodes(IntSeq) [function, total, symbol(md5hexCodes), no-evaluators]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	291	291	rule	-	  rule applyBuiltin("isinstance", V:Val, typeV("int"), .Vals) => isIntV(V)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	292	292	rule	-	  rule applyBuiltin("isinstance", V:Val, typeV("str"), .Vals) => isStrV(V)
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	293	293	syntax	function	  syntax Bool ::= isIntV(Val) [function] | isStrV(Val) [function]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	294	294	rule	-	  rule isIntV(_:Int)         => true
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	295	295	rule	owise	  rule isIntV(_:Val)         => false [owise]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	296	296	rule	-	  rule isStrV(str(_:IntSeq)) => true
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	297	297	rule	owise	  rule isStrV(_:Val)         => false [owise]
trusted-supplied	/reference/reference-semantics/semantics/builtins.k	298	298	endmodule	-	endmodule
trusted-supplied	/reference/reference-semantics/semantics/call.k	10	10	module	-	module MPY-CALL
trusted-supplied	/reference/reference-semantics/semantics/call.k	11	11	imports	-	  imports MPY-METHODS
trusted-supplied	/reference/reference-semantics/semantics/call.k	12	12	imports	-	  imports MPY-BUILTINS
trusted-supplied	/reference/reference-semantics/semantics/call.k	13	13	imports	-	  imports MPY-FUNCTIONS
trusted-supplied	/reference/reference-semantics/semantics/call.k	16	16	rule	-	  rule <k> Attribute(V:Val, M:String) => boundMethodV(V, M) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/call.k	19	19	syntax	-	  syntax KItem ::= #callee(Exprs)
trusted-supplied	/reference/reference-semantics/semantics/call.k	20	20	rule	owise	  rule <k> Call(Fe:Expr, ARGS:Exprs) => Fe ~> #callee(ARGS) ... </k> [owise]
trusted-supplied	/reference/reference-semantics/semantics/call.k	21	21	rule	-	  rule <k> CV:Val ~> #callee(ARGS:Exprs) => #evalArgs(ARGS, .Vals, toCall(CV)) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/call.k	24	24	rule	-	  rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), ACC:Vals) => applyMethod(OBJ, M, ACC) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/call.k	26	26	rule	-	  rule <k> #applyK(toCall(builtinV("sum")), (OBJ:Iterable, .Vals)) => #sumAcc(OBJ, 0) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/call.k	27	27	rule	-	  rule <k> #applyK(toCall(builtinV("all")), (OBJ:Iterable, .Vals)) => #allAcc(OBJ)    ... </k>
trusted-supplied	/reference/reference-semantics/semantics/call.k	28	28	rule	-	  rule <k> #applyK(toCall(builtinV("any")), (OBJ:Iterable, .Vals)) => #anyAcc(OBJ)    ... </k>
trusted-supplied	/reference/reference-semantics/semantics/call.k	29	29	rule	-	  rule <k> #applyK(toCall(builtinV("max")), (OBJ:Iterable, .Vals)) => #maxAcc0(OBJ)   ... </k>
trusted-supplied	/reference/reference-semantics/semantics/call.k	30	30	rule	-	  rule <k> #applyK(toCall(builtinV("min")), (OBJ:Iterable, .Vals)) => #minAcc0(OBJ)   ... </k>
trusted-supplied	/reference/reference-semantics/semantics/call.k	31	31	rule	owise	  rule <k> #applyK(toCall(builtinV(BN:String)), ACC:Vals) => applyBuiltin(BN, ACC) ... </k> [owise]
trusted-supplied	/reference/reference-semantics/semantics/call.k	32	32	rule	-	  rule <k> #applyK(toCall(typeV(T:String)),     ACC:Vals) => applyBuiltin(T, ACC)  ... </k>
trusted-supplied	/reference/reference-semantics/semantics/call.k	38	41	rule	priority	  rule <k> #applyK(toCall(builtinV(BN:String)), (ref(H:Int), REST:Vals))\n        => #applyK(toCall(builtinV(BN)), (V, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/call.k	42	46	rule	priority	  rule <k> #applyK(toCall(builtinV(BN:String)), (A:Val, ref(H:Int), REST:Vals))\n        => #applyK(toCall(builtinV(BN)), (A, V, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires notBool isRefV(A)\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/call.k	47	50	rule	priority	  rule <k> #applyK(toCall(typeV(T:String)), (ref(H:Int), REST:Vals))\n        => #applyK(toCall(typeV(T)), (V, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/call.k	52	52	syntax	function,total	  syntax Bool ::= isMutMethod(String) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/call.k	53	55	rule	-	  rule isMutMethod(M:String)\n    => M ==String "append" orBool M ==String "sort" orBool M ==String "extend"\n       orBool M ==String "insert" orBool M ==String "pop" orBool M ==String "remove"
trusted-supplied	/reference/reference-semantics/semantics/call.k	56	60	rule	priority	  rule <k> #applyK(toCall(boundMethodV(ref(H:Int), M:String)), ACC:Vals)\n        => #applyK(toCall(boundMethodV(V, M)), ACC) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires notBool isMutMethod(M)\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/call.k	63	67	rule	priority	  rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), (ref(H:Int), REST:Vals))\n        => #applyK(toCall(boundMethodV(OBJ, M)), (V, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires notBool isMutMethod(M) andBool notBool isRefV(OBJ)\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/call.k	69	74	rule	-	  rule <k> #applyK(toCall(closureVal(PNS:ParamNames, BODY:Stmts, DEFL:Int)), ACC:Vals) ~> CONT\n        => #bindP(PNS, ACC) ~> BODY ~> #endcall </k>\n       <env>     CALLERL:Int => NEWL </env>\n       <scopes>   STORE:Map => STORE [ NEWL <- scope(.Map, parent(DEFL)) ] </scopes>\n       <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc>\n       <stack>   .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>
trusted-supplied	/reference/reference-semantics/semantics/call.k	80	85	rule	-	  rule <k> #applyK(toCall(closureValC(PNS:ParamNames, CVS:ParamNames, BODY:Stmts, CM:Map)), ACC:Vals) ~> CONT\n        => #allocCells(CVS) ~> #bindP(PNS, ACC) ~> BODY ~> #endcall </k>\n       <env>     CALLERL:Int => NEWL </env>\n       <scopes>   STORE:Map => STORE [ NEWL <- scope(CM [ "$cells" <- cellsMark(CVS) ], parent(0)) ] </scopes>\n       <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc>\n       <stack>   .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>
trusted-supplied	/reference/reference-semantics/semantics/call.k	87	87	syntax	-	  syntax KItem ::= #allocCells(ParamNames)
trusted-supplied	/reference/reference-semantics/semantics/call.k	88	88	rule	-	  rule <k> #allocCells(.ParamNames) => .K ... </k>
trusted-supplied	/reference/reference-semantics/semantics/call.k	89	94	rule	-	  rule <k> #allocCells((CV:String, R:ParamNames)) => #allocCells(R) ... </k>\n       <env> L:Int </env>\n       <scopes> ... L |-> scope(M:Map => M [ CV <- cellRef(N) ], _) ... </scopes>\n       <heap>    H:Map => (N |-> cellV(noneV)) H </heap>\n       <heapLoc> N:Int => N +Int 1 </heapLoc>\n       requires notBool N in_keys(H)
trusted-supplied	/reference/reference-semantics/semantics/call.k	95	95	endmodule	-	endmodule
trusted-supplied	/reference/reference-semantics/semantics/comprehension.k	3	3	module	-	module MPY-COMPREHENSION
trusted-supplied	/reference/reference-semantics/semantics/comprehension.k	4	4	imports	-	  imports MPY-CORE
trusted-supplied	/reference/reference-semantics/semantics/comprehension.k	5	5	imports	-	  imports MPY-OPERATORS
trusted-supplied	/reference/reference-semantics/semantics/comprehension.k	6	6	imports	-	  imports MPY-LIST
trusted-supplied	/reference/reference-semantics/semantics/comprehension.k	7	7	imports	-	  imports MPY-CONTROLS
trusted-supplied	/reference/reference-semantics/semantics/comprehension.k	8	8	imports	-	  imports MPY-FUNCTIONS
trusted-supplied	/reference/reference-semantics/semantics/comprehension.k	11	11	rule	-	  rule ListComp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
trusted-supplied	/reference/reference-semantics/semantics/comprehension.k	12	12	rule	-	  rule GenExp(ELT:Expr, Gs:CompFors)   => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
trusted-supplied	/reference/reference-semantics/semantics/comprehension.k	14	14	syntax	macro	  syntax Stmts ::= compBody(CompFors, Expr) [macro]
trusted-supplied	/reference/reference-semantics/semantics/comprehension.k	15	16	rule	-	  rule compBody(Gs:CompFors, ELT:Expr)\n    => Assign(Name("$acc"), ListExpr(.Exprs)) compNest(Gs, ELT) Return(Name("$acc"))
trusted-supplied	/reference/reference-semantics/semantics/comprehension.k	18	18	syntax	macro,macro-rec	  syntax Stmt ::= compNest(CompFors, Expr) [macro-rec]
trusted-supplied	/reference/reference-semantics/semantics/comprehension.k	19	20	rule	-	  rule compNest(.CompFors, ELT:Expr)\n    => Assign(Name("$acc"), BinOp("+", Name("$acc"), ListExpr(ELT)))
trusted-supplied	/reference/reference-semantics/semantics/comprehension.k	21	22	rule	-	  rule compNest((CompFor(T:Expr, ITER:Expr, Fs:Exprs) GRest:CompFors), ELT:Expr)\n    => For(T, ITER, If(compGuard(Fs), compNest(GRest, ELT), .Stmts))
trusted-supplied	/reference/reference-semantics/semantics/comprehension.k	24	24	syntax	macro	  syntax Expr ::= compGuard(Exprs) [macro]
trusted-supplied	/reference/reference-semantics/semantics/comprehension.k	25	25	rule	-	  rule compGuard(.Exprs)             => Bool(true)
trusted-supplied	/reference/reference-semantics/semantics/comprehension.k	26	26	rule	-	  rule compGuard((F:Expr, Fs:Exprs)) => BoolOp("and", (F, Fs))
trusted-supplied	/reference/reference-semantics/semantics/comprehension.k	27	27	endmodule	-	endmodule
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	8	8	module	-	module MPY-CONCRETE
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	9	9	imports	-	  imports MPY
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	13	15	rule	-	  rule <k> Compare(list(A:ValSeq), CmpOp("==", list(B:ValSeq))) => deepEqVS(A, B, HP) ... </k>\n       <heap> HP:Map </heap>\n       requires hasRefVS(A) orBool hasRefVS(B)
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	16	18	rule	-	  rule <k> Compare(list(A:ValSeq), CmpOp("!=", list(B:ValSeq))) => notBool deepEqVS(A, B, HP) ... </k>\n       <heap> HP:Map </heap>\n       requires hasRefVS(A) orBool hasRefVS(B)
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	25	25	syntax	-	  syntax Val ::= kvP(Val, Val)
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	26	27	syntax	-	  syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool)\n                 | #ksIns(Val, ValSeq, Val, ValSeq, Bool)
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	28	30	rule	priority	  rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), .Vals))\n        => #ksort(VS, KV, .ValSeq, false) ... </k>\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	31	33	rule	priority	  rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), kwV("reverse", RB:Bool), .Vals))\n        => #ksort(VS, KV, .ValSeq, RB) ... </k>\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	34	35	rule	-	  rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool)\n        => #alloc(list(condRev(unpairVS(ACC), RB))) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	36	37	rule	-	  rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool)\n        => KV ~> #callee((V, .Exprs)) ~> #ksIns(V, R, KV, ACC, RB) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	38	40	rule	-	  rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool)\n        => #ksort(R, KV, insPair(ACC, K, V), RB) ... </k>\n       requires notBool isKwV(K)
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	42	42	syntax	function	  syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	43	43	rule	-	  rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	44	46	rule	-	  rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val)\n    => vCons(kvP(K, V), vCons(kvP(K2, V2), R))\n       requires kLt(K, K2)
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	47	49	rule	-	  rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val)\n    => vCons(kvP(K2, V2), insPair(R, K, V))\n       requires notBool kLt(K, K2)
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	51	51	syntax	function	  syntax Bool ::= kLt(Val, Val) [function]
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	52	52	rule	-	  rule kLt(I1:Int, I2:Int)             => I1 <Int I2
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	53	53	rule	-	  rule kLt(F1:Float, F2:Float)         => F1 <Float F2
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	54	54	rule	-	  rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	56	56	syntax	function,total	  syntax ValSeq ::= unpairVS(ValSeq) [function, total]
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	57	57	rule	-	  rule unpairVS(.ValSeq) => .ValSeq
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	58	58	rule	-	  rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	59	59	rule	owise	  rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]
trusted-supplied	/reference/reference-semantics/semantics/concrete.k	60	60	endmodule	-	endmodule
trusted-supplied	/reference/reference-semantics/semantics/controls.k	3	3	module	-	module MPY-CONTROLS
trusted-supplied	/reference/reference-semantics/semantics/controls.k	4	4	imports	-	  imports MPY-CORE
trusted-supplied	/reference/reference-semantics/semantics/controls.k	5	5	imports	-	  imports MPY-TUPLE
trusted-supplied	/reference/reference-semantics/semantics/controls.k	6	6	imports	-	  imports MPY-ITER
trusted-supplied	/reference/reference-semantics/semantics/controls.k	9	11	rule	-	  rule <k> Assign(Name(X:String), V:Val) => .K ... </k>\n       <env> L:Int </env>\n       <scopes> ... L |-> scope(M:Map => M [ X <- V ], _) ... </scopes>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	12	14	rule	-	  rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k>\n       <env> L:Int </env>\n       <scopes> ... L |-> scope(M:Map, _) ... </scopes>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	15	18	requires	priority	       requires "$cells" in_keys(M)\n        andBool pnMember(X, cellsOf({M["$cells"]}:>Val))\n        andBool X in_keys(M) andBool isCellRef({M[X]}:>Val)\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/controls.k	20	23	rule	-	  rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k>\n       <env> L:Int </env>\n       <scopes> ... L |-> scope(M:Map => M [ X <- applyBin(OP, {M[X]}:>Val, V) ], _) ... </scopes>\n       requires X in_keys(M)
trusted-supplied	/reference/reference-semantics/semantics/controls.k	27	31	rule	priority	  rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k>\n       <env> L:Int </env>\n       <scopes> ... L |-> scope(M:Map, _) ... </scopes>\n       requires X in_keys(M) andBool isRefV({M[X]}:>Val)\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/controls.k	35	35	rule	-	  rule <k> ImportFrom("math", NS:ParamNames) => #bindImports(NS) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	36	36	rule	owise	  rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]
trusted-supplied	/reference/reference-semantics/semantics/controls.k	37	37	syntax	-	  syntax KItem ::= #bindImports(ParamNames)
trusted-supplied	/reference/reference-semantics/semantics/controls.k	38	38	rule	-	  rule <k> #bindImports(.ParamNames) => .K ... </k>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	39	42	rule	-	  rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k>\n       <env> L:Int </env>\n       <scopes> ... L |-> scope(M:Map => M [ N <- builtinV(N) ], _) ... </scopes>\n       requires N ==String "floor" orBool N ==String "ceil"
trusted-supplied	/reference/reference-semantics/semantics/controls.k	43	44	rule	-	  rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k>\n       requires notBool (N ==String "floor" orBool N ==String "ceil")
trusted-supplied	/reference/reference-semantics/semantics/controls.k	48	48	rule	-	  rule <k> Expr(_:Val) => .K ... </k>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	51	51	syntax	-	  syntax KItem ::= #branch(Bool, Stmts, Stmts)
trusted-supplied	/reference/reference-semantics/semantics/controls.k	52	52	rule	-	  rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	53	53	rule	-	  rule <k> #branch(true,  T:Stmts, _:Stmts) => T ... </k>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	54	54	rule	-	  rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	57	58	rule	-	  rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k>\n       requires truthy(V)
trusted-supplied	/reference/reference-semantics/semantics/controls.k	59	60	rule	-	  rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k>\n       requires notBool truthy(V)
trusted-supplied	/reference/reference-semantics/semantics/controls.k	65	67	syntax	-	  syntax KItem ::= #loop(Val, Expr, Stmts) | #loopStep(Expr, Stmts)\n                 | #while(Expr, Stmts) | #whileCond(Expr, Stmts)\n                 | #loopLbl(K) | "#cont" | "#brk"
trusted-supplied	/reference/reference-semantics/semantics/controls.k	69	69	rule	-	  rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	71	71	rule	-	  rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	72	72	rule	-	  rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	73	74	rule	-	  rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts)\n        => #bindTgt(T, V) ~> B ~> #loopLbl(#loop(REST, T, B)) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	77	77	rule	-	  rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	78	78	rule	-	  rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	79	80	rule	-	  rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k>\n       requires truthy(V)
trusted-supplied	/reference/reference-semantics/semantics/controls.k	81	82	rule	-	  rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k>\n       requires notBool truthy(V)
trusted-supplied	/reference/reference-semantics/semantics/controls.k	85	85	rule	-	  rule <k> #loopLbl(NEXT:K) => NEXT ... </k>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	86	86	rule	-	  rule <k> Continue => #cont ... </k>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	87	87	rule	-	  rule <k> Break => #brk ... </k>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	88	88	rule	-	  rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	89	89	rule	owise	  rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]
trusted-supplied	/reference/reference-semantics/semantics/controls.k	90	90	rule	-	  rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>
trusted-supplied	/reference/reference-semantics/semantics/controls.k	91	91	rule	owise	  rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]
trusted-supplied	/reference/reference-semantics/semantics/controls.k	95	97	rule	priority	  rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/controls.k	98	100	rule	priority	  rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/controls.k	101	103	rule	priority	  rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/controls.k	106	108	rule	priority	  rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       [priority(40)]
trusted-supplied	/reference/reference-semantics/semantics/controls.k	109	109	endmodule	-	endmodule
trusted-supplied	/reference/reference-semantics/semantics/core.k	3	3	module	-	module MPY-CORE
trusted-supplied	/reference/reference-semantics/semantics/core.k	4	4	imports	-	  imports MPY-SYNTAX
trusted-supplied	/reference/reference-semantics/semantics/core.k	5	5	imports	-	  imports INT
trusted-supplied	/reference/reference-semantics/semantics/core.k	6	6	imports	-	  imports BOOL
