COMMAND: /audit-output/evidence/inventory_k.sh /tmp/audit-work/48-is-palindrome /audit-output/evidence/rule-inventory.tsv 
id	file	line	kind	declaration	decision
174	reference-semantics/semantics/builtins.k	269	syntax	syntax OpSeq ::= appendOpE(OpSeq, String) [function, total]	ACCEPT_FIXED_DECLARATION
175	reference-semantics/semantics/builtins.k	270	rule	rule appendOpE(.OpSeq, O:String) => oCons(O, .OpSeq)	ACCEPT_FIXED_RULE
176	reference-semantics/semantics/builtins.k	271	rule	rule appendOpE(oCons(H:String, T:OpSeq), O:String) => oCons(H, appendOpE(T, O))	ACCEPT_FIXED_RULE
177	reference-semantics/semantics/builtins.k	272	syntax	syntax IntSeq ::= appendIE(IntSeq, Int) [function, total]	ACCEPT_FIXED_DECLARATION
178	reference-semantics/semantics/builtins.k	273	rule	rule appendIE(.IntSeq, N:Int) => iCons(N, .IntSeq)	ACCEPT_FIXED_RULE
179	reference-semantics/semantics/builtins.k	274	rule	rule appendIE(iCons(H:Int, T:IntSeq), N:Int) => iCons(H, appendIE(T, N))	ACCEPT_FIXED_RULE
180	reference-semantics/semantics/builtins.k	279	syntax	syntax KItem ::= "#md5"	ACCEPT_FIXED_DECLARATION
181	reference-semantics/semantics/builtins.k	280	rule	rule <k> Call(Attribute(Name("hashlib"), "md5"), (E:Expr, .Exprs)) => E ~> #md5 ... </k>	ACCEPT_FIXED_RULE
182	reference-semantics/semantics/builtins.k	282	rule	rule <k> str(CS:IntSeq) ~> #md5 => md5Obj(CS) ... </k>	ACCEPT_FIXED_RULE
183	reference-semantics/semantics/builtins.k	283	syntax	syntax Val ::= md5Obj(IntSeq)	ACCEPT_FIXED_DECLARATION
184	reference-semantics/semantics/builtins.k	284	rule	rule applyMethod(md5Obj(CS:IntSeq), "hexdigest", .Vals) => str(md5hexCodes(CS))	ACCEPT_FIXED_RULE
185	reference-semantics/semantics/builtins.k	285	syntax	syntax IntSeq ::= md5hexCodes(IntSeq) [function, total, symbol(md5hexCodes), no-evaluators]	ACCEPT_FIXED_DECLARATION
186	reference-semantics/semantics/builtins.k	291	rule	rule applyBuiltin("isinstance", V:Val, typeV("int"), .Vals) => isIntV(V)	ACCEPT_FIXED_RULE
187	reference-semantics/semantics/builtins.k	292	rule	rule applyBuiltin("isinstance", V:Val, typeV("str"), .Vals) => isStrV(V)	ACCEPT_FIXED_RULE
188	reference-semantics/semantics/builtins.k	293	syntax	syntax Bool ::= isIntV(Val) [function] | isStrV(Val) [function]	ACCEPT_FIXED_DECLARATION
189	reference-semantics/semantics/builtins.k	294	rule	rule isIntV(_:Int)         => true	ACCEPT_FIXED_RULE
190	reference-semantics/semantics/builtins.k	295	rule	rule isIntV(_:Val)         => false [owise]	ACCEPT_FIXED_RULE
191	reference-semantics/semantics/builtins.k	296	rule	rule isStrV(str(_:IntSeq)) => true	ACCEPT_FIXED_RULE
192	reference-semantics/semantics/builtins.k	297	rule	rule isStrV(_:Val)         => false [owise]	ACCEPT_FIXED_RULE
193	reference-semantics/semantics/call.k	16	rule	rule <k> Attribute(V:Val, M:String) => boundMethodV(V, M) ... </k>	ACCEPT_FIXED_RULE
194	reference-semantics/semantics/call.k	19	syntax	syntax KItem ::= #callee(Exprs)	ACCEPT_FIXED_DECLARATION
195	reference-semantics/semantics/call.k	20	rule	rule <k> Call(Fe:Expr, ARGS:Exprs) => Fe ~> #callee(ARGS) ... </k> [owise]	ACCEPT_FIXED_RULE
196	reference-semantics/semantics/call.k	21	rule	rule <k> CV:Val ~> #callee(ARGS:Exprs) => #evalArgs(ARGS, .Vals, toCall(CV)) ... </k>	ACCEPT_FIXED_RULE
197	reference-semantics/semantics/call.k	24	rule	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), ACC:Vals) => applyMethod(OBJ, M, ACC) ... </k>	ACCEPT_FIXED_RULE
198	reference-semantics/semantics/call.k	26	rule	rule <k> #applyK(toCall(builtinV("sum")), (OBJ:Iterable, .Vals)) => #sumAcc(OBJ, 0) ... </k>	ACCEPT_FIXED_RULE
199	reference-semantics/semantics/call.k	27	rule	rule <k> #applyK(toCall(builtinV("all")), (OBJ:Iterable, .Vals)) => #allAcc(OBJ)    ... </k>	ACCEPT_FIXED_RULE
200	reference-semantics/semantics/call.k	28	rule	rule <k> #applyK(toCall(builtinV("any")), (OBJ:Iterable, .Vals)) => #anyAcc(OBJ)    ... </k>	ACCEPT_FIXED_RULE
201	reference-semantics/semantics/call.k	29	rule	rule <k> #applyK(toCall(builtinV("max")), (OBJ:Iterable, .Vals)) => #maxAcc0(OBJ)   ... </k>	ACCEPT_FIXED_RULE
202	reference-semantics/semantics/call.k	30	rule	rule <k> #applyK(toCall(builtinV("min")), (OBJ:Iterable, .Vals)) => #minAcc0(OBJ)   ... </k>	ACCEPT_FIXED_RULE
203	reference-semantics/semantics/call.k	31	rule	rule <k> #applyK(toCall(builtinV(BN:String)), ACC:Vals) => applyBuiltin(BN, ACC) ... </k> [owise]	ACCEPT_FIXED_RULE
204	reference-semantics/semantics/call.k	32	rule	rule <k> #applyK(toCall(typeV(T:String)),     ACC:Vals) => applyBuiltin(T, ACC)  ... </k>	ACCEPT_FIXED_RULE
205	reference-semantics/semantics/call.k	38	rule	rule <k> #applyK(toCall(builtinV(BN:String)), (ref(H:Int), REST:Vals))	ACCEPT_FIXED_RULE
206	reference-semantics/semantics/call.k	42	rule	rule <k> #applyK(toCall(builtinV(BN:String)), (A:Val, ref(H:Int), REST:Vals))	ACCEPT_FIXED_RULE
207	reference-semantics/semantics/call.k	47	rule	rule <k> #applyK(toCall(typeV(T:String)), (ref(H:Int), REST:Vals))	ACCEPT_FIXED_RULE
208	reference-semantics/semantics/call.k	52	syntax	syntax Bool ::= isMutMethod(String) [function, total]	ACCEPT_FIXED_DECLARATION
209	reference-semantics/semantics/call.k	53	rule	rule isMutMethod(M:String)	ACCEPT_FIXED_RULE
210	reference-semantics/semantics/call.k	56	rule	rule <k> #applyK(toCall(boundMethodV(ref(H:Int), M:String)), ACC:Vals)	ACCEPT_FIXED_RULE
211	reference-semantics/semantics/call.k	63	rule	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), (ref(H:Int), REST:Vals))	ACCEPT_FIXED_RULE
212	reference-semantics/semantics/call.k	69	rule	rule <k> #applyK(toCall(closureVal(PNS:ParamNames, BODY:Stmts, DEFL:Int)), ACC:Vals) ~> CONT	ACCEPT_FIXED_RULE
213	reference-semantics/semantics/call.k	80	rule	rule <k> #applyK(toCall(closureValC(PNS:ParamNames, CVS:ParamNames, BODY:Stmts, CM:Map)), ACC:Vals) ~> CONT	ACCEPT_FIXED_RULE
214	reference-semantics/semantics/call.k	87	syntax	syntax KItem ::= #allocCells(ParamNames)	ACCEPT_FIXED_DECLARATION
215	reference-semantics/semantics/call.k	88	rule	rule <k> #allocCells(.ParamNames) => .K ... </k>	ACCEPT_FIXED_RULE
216	reference-semantics/semantics/call.k	89	rule	rule <k> #allocCells((CV:String, R:ParamNames)) => #allocCells(R) ... </k>	ACCEPT_FIXED_RULE
217	reference-semantics/semantics/comprehension.k	11	rule	rule ListComp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)	ACCEPT_FIXED_RULE
218	reference-semantics/semantics/comprehension.k	12	rule	rule GenExp(ELT:Expr, Gs:CompFors)   => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)	ACCEPT_FIXED_RULE
219	reference-semantics/semantics/comprehension.k	14	syntax	syntax Stmts ::= compBody(CompFors, Expr) [macro]	ACCEPT_FIXED_DECLARATION
220	reference-semantics/semantics/comprehension.k	15	rule	rule compBody(Gs:CompFors, ELT:Expr)	ACCEPT_FIXED_RULE
221	reference-semantics/semantics/comprehension.k	18	syntax	syntax Stmt ::= compNest(CompFors, Expr) [macro-rec]	ACCEPT_FIXED_DECLARATION
222	reference-semantics/semantics/comprehension.k	19	rule	rule compNest(.CompFors, ELT:Expr)	ACCEPT_FIXED_RULE
223	reference-semantics/semantics/comprehension.k	21	rule	rule compNest((CompFor(T:Expr, ITER:Expr, Fs:Exprs) GRest:CompFors), ELT:Expr)	ACCEPT_FIXED_RULE
224	reference-semantics/semantics/comprehension.k	24	syntax	syntax Expr ::= compGuard(Exprs) [macro]	ACCEPT_FIXED_DECLARATION
225	reference-semantics/semantics/comprehension.k	25	rule	rule compGuard(.Exprs)             => Bool(true)	ACCEPT_FIXED_RULE
226	reference-semantics/semantics/comprehension.k	26	rule	rule compGuard((F:Expr, Fs:Exprs)) => BoolOp("and", (F, Fs))	ACCEPT_FIXED_RULE
227	reference-semantics/semantics/concrete.k	13	rule	rule <k> Compare(list(A:ValSeq), CmpOp("==", list(B:ValSeq))) => deepEqVS(A, B, HP) ... </k>	ACCEPT_FIXED_RULE
228	reference-semantics/semantics/concrete.k	16	rule	rule <k> Compare(list(A:ValSeq), CmpOp("!=", list(B:ValSeq))) => notBool deepEqVS(A, B, HP) ... </k>	ACCEPT_FIXED_RULE
229	reference-semantics/semantics/concrete.k	25	syntax	syntax Val ::= kvP(Val, Val)	ACCEPT_FIXED_DECLARATION
230	reference-semantics/semantics/concrete.k	26	syntax	syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool)	ACCEPT_FIXED_DECLARATION
231	reference-semantics/semantics/concrete.k	28	rule	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), .Vals))	ACCEPT_FIXED_RULE
232	reference-semantics/semantics/concrete.k	31	rule	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), kwV("reverse", RB:Bool), .Vals))	ACCEPT_FIXED_RULE
233	reference-semantics/semantics/concrete.k	34	rule	rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool)	ACCEPT_FIXED_RULE
234	reference-semantics/semantics/concrete.k	36	rule	rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool)	ACCEPT_FIXED_RULE
235	reference-semantics/semantics/concrete.k	38	rule	rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool)	ACCEPT_FIXED_RULE
236	reference-semantics/semantics/concrete.k	42	syntax	syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]	ACCEPT_FIXED_DECLARATION
237	reference-semantics/semantics/concrete.k	43	rule	rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)	ACCEPT_FIXED_RULE
238	reference-semantics/semantics/concrete.k	44	rule	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val)	ACCEPT_FIXED_RULE
239	reference-semantics/semantics/concrete.k	47	rule	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val)	ACCEPT_FIXED_RULE
240	reference-semantics/semantics/concrete.k	51	syntax	syntax Bool ::= kLt(Val, Val) [function]	ACCEPT_FIXED_DECLARATION
241	reference-semantics/semantics/concrete.k	52	rule	rule kLt(I1:Int, I2:Int)             => I1 <Int I2	ACCEPT_FIXED_RULE
242	reference-semantics/semantics/concrete.k	53	rule	rule kLt(F1:Float, F2:Float)         => F1 <Float F2	ACCEPT_FIXED_RULE
243	reference-semantics/semantics/concrete.k	54	rule	rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)	ACCEPT_FIXED_RULE
244	reference-semantics/semantics/concrete.k	56	syntax	syntax ValSeq ::= unpairVS(ValSeq) [function, total]	ACCEPT_FIXED_DECLARATION
245	reference-semantics/semantics/concrete.k	57	rule	rule unpairVS(.ValSeq) => .ValSeq	ACCEPT_FIXED_RULE
246	reference-semantics/semantics/concrete.k	58	rule	rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))	ACCEPT_FIXED_RULE
247	reference-semantics/semantics/concrete.k	59	rule	rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]	ACCEPT_FIXED_RULE
248	reference-semantics/semantics/controls.k	9	rule	rule <k> Assign(Name(X:String), V:Val) => .K ... </k>	ACCEPT_FIXED_RULE
249	reference-semantics/semantics/controls.k	12	rule	rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k>	ACCEPT_FIXED_RULE
250	reference-semantics/semantics/controls.k	20	rule	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k>	ACCEPT_FIXED_RULE
251	reference-semantics/semantics/controls.k	27	rule	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k>	ACCEPT_FIXED_RULE
252	reference-semantics/semantics/controls.k	35	rule	rule <k> ImportFrom("math", NS:ParamNames) => #bindImports(NS) ... </k>	ACCEPT_FIXED_RULE
253	reference-semantics/semantics/controls.k	36	rule	rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]	ACCEPT_FIXED_RULE
254	reference-semantics/semantics/controls.k	37	syntax	syntax KItem ::= #bindImports(ParamNames)	ACCEPT_FIXED_DECLARATION
255	reference-semantics/semantics/controls.k	38	rule	rule <k> #bindImports(.ParamNames) => .K ... </k>	ACCEPT_FIXED_RULE
256	reference-semantics/semantics/controls.k	39	rule	rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k>	ACCEPT_FIXED_RULE
257	reference-semantics/semantics/controls.k	43	rule	rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k>	ACCEPT_FIXED_RULE
258	reference-semantics/semantics/controls.k	48	rule	rule <k> Expr(_:Val) => .K ... </k>	ACCEPT_FIXED_RULE
259	reference-semantics/semantics/controls.k	51	syntax	syntax KItem ::= #branch(Bool, Stmts, Stmts)	ACCEPT_FIXED_DECLARATION
260	reference-semantics/semantics/controls.k	52	rule	rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>	ACCEPT_FIXED_RULE
261	reference-semantics/semantics/controls.k	53	rule	rule <k> #branch(true,  T:Stmts, _:Stmts) => T ... </k>	ACCEPT_FIXED_RULE
262	reference-semantics/semantics/controls.k	54	rule	rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>	ACCEPT_FIXED_RULE
263	reference-semantics/semantics/controls.k	57	rule	rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k>	ACCEPT_FIXED_RULE
264	reference-semantics/semantics/controls.k	59	rule	rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k>	ACCEPT_FIXED_RULE
265	reference-semantics/semantics/controls.k	65	syntax	syntax KItem ::= #loop(Val, Expr, Stmts) | #loopStep(Expr, Stmts)	ACCEPT_FIXED_DECLARATION
266	reference-semantics/semantics/controls.k	69	rule	rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>	ACCEPT_FIXED_RULE
267	reference-semantics/semantics/controls.k	71	rule	rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>	ACCEPT_FIXED_RULE
268	reference-semantics/semantics/controls.k	72	rule	rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>	ACCEPT_FIXED_RULE
269	reference-semantics/semantics/controls.k	73	rule	rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts)	ACCEPT_FIXED_RULE
270	reference-semantics/semantics/controls.k	77	rule	rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>	ACCEPT_FIXED_RULE
271	reference-semantics/semantics/controls.k	78	rule	rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>	ACCEPT_FIXED_RULE
272	reference-semantics/semantics/controls.k	79	rule	rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k>	ACCEPT_FIXED_RULE
273	reference-semantics/semantics/controls.k	81	rule	rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k>	ACCEPT_FIXED_RULE
274	reference-semantics/semantics/controls.k	85	rule	rule <k> #loopLbl(NEXT:K) => NEXT ... </k>	ACCEPT_FIXED_RULE
275	reference-semantics/semantics/controls.k	86	rule	rule <k> Continue => #cont ... </k>	ACCEPT_FIXED_RULE
276	reference-semantics/semantics/controls.k	87	rule	rule <k> Break => #brk ... </k>	ACCEPT_FIXED_RULE
277	reference-semantics/semantics/controls.k	88	rule	rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>	ACCEPT_FIXED_RULE
278	reference-semantics/semantics/controls.k	89	rule	rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]	ACCEPT_FIXED_RULE
279	reference-semantics/semantics/controls.k	90	rule	rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>	ACCEPT_FIXED_RULE
280	reference-semantics/semantics/controls.k	91	rule	rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]	ACCEPT_FIXED_RULE
281	reference-semantics/semantics/controls.k	95	rule	rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k>	ACCEPT_FIXED_RULE
282	reference-semantics/semantics/controls.k	98	rule	rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k>	ACCEPT_FIXED_RULE
283	reference-semantics/semantics/controls.k	101	rule	rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k>	ACCEPT_FIXED_RULE
284	reference-semantics/semantics/controls.k	106	rule	rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k>	ACCEPT_FIXED_RULE
285	reference-semantics/semantics/core.k	13	syntax	syntax IntSeq ::= ".IntSeq" | iCons(Int, IntSeq)	ACCEPT_FIXED_DECLARATION
286	reference-semantics/semantics/core.k	14	syntax	syntax ValSeq ::= ".ValSeq" | vCons(Val, ValSeq)	ACCEPT_FIXED_DECLARATION
287	reference-semantics/semantics/core.k	15	syntax	syntax Str    ::= str(IntSeq)	ACCEPT_FIXED_DECLARATION
288	reference-semantics/semantics/core.k	18	syntax	syntax Iterable ::= list(ValSeq)	ACCEPT_FIXED_DECLARATION
289	reference-semantics/semantics/core.k	25	syntax	syntax Val      ::= Int	ACCEPT_FIXED_DECLARATION
290	reference-semantics/semantics/core.k	36	syntax	syntax Parent   ::= "root" | parent(Int)	ACCEPT_FIXED_DECLARATION
291	reference-semantics/semantics/core.k	37	syntax	syntax Scope    ::= scope(Map, Parent)	ACCEPT_FIXED_DECLARATION
292	reference-semantics/semantics/core.k	38	syntax	syntax KResult  ::= Val	ACCEPT_FIXED_DECLARATION
293	reference-semantics/semantics/core.k	39	syntax	syntax Expr     ::= Val   // cooling puts results back into expression holes	ACCEPT_FIXED_DECLARATION
294	reference-semantics/semantics/core.k	40	syntax	syntax Vals     ::= List{Val, ","}	ACCEPT_FIXED_DECLARATION
295	reference-semantics/semantics/core.k	41	syntax	syntax Exc      ::= "NoExc" | "AssertionError"	ACCEPT_FIXED_DECLARATION
296	reference-semantics/semantics/core.k	42	syntax	syntax RetState ::= "noRet" | retV(Val)	ACCEPT_FIXED_DECLARATION
297	reference-semantics/semantics/core.k	49	configuration	configuration	ACCEPT_FIXED_CONFIGURATION
298	reference-semantics/semantics/core.k	68	syntax	syntax Bool ::= isRefV(Val) [function, total]	ACCEPT_FIXED_DECLARATION
299	reference-semantics/semantics/core.k	69	rule	rule isRefV(ref(_:Int)) => true	ACCEPT_FIXED_RULE
300	reference-semantics/semantics/core.k	70	rule	rule isRefV(_:Val)      => false [owise]	ACCEPT_FIXED_RULE
301	reference-semantics/semantics/core.k	75	syntax	syntax HeapVal ::= cellV(Val)	ACCEPT_FIXED_DECLARATION
302	reference-semantics/semantics/core.k	76	syntax	syntax Bool ::= isCellRef(Val) [function, total]	ACCEPT_FIXED_DECLARATION
303	reference-semantics/semantics/core.k	77	rule	rule isCellRef(cellRef(_:Int)) => true	ACCEPT_FIXED_RULE
304	reference-semantics/semantics/core.k	78	rule	rule isCellRef(_:Val)          => false [owise]	ACCEPT_FIXED_RULE
305	reference-semantics/semantics/core.k	85	rule	rule <k> cellRef(H:Int) => V ... </k>	ACCEPT_FIXED_RULE
306	reference-semantics/semantics/core.k	95	syntax	syntax Val ::= kwV(String, Val)	ACCEPT_FIXED_DECLARATION
307	reference-semantics/semantics/core.k	96	syntax	syntax KItem ::= #kwTag(String)	ACCEPT_FIXED_DECLARATION
308	reference-semantics/semantics/core.k	97	rule	rule <k> KwArg(N:String, E:Expr) => E ~> #kwTag(N) ... </k>	ACCEPT_FIXED_RULE
309	reference-semantics/semantics/core.k	98	rule	rule <k> V:Val ~> #kwTag(N:String) => kwV(N, V) ... </k>	ACCEPT_FIXED_RULE
310	reference-semantics/semantics/core.k	100	syntax	syntax Bool ::= isKwV(Val) [function, total]	ACCEPT_FIXED_DECLARATION
311	reference-semantics/semantics/core.k	101	rule	rule isKwV(kwV(_:String, _:Val)) => true	ACCEPT_FIXED_RULE
312	reference-semantics/semantics/core.k	102	rule	rule isKwV(_:Val)                => false [owise]	ACCEPT_FIXED_RULE
313	reference-semantics/semantics/core.k	106	syntax	syntax Val ::= cellsMark(ParamNames)	ACCEPT_FIXED_DECLARATION
314	reference-semantics/semantics/core.k	107	syntax	syntax ParamNames ::= cellsOf(Val) [function]	ACCEPT_FIXED_DECLARATION
315	reference-semantics/semantics/core.k	108	rule	rule cellsOf(cellsMark(CVS:ParamNames)) => CVS	ACCEPT_FIXED_RULE
316	reference-semantics/semantics/core.k	109	syntax	syntax Bool ::= pnMember(String, ParamNames) [function, total]	ACCEPT_FIXED_DECLARATION
317	reference-semantics/semantics/core.k	110	rule	rule pnMember(_:String, .ParamNames) => false	ACCEPT_FIXED_RULE
318	reference-semantics/semantics/core.k	111	rule	rule pnMember(X:String, (P:String, R:ParamNames)) => X ==String P orBool pnMember(X, R)	ACCEPT_FIXED_RULE
319	reference-semantics/semantics/core.k	113	syntax	syntax KItem ::= #cellW(Val, Val)	ACCEPT_FIXED_DECLARATION
320	reference-semantics/semantics/core.k	114	rule	rule <k> #cellW(cellRef(H:Int), V:Val) => .K ... </k>	ACCEPT_FIXED_RULE
321	reference-semantics/semantics/core.k	117	syntax	syntax KItem ::= #alloc(Val)	ACCEPT_FIXED_DECLARATION
322	reference-semantics/semantics/core.k	118	rule	rule <k> #alloc(V:Val) => ref(N) ... </k>	ACCEPT_FIXED_RULE
323	reference-semantics/semantics/core.k	124	syntax	syntax KItem ::= #loadAll(Module)	ACCEPT_FIXED_DECLARATION
324	reference-semantics/semantics/core.k	125	rule	rule <k> #loadAll(Module(SS:Stmts)) => SS ... </k>	ACCEPT_FIXED_RULE
325	reference-semantics/semantics/core.k	126	rule	rule <k> (S:Stmt SS:Stmts):Stmts => S ~> SS ... </k>	ACCEPT_FIXED_RULE
326	reference-semantics/semantics/core.k	127	rule	rule <k> .Stmts => .K ... </k>	ACCEPT_FIXED_RULE
327	reference-semantics/semantics/core.k	130	syntax	syntax KItem ::= #look(String, Int)	ACCEPT_FIXED_DECLARATION
328	reference-semantics/semantics/core.k	131	rule	rule <k> Name(X:String) => #look(X, L) ... </k> <env> L:Int </env>	ACCEPT_FIXED_RULE
329	reference-semantics/semantics/core.k	132	rule	rule <k> #look(X:String, L:Int) => {M[X]}:>Val ... </k>	ACCEPT_FIXED_RULE
330	reference-semantics/semantics/core.k	145	rule	rule <k> #look(X:String, L:Int) => V ... </k>	ACCEPT_FIXED_RULE
331	reference-semantics/semantics/core.k	152	rule	rule <k> #look(X:String, L:Int) => #look(X, P) ... </k>	ACCEPT_FIXED_RULE
332	reference-semantics/semantics/core.k	157	syntax	syntax Scope ::= "builtinsScope" [function, total]	ACCEPT_FIXED_DECLARATION
333	reference-semantics/semantics/core.k	158	rule	rule builtinsScope	ACCEPT_FIXED_RULE
334	reference-semantics/semantics/core.k	185	syntax	syntax ApplyK ::= toCall(Val)	ACCEPT_FIXED_DECLARATION
335	reference-semantics/semantics/core.k	186	syntax	syntax KItem  ::= #evalArgs(Exprs, Vals, ApplyK)	ACCEPT_FIXED_DECLARATION
336	reference-semantics/semantics/core.k	189	rule	rule <k> #evalArgs((A:Expr, REST:Exprs), ACC:Vals, K:ApplyK) => A ~> #evalArgCont(REST, ACC, K) ... </k>	ACCEPT_FIXED_RULE
337	reference-semantics/semantics/core.k	190	rule	rule <k> V:Val ~> #evalArgCont(REST:Exprs, ACC:Vals, K:ApplyK) => #evalArgs(REST, appendVal(ACC, V), K) ... </k>	ACCEPT_FIXED_RULE
338	reference-semantics/semantics/core.k	191	rule	rule <k> #evalArgs(.Exprs, ACC:Vals, K:ApplyK) => #applyK(K, ACC) ... </k>	ACCEPT_FIXED_RULE
339	reference-semantics/semantics/core.k	194	rule	rule <k> Int(I:Int)   => I ... </k>	ACCEPT_FIXED_RULE
340	reference-semantics/semantics/core.k	195	rule	rule <k> Bool(B:Bool) => B ... </k>	ACCEPT_FIXED_RULE
341	reference-semantics/semantics/core.k	196	rule	rule <k> NoneVal      => noneV ... </k>	ACCEPT_FIXED_RULE
342	reference-semantics/semantics/core.k	199	syntax	syntax Bool ::= truthy(Val) [function]	ACCEPT_FIXED_DECLARATION
343	reference-semantics/semantics/core.k	200	rule	rule truthy(B:Bool)          => B	ACCEPT_FIXED_RULE
344	reference-semantics/semantics/core.k	201	rule	rule truthy(noneV)           => false	ACCEPT_FIXED_RULE
345	reference-semantics/semantics/core.k	202	rule	rule truthy(I:Int)           => I =/=Int 0	ACCEPT_FIXED_RULE
346	reference-semantics/semantics/core.k	203	rule	rule truthy(str(S:IntSeq))   => notBool (S ==K .IntSeq)	ACCEPT_FIXED_RULE
347	reference-semantics/semantics/core.k	204	rule	rule truthy(list(V:ValSeq))  => notBool (V ==K .ValSeq)	ACCEPT_FIXED_RULE
348	reference-semantics/semantics/core.k	205	rule	rule truthy(tuple(V:ValSeq)) => notBool (V ==K .ValSeq)	ACCEPT_FIXED_RULE
349	reference-semantics/semantics/core.k	208	syntax	syntax Val  ::= applyUn(String, Val) [function]	ACCEPT_FIXED_DECLARATION
350	reference-semantics/semantics/core.k	209	syntax	syntax Val  ::= applyBin(String, Val, Val) [function]	ACCEPT_FIXED_DECLARATION
351	reference-semantics/semantics/core.k	210	syntax	syntax Bool ::= applyCmp(String, Val, Val) [function]	ACCEPT_FIXED_DECLARATION
352	reference-semantics/semantics/core.k	213	syntax	syntax Vals ::= appendVal(Vals, Val) [function, total]	ACCEPT_FIXED_DECLARATION
353	reference-semantics/semantics/core.k	214	rule	rule appendVal(.Vals, V:Val)              => V , .Vals	ACCEPT_FIXED_RULE
354	reference-semantics/semantics/core.k	215	rule	rule appendVal((V0:Val, VS:Vals), V:Val)  => V0 , appendVal(VS, V)	ACCEPT_FIXED_RULE
355	reference-semantics/semantics/core.k	217	syntax	syntax ValSeq ::= vals2valSeq(Vals) [function, total]	ACCEPT_FIXED_DECLARATION
356	reference-semantics/semantics/core.k	218	rule	rule vals2valSeq(.Vals)            => .ValSeq	ACCEPT_FIXED_RULE
357	reference-semantics/semantics/core.k	219	rule	rule vals2valSeq((V:Val, VS:Vals)) => vCons(V, vals2valSeq(VS))	ACCEPT_FIXED_RULE
358	reference-semantics/semantics/core.k	223	syntax	syntax Int ::= vsLen(ValSeq) [function, total]	ACCEPT_FIXED_DECLARATION
359	reference-semantics/semantics/core.k	224	rule	rule vsLen(.ValSeq)                => 0	ACCEPT_FIXED_RULE
360	reference-semantics/semantics/core.k	225	rule	rule vsLen(vCons(_:Val, S:ValSeq)) => 1 +Int vsLen(S)	ACCEPT_FIXED_RULE
