id	file	start_line	end_line	kind	attributes	relevance	decision	justification	sentence
K-0164	semantics/builtins.k	254	254	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule passAddE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
K-0165	semantics/builtins.k	255	255	syntax	function,total	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	syntax EvPair ::= passLGoE(String, Int, OpSeq, IntSeq, OpSeq, IntSeq) [function, total]
K-0166	semantics/builtins.k	256	256	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule passLGoE(_:String, CUR:Int, .OpSeq, _:IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR))
K-0167	semantics/builtins.k	257	259	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq)\n    => passLGoE(L, applyOpE(O, CUR, N), OPS, NDS, OO, ON)\n       requires inLevelE(L, O)
K-0168	semantics/builtins.k	260	262	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq)\n    => passLGoE(L, N, OPS, NDS, appendOpE(OO, O), appendIE(ON, CUR))\n       requires notBool inLevelE(L, O)
K-0169	semantics/builtins.k	263	264	rule	owise	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule passLGoE(_:String, CUR:Int, oCons(_:String, _:OpSeq), .IntSeq, OO:OpSeq, ON:IntSeq)\n    => evp(OO, appendIE(ON, CUR)) [owise]
K-0170	semantics/builtins.k	265	265	syntax	function,total	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	syntax Bool ::= inLevelE(String, String) [function, total]
K-0171	semantics/builtins.k	266	266	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule inLevelE(""mul"", O:String) => O ==String ""*"" orBool O ==String ""//"" orBool O ==String ""/"""
K-0172	semantics/builtins.k	267	267	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule inLevelE(""add"", O:String) => O ==String ""+"" orBool O ==String ""-"""
K-0173	semantics/builtins.k	268	268	rule	owise	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule inLevelE(_:String, _:String) => false [owise]
K-0174	semantics/builtins.k	269	269	syntax	function,total	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	syntax OpSeq ::= appendOpE(OpSeq, String) [function, total]
K-0175	semantics/builtins.k	270	270	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule appendOpE(.OpSeq, O:String) => oCons(O, .OpSeq)
K-0176	semantics/builtins.k	271	271	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule appendOpE(oCons(H:String, T:OpSeq), O:String) => oCons(H, appendOpE(T, O))
K-0177	semantics/builtins.k	272	272	syntax	function,total	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	syntax IntSeq ::= appendIE(IntSeq, Int) [function, total]
K-0178	semantics/builtins.k	273	273	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule appendIE(.IntSeq, N:Int) => iCons(N, .IntSeq)
K-0179	semantics/builtins.k	274	274	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule appendIE(iCons(H:Int, T:IntSeq), N:Int) => iCons(H, appendIE(T, N))
K-0180	semantics/builtins.k	279	279	syntax	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"syntax KItem ::= ""#md5"""
K-0181	semantics/builtins.k	280	281	rule	priority	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule <k> Call(Attribute(Name(""hashlib""), ""md5""), (E:Expr, .Exprs)) => E ~> #md5 ... </k>\n       [priority(40)]"
K-0182	semantics/builtins.k	282	282	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule <k> str(CS:IntSeq) ~> #md5 => md5Obj(CS) ... </k>
K-0183	semantics/builtins.k	283	283	syntax	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	syntax Val ::= md5Obj(IntSeq)
K-0184	semantics/builtins.k	284	284	rule	-	OFF_PATH_OPAQUE	ACCEPT_NONMATERIAL_TRUST_BOUNDARY	Explicit opaque fixed-semantics primitive. No constructor, binding, call, branch, state cell, or postcondition in this task can reach its symbol.	"rule applyMethod(md5Obj(CS:IntSeq), ""hexdigest"", .Vals) => str(md5hexCodes(CS))"
K-0185	semantics/builtins.k	285	285	syntax	function,no-evaluators,symbol,total	OFF_PATH_OPAQUE	ACCEPT_NONMATERIAL_TRUST_BOUNDARY	Explicit opaque fixed-semantics primitive. No constructor, binding, call, branch, state cell, or postcondition in this task can reach its symbol.	syntax IntSeq ::= md5hexCodes(IntSeq) [function, total, symbol(md5hexCodes), no-evaluators]
K-0186	semantics/builtins.k	291	291	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule applyBuiltin(""isinstance"", V:Val, typeV(""int""), .Vals) => isIntV(V)"
K-0187	semantics/builtins.k	292	292	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule applyBuiltin(""isinstance"", V:Val, typeV(""str""), .Vals) => isStrV(V)"
K-0188	semantics/builtins.k	293	293	syntax	function	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	syntax Bool ::= isIntV(Val) [function] | isStrV(Val) [function]
K-0189	semantics/builtins.k	294	294	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule isIntV(_:Int)         => true
K-0190	semantics/builtins.k	295	295	rule	owise	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule isIntV(_:Val)         => false [owise]
K-0191	semantics/builtins.k	296	296	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule isStrV(str(_:IntSeq)) => true
K-0192	semantics/builtins.k	297	297	rule	owise	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule isStrV(_:Val)         => false [owise]
K-0193	semantics/call.k	16	16	rule	-	MATERIAL_SEMANTICS	ACCEPT	Material callee/argument/method/closure dispatch; selected binding and continuation are evaluated without an execution shortcut.	rule <k> Attribute(V:Val, M:String) => boundMethodV(V, M) ... </k>
K-0194	semantics/call.k	19	19	syntax	-	MATERIAL_SEMANTICS	ACCEPT	Material callee/argument/method/closure dispatch; selected binding and continuation are evaluated without an execution shortcut.	syntax KItem ::= #callee(Exprs)
K-0195	semantics/call.k	20	20	rule	owise	MATERIAL_SEMANTICS	ACCEPT	Material callee/argument/method/closure dispatch; selected binding and continuation are evaluated without an execution shortcut.	rule <k> Call(Fe:Expr, ARGS:Exprs) => Fe ~> #callee(ARGS) ... </k> [owise]
K-0196	semantics/call.k	21	21	rule	-	MATERIAL_SEMANTICS	ACCEPT	Material callee/argument/method/closure dispatch; selected binding and continuation are evaluated without an execution shortcut.	rule <k> CV:Val ~> #callee(ARGS:Exprs) => #evalArgs(ARGS, .Vals, toCall(CV)) ... </k>
K-0197	semantics/call.k	24	24	rule	-	MATERIAL_SEMANTICS	ACCEPT	Material callee/argument/method/closure dispatch; selected binding and continuation are evaluated without an execution shortcut.	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), ACC:Vals) => applyMethod(OBJ, M, ACC) ... </k>
K-0198	semantics/call.k	26	26	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule <k> #applyK(toCall(builtinV(""sum"")), (OBJ:Iterable, .Vals)) => #sumAcc(OBJ, 0) ... </k>"
K-0199	semantics/call.k	27	27	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule <k> #applyK(toCall(builtinV(""all"")), (OBJ:Iterable, .Vals)) => #allAcc(OBJ)    ... </k>"
K-0200	semantics/call.k	28	28	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule <k> #applyK(toCall(builtinV(""any"")), (OBJ:Iterable, .Vals)) => #anyAcc(OBJ)    ... </k>"
K-0201	semantics/call.k	29	29	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule <k> #applyK(toCall(builtinV(""max"")), (OBJ:Iterable, .Vals)) => #maxAcc0(OBJ)   ... </k>"
K-0202	semantics/call.k	30	30	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule <k> #applyK(toCall(builtinV(""min"")), (OBJ:Iterable, .Vals)) => #minAcc0(OBJ)   ... </k>"
K-0203	semantics/call.k	31	31	rule	owise	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule <k> #applyK(toCall(builtinV(BN:String)), ACC:Vals) => applyBuiltin(BN, ACC) ... </k> [owise]
K-0204	semantics/call.k	32	32	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule <k> #applyK(toCall(typeV(T:String)),     ACC:Vals) => applyBuiltin(T, ACC)  ... </k>
K-0205	semantics/call.k	38	41	rule	priority	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule <k> #applyK(toCall(builtinV(BN:String)), (ref(H:Int), REST:Vals))\n        => #applyK(toCall(builtinV(BN)), (V, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       [priority(40)]
K-0206	semantics/call.k	42	46	rule	priority	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule <k> #applyK(toCall(builtinV(BN:String)), (A:Val, ref(H:Int), REST:Vals))\n        => #applyK(toCall(builtinV(BN)), (A, V, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires notBool isRefV(A)\n       [priority(40)]
K-0207	semantics/call.k	47	50	rule	priority	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule <k> #applyK(toCall(typeV(T:String)), (ref(H:Int), REST:Vals))\n        => #applyK(toCall(typeV(T)), (V, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       [priority(40)]
K-0208	semantics/call.k	52	52	syntax	function,total	MATERIAL_SEMANTICS	ACCEPT	Material callee/argument/method/closure dispatch; selected binding and continuation are evaluated without an execution shortcut.	syntax Bool ::= isMutMethod(String) [function, total]
K-0209	semantics/call.k	53	55	rule	-	MATERIAL_SEMANTICS	ACCEPT	Material callee/argument/method/closure dispatch; selected binding and continuation are evaluated without an execution shortcut.	"rule isMutMethod(M:String)\n    => M ==String ""append"" orBool M ==String ""sort"" orBool M ==String ""extend""\n       orBool M ==String ""insert"" orBool M ==String ""pop"" orBool M ==String ""remove"""
K-0210	semantics/call.k	56	60	rule	priority	MATERIAL_SEMANTICS	ACCEPT	Material callee/argument/method/closure dispatch; selected binding and continuation are evaluated without an execution shortcut.	rule <k> #applyK(toCall(boundMethodV(ref(H:Int), M:String)), ACC:Vals)\n        => #applyK(toCall(boundMethodV(V, M)), ACC) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires notBool isMutMethod(M)\n       [priority(40)]
K-0211	semantics/call.k	63	67	rule	priority	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), (ref(H:Int), REST:Vals))\n        => #applyK(toCall(boundMethodV(OBJ, M)), (V, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires notBool isMutMethod(M) andBool notBool isRefV(OBJ)\n       [priority(40)]
K-0212	semantics/call.k	69	74	rule	-	MATERIAL_SEMANTICS	ACCEPT	Material callee/argument/method/closure dispatch; selected binding and continuation are evaluated without an execution shortcut.	rule <k> #applyK(toCall(closureVal(PNS:ParamNames, BODY:Stmts, DEFL:Int)), ACC:Vals) ~> CONT\n        => #bindP(PNS, ACC) ~> BODY ~> #endcall </k>\n       <env>     CALLERL:Int => NEWL </env>\n       <scopes>   STORE:Map => STORE [ NEWL <- scope(.Map, parent(DEFL)) ] </scopes>\n       <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc>\n       <stack>   .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>
K-0213	semantics/call.k	80	85	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule <k> #applyK(toCall(closureValC(PNS:ParamNames, CVS:ParamNames, BODY:Stmts, CM:Map)), ACC:Vals) ~> CONT\n        => #allocCells(CVS) ~> #bindP(PNS, ACC) ~> BODY ~> #endcall </k>\n       <env>     CALLERL:Int => NEWL </env>\n       <scopes>   STORE:Map => STORE [ NEWL <- scope(CM [ ""$cells"" <- cellsMark(CVS) ], parent(0)) ] </scopes>\n       <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc>\n       <stack>   .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>"
K-0214	semantics/call.k	87	87	syntax	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	syntax KItem ::= #allocCells(ParamNames)
K-0215	semantics/call.k	88	88	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule <k> #allocCells(.ParamNames) => .K ... </k>
K-0216	semantics/call.k	89	94	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule <k> #allocCells((CV:String, R:ParamNames)) => #allocCells(R) ... </k>\n       <env> L:Int </env>\n       <scopes> ... L |-> scope(M:Map => M [ CV <- cellRef(N) ], _) ... </scopes>\n       <heap>    H:Map => (N |-> cellV(noneV)) H </heap>\n       <heapLoc> N:Int => N +Int 1 </heapLoc>\n       requires notBool N in_keys(H)
K-0217	semantics/comprehension.k	11	11	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule ListComp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
K-0218	semantics/comprehension.k	12	12	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule GenExp(ELT:Expr, Gs:CompFors)   => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
K-0219	semantics/comprehension.k	14	14	syntax	macro	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	syntax Stmts ::= compBody(CompFors, Expr) [macro]
K-0220	semantics/comprehension.k	15	16	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule compBody(Gs:CompFors, ELT:Expr)\n    => Assign(Name(""$acc""), ListExpr(.Exprs)) compNest(Gs, ELT) Return(Name(""$acc""))"
K-0221	semantics/comprehension.k	18	18	syntax	macro-rec	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	syntax Stmt ::= compNest(CompFors, Expr) [macro-rec]
K-0222	semantics/comprehension.k	19	20	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule compNest(.CompFors, ELT:Expr)\n    => Assign(Name(""$acc""), BinOp(""+"", Name(""$acc""), ListExpr(ELT)))"
K-0223	semantics/comprehension.k	21	22	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule compNest((CompFor(T:Expr, ITER:Expr, Fs:Exprs) GRest:CompFors), ELT:Expr)\n    => For(T, ITER, If(compGuard(Fs), compNest(GRest, ELT), .Stmts))
K-0224	semantics/comprehension.k	24	24	syntax	macro	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	syntax Expr ::= compGuard(Exprs) [macro]
K-0225	semantics/comprehension.k	25	25	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule compGuard(.Exprs)             => Bool(true)
K-0226	semantics/comprehension.k	26	26	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule compGuard((F:Expr, Fs:Exprs)) => BoolOp(""and"", (F, Fs))"
K-0227	semantics/concrete.k	13	15	rule	-	CONCRETE_ONLY_OFF_PATH	ACCEPT	LLVM-only deep-equality/keyed-sort declaration or rule. The target uses neither operation, and this module is absent from the proof definition.	"rule <k> Compare(list(A:ValSeq), CmpOp(""=="", list(B:ValSeq))) => deepEqVS(A, B, HP) ... </k>\n       <heap> HP:Map </heap>\n       requires hasRefVS(A) orBool hasRefVS(B)"
K-0228	semantics/concrete.k	16	18	rule	-	CONCRETE_ONLY_OFF_PATH	ACCEPT	LLVM-only deep-equality/keyed-sort declaration or rule. The target uses neither operation, and this module is absent from the proof definition.	"rule <k> Compare(list(A:ValSeq), CmpOp(""!="", list(B:ValSeq))) => notBool deepEqVS(A, B, HP) ... </k>\n       <heap> HP:Map </heap>\n       requires hasRefVS(A) orBool hasRefVS(B)"
K-0229	semantics/concrete.k	25	25	syntax	-	CONCRETE_ONLY_OFF_PATH	ACCEPT	LLVM-only deep-equality/keyed-sort declaration or rule. The target uses neither operation, and this module is absent from the proof definition.	syntax Val ::= kvP(Val, Val)
K-0230	semantics/concrete.k	26	27	syntax	-	CONCRETE_ONLY_OFF_PATH	ACCEPT	LLVM-only deep-equality/keyed-sort declaration or rule. The target uses neither operation, and this module is absent from the proof definition.	syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool)\n                 | #ksIns(Val, ValSeq, Val, ValSeq, Bool)
K-0231	semantics/concrete.k	28	30	rule	priority	CONCRETE_ONLY_OFF_PATH	ACCEPT	LLVM-only deep-equality/keyed-sort declaration or rule. The target uses neither operation, and this module is absent from the proof definition.	"rule <k> #applyK(toCall(builtinV(""sorted"")), (list(VS:ValSeq), kwV(""key"", KV:Val), .Vals))\n        => #ksort(VS, KV, .ValSeq, false) ... </k>\n       [priority(40)]"
K-0232	semantics/concrete.k	31	33	rule	priority	CONCRETE_ONLY_OFF_PATH	ACCEPT	LLVM-only deep-equality/keyed-sort declaration or rule. The target uses neither operation, and this module is absent from the proof definition.	"rule <k> #applyK(toCall(builtinV(""sorted"")), (list(VS:ValSeq), kwV(""key"", KV:Val), kwV(""reverse"", RB:Bool), .Vals))\n        => #ksort(VS, KV, .ValSeq, RB) ... </k>\n       [priority(40)]"
K-0233	semantics/concrete.k	34	35	rule	-	CONCRETE_ONLY_OFF_PATH	ACCEPT	LLVM-only deep-equality/keyed-sort declaration or rule. The target uses neither operation, and this module is absent from the proof definition.	rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool)\n        => #alloc(list(condRev(unpairVS(ACC), RB))) ... </k>
K-0234	semantics/concrete.k	36	37	rule	-	CONCRETE_ONLY_OFF_PATH	ACCEPT	LLVM-only deep-equality/keyed-sort declaration or rule. The target uses neither operation, and this module is absent from the proof definition.	rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool)\n        => KV ~> #callee((V, .Exprs)) ~> #ksIns(V, R, KV, ACC, RB) ... </k>
K-0235	semantics/concrete.k	38	40	rule	-	CONCRETE_ONLY_OFF_PATH	ACCEPT	LLVM-only deep-equality/keyed-sort declaration or rule. The target uses neither operation, and this module is absent from the proof definition.	rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool)\n        => #ksort(R, KV, insPair(ACC, K, V), RB) ... </k>\n       requires notBool isKwV(K)
K-0236	semantics/concrete.k	42	42	syntax	function	CONCRETE_ONLY_OFF_PATH	ACCEPT	LLVM-only deep-equality/keyed-sort declaration or rule. The target uses neither operation, and this module is absent from the proof definition.	syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]
K-0237	semantics/concrete.k	43	43	rule	-	CONCRETE_ONLY_OFF_PATH	ACCEPT	LLVM-only deep-equality/keyed-sort declaration or rule. The target uses neither operation, and this module is absent from the proof definition.	rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)
