id,file,source_line,symbol,production,attributes,total,functional,opaque_no_evaluators,explicit_direct_equations,used_by_solution,decision
semantics/sort.k:57#function-1,semantics/sort.k,57,condRev,"syntax ValSeq ::= condRev(ValSeq, Bool)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/str.k:13#function-1,semantics/str.k,13,strToCodes,syntax IntSeq ::= strToCodes(String),function,False,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/str.k:20#function-1,semantics/str.k,20,seqConcat,"syntax IntSeq ::= seqConcat(IntSeq, IntSeq)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/str.k:32#function-1,semantics/str.k,32,strPrefix,"syntax Bool ::= strPrefix(IntSeq, IntSeq)",function;total,True,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/str.k:37#function-1,semantics/str.k,37,strContains,"syntax Bool ::= strContains(IntSeq, IntSeq)",function;total,True,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/str.k:48#function-1,semantics/str.k,48,strLt,"syntax Bool ::= strLt(IntSeq, IntSeq)",function;total,True,False,False,6,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/subscript.k:11#function-1,semantics/subscript.k,11,valSeqAt,"syntax Val ::= valSeqAt(ValSeq, Int)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/subscript.k:16#function-1,semantics/subscript.k,16,intSeqAt,"syntax Int ::= intSeqAt(IntSeq, Int)",function,False,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/subscript.k:21#function-1,semantics/subscript.k,21,normIdx,"syntax Int ::= normIdx(Int, Int)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/subscript.k:37#function-1,semantics/subscript.k,37,applyIndex,"syntax Val ::= applyIndex(Val, Int)",function,False,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/subscript.k:63#function-1,semantics/subscript.k,63,doSlice,"syntax Val ::= doSlice(Val, OptInt, OptInt, OptInt)",function,False,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/subscript.k:72#function-1,semantics/subscript.k,72,slStep,syntax Int ::= slStep(OptInt),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/subscript.k:76#function-1,semantics/subscript.k,76,slStart,"syntax Int ::= slStart(OptInt, OptInt, Int)",function,False,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/subscript.k:83#function-1,semantics/subscript.k,83,slStop,"syntax Int ::= slStop(OptInt, OptInt, Int)",function,False,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/subscript.k:90#function-1,semantics/subscript.k,90,slAdjust,"syntax Int ::= slAdjust(Int, Int, Int)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/subscript.k:96#function-1,semantics/subscript.k,96,clampLo,"syntax Int ::= clampLo(Int, Int)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/subscript.k:102#function-1,semantics/subscript.k,102,clampHi,"syntax Int ::= clampHi(Int, Int, Int)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/subscript.k:109#function-1,semantics/subscript.k,109,buildVS,"syntax ValSeq ::= buildVS(ValSeq, Int, Int, Int)",function,False,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/subscript.k:116#function-1,semantics/subscript.k,116,buildIS,"syntax IntSeq ::= buildIS(IntSeq, Int, Int, Int)",function,False,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/tuple.k:24#function-1,semantics/tuple.k,24,idxOfVS,"syntax Int ::= idxOfVS(ValSeq, Val, Int)",function,False,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
verification.k:9#function-1,verification.k,9,solutionClosure,"syntax Val ::= ""solutionClosure"" ""("" "")""",function;total,True,False,False,1,True,SOUND_DEFINITIONAL_EXTENSION
