COMMAND: python3 /audit-output/evidence/inventory_k.py
source	line	kind	attributes	disposition	declaration
reference-semantics/semantics/builtins.k	273	rule	rule	fixed supplied semantics	rule appendIE(.IntSeq, N:Int) => iCons(N, .IntSeq)
reference-semantics/semantics/builtins.k	274	rule	rule	fixed supplied semantics	rule appendIE(iCons(H:Int, T:IntSeq), N:Int) => iCons(H, appendIE(T, N))
reference-semantics/semantics/builtins.k	279	syntax	syntax	fixed supplied semantics	syntax KItem ::= "#md5"
reference-semantics/semantics/builtins.k	280	rule	priority	fixed supplied semantics	rule <k> Call(Attribute(Name("hashlib"), "md5"), (E:Expr, .Exprs)) => E ~> #md5 ... </k> [priority(40)]
reference-semantics/semantics/builtins.k	282	rule	rule	fixed supplied semantics	rule <k> str(CS:IntSeq) ~> #md5 => md5Obj(CS) ... </k>
reference-semantics/semantics/builtins.k	283	syntax	syntax	fixed supplied semantics	syntax Val ::= md5Obj(IntSeq)
reference-semantics/semantics/builtins.k	284	rule	rule	fixed supplied semantics	rule applyMethod(md5Obj(CS:IntSeq), "hexdigest", .Vals) => str(md5hexCodes(CS))
reference-semantics/semantics/builtins.k	285	syntax	function,total,opaque-or-external-symbol	fixed supplied semantics	syntax IntSeq ::= md5hexCodes(IntSeq) [function, total, symbol(md5hexCodes), no-evaluators]
reference-semantics/semantics/builtins.k	291	rule	rule	fixed supplied semantics	rule applyBuiltin("isinstance", V:Val, typeV("int"), .Vals) => isIntV(V)
reference-semantics/semantics/builtins.k	292	rule	rule	fixed supplied semantics	rule applyBuiltin("isinstance", V:Val, typeV("str"), .Vals) => isStrV(V)
reference-semantics/semantics/builtins.k	293	syntax	function	fixed supplied semantics	syntax Bool ::= isIntV(Val) [function] | isStrV(Val) [function]
reference-semantics/semantics/builtins.k	294	rule	rule	fixed supplied semantics	rule isIntV(_:Int)         => true
reference-semantics/semantics/builtins.k	295	rule	owise	fixed supplied semantics	rule isIntV(_:Val)         => false [owise]
reference-semantics/semantics/builtins.k	296	rule	rule	fixed supplied semantics	rule isStrV(str(_:IntSeq)) => true
reference-semantics/semantics/builtins.k	297	rule	owise	fixed supplied semantics	rule isStrV(_:Val)         => false [owise]
reference-semantics/semantics/call.k	16	rule	rule	fixed supplied semantics	rule <k> Attribute(V:Val, M:String) => boundMethodV(V, M) ... </k>
reference-semantics/semantics/call.k	19	syntax	syntax	fixed supplied semantics	syntax KItem ::= #callee(Exprs)
reference-semantics/semantics/call.k	20	rule	owise	fixed supplied semantics	rule <k> Call(Fe:Expr, ARGS:Exprs) => Fe ~> #callee(ARGS) ... </k> [owise]
reference-semantics/semantics/call.k	21	rule	rule	fixed supplied semantics	rule <k> CV:Val ~> #callee(ARGS:Exprs) => #evalArgs(ARGS, .Vals, toCall(CV)) ... </k>
reference-semantics/semantics/call.k	24	rule	rule	fixed supplied semantics	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), ACC:Vals) => applyMethod(OBJ, M, ACC) ... </k>
reference-semantics/semantics/call.k	26	rule	rule	fixed supplied semantics	rule <k> #applyK(toCall(builtinV("sum")), (OBJ:Iterable, .Vals)) => #sumAcc(OBJ, 0) ... </k>
reference-semantics/semantics/call.k	27	rule	rule	fixed supplied semantics	rule <k> #applyK(toCall(builtinV("all")), (OBJ:Iterable, .Vals)) => #allAcc(OBJ)    ... </k>
reference-semantics/semantics/call.k	28	rule	rule	fixed supplied semantics	rule <k> #applyK(toCall(builtinV("any")), (OBJ:Iterable, .Vals)) => #anyAcc(OBJ)    ... </k>
reference-semantics/semantics/call.k	29	rule	rule	fixed supplied semantics	rule <k> #applyK(toCall(builtinV("max")), (OBJ:Iterable, .Vals)) => #maxAcc0(OBJ)   ... </k>
reference-semantics/semantics/call.k	30	rule	rule	fixed supplied semantics	rule <k> #applyK(toCall(builtinV("min")), (OBJ:Iterable, .Vals)) => #minAcc0(OBJ)   ... </k>
reference-semantics/semantics/call.k	31	rule	owise	fixed supplied semantics	rule <k> #applyK(toCall(builtinV(BN:String)), ACC:Vals) => applyBuiltin(BN, ACC) ... </k> [owise]
reference-semantics/semantics/call.k	32	rule	rule	fixed supplied semantics	rule <k> #applyK(toCall(typeV(T:String)),     ACC:Vals) => applyBuiltin(T, ACC)  ... </k>
reference-semantics/semantics/call.k	38	rule	priority	fixed supplied semantics	rule <k> #applyK(toCall(builtinV(BN:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/call.k	42	rule	rule	fixed supplied semantics	rule <k> #applyK(toCall(builtinV(BN:String)), (A:Val, ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (A, V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
reference-semantics/semantics/call.k	47	rule	priority	fixed supplied semantics	rule <k> #applyK(toCall(typeV(T:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(typeV(T)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/call.k	52	syntax	function,total	fixed supplied semantics	syntax Bool ::= isMutMethod(String) [function, total]
reference-semantics/semantics/call.k	53	rule	rule	fixed supplied semantics	rule isMutMethod(M:String) => M ==String "append" orBool M ==String "sort" orBool M ==String "extend" orBool M ==String "insert" orBool M ==String "pop" orBool M ==String "remove"
reference-semantics/semantics/call.k	56	rule	rule	fixed supplied semantics	rule <k> #applyK(toCall(boundMethodV(ref(H:Int), M:String)), ACC:Vals) => #applyK(toCall(boundMethodV(V, M)), ACC) ... </k> <heap> ... H |-> V:Val ... </heap>
reference-semantics/semantics/call.k	63	rule	rule	fixed supplied semantics	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(boundMethodV(OBJ, M)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
reference-semantics/semantics/call.k	69	rule	rule	fixed supplied semantics	rule <k> #applyK(toCall(closureVal(PNS:ParamNames, BODY:Stmts, DEFL:Int)), ACC:Vals) ~> CONT => #bindP(PNS, ACC) ~> BODY ~> #endcall </k> <env>     CALLERL:Int => NEWL </env> <scopes>   STORE:Map => STORE [ NEWL <- scope(.Map, parent(DEFL)) ] </scopes> <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc> <stack>   .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>
reference-semantics/semantics/call.k	80	rule	rule	fixed supplied semantics	rule <k> #applyK(toCall(closureValC(PNS:ParamNames, CVS:ParamNames, BODY:Stmts, CM:Map)), ACC:Vals) ~> CONT => #allocCells(CVS) ~> #bindP(PNS, ACC) ~> BODY ~> #endcall </k> <env>     CALLERL:Int => NEWL </env> <scopes>   STORE:Map => STORE [ NEWL <- scope(CM [ "$cells" <- cellsMark(CVS) ], parent(0)) ] </scopes> <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc> <stack>   .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>
reference-semantics/semantics/call.k	87	syntax	syntax	fixed supplied semantics	syntax KItem ::= #allocCells(ParamNames)
reference-semantics/semantics/call.k	88	rule	rule	fixed supplied semantics	rule <k> #allocCells(.ParamNames) => .K ... </k>
reference-semantics/semantics/call.k	89	rule	rule	fixed supplied semantics	rule <k> #allocCells((CV:String, R:ParamNames)) => #allocCells(R) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ CV <- cellRef(N) ], _) ... </scopes> <heap>    H:Map => (N |-> cellV(noneV)) H </heap> <heapLoc> N:Int => N +Int 1 </heapLoc>
reference-semantics/semantics/comprehension.k	11	rule	rule	fixed supplied semantics	rule ListComp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
reference-semantics/semantics/comprehension.k	12	rule	rule	fixed supplied semantics	rule GenExp(ELT:Expr, Gs:CompFors)   => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
reference-semantics/semantics/comprehension.k	14	syntax	syntax	fixed supplied semantics	syntax Stmts ::= compBody(CompFors, Expr) [macro]
reference-semantics/semantics/comprehension.k	15	rule	rule	fixed supplied semantics	rule compBody(Gs:CompFors, ELT:Expr) => Assign(Name("$acc"), ListExpr(.Exprs)) compNest(Gs, ELT) Return(Name("$acc"))
reference-semantics/semantics/comprehension.k	18	syntax	syntax	fixed supplied semantics	syntax Stmt ::= compNest(CompFors, Expr) [macro-rec]
reference-semantics/semantics/comprehension.k	19	rule	rule	fixed supplied semantics	rule compNest(.CompFors, ELT:Expr) => Assign(Name("$acc"), BinOp("+", Name("$acc"), ListExpr(ELT)))
reference-semantics/semantics/comprehension.k	21	rule	rule	fixed supplied semantics	rule compNest((CompFor(T:Expr, ITER:Expr, Fs:Exprs) GRest:CompFors), ELT:Expr) => For(T, ITER, If(compGuard(Fs), compNest(GRest, ELT), .Stmts))
reference-semantics/semantics/comprehension.k	24	syntax	syntax	fixed supplied semantics	syntax Expr ::= compGuard(Exprs) [macro]
reference-semantics/semantics/comprehension.k	25	rule	rule	fixed supplied semantics	rule compGuard(.Exprs)             => Bool(true)
reference-semantics/semantics/comprehension.k	26	rule	rule	fixed supplied semantics	rule compGuard((F:Expr, Fs:Exprs)) => BoolOp("and", (F, Fs))
reference-semantics/semantics/concrete.k	13	rule	rule	fixed supplied semantics	rule <k> Compare(list(A:ValSeq), CmpOp("==", list(B:ValSeq))) => deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap>
reference-semantics/semantics/concrete.k	16	rule	rule	fixed supplied semantics	rule <k> Compare(list(A:ValSeq), CmpOp("!=", list(B:ValSeq))) => notBool deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap>
reference-semantics/semantics/concrete.k	25	syntax	syntax	fixed supplied semantics	syntax Val ::= kvP(Val, Val)
reference-semantics/semantics/concrete.k	26	syntax	syntax	fixed supplied semantics	syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool) | #ksIns(Val, ValSeq, Val, ValSeq, Bool)
reference-semantics/semantics/concrete.k	28	rule	priority	fixed supplied semantics	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), .Vals)) => #ksort(VS, KV, .ValSeq, false) ... </k> [priority(40)]
reference-semantics/semantics/concrete.k	31	rule	priority	fixed supplied semantics	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), kwV("reverse", RB:Bool), .Vals)) => #ksort(VS, KV, .ValSeq, RB) ... </k> [priority(40)]
reference-semantics/semantics/concrete.k	34	rule	rule	fixed supplied semantics	rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool) => #alloc(list(condRev(unpairVS(ACC), RB))) ... </k>
reference-semantics/semantics/concrete.k	36	rule	rule	fixed supplied semantics	rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool) => KV ~> #callee((V, .Exprs)) ~> #ksIns(V, R, KV, ACC, RB) ... </k>
reference-semantics/semantics/concrete.k	38	rule	rule	fixed supplied semantics	rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool) => #ksort(R, KV, insPair(ACC, K, V), RB) ... </k>
reference-semantics/semantics/concrete.k	42	syntax	function	fixed supplied semantics	syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]
reference-semantics/semantics/concrete.k	43	rule	rule	fixed supplied semantics	rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)
reference-semantics/semantics/concrete.k	44	rule	rule	fixed supplied semantics	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K, V), vCons(kvP(K2, V2), R))
reference-semantics/semantics/concrete.k	47	rule	rule	fixed supplied semantics	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K2, V2), insPair(R, K, V))
reference-semantics/semantics/concrete.k	51	syntax	function	fixed supplied semantics	syntax Bool ::= kLt(Val, Val) [function]
reference-semantics/semantics/concrete.k	52	rule	rule	fixed supplied semantics	rule kLt(I1:Int, I2:Int)             => I1 <Int I2
reference-semantics/semantics/concrete.k	53	rule	rule	fixed supplied semantics	rule kLt(F1:Float, F2:Float)         => F1 <Float F2
reference-semantics/semantics/concrete.k	54	rule	rule	fixed supplied semantics	rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)
reference-semantics/semantics/concrete.k	56	syntax	function,total	fixed supplied semantics	syntax ValSeq ::= unpairVS(ValSeq) [function, total]
reference-semantics/semantics/concrete.k	57	rule	rule	fixed supplied semantics	rule unpairVS(.ValSeq) => .ValSeq
reference-semantics/semantics/concrete.k	58	rule	rule	fixed supplied semantics	rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))
reference-semantics/semantics/concrete.k	59	rule	owise	fixed supplied semantics	rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]
reference-semantics/semantics/controls.k	9	rule	rule	fixed supplied semantics	rule <k> Assign(Name(X:String), V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- V ], _) ... </scopes>
reference-semantics/semantics/controls.k	12	rule	rule	fixed supplied semantics	rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes>
reference-semantics/semantics/controls.k	20	rule	rule	fixed supplied semantics	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- applyBin(OP, {M[X]}:>Val, V) ], _) ... </scopes>
reference-semantics/semantics/controls.k	27	rule	rule	fixed supplied semantics	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes>
reference-semantics/semantics/controls.k	35	rule	rule	fixed supplied semantics	rule <k> ImportFrom("math", NS:ParamNames) => #bindImports(NS) ... </k>
reference-semantics/semantics/controls.k	36	rule	owise	fixed supplied semantics	rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]
reference-semantics/semantics/controls.k	37	syntax	syntax	fixed supplied semantics	syntax KItem ::= #bindImports(ParamNames)
reference-semantics/semantics/controls.k	38	rule	rule	fixed supplied semantics	rule <k> #bindImports(.ParamNames) => .K ... </k>
reference-semantics/semantics/controls.k	39	rule	rule	fixed supplied semantics	rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ N <- builtinV(N) ], _) ... </scopes>
reference-semantics/semantics/controls.k	43	rule	rule	fixed supplied semantics	rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k>
reference-semantics/semantics/controls.k	48	rule	rule	fixed supplied semantics	rule <k> Expr(_:Val) => .K ... </k>
reference-semantics/semantics/controls.k	51	syntax	syntax	fixed supplied semantics	syntax KItem ::= #branch(Bool, Stmts, Stmts)
reference-semantics/semantics/controls.k	52	rule	rule	fixed supplied semantics	rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>
reference-semantics/semantics/controls.k	53	rule	rule	fixed supplied semantics	rule <k> #branch(true,  T:Stmts, _:Stmts) => T ... </k>
reference-semantics/semantics/controls.k	54	rule	rule	fixed supplied semantics	rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>
reference-semantics/semantics/controls.k	57	rule	rule	fixed supplied semantics	rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k>
reference-semantics/semantics/controls.k	59	rule	rule	fixed supplied semantics	rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k>
reference-semantics/semantics/controls.k	65	syntax	syntax	fixed supplied semantics	syntax KItem ::= #loop(Val, Expr, Stmts) | #loopStep(Expr, Stmts) | #while(Expr, Stmts) | #whileCond(Expr, Stmts) | #loopLbl(K) | "#cont" | "#brk"
reference-semantics/semantics/controls.k	69	rule	rule	fixed supplied semantics	rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>
reference-semantics/semantics/controls.k	71	rule	rule	fixed supplied semantics	rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>
reference-semantics/semantics/controls.k	72	rule	rule	fixed supplied semantics	rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>
reference-semantics/semantics/controls.k	73	rule	rule	fixed supplied semantics	rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts) => #bindTgt(T, V) ~> B ~> #loopLbl(#loop(REST, T, B)) ... </k>
reference-semantics/semantics/controls.k	77	rule	rule	fixed supplied semantics	rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>
reference-semantics/semantics/controls.k	78	rule	rule	fixed supplied semantics	rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>
reference-semantics/semantics/controls.k	79	rule	rule	fixed supplied semantics	rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k>
reference-semantics/semantics/controls.k	81	rule	rule	fixed supplied semantics	rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k>
reference-semantics/semantics/controls.k	85	rule	rule	fixed supplied semantics	rule <k> #loopLbl(NEXT:K) => NEXT ... </k>
reference-semantics/semantics/controls.k	86	rule	rule	fixed supplied semantics	rule <k> Continue => #cont ... </k>
reference-semantics/semantics/controls.k	87	rule	rule	fixed supplied semantics	rule <k> Break => #brk ... </k>
reference-semantics/semantics/controls.k	88	rule	rule	fixed supplied semantics	rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>
reference-semantics/semantics/controls.k	89	rule	owise	fixed supplied semantics	rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]
reference-semantics/semantics/controls.k	90	rule	rule	fixed supplied semantics	rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>
reference-semantics/semantics/controls.k	91	rule	owise	fixed supplied semantics	rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]
reference-semantics/semantics/controls.k	95	rule	priority	fixed supplied semantics	rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/controls.k	98	rule	priority	fixed supplied semantics	rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/controls.k	101	rule	priority	fixed supplied semantics	rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/controls.k	106	rule	priority	fixed supplied semantics	rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/core.k	13	syntax	syntax	fixed supplied semantics	syntax IntSeq ::= ".IntSeq" | iCons(Int, IntSeq)
reference-semantics/semantics/core.k	14	syntax	syntax	fixed supplied semantics	syntax ValSeq ::= ".ValSeq" | vCons(Val, ValSeq)
reference-semantics/semantics/core.k	15	syntax	syntax	fixed supplied semantics	syntax Str    ::= str(IntSeq)
reference-semantics/semantics/core.k	18	syntax	syntax	fixed supplied semantics	syntax Iterable ::= list(ValSeq) | tuple(ValSeq) | Str | rangeObj(Int, Int, Int) | zipObj(ValSeq, ValSeq) | zipObjS(IntSeq, IntSeq)
reference-semantics/semantics/core.k	25	syntax	syntax	fixed supplied semantics	syntax Val      ::= Int | Bool | "noneV" | Iterable | ref(Int)          // a heap object: <heap> holds its list(VS) | cellRef(Int)      // a closure cell: <heap> holds cellV(V) | closureVal(ParamNames, Stmts, Int) | typeV(String)     // a type object (int/str), resolved from the builtins frame | builtinV(String)  // a builtin function, resolved like any name (LEGB fallthrough) | boundMethodV(Val, String)   // a cooled Attribute: obj.method
reference-semantics/semantics/core.k	36	syntax	syntax	fixed supplied semantics	syntax Parent   ::= "root" | parent(Int)
reference-semantics/semantics/core.k	37	syntax	syntax	fixed supplied semantics	syntax Scope    ::= scope(Map, Parent)
reference-semantics/semantics/core.k	38	syntax	syntax	fixed supplied semantics	syntax KResult  ::= Val
reference-semantics/semantics/core.k	39	syntax	syntax	fixed supplied semantics	syntax Expr     ::= Val   // cooling puts results back into expression holes
reference-semantics/semantics/core.k	40	syntax	syntax	fixed supplied semantics	syntax Vals     ::= List{Val, ","}
reference-semantics/semantics/core.k	41	syntax	syntax	fixed supplied semantics	syntax Exc      ::= "NoExc" | "AssertionError"
reference-semantics/semantics/core.k	42	syntax	syntax	fixed supplied semantics	syntax RetState ::= "noRet" | retV(Val)
reference-semantics/semantics/core.k	49	configuration	configuration	fixed supplied semantics	configuration <k>       #loadAll($PGM:Module) </k> <env>     0 </env> <scopes>   0     |-> scope(.Map, parent(-1)) -1    |-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap>    .Map </heap> <heapLoc> 0 </heapLoc> <stack>   .List </stack> <ret>     noRet </ret> <exc>     NoExc </exc> <exit-code exit=""> 0 </exit-code>
reference-semantics/semantics/core.k	68	syntax	function,total	fixed supplied semantics	syntax Bool ::= isRefV(Val) [function, total]
reference-semantics/semantics/core.k	69	rule	rule	fixed supplied semantics	rule isRefV(ref(_:Int)) => true
reference-semantics/semantics/core.k	70	rule	owise	fixed supplied semantics	rule isRefV(_:Val)      => false [owise]
reference-semantics/semantics/core.k	75	syntax	syntax	fixed supplied semantics	syntax HeapVal ::= cellV(Val)
reference-semantics/semantics/core.k	76	syntax	function,total	fixed supplied semantics	syntax Bool ::= isCellRef(Val) [function, total]
reference-semantics/semantics/core.k	77	rule	rule	fixed supplied semantics	rule isCellRef(cellRef(_:Int)) => true
reference-semantics/semantics/core.k	78	rule	owise	fixed supplied semantics	rule isCellRef(_:Val)          => false [owise]
reference-semantics/semantics/core.k	85	rule	rule	fixed supplied semantics	rule <k> cellRef(H:Int) => V ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap>
reference-semantics/semantics/core.k	95	syntax	syntax	fixed supplied semantics	syntax Val ::= kwV(String, Val)
reference-semantics/semantics/core.k	96	syntax	syntax	fixed supplied semantics	syntax KItem ::= #kwTag(String)
reference-semantics/semantics/core.k	97	rule	rule	fixed supplied semantics	rule <k> KwArg(N:String, E:Expr) => E ~> #kwTag(N) ... </k>
reference-semantics/semantics/core.k	98	rule	rule	fixed supplied semantics	rule <k> V:Val ~> #kwTag(N:String) => kwV(N, V) ... </k>
reference-semantics/semantics/core.k	100	syntax	function,total	fixed supplied semantics	syntax Bool ::= isKwV(Val) [function, total]
reference-semantics/semantics/core.k	101	rule	rule	fixed supplied semantics	rule isKwV(kwV(_:String, _:Val)) => true
reference-semantics/semantics/core.k	102	rule	owise	fixed supplied semantics	rule isKwV(_:Val)                => false [owise]
reference-semantics/semantics/core.k	106	syntax	syntax	fixed supplied semantics	syntax Val ::= cellsMark(ParamNames)
reference-semantics/semantics/core.k	107	syntax	function	fixed supplied semantics	syntax ParamNames ::= cellsOf(Val) [function]
reference-semantics/semantics/core.k	108	rule	rule	fixed supplied semantics	rule cellsOf(cellsMark(CVS:ParamNames)) => CVS
reference-semantics/semantics/core.k	109	syntax	function,total	fixed supplied semantics	syntax Bool ::= pnMember(String, ParamNames) [function, total]
reference-semantics/semantics/core.k	110	rule	rule	fixed supplied semantics	rule pnMember(_:String, .ParamNames) => false
reference-semantics/semantics/core.k	111	rule	rule	fixed supplied semantics	rule pnMember(X:String, (P:String, R:ParamNames)) => X ==String P orBool pnMember(X, R)
reference-semantics/semantics/core.k	113	syntax	syntax	fixed supplied semantics	syntax KItem ::= #cellW(Val, Val)
reference-semantics/semantics/core.k	114	rule	rule	fixed supplied semantics	rule <k> #cellW(cellRef(H:Int), V:Val) => .K ... </k> <heap> ... H |-> cellV(_:Val => V) ... </heap>
reference-semantics/semantics/core.k	117	syntax	syntax	fixed supplied semantics	syntax KItem ::= #alloc(Val)
reference-semantics/semantics/core.k	118	rule	rule	fixed supplied semantics	rule <k> #alloc(V:Val) => ref(N) ... </k> <heap>    H:Map => (N |-> V) H </heap> <heapLoc> N:Int => N +Int 1 </heapLoc>
reference-semantics/semantics/core.k	124	syntax	syntax	fixed supplied semantics	syntax KItem ::= #loadAll(Module)
reference-semantics/semantics/core.k	125	rule	rule	fixed supplied semantics	rule <k> #loadAll(Module(SS:Stmts)) => SS ... </k>
reference-semantics/semantics/core.k	126	rule	rule	fixed supplied semantics	rule <k> (S:Stmt SS:Stmts):Stmts => S ~> SS ... </k>
reference-semantics/semantics/core.k	127	rule	rule	fixed supplied semantics	rule <k> .Stmts => .K ... </k>
reference-semantics/semantics/core.k	130	syntax	syntax	fixed supplied semantics	syntax KItem ::= #look(String, Int)
reference-semantics/semantics/core.k	131	rule	rule	fixed supplied semantics	rule <k> Name(X:String) => #look(X, L) ... </k> <env> L:Int </env>
reference-semantics/semantics/core.k	132	rule	rule	fixed supplied semantics	rule <k> #look(X:String, L:Int) => {M[X]}:>Val ... </k> <scopes> ... L |-> scope(M:Map, _:Parent) ... </scopes>
reference-semantics/semantics/core.k	145	rule	rule	fixed supplied semantics	rule <k> #look(X:String, L:Int) => V ... </k> <scopes> ... L |-> scope(M:Map, _:Parent) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap>
reference-semantics/semantics/core.k	152	rule	rule	fixed supplied semantics	rule <k> #look(X:String, L:Int) => #look(X, P) ... </k> <scopes> ... L |-> scope(M:Map, parent(P:Int)) ... </scopes>
reference-semantics/semantics/core.k	157	syntax	function,total	fixed supplied semantics	syntax Scope ::= "builtinsScope" [function, total]
reference-semantics/semantics/core.k	158	rule	rule	fixed supplied semantics	rule builtinsScope => scope(.Map [ "len"    <- builtinV("len")    ] [ "set"    <- builtinV("set")    ] [ "sum"    <- builtinV("sum")    ] [ "abs"    <- builtinV("abs")    ] [ "min"    <- builtinV("min")    ] [ "max"    <- builtinV("max")    ] [ "ord"    <- builtinV("ord")    ] [ "chr"    <- builtinV("chr")    ] [ "range"  <- builtinV("range")  ] [ "all"    <- builtinV("all")    ] [ "any"    <- builtinV("any")    ] [ "zip"    <- builtinV("zip")    ] [ "isinstance" <- builtinV("isinstance") ] [ "sorted" <- builtinV("sorted") ] [ "list"   <- builtinV("list")   ] [ "round"  <- builtinV("round")  ] [ "bin"    <- builtinV("bin")    ] [ "enumerate" <- builtinV("enumerate") ] [ "map"    <- builtinV("map")    ] [ "eval"   <- builtinV("eval")   ] [ "int"    <- typeV("int")       ] [ "str"    <- typeV("str")       ] [ "float"  <- typeV("float")     ], root)
reference-semantics/semantics/core.k	185	syntax	syntax	fixed supplied semantics	syntax ApplyK ::= toCall(Val)
reference-semantics/semantics/core.k	186	syntax	syntax	fixed supplied semantics	syntax KItem  ::= #evalArgs(Exprs, Vals, ApplyK) | #evalArgCont(Exprs, Vals, ApplyK) | #applyK(ApplyK, Vals)
reference-semantics/semantics/core.k	189	rule	rule	fixed supplied semantics	rule <k> #evalArgs((A:Expr, REST:Exprs), ACC:Vals, K:ApplyK) => A ~> #evalArgCont(REST, ACC, K) ... </k>
