id	file	line	kind	origin	flags	statement	audit_disposition	reason
281	reference-semantics/semantics/controls.k	36	rule	SUPPLIED_FIXED_SEMANTICS	owise,ordinary-rule	rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
282	reference-semantics/semantics/controls.k	37	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax KItem ::= #bindImports(ParamNames)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
283	reference-semantics/semantics/controls.k	38	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #bindImports(.ParamNames) => .K ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
284	reference-semantics/semantics/controls.k	39	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ N <- builtinV(N) ], _) ... </scopes> requires N ==String ""floor"" orBool N ==String ""ceil"""	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
285	reference-semantics/semantics/controls.k	43	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	"rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> requires notBool (N ==String ""floor"" orBool N ==String ""ceil"")"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
286	reference-semantics/semantics/controls.k	48	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> Expr(_:Val) => .K ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
287	reference-semantics/semantics/controls.k	51	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax KItem ::= #branch(Bool, Stmts, Stmts)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
288	reference-semantics/semantics/controls.k	52	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
289	reference-semantics/semantics/controls.k	53	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #branch(true, T:Stmts, _:Stmts) => T ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
290	reference-semantics/semantics/controls.k	54	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
291	reference-semantics/semantics/controls.k	57	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k> requires truthy(V)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
292	reference-semantics/semantics/controls.k	59	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k> requires notBool truthy(V)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
293	reference-semantics/semantics/controls.k	65	syntax	SUPPLIED_FIXED_SEMANTICS	-	"syntax KItem ::= #loop(Val, Expr, Stmts) | #loopStep(Expr, Stmts) | #while(Expr, Stmts) | #whileCond(Expr, Stmts) | #loopLbl(K) | ""#cont"" | ""#brk"""	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
294	reference-semantics/semantics/controls.k	69	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
295	reference-semantics/semantics/controls.k	71	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
296	reference-semantics/semantics/controls.k	72	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
297	reference-semantics/semantics/controls.k	73	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts) => #bindTgt(T, V) ~> B ~> #loopLbl(#loop(REST, T, B)) ... </k>	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
298	reference-semantics/semantics/controls.k	77	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
299	reference-semantics/semantics/controls.k	78	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
300	reference-semantics/semantics/controls.k	79	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k> requires truthy(V)	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
301	reference-semantics/semantics/controls.k	81	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k> requires notBool truthy(V)	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
302	reference-semantics/semantics/controls.k	85	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #loopLbl(NEXT:K) => NEXT ... </k>	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
303	reference-semantics/semantics/controls.k	86	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> Continue => #cont ... </k>	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
304	reference-semantics/semantics/controls.k	87	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> Break => #brk ... </k>	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
305	reference-semantics/semantics/controls.k	88	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
306	reference-semantics/semantics/controls.k	89	rule	SUPPLIED_FIXED_SEMANTICS	owise,ordinary-rule	rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
307	reference-semantics/semantics/controls.k	90	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
308	reference-semantics/semantics/controls.k	91	rule	SUPPLIED_FIXED_SEMANTICS	owise,ordinary-rule	rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
309	reference-semantics/semantics/controls.k	95	rule	SUPPLIED_FIXED_SEMANTICS	priority,ordinary-rule	rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
310	reference-semantics/semantics/controls.k	98	rule	SUPPLIED_FIXED_SEMANTICS	priority,ordinary-rule	rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
311	reference-semantics/semantics/controls.k	101	rule	SUPPLIED_FIXED_SEMANTICS	priority,ordinary-rule	rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
312	reference-semantics/semantics/controls.k	106	rule	SUPPLIED_FIXED_SEMANTICS	priority,ordinary-rule	rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)] endmodule	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
313	reference-semantics/semantics/core.k	3	module	SUPPLIED_FIXED_SEMANTICS	-	module MPY-CORE	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
314	reference-semantics/semantics/core.k	4	imports	SUPPLIED_FIXED_SEMANTICS	-	imports MPY-SYNTAX	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
315	reference-semantics/semantics/core.k	5	imports	SUPPLIED_FIXED_SEMANTICS	-	imports INT	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
316	reference-semantics/semantics/core.k	6	imports	SUPPLIED_FIXED_SEMANTICS	-	imports BOOL	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
317	reference-semantics/semantics/core.k	7	imports	SUPPLIED_FIXED_SEMANTICS	-	imports STRING	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
318	reference-semantics/semantics/core.k	8	imports	SUPPLIED_FIXED_SEMANTICS	-	imports MAP	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
319	reference-semantics/semantics/core.k	9	imports	SUPPLIED_FIXED_SEMANTICS	-	imports LIST	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
320	reference-semantics/semantics/core.k	10	imports	SUPPLIED_FIXED_SEMANTICS	-	imports K-EQUAL	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
321	reference-semantics/semantics/core.k	13	syntax	SUPPLIED_FIXED_SEMANTICS	-	"syntax IntSeq ::= "".IntSeq"" | iCons(Int, IntSeq)"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
322	reference-semantics/semantics/core.k	14	syntax	SUPPLIED_FIXED_SEMANTICS	-	"syntax ValSeq ::= "".ValSeq"" | vCons(Val, ValSeq)"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
323	reference-semantics/semantics/core.k	15	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax Str ::= str(IntSeq)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
324	reference-semantics/semantics/core.k	18	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax Iterable ::= list(ValSeq) | tuple(ValSeq) | Str | rangeObj(Int, Int, Int) | zipObj(ValSeq, ValSeq) | zipObjS(IntSeq, IntSeq)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
325	reference-semantics/semantics/core.k	25	syntax	SUPPLIED_FIXED_SEMANTICS	-	"syntax Val ::= Int | Bool | ""noneV"" | Iterable | ref(Int) | cellRef(Int) | closureVal(ParamNames, Stmts, Int) | typeV(String) | builtinV(String) | boundMethodV(Val, String)"	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
326	reference-semantics/semantics/core.k	36	syntax	SUPPLIED_FIXED_SEMANTICS	-	"syntax Parent ::= ""root"" | parent(Int)"	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
327	reference-semantics/semantics/core.k	37	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax Scope ::= scope(Map, Parent)	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
328	reference-semantics/semantics/core.k	38	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax KResult ::= Val	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
329	reference-semantics/semantics/core.k	39	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax Expr ::= Val	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
330	reference-semantics/semantics/core.k	40	syntax	SUPPLIED_FIXED_SEMANTICS	-	"syntax Vals ::= List{Val, "",""}"	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
331	reference-semantics/semantics/core.k	41	syntax	SUPPLIED_FIXED_SEMANTICS	-	"syntax Exc ::= ""NoExc"" | ""AssertionError"""	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
332	reference-semantics/semantics/core.k	42	syntax	SUPPLIED_FIXED_SEMANTICS	-	"syntax RetState ::= ""noRet"" | retV(Val)"	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
333	reference-semantics/semantics/core.k	49	configuration	SUPPLIED_FIXED_SEMANTICS	-	"configuration <k> #loadAll($PGM:Module) </k> <env> 0 </env> <scopes> 0 |-> scope(.Map, parent(-1)) -1 |-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap> .Map </heap> <heapLoc> 0 </heapLoc> <stack> .List </stack> <ret> noRet </ret> <exc> NoExc </exc> <exit-code exit=""""> 0 </exit-code>"	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
334	reference-semantics/semantics/core.k	68	syntax	SUPPLIED_FIXED_SEMANTICS	function,total	syntax Bool ::= isRefV(Val) [function, total]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
335	reference-semantics/semantics/core.k	69	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule isRefV(ref(_:Int)) => true	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
336	reference-semantics/semantics/core.k	70	rule	SUPPLIED_FIXED_SEMANTICS	owise,ordinary-rule	rule isRefV(_:Val) => false [owise]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
337	reference-semantics/semantics/core.k	75	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax HeapVal ::= cellV(Val)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
338	reference-semantics/semantics/core.k	76	syntax	SUPPLIED_FIXED_SEMANTICS	function,total	syntax Bool ::= isCellRef(Val) [function, total]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
339	reference-semantics/semantics/core.k	77	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule isCellRef(cellRef(_:Int)) => true	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
340	reference-semantics/semantics/core.k	78	rule	SUPPLIED_FIXED_SEMANTICS	owise,ordinary-rule	rule isCellRef(_:Val) => false [owise]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
341	reference-semantics/semantics/core.k	85	rule	SUPPLIED_FIXED_SEMANTICS	priority,ordinary-rule	"rule <k> cellRef(H:Int) => V ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap> requires ""$cells"" in_keys(M) [priority(40)]"	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
342	reference-semantics/semantics/core.k	95	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax Val ::= kwV(String, Val)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
343	reference-semantics/semantics/core.k	96	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax KItem ::= #kwTag(String)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
344	reference-semantics/semantics/core.k	97	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> KwArg(N:String, E:Expr) => E ~> #kwTag(N) ... </k>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
345	reference-semantics/semantics/core.k	98	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> V:Val ~> #kwTag(N:String) => kwV(N, V) ... </k> requires notBool isKwV(V)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
346	reference-semantics/semantics/core.k	100	syntax	SUPPLIED_FIXED_SEMANTICS	function,total	syntax Bool ::= isKwV(Val) [function, total]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
347	reference-semantics/semantics/core.k	101	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule isKwV(kwV(_:String, _:Val)) => true	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
348	reference-semantics/semantics/core.k	102	rule	SUPPLIED_FIXED_SEMANTICS	owise,ordinary-rule	rule isKwV(_:Val) => false [owise]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
349	reference-semantics/semantics/core.k	106	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax Val ::= cellsMark(ParamNames)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
350	reference-semantics/semantics/core.k	107	syntax	SUPPLIED_FIXED_SEMANTICS	function	syntax ParamNames ::= cellsOf(Val) [function]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
351	reference-semantics/semantics/core.k	108	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule cellsOf(cellsMark(CVS:ParamNames)) => CVS	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
352	reference-semantics/semantics/core.k	109	syntax	SUPPLIED_FIXED_SEMANTICS	function,total	syntax Bool ::= pnMember(String, ParamNames) [function, total]	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
353	reference-semantics/semantics/core.k	110	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule pnMember(_:String, .ParamNames) => false	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
354	reference-semantics/semantics/core.k	111	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule pnMember(X:String, (P:String, R:ParamNames)) => X ==String P orBool pnMember(X, R)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
355	reference-semantics/semantics/core.k	113	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax KItem ::= #cellW(Val, Val)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
356	reference-semantics/semantics/core.k	114	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #cellW(cellRef(H:Int), V:Val) => .K ... </k> <heap> ... H |-> cellV(_:Val => V) ... </heap>	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
357	reference-semantics/semantics/core.k	117	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax KItem ::= #alloc(Val)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
358	reference-semantics/semantics/core.k	118	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #alloc(V:Val) => ref(N) ... </k> <heap> H:Map => (N |-> V) H </heap> <heapLoc> N:Int => N +Int 1 </heapLoc> requires notBool N in_keys(H)	FIXED_SEMANTICS_INERT_FOR_TARGET	immutable supplied language rule/declaration is unreachable from every constructor in solution.mpy; no target conclusion depends on it
359	reference-semantics/semantics/core.k	124	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax KItem ::= #loadAll(Module)	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
360	reference-semantics/semantics/core.k	125	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #loadAll(Module(SS:Stmts)) => SS ... </k>	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
361	reference-semantics/semantics/core.k	126	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> (S:Stmt SS:Stmts):Stmts => S ~> SS ... </k>	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
362	reference-semantics/semantics/core.k	127	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> .Stmts => .K ... </k>	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
363	reference-semantics/semantics/core.k	130	syntax	SUPPLIED_FIXED_SEMANTICS	-	syntax KItem ::= #look(String, Int)	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
364	reference-semantics/semantics/core.k	131	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> Name(X:String) => #look(X, L) ... </k> <env> L:Int </env>	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
365	reference-semantics/semantics/core.k	132	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #look(X:String, L:Int) => {M[X]}:>Val ... </k> <scopes> ... L |-> scope(M:Map, _:Parent) ... </scopes> requires X in_keys(M)	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
366	reference-semantics/semantics/core.k	145	rule	SUPPLIED_FIXED_SEMANTICS	priority,ordinary-rule	"rule <k> #look(X:String, L:Int) => V ... </k> <scopes> ... L |-> scope(M:Map, _:Parent) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap> requires X in_keys(M) andBool ""$cells"" in_keys(M) andBool pnMember(X, cellsOf({M[""$cells""]}:>Val)) andBool {M[X]}:>Val ==K cellRef(H) [priority(40)]"	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
367	reference-semantics/semantics/core.k	152	rule	SUPPLIED_FIXED_SEMANTICS	ordinary-rule	rule <k> #look(X:String, L:Int) => #look(X, P) ... </k> <scopes> ... L |-> scope(M:Map, parent(P:Int)) ... </scopes> requires notBool (X in_keys(M))	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
368	reference-semantics/semantics/core.k	157	syntax	SUPPLIED_FIXED_SEMANTICS	function,total	"syntax Scope ::= ""builtinsScope"" [function, total]"	RELEVANT_FIXED_SEMANTICS_REVIEWED	immutable supplied rule/declaration on the submitted execution path; checked in the constructor map and concrete/symbolic runs
