id	source	module	start_line	end_line	kind	attributes	flags	disposition	text
K0266	/candidate/reference-semantics/semantics/call.k	MPY-CALL	80	85	rule	" NEWL <- scope(CM [ ""$cells"" <- cellsMark(CVS) "		fixed-supplied-semantics	"  rule <k> #applyK(toCall(closureValC(PNS:ParamNames, CVS:ParamNames, BODY:Stmts, CM:Map)), ACC:Vals) ~> CONT
        => #allocCells(CVS) ~> #bindP(PNS, ACC) ~> BODY ~> #endcall </k>
       <env>     CALLERL:Int => NEWL </env>
       <scopes>   STORE:Map => STORE [ NEWL <- scope(CM [ ""$cells"" <- cellsMark(CVS) ], parent(0)) ] </scopes>
       <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc>
       <stack>   .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>"
K0267	/candidate/reference-semantics/semantics/call.k	MPY-CALL	87	87	syntax			fixed-supplied-semantics	  syntax KItem ::= #allocCells(ParamNames)
K0268	/candidate/reference-semantics/semantics/call.k	MPY-CALL	88	88	rule			fixed-supplied-semantics	  rule <k> #allocCells(.ParamNames) => .K ... </k>
K0269	/candidate/reference-semantics/semantics/call.k	MPY-CALL	89	93	rule	 CV <- cellRef(N) 		fixed-supplied-semantics	"  rule <k> #allocCells((CV:String, R:ParamNames)) => #allocCells(R) ... </k>
       <env> L:Int </env>
       <scopes> ... L |-> scope(M:Map => M [ CV <- cellRef(N) ], _) ... </scopes>
       <heap>    H:Map => (N |-> cellV(noneV)) H </heap>
       <heapLoc> N:Int => N +Int 1 </heapLoc>"
K0270	/candidate/reference-semantics/semantics/call.k	MPY-CALL	94	94	requires			fixed-supplied-semantics	       requires notBool N in_keys(H)
K0271	/candidate/reference-semantics/semantics/call.k	MPY-CALL	95	95	endmodule			fixed-supplied-semantics	endmodule
K0272	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	3	3	module			fixed-supplied-semantics	module MPY-COMPREHENSION
K0273	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	4	4	imports			fixed-supplied-semantics	  imports MPY-CORE
K0274	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	5	5	imports			fixed-supplied-semantics	  imports MPY-OPERATORS
K0275	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	6	6	imports			fixed-supplied-semantics	  imports MPY-LIST
K0276	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	7	7	imports			fixed-supplied-semantics	  imports MPY-CONTROLS
K0277	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	8	10	imports			fixed-supplied-semantics	"  imports MPY-FUNCTIONS

  // A comprehension is pure syntactic sugar"
K0278	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	11	11	rule			fixed-supplied-semantics	  rule ListComp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
K0279	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	12	12	rule			fixed-supplied-semantics	  rule GenExp(ELT:Expr, Gs:CompFors)   => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
K0280	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	14	14	syntax	macro	macro	fixed-supplied-semantics	  syntax Stmts ::= compBody(CompFors, Expr) [macro]
K0281	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	15	16	rule			fixed-supplied-semantics	"  rule compBody(Gs:CompFors, ELT:Expr)
    => Assign(Name(""$acc""), ListExpr(.Exprs)) compNest(Gs, ELT) Return(Name(""$acc""))"
K0282	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	18	18	syntax	macro-rec	macro-rec	fixed-supplied-semantics	  syntax Stmt ::= compNest(CompFors, Expr) [macro-rec]
K0283	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	19	20	rule			fixed-supplied-semantics	"  rule compNest(.CompFors, ELT:Expr)
    => Assign(Name(""$acc""), BinOp(""+"", Name(""$acc""), ListExpr(ELT)))"
K0284	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	21	22	rule			fixed-supplied-semantics	"  rule compNest((CompFor(T:Expr, ITER:Expr, Fs:Exprs) GRest:CompFors), ELT:Expr)
    => For(T, ITER, If(compGuard(Fs), compNest(GRest, ELT), .Stmts))"
K0285	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	24	24	syntax	macro	macro	fixed-supplied-semantics	  syntax Expr ::= compGuard(Exprs) [macro]
K0286	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	25	25	rule			fixed-supplied-semantics	  rule compGuard(.Exprs)             => Bool(true)
K0287	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	26	26	rule			fixed-supplied-semantics	"  rule compGuard((F:Expr, Fs:Exprs)) => BoolOp(""and"", (F, Fs))"
K0288	/candidate/reference-semantics/semantics/comprehension.k	MPY-COMPREHENSION	27	27	endmodule			fixed-supplied-semantics	endmodule
K0289	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	8	8	module			fixed-supplied-semantics	module MPY-CONCRETE
K0290	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	9	12	imports			fixed-supplied-semantics	"  imports MPY

  // deep equality for list compares whose elements are heap objects
  // (list-of-lists): Python == is structural at every depth."
K0291	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	13	14	rule			fixed-supplied-semantics	"  rule <k> Compare(list(A:ValSeq), CmpOp(""=="", list(B:ValSeq))) => deepEqVS(A, B, HP) ... </k>
       <heap> HP:Map </heap>"
K0292	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	15	15	requires			fixed-supplied-semantics	       requires hasRefVS(A) orBool hasRefVS(B)
K0293	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	16	17	rule			fixed-supplied-semantics	"  rule <k> Compare(list(A:ValSeq), CmpOp(""!="", list(B:ValSeq))) => notBool deepEqVS(A, B, HP) ... </k>
       <heap> HP:Map </heap>"
K0294	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	18	24	requires			fixed-supplied-semantics	"       requires hasRefVS(A) orBool hasRefVS(B)

  // ==== keyed sort, concrete leg ============================================
  // Computes each key by a REAL call through the uniform #callee machinery
  // (closures, len, type objects all work), stable-inserts on the key, and
  // allocates the result. priority(40) beats sort.k's opaque rules, so krun
  // runs this and proofs (which never see MPY-CONCRETE) keep sortKeyVS."
K0295	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	25	25	syntax			fixed-supplied-semantics	  syntax Val ::= kvP(Val, Val)
K0296	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	26	27	syntax			fixed-supplied-semantics	"  syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool)
                 | #ksIns(Val, ValSeq, Val, ValSeq, Bool)"
K0297	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	28	30	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> #applyK(toCall(builtinV(""sorted"")), (list(VS:ValSeq), kwV(""key"", KV:Val), .Vals))
        => #ksort(VS, KV, .ValSeq, false) ... </k>
       [priority(40)]"
K0298	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	31	33	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> #applyK(toCall(builtinV(""sorted"")), (list(VS:ValSeq), kwV(""key"", KV:Val), kwV(""reverse"", RB:Bool), .Vals))
        => #ksort(VS, KV, .ValSeq, RB) ... </k>
       [priority(40)]"
K0299	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	34	35	rule			fixed-supplied-semantics	"  rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool)
        => #alloc(list(condRev(unpairVS(ACC), RB))) ... </k>"
K0300	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	36	37	rule			fixed-supplied-semantics	"  rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool)
        => KV ~> #callee((V, .Exprs)) ~> #ksIns(V, R, KV, ACC, RB) ... </k>"
K0301	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	38	39	rule			fixed-supplied-semantics	"  rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool)
        => #ksort(R, KV, insPair(ACC, K, V), RB) ... </k>"
K0302	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	40	40	requires			fixed-supplied-semantics	       requires notBool isKwV(K)
K0303	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	42	42	syntax	function	function	fixed-supplied-semantics	  syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]
K0304	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	43	43	rule			fixed-supplied-semantics	  rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)
K0305	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	44	45	rule			fixed-supplied-semantics	"  rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val)
    => vCons(kvP(K, V), vCons(kvP(K2, V2), R))"
K0306	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	46	46	requires			fixed-supplied-semantics	       requires kLt(K, K2)
K0307	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	47	48	rule			fixed-supplied-semantics	"  rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val)
    => vCons(kvP(K2, V2), insPair(R, K, V))"
K0308	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	49	49	requires			fixed-supplied-semantics	       requires notBool kLt(K, K2)
K0309	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	51	51	syntax	function	function	fixed-supplied-semantics	  syntax Bool ::= kLt(Val, Val) [function]
K0310	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	52	52	rule			fixed-supplied-semantics	  rule kLt(I1:Int, I2:Int)             => I1 <Int I2
K0311	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	53	53	rule			fixed-supplied-semantics	  rule kLt(F1:Float, F2:Float)         => F1 <Float F2
K0312	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	54	54	rule			fixed-supplied-semantics	  rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)
K0313	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	56	56	syntax	function, total	function,total	fixed-supplied-semantics	  syntax ValSeq ::= unpairVS(ValSeq) [function, total]
K0314	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	57	57	rule			fixed-supplied-semantics	  rule unpairVS(.ValSeq) => .ValSeq
K0315	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	58	58	rule			fixed-supplied-semantics	  rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))
K0316	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	59	59	rule	owise	owise	fixed-supplied-semantics	  rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]
K0317	/candidate/reference-semantics/semantics/concrete.k	MPY-CONCRETE	60	60	endmodule			fixed-supplied-semantics	endmodule
K0318	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	3	3	module			fixed-supplied-semantics	module MPY-CONTROLS
K0319	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	4	4	imports			fixed-supplied-semantics	  imports MPY-CORE
K0320	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	5	5	imports			fixed-supplied-semantics	  imports MPY-TUPLE
K0321	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	6	8	imports			fixed-supplied-semantics	"  imports MPY-ITER

  // ==== Assign / AugAssign (write the current scope; RHS evaluated by strictness) =="
K0322	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	9	11	rule	 X <- V 		fixed-supplied-semantics	"  rule <k> Assign(Name(X:String), V:Val) => .K ... </k>
       <env> L:Int </env>
       <scopes> ... L |-> scope(M:Map => M [ X <- V ], _) ... </scopes>"
K0323	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	12	14	rule	X		fixed-supplied-semantics	"  rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k>
       <env> L:Int </env>
       <scopes> ... L |-> scope(M:Map, _) ... </scopes>"
K0324	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	15	18	requires	"""$cells""; X; priority(40)"	priority	fixed-supplied-semantics	"       requires ""$cells"" in_keys(M)
        andBool pnMember(X, cellsOf({M[""$cells""]}:>Val))
        andBool X in_keys(M) andBool isCellRef({M[X]}:>Val)
       [priority(40)]"
K0325	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	20	22	rule	 X <- applyBin(OP, {M[X		fixed-supplied-semantics	"  rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k>
       <env> L:Int </env>
       <scopes> ... L |-> scope(M:Map => M [ X <- applyBin(OP, {M[X]}:>Val, V) ], _) ... </scopes>"
K0326	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	23	26	requires			fixed-supplied-semantics	"       requires X in_keys(M)
  // `lst += [..]` where lst is a heap ref: the generic rule leaves applyBin(OP, ref, V) — but the
  // ref-deref preemption is BinOp-level (operators.k), so applyBin never derefs and it sticks. Route
  // the ref case through BinOp so the deref + list-concat + #alloc path fires (result is a fresh ref)."
K0327	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	27	29	rule			fixed-supplied-semantics	"  rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k>
       <env> L:Int </env>
       <scopes> ... L |-> scope(M:Map, _) ... </scopes>"
K0328	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	30	34	requires	X; priority(40)	priority	fixed-supplied-semantics	"       requires X in_keys(M) andBool isRefV({M[X]}:>Val)
       [priority(40)]

  // ==== import trivia: `from math import floor, ceil` binds the supported
  // names as builtins in the current scope; every other import is a no-op"
K0329	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	35	35	rule			fixed-supplied-semantics	"  rule <k> ImportFrom(""math"", NS:ParamNames) => #bindImports(NS) ... </k>"
K0330	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	36	36	rule	owise	owise	fixed-supplied-semantics	  rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]
K0331	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	37	37	syntax			fixed-supplied-semantics	  syntax KItem ::= #bindImports(ParamNames)
K0332	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	38	38	rule			fixed-supplied-semantics	  rule <k> #bindImports(.ParamNames) => .K ... </k>
K0333	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	39	41	rule	 N <- builtinV(N) 		fixed-supplied-semantics	"  rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k>
       <env> L:Int </env>
       <scopes> ... L |-> scope(M:Map => M [ N <- builtinV(N) ], _) ... </scopes>"
K0334	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	42	42	requires			fixed-supplied-semantics	"       requires N ==String ""floor"" orBool N ==String ""ceil"""
K0335	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	43	43	rule			fixed-supplied-semantics	  rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k>
K0336	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	44	47	requires			fixed-supplied-semantics	"       requires notBool (N ==String ""floor"" orBool N ==String ""ceil"")

  // ==== Expr statement: evaluate for effect, discard the value ===============
  // (bare calls — mutator methods, docstrings; the WP0 statement-trivia rung)"
K0337	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	48	50	rule			fixed-supplied-semantics	"  rule <k> Expr(_:Val) => .K ... </k>

  // ==== If (condition evaluated by strictness) =============================="
K0338	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	51	51	syntax			fixed-supplied-semantics	  syntax KItem ::= #branch(Bool, Stmts, Stmts)
K0339	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	52	52	rule			fixed-supplied-semantics	  rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>
K0340	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	53	53	rule			fixed-supplied-semantics	  rule <k> #branch(true,  T:Stmts, _:Stmts) => T ... </k>
K0341	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	54	56	rule			fixed-supplied-semantics	"  rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>

  // ==== IfExp: ternary T if C else E ========================================"
K0342	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	57	57	rule			fixed-supplied-semantics	  rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k>
K0343	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	58	58	requires			fixed-supplied-semantics	       requires truthy(V)
K0344	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	59	59	rule			fixed-supplied-semantics	  rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k>
K0345	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	60	64	requires			fixed-supplied-semantics	"       requires notBool truthy(V)

  // ==== For: one loop, in-cell continuation, over #iterNext =================
  // (the iterable is evaluated once, by strictness; the protocol stays rewrites —
  // circularities anchor on #loop and narrowing substitutes the structure)"
K0346	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	65	67	syntax			fixed-supplied-semantics	"  syntax KItem ::= #loop(Val, Expr, Stmts) | #loopStep(Expr, Stmts)
                 | #while(Expr, Stmts) | #whileCond(Expr, Stmts)
                 | #loopLbl(K) | ""#cont"" | ""#brk"""
K0347	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	69	69	rule			fixed-supplied-semantics	  rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>
K0348	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	71	71	rule			fixed-supplied-semantics	  rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>
K0349	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	72	72	rule			fixed-supplied-semantics	  rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>
K0350	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	73	76	rule			fixed-supplied-semantics	"  rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts)
        => #bindTgt(T, V) ~> B ~> #loopLbl(#loop(REST, T, B)) ... </k>

  // ==== While =============================================================="
K0351	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	77	77	rule			fixed-supplied-semantics	  rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>
K0352	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	78	78	rule			fixed-supplied-semantics	  rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>
K0353	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	79	79	rule			fixed-supplied-semantics	  rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k>
K0354	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	80	80	requires			fixed-supplied-semantics	       requires truthy(V)
K0355	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	81	81	rule			fixed-supplied-semantics	  rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k>
K0356	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	82	84	requires			fixed-supplied-semantics	"       requires notBool truthy(V)

  // ==== loop control (break / continue) ====================================="
K0357	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	85	85	rule			fixed-supplied-semantics	  rule <k> #loopLbl(NEXT:K) => NEXT ... </k>
K0358	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	86	86	rule			fixed-supplied-semantics	  rule <k> Continue => #cont ... </k>
K0359	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	87	87	rule			fixed-supplied-semantics	  rule <k> Break => #brk ... </k>
K0360	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	88	88	rule			fixed-supplied-semantics	  rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>
K0361	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	89	89	rule	owise	owise	fixed-supplied-semantics	  rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]
K0362	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	90	90	rule			fixed-supplied-semantics	  rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>
K0363	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	91	94	rule	owise	owise	fixed-supplied-semantics	"  rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]

  // ==== heap-object deref at the truthiness/iteration consumers ==============
  // (priority(40) preempts the generic Val rules so truthy/#loop never see a ref)"
K0364	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	95	97	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k>
       <heap> ... H |-> V:Val ... </heap>
       [priority(40)]"
K0365	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	98	100	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k>
       <heap> ... H |-> V:Val ... </heap>
       [priority(40)]"
K0366	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	101	105	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k>
       <heap> ... H |-> V:Val ... </heap>
       [priority(40)]
  // For derefs its iterable ONCE at loop start (iteration is over the snapshot;
  // mutating the iterated list inside its own loop is outside the subset)"
K0367	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	106	108	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k>
       <heap> ... H |-> V:Val ... </heap>
       [priority(40)]"
K0368	/candidate/reference-semantics/semantics/controls.k	MPY-CONTROLS	109	109	endmodule			fixed-supplied-semantics	endmodule
K0369	/candidate/reference-semantics/semantics/core.k	MPY-CORE	3	3	module			fixed-supplied-semantics	module MPY-CORE
K0370	/candidate/reference-semantics/semantics/core.k	MPY-CORE	4	4	imports			fixed-supplied-semantics	  imports MPY-SYNTAX
K0371	/candidate/reference-semantics/semantics/core.k	MPY-CORE	5	5	imports			fixed-supplied-semantics	  imports INT
K0372	/candidate/reference-semantics/semantics/core.k	MPY-CORE	6	6	imports			fixed-supplied-semantics	  imports BOOL
K0373	/candidate/reference-semantics/semantics/core.k	MPY-CORE	7	7	imports			fixed-supplied-semantics	  imports STRING
K0374	/candidate/reference-semantics/semantics/core.k	MPY-CORE	8	8	imports			fixed-supplied-semantics	  imports MAP
K0375	/candidate/reference-semantics/semantics/core.k	MPY-CORE	9	9	imports			fixed-supplied-semantics	  imports LIST
K0376	/candidate/reference-semantics/semantics/core.k	MPY-CORE	10	12	imports			fixed-supplied-semantics	"  imports K-EQUAL

  // ==== values, the algebraic lists, and the scope heap ====================="
K0377	/candidate/reference-semantics/semantics/core.k	MPY-CORE	13	13	syntax			fixed-supplied-semantics	"  syntax IntSeq ::= "".IntSeq"" | iCons(Int, IntSeq)"
K0378	/candidate/reference-semantics/semantics/core.k	MPY-CORE	14	14	syntax			fixed-supplied-semantics	"  syntax ValSeq ::= "".ValSeq"" | vCons(Val, ValSeq)"
K0379	/candidate/reference-semantics/semantics/core.k	MPY-CORE	15	17	syntax			fixed-supplied-semantics	"  syntax Str    ::= str(IntSeq)

  // the iterable values, grouped under one sort (typing only — dispatch is <k>-cell)"
K0380	/candidate/reference-semantics/semantics/core.k	MPY-CORE	18	23	syntax			fixed-supplied-semantics	"  syntax Iterable ::= list(ValSeq)
                    | tuple(ValSeq)
                    | Str
                    | rangeObj(Int, Int, Int)
                    | zipObj(ValSeq, ValSeq)
                    | zipObjS(IntSeq, IntSeq)"
K0381	/candidate/reference-semantics/semantics/core.k	MPY-CORE	25	34	syntax			fixed-supplied-semantics	"  syntax Val      ::= Int
                    | Bool
                    | ""noneV""
                    | Iterable
                    | ref(Int)          // a heap object: <heap> holds its list(VS)
                    | cellRef(Int)      // a closure cell: <heap> holds cellV(V)
                    | closureVal(ParamNames, Stmts, Int)
                    | typeV(String)     // a type object (int/str), resolved from the builtins frame
                    | builtinV(String)  // a builtin function, resolved like any name (LEGB fallthrough)
                    | boundMethodV(Val, String)   // a cooled Attribute: obj.method"
K0382	/candidate/reference-semantics/semantics/core.k	MPY-CORE	36	36	syntax			fixed-supplied-semantics	"  syntax Parent   ::= ""root"" | parent(Int)"
K0383	/candidate/reference-semantics/semantics/core.k	MPY-CORE	37	37	syntax			fixed-supplied-semantics	  syntax Scope    ::= scope(Map, Parent)
K0384	/candidate/reference-semantics/semantics/core.k	MPY-CORE	38	38	syntax			fixed-supplied-semantics	  syntax KResult  ::= Val
K0385	/candidate/reference-semantics/semantics/core.k	MPY-CORE	39	39	syntax			fixed-supplied-semantics	  syntax Expr     ::= Val   // cooling puts results back into expression holes
K0386	/candidate/reference-semantics/semantics/core.k	MPY-CORE	40	40	syntax			fixed-supplied-semantics	"  syntax Vals     ::= List{Val, "",""}"
K0387	/candidate/reference-semantics/semantics/core.k	MPY-CORE	41	41	syntax			fixed-supplied-semantics	"  syntax Exc      ::= ""NoExc"" | ""AssertionError"""
K0388	/candidate/reference-semantics/semantics/core.k	MPY-CORE	42	48	syntax			fixed-supplied-semantics	"  syntax RetState ::= ""noRet"" | retV(Val)

  // ==== configuration =======================================================
  // The builtins namespace is a real scope at reserved location -1 (the bottom of every
  // chain; scopeLoc only allocates >=1, so -1 never collides). The module scope (loc 0)
  // has it as parent, so an unbound name resolves there last — exactly LEGB. `int`/`str`
  // resolve to their type objects; any local/global binding shadows them via normal lookup."
K0389	/candidate/reference-semantics/semantics/core.k	MPY-CORE	49	67	configuration			fixed-supplied-semantics	"  configuration
    <k>       #loadAll($PGM:Module) </k>
    <env>     0 </env>
    <scopes>   0     |-> scope(.Map, parent(-1))
              -1    |-> builtinsScope </scopes>
    <scopeLoc> 1 </scopeLoc>
    <heap>    .Map </heap>
    <heapLoc> 0 </heapLoc>
    <stack>   .List </stack>
    <ret>     noRet </ret>
    <exc>     NoExc </exc>
    <exit-code exit=""""> 0 </exit-code>

  // ==== heap allocation (constructed lists become objects) ==================
  // Cons-form emission with a freshness guard (the heap-list-probe discipline:
  // an update-form H[N <- _] never re-normalizes symbolically). heapLoc is
  // monotonic — it does NOT wind back at #pop: returned lists escape by ref.
  // A bare list(VS) Val stays legal (read-only inputs in claims flow unboxed);
  // only CONSTRUCTORS in program syntax allocate."
K0390	/candidate/reference-semantics/semantics/core.k	MPY-CORE	68	68	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Bool ::= isRefV(Val) [function, total]
