file	line	category	decision	declaration	rationale
reference-semantics/semantics/builtins.k	292	equational-rule	OUTSIDE_REACHABLE_PATH	"rule applyBuiltin(""isinstance"", V:Val, typeV(""str""), .Vals) => isStrV(V)"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	293	syntax[function]	OUTSIDE_REACHABLE_PATH	syntax Bool ::= isIntV(Val) [function] | isStrV(Val) [function]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	294	equational-rule	OUTSIDE_REACHABLE_PATH	rule isIntV(_:Int)         => true	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	295	equational-rule[owise]	OUTSIDE_REACHABLE_PATH	rule isIntV(_:Val)         => false [owise]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	296	equational-rule	OUTSIDE_REACHABLE_PATH	rule isStrV(str(_:IntSeq)) => true	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	297	equational-rule[owise]	OUTSIDE_REACHABLE_PATH	rule isStrV(_:Val)         => false [owise]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	298	endmodule	STRUCTURAL	endmodule	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/call.k	10	module	STRUCTURAL	module MPY-CALL	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/call.k	11	imports	STRUCTURAL	imports MPY-METHODS	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/call.k	12	imports	STRUCTURAL	imports MPY-BUILTINS	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/call.k	13	imports	STRUCTURAL	imports MPY-FUNCTIONS	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/call.k	16	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> Attribute(V:Val, M:String) => boundMethodV(V, M) ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/call.k	19	syntax	ACCEPTED_FIXED_PATH	syntax KItem ::= #callee(Exprs)	Reachable lookup/call/frame/return rule; exact binding, argument order, continuation, scope restoration, and allocation were checked.
reference-semantics/semantics/call.k	20	operational-rule[owise]	ACCEPTED_FIXED_PATH	rule <k> Call(Fe:Expr, ARGS:Exprs) => Fe ~> #callee(ARGS) ... </k> [owise]	Reachable lookup/call/frame/return rule; exact binding, argument order, continuation, scope restoration, and allocation were checked.
reference-semantics/semantics/call.k	21	operational-rule	ACCEPTED_FIXED_PATH	rule <k> CV:Val ~> #callee(ARGS:Exprs) => #evalArgs(ARGS, .Vals, toCall(CV)) ... </k>	Reachable lookup/call/frame/return rule; exact binding, argument order, continuation, scope restoration, and allocation were checked.
reference-semantics/semantics/call.k	24	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), ACC:Vals) => applyMethod(OBJ, M, ACC) ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/call.k	26	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> #applyK(toCall(builtinV(""sum"")), (OBJ:Iterable, .Vals)) => #sumAcc(OBJ, 0) ... </k>"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/call.k	27	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> #applyK(toCall(builtinV(""all"")), (OBJ:Iterable, .Vals)) => #allAcc(OBJ)    ... </k>"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/call.k	28	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> #applyK(toCall(builtinV(""any"")), (OBJ:Iterable, .Vals)) => #anyAcc(OBJ)    ... </k>"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/call.k	29	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> #applyK(toCall(builtinV(""max"")), (OBJ:Iterable, .Vals)) => #maxAcc0(OBJ)   ... </k>"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/call.k	30	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> #applyK(toCall(builtinV(""min"")), (OBJ:Iterable, .Vals)) => #minAcc0(OBJ)   ... </k>"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/call.k	31	operational-rule[owise]	ACCEPTED_FIXED_PATH	rule <k> #applyK(toCall(builtinV(BN:String)), ACC:Vals) => applyBuiltin(BN, ACC) ... </k> [owise]	Reachable lookup/call/frame/return rule; exact binding, argument order, continuation, scope restoration, and allocation were checked.
reference-semantics/semantics/call.k	32	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #applyK(toCall(typeV(T:String)),     ACC:Vals) => applyBuiltin(T, ACC)  ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/call.k	38	operational-rule[priority]	ACCEPTED_FIXED_PATH	rule <k> #applyK(toCall(builtinV(BN:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]	Reachable lookup/call/frame/return rule; exact binding, argument order, continuation, scope restoration, and allocation were checked.
reference-semantics/semantics/call.k	42	operational-rule[priority]	ACCEPTED_FIXED_PATH	rule <k> #applyK(toCall(builtinV(BN:String)), (A:Val, ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (A, V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isRefV(A) [priority(40)]	Reachable lookup/call/frame/return rule; exact binding, argument order, continuation, scope restoration, and allocation were checked.
reference-semantics/semantics/call.k	47	operational-rule[priority]	OUTSIDE_REACHABLE_PATH	rule <k> #applyK(toCall(typeV(T:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(typeV(T)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/call.k	52	syntax[function,total]	OUTSIDE_REACHABLE_PATH	syntax Bool ::= isMutMethod(String) [function, total]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/call.k	53	equational-rule	OUTSIDE_REACHABLE_PATH	"rule isMutMethod(M:String) => M ==String ""append"" orBool M ==String ""sort"" orBool M ==String ""extend"" orBool M ==String ""insert"" orBool M ==String ""pop"" orBool M ==String ""remove"""	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/call.k	56	operational-rule[priority]	OUTSIDE_REACHABLE_PATH	rule <k> #applyK(toCall(boundMethodV(ref(H:Int), M:String)), ACC:Vals) => #applyK(toCall(boundMethodV(V, M)), ACC) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isMutMethod(M) [priority(40)]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/call.k	63	operational-rule[priority]	OUTSIDE_REACHABLE_PATH	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(boundMethodV(OBJ, M)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isMutMethod(M) andBool notBool isRefV(OBJ) [priority(40)]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/call.k	69	operational-rule	ACCEPTED_FIXED_PATH	rule <k> #applyK(toCall(closureVal(PNS:ParamNames, BODY:Stmts, DEFL:Int)), ACC:Vals) ~> CONT => #bindP(PNS, ACC) ~> BODY ~> #endcall </k> <env>     CALLERL:Int => NEWL </env> <scopes>   STORE:Map => STORE [ NEWL <- scope(.Map, parent(DEFL)) ] </scopes> <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc> <stack>   .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>	Reachable lookup/call/frame/return rule; exact binding, argument order, continuation, scope restoration, and allocation were checked.
reference-semantics/semantics/call.k	80	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> #applyK(toCall(closureValC(PNS:ParamNames, CVS:ParamNames, BODY:Stmts, CM:Map)), ACC:Vals) ~> CONT => #allocCells(CVS) ~> #bindP(PNS, ACC) ~> BODY ~> #endcall </k> <env>     CALLERL:Int => NEWL </env> <scopes>   STORE:Map => STORE [ NEWL <- scope(CM [ ""$cells"" <- cellsMark(CVS) ], parent(0)) ] </scopes> <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc> <stack>   .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/call.k	87	syntax	OUTSIDE_REACHABLE_PATH	syntax KItem ::= #allocCells(ParamNames)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/call.k	88	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #allocCells(.ParamNames) => .K ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/call.k	89	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #allocCells((CV:String, R:ParamNames)) => #allocCells(R) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ CV <- cellRef(N) ], _) ... </scopes> <heap>    H:Map => (N |-> cellV(noneV)) H </heap> <heapLoc> N:Int => N +Int 1 </heapLoc> requires notBool N in_keys(H)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/call.k	95	endmodule	STRUCTURAL	endmodule	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/comprehension.k	3	module	STRUCTURAL	module MPY-COMPREHENSION	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/comprehension.k	4	imports	STRUCTURAL	imports MPY-CORE	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/comprehension.k	5	imports	STRUCTURAL	imports MPY-OPERATORS	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/comprehension.k	6	imports	STRUCTURAL	imports MPY-LIST	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/comprehension.k	7	imports	STRUCTURAL	imports MPY-CONTROLS	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/comprehension.k	8	imports	STRUCTURAL	imports MPY-FUNCTIONS	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/comprehension.k	11	equational-rule	OUTSIDE_REACHABLE_PATH	rule ListComp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/comprehension.k	12	equational-rule	OUTSIDE_REACHABLE_PATH	rule GenExp(ELT:Expr, Gs:CompFors)   => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/comprehension.k	14	syntax[macro]	OUTSIDE_REACHABLE_PATH	syntax Stmts ::= compBody(CompFors, Expr) [macro]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/comprehension.k	15	equational-rule	OUTSIDE_REACHABLE_PATH	"rule compBody(Gs:CompFors, ELT:Expr) => Assign(Name(""$acc""), ListExpr(.Exprs)) compNest(Gs, ELT) Return(Name(""$acc""))"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/comprehension.k	18	syntax[macro]	OUTSIDE_REACHABLE_PATH	syntax Stmt ::= compNest(CompFors, Expr) [macro-rec]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/comprehension.k	19	equational-rule	OUTSIDE_REACHABLE_PATH	"rule compNest(.CompFors, ELT:Expr) => Assign(Name(""$acc""), BinOp(""+"", Name(""$acc""), ListExpr(ELT)))"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/comprehension.k	21	equational-rule	OUTSIDE_REACHABLE_PATH	rule compNest((CompFor(T:Expr, ITER:Expr, Fs:Exprs) GRest:CompFors), ELT:Expr) => For(T, ITER, If(compGuard(Fs), compNest(GRest, ELT), .Stmts))	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/comprehension.k	24	syntax[macro]	OUTSIDE_REACHABLE_PATH	syntax Expr ::= compGuard(Exprs) [macro]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/comprehension.k	25	equational-rule	OUTSIDE_REACHABLE_PATH	rule compGuard(.Exprs)             => Bool(true)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/comprehension.k	26	equational-rule	OUTSIDE_REACHABLE_PATH	"rule compGuard((F:Expr, Fs:Exprs)) => BoolOp(""and"", (F, Fs))"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/comprehension.k	27	endmodule	STRUCTURAL	endmodule	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/concrete.k	8	module	CONCRETE_RUNTIME_ONLY	module MPY-CONCRETE	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	9	imports	CONCRETE_RUNTIME_ONLY	imports MPY	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	13	operational-rule	CONCRETE_RUNTIME_ONLY	"rule <k> Compare(list(A:ValSeq), CmpOp(""=="", list(B:ValSeq))) => deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap> requires hasRefVS(A) orBool hasRefVS(B)"	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	16	operational-rule	CONCRETE_RUNTIME_ONLY	"rule <k> Compare(list(A:ValSeq), CmpOp(""!="", list(B:ValSeq))) => notBool deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap> requires hasRefVS(A) orBool hasRefVS(B)"	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	25	syntax	CONCRETE_RUNTIME_ONLY	syntax Val ::= kvP(Val, Val)	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	26	syntax	CONCRETE_RUNTIME_ONLY	syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool) | #ksIns(Val, ValSeq, Val, ValSeq, Bool)	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	28	operational-rule[priority]	CONCRETE_RUNTIME_ONLY	"rule <k> #applyK(toCall(builtinV(""sorted"")), (list(VS:ValSeq), kwV(""key"", KV:Val), .Vals)) => #ksort(VS, KV, .ValSeq, false) ... </k> [priority(40)]"	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	31	operational-rule[priority]	CONCRETE_RUNTIME_ONLY	"rule <k> #applyK(toCall(builtinV(""sorted"")), (list(VS:ValSeq), kwV(""key"", KV:Val), kwV(""reverse"", RB:Bool), .Vals)) => #ksort(VS, KV, .ValSeq, RB) ... </k> [priority(40)]"	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	34	operational-rule	CONCRETE_RUNTIME_ONLY	rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool) => #alloc(list(condRev(unpairVS(ACC), RB))) ... </k>	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	36	operational-rule	CONCRETE_RUNTIME_ONLY	rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool) => KV ~> #callee((V, .Exprs)) ~> #ksIns(V, R, KV, ACC, RB) ... </k>	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	38	operational-rule	CONCRETE_RUNTIME_ONLY	rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool) => #ksort(R, KV, insPair(ACC, K, V), RB) ... </k> requires notBool isKwV(K)	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	42	syntax[function]	CONCRETE_RUNTIME_ONLY	syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	43	equational-rule	CONCRETE_RUNTIME_ONLY	rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	44	equational-rule	CONCRETE_RUNTIME_ONLY	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K, V), vCons(kvP(K2, V2), R)) requires kLt(K, K2)	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	47	equational-rule	CONCRETE_RUNTIME_ONLY	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K2, V2), insPair(R, K, V)) requires notBool kLt(K, K2)	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	51	syntax[function]	CONCRETE_RUNTIME_ONLY	syntax Bool ::= kLt(Val, Val) [function]	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	52	equational-rule	CONCRETE_RUNTIME_ONLY	rule kLt(I1:Int, I2:Int)             => I1 <Int I2	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	53	equational-rule	CONCRETE_RUNTIME_ONLY	rule kLt(F1:Float, F2:Float)         => F1 <Float F2	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	54	equational-rule	CONCRETE_RUNTIME_ONLY	rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	56	syntax[function,total]	CONCRETE_RUNTIME_ONLY	syntax ValSeq ::= unpairVS(ValSeq) [function, total]	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	57	equational-rule	CONCRETE_RUNTIME_ONLY	rule unpairVS(.ValSeq) => .ValSeq	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	58	equational-rule	CONCRETE_RUNTIME_ONLY	rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	59	equational-rule[owise]	CONCRETE_RUNTIME_ONLY	rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/concrete.k	60	endmodule	CONCRETE_RUNTIME_ONLY	endmodule	Imported by MPY-KRUN but not VERIFICATION/MPY; cannot contribute to target-claim closure.
reference-semantics/semantics/controls.k	3	module	STRUCTURAL	module MPY-CONTROLS	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/controls.k	4	imports	STRUCTURAL	imports MPY-CORE	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/controls.k	5	imports	STRUCTURAL	imports MPY-TUPLE	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/controls.k	6	imports	STRUCTURAL	imports MPY-ITER	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/controls.k	9	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> Assign(Name(X:String), V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- V ], _) ... </scopes>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/controls.k	12	operational-rule[priority]	OUTSIDE_REACHABLE_PATH	"rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires ""$cells"" in_keys(M) andBool pnMember(X, cellsOf({M[""$cells""]}:>Val)) andBool X in_keys(M) andBool isCellRef({M[X]}:>Val) [priority(40)]"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/controls.k	20	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- applyBin(OP, {M[X]}:>Val, V) ], _) ... </scopes> requires X in_keys(M)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/controls.k	27	operational-rule[priority]	OUTSIDE_REACHABLE_PATH	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires X in_keys(M) andBool isRefV({M[X]}:>Val) [priority(40)]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/controls.k	35	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> ImportFrom(""math"", NS:ParamNames) => #bindImports(NS) ... </k>"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/controls.k	36	operational-rule[owise]	OUTSIDE_REACHABLE_PATH	rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/controls.k	37	syntax	OUTSIDE_REACHABLE_PATH	syntax KItem ::= #bindImports(ParamNames)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/controls.k	38	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #bindImports(.ParamNames) => .K ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/controls.k	39	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ N <- builtinV(N) ], _) ... </scopes> requires N ==String ""floor"" orBool N ==String ""ceil"""	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/controls.k	43	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> requires notBool (N ==String ""floor"" orBool N ==String ""ceil"")"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/controls.k	48	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> Expr(_:Val) => .K ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/controls.k	51	syntax	OUTSIDE_REACHABLE_PATH	syntax KItem ::= #branch(Bool, Stmts, Stmts)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/controls.k	52	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/controls.k	53	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #branch(true,  T:Stmts, _:Stmts) => T ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/controls.k	54	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/controls.k	57	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k> requires truthy(V)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/controls.k	59	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k> requires notBool truthy(V)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
