id	kind	classification	source	line	module	attrs	static_decision	text
K-0214	syntax	syntax_declaration	/reference/reference-semantics/semantics/call.k	87	MPY-CALL		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax KItem ::= #allocCells(ParamNames)
K-0215	rule	ordinary_rule	/reference/reference-semantics/semantics/call.k	88	MPY-CALL		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #allocCells(.ParamNames) => .K ... </k>
K-0216	rule	ordinary_rule	/reference/reference-semantics/semantics/call.k	89	MPY-CALL		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #allocCells((CV:String, R:ParamNames)) => #allocCells(R) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ CV <- cellRef(N) ], _) ... </scopes> <heap> H:Map => (N |-> cellV(noneV)) H </heap> <heapLoc> N:Int => N +Int 1 </heapLoc> requires notBool N in_keys(H)
K-0217	rule	ordinary_rule	/reference/reference-semantics/semantics/comprehension.k	11	MPY-COMPREHENSION		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule ListComp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
K-0218	rule	ordinary_rule	/reference/reference-semantics/semantics/comprehension.k	12	MPY-COMPREHENSION		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule GenExp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
K-0219	syntax	syntax_declaration+macro	/reference/reference-semantics/semantics/comprehension.k	14	MPY-COMPREHENSION	macro	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Stmts ::= compBody(CompFors, Expr) [macro]
K-0220	rule	ordinary_rule	/reference/reference-semantics/semantics/comprehension.k	15	MPY-COMPREHENSION		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule compBody(Gs:CompFors, ELT:Expr) => Assign(Name(""$acc""), ListExpr(.Exprs)) compNest(Gs, ELT) Return(Name(""$acc""))"
K-0221	syntax	syntax_declaration+macro	/reference/reference-semantics/semantics/comprehension.k	18	MPY-COMPREHENSION	macro	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Stmt ::= compNest(CompFors, Expr) [macro-rec]
K-0222	rule	ordinary_rule	/reference/reference-semantics/semantics/comprehension.k	19	MPY-COMPREHENSION		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule compNest(.CompFors, ELT:Expr) => Assign(Name(""$acc""), BinOp(""+"", Name(""$acc""), ListExpr(ELT)))"
K-0223	rule	ordinary_rule	/reference/reference-semantics/semantics/comprehension.k	21	MPY-COMPREHENSION		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule compNest((CompFor(T:Expr, ITER:Expr, Fs:Exprs) GRest:CompFors), ELT:Expr) => For(T, ITER, If(compGuard(Fs), compNest(GRest, ELT), .Stmts))
K-0224	syntax	syntax_declaration+macro	/reference/reference-semantics/semantics/comprehension.k	24	MPY-COMPREHENSION	macro	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Expr ::= compGuard(Exprs) [macro]
K-0225	rule	ordinary_rule	/reference/reference-semantics/semantics/comprehension.k	25	MPY-COMPREHENSION		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule compGuard(.Exprs) => Bool(true)
K-0226	rule	ordinary_rule	/reference/reference-semantics/semantics/comprehension.k	26	MPY-COMPREHENSION		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule compGuard((F:Expr, Fs:Exprs)) => BoolOp(""and"", (F, Fs))"
K-0227	rule	ordinary_rule	/reference/reference-semantics/semantics/concrete.k	13	MPY-CONCRETE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> Compare(list(A:ValSeq), CmpOp(""=="", list(B:ValSeq))) => deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap> requires hasRefVS(A) orBool hasRefVS(B)"
K-0228	rule	ordinary_rule	/reference/reference-semantics/semantics/concrete.k	16	MPY-CONCRETE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> Compare(list(A:ValSeq), CmpOp(""!="", list(B:ValSeq))) => notBool deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap> requires hasRefVS(A) orBool hasRefVS(B)"
K-0229	syntax	syntax_declaration	/reference/reference-semantics/semantics/concrete.k	25	MPY-CONCRETE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Val ::= kvP(Val, Val)
K-0230	syntax	syntax_declaration	/reference/reference-semantics/semantics/concrete.k	26	MPY-CONCRETE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool) | #ksIns(Val, ValSeq, Val, ValSeq, Bool)
K-0231	rule	priority_rule	/reference/reference-semantics/semantics/concrete.k	28	MPY-CONCRETE	priority	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""sorted"")), (list(VS:ValSeq), kwV(""key"", KV:Val), .Vals)) => #ksort(VS, KV, .ValSeq, false) ... </k> [priority(40)]"
K-0232	rule	priority_rule	/reference/reference-semantics/semantics/concrete.k	31	MPY-CONCRETE	priority	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> #applyK(toCall(builtinV(""sorted"")), (list(VS:ValSeq), kwV(""key"", KV:Val), kwV(""reverse"", RB:Bool), .Vals)) => #ksort(VS, KV, .ValSeq, RB) ... </k> [priority(40)]"
K-0233	rule	ordinary_rule	/reference/reference-semantics/semantics/concrete.k	34	MPY-CONCRETE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool) => #alloc(list(condRev(unpairVS(ACC), RB))) ... </k>
K-0234	rule	ordinary_rule	/reference/reference-semantics/semantics/concrete.k	36	MPY-CONCRETE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool) => KV ~> #callee((V, .Exprs)) ~> #ksIns(V, R, KV, ACC, RB) ... </k>
K-0235	rule	ordinary_rule	/reference/reference-semantics/semantics/concrete.k	38	MPY-CONCRETE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool) => #ksort(R, KV, insPair(ACC, K, V), RB) ... </k> requires notBool isKwV(K)
K-0236	syntax	syntax_declaration+function	/reference/reference-semantics/semantics/concrete.k	42	MPY-CONCRETE	function	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]
K-0237	rule	ordinary_rule	/reference/reference-semantics/semantics/concrete.k	43	MPY-CONCRETE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)
K-0238	rule	ordinary_rule	/reference/reference-semantics/semantics/concrete.k	44	MPY-CONCRETE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K, V), vCons(kvP(K2, V2), R)) requires kLt(K, K2)
K-0239	rule	ordinary_rule	/reference/reference-semantics/semantics/concrete.k	47	MPY-CONCRETE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K2, V2), insPair(R, K, V)) requires notBool kLt(K, K2)
K-0240	syntax	syntax_declaration+function	/reference/reference-semantics/semantics/concrete.k	51	MPY-CONCRETE	function	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Bool ::= kLt(Val, Val) [function]
K-0241	rule	ordinary_rule	/reference/reference-semantics/semantics/concrete.k	52	MPY-CONCRETE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule kLt(I1:Int, I2:Int) => I1 <Int I2
K-0242	rule	ordinary_rule	/reference/reference-semantics/semantics/concrete.k	53	MPY-CONCRETE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule kLt(F1:Float, F2:Float) => F1 <Float F2
K-0243	rule	ordinary_rule	/reference/reference-semantics/semantics/concrete.k	54	MPY-CONCRETE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)
K-0244	syntax	syntax_declaration+function+total	/reference/reference-semantics/semantics/concrete.k	56	MPY-CONCRETE	function,total	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax ValSeq ::= unpairVS(ValSeq) [function, total]
K-0245	rule	ordinary_rule	/reference/reference-semantics/semantics/concrete.k	57	MPY-CONCRETE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule unpairVS(.ValSeq) => .ValSeq
K-0246	rule	ordinary_rule	/reference/reference-semantics/semantics/concrete.k	58	MPY-CONCRETE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))
K-0247	rule	owise_rule	/reference/reference-semantics/semantics/concrete.k	59	MPY-CONCRETE	owise	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]
K-0248	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	9	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> Assign(Name(X:String), V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- V ], _) ... </scopes>
K-0249	rule	priority_rule	/reference/reference-semantics/semantics/controls.k	12	MPY-CONTROLS	priority	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires ""$cells"" in_keys(M) andBool pnMember(X, cellsOf({M[""$cells""]}:>Val)) andBool X in_keys(M) andBool isCellRef({M[X]}:>Val) [priority(40)]"
K-0250	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	20	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- applyBin(OP, {M[X]}:>Val, V) ], _) ... </scopes> requires X in_keys(M)
K-0251	rule	priority_rule	/reference/reference-semantics/semantics/controls.k	27	MPY-CONTROLS	priority	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires X in_keys(M) andBool isRefV({M[X]}:>Val) [priority(40)]
K-0252	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	35	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> ImportFrom(""math"", NS:ParamNames) => #bindImports(NS) ... </k>"
K-0253	rule	owise_rule	/reference/reference-semantics/semantics/controls.k	36	MPY-CONTROLS	owise	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]
K-0254	syntax	syntax_declaration	/reference/reference-semantics/semantics/controls.k	37	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax KItem ::= #bindImports(ParamNames)
K-0255	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	38	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #bindImports(.ParamNames) => .K ... </k>
K-0256	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	39	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ N <- builtinV(N) ], _) ... </scopes> requires N ==String ""floor"" orBool N ==String ""ceil"""
K-0257	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	43	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> requires notBool (N ==String ""floor"" orBool N ==String ""ceil"")"
K-0258	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	48	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> Expr(_:Val) => .K ... </k>
K-0259	syntax	syntax_declaration	/reference/reference-semantics/semantics/controls.k	51	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax KItem ::= #branch(Bool, Stmts, Stmts)
K-0260	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	52	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>
K-0261	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	53	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #branch(true, T:Stmts, _:Stmts) => T ... </k>
K-0262	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	54	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>
K-0263	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	57	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k> requires truthy(V)
K-0264	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	59	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k> requires notBool truthy(V)
K-0265	syntax	syntax_declaration	/reference/reference-semantics/semantics/controls.k	65	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"syntax KItem ::= #loop(Val, Expr, Stmts) | #loopStep(Expr, Stmts) | #while(Expr, Stmts) | #whileCond(Expr, Stmts) | #loopLbl(K) | ""#cont"" | ""#brk"""
K-0266	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	69	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>
K-0267	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	71	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>
K-0268	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	72	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>
K-0269	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	73	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts) => #bindTgt(T, V) ~> B ~> #loopLbl(#loop(REST, T, B)) ... </k>
K-0270	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	77	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>
K-0271	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	78	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>
K-0272	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	79	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k> requires truthy(V)
K-0273	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	81	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k> requires notBool truthy(V)
K-0274	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	85	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #loopLbl(NEXT:K) => NEXT ... </k>
K-0275	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	86	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> Continue => #cont ... </k>
K-0276	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	87	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> Break => #brk ... </k>
K-0277	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	88	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>
K-0278	rule	owise_rule	/reference/reference-semantics/semantics/controls.k	89	MPY-CONTROLS	owise	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]
K-0279	rule	ordinary_rule	/reference/reference-semantics/semantics/controls.k	90	MPY-CONTROLS		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>
K-0280	rule	owise_rule	/reference/reference-semantics/semantics/controls.k	91	MPY-CONTROLS	owise	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]
K-0281	rule	priority_rule	/reference/reference-semantics/semantics/controls.k	95	MPY-CONTROLS	priority	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K-0282	rule	priority_rule	/reference/reference-semantics/semantics/controls.k	98	MPY-CONTROLS	priority	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K-0283	rule	priority_rule	/reference/reference-semantics/semantics/controls.k	101	MPY-CONTROLS	priority	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K-0284	rule	priority_rule	/reference/reference-semantics/semantics/controls.k	106	MPY-CONTROLS	priority	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K-0285	syntax	syntax_declaration	/reference/reference-semantics/semantics/core.k	13	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"syntax IntSeq ::= "".IntSeq"" | iCons(Int, IntSeq)"
K-0286	syntax	syntax_declaration	/reference/reference-semantics/semantics/core.k	14	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"syntax ValSeq ::= "".ValSeq"" | vCons(Val, ValSeq)"
K-0287	syntax	syntax_declaration	/reference/reference-semantics/semantics/core.k	15	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Str ::= str(IntSeq)
K-0288	syntax	syntax_declaration	/reference/reference-semantics/semantics/core.k	18	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Iterable ::= list(ValSeq) | tuple(ValSeq) | Str | rangeObj(Int, Int, Int) | zipObj(ValSeq, ValSeq) | zipObjS(IntSeq, IntSeq)
K-0289	syntax	syntax_declaration	/reference/reference-semantics/semantics/core.k	25	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"syntax Val ::= Int | Bool | ""noneV"" | Iterable | ref(Int) | cellRef(Int) | closureVal(ParamNames, Stmts, Int) | typeV(String) | builtinV(String) | boundMethodV(Val, String)"
K-0290	syntax	syntax_declaration	/reference/reference-semantics/semantics/core.k	36	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"syntax Parent ::= ""root"" | parent(Int)"
K-0291	syntax	syntax_declaration	/reference/reference-semantics/semantics/core.k	37	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Scope ::= scope(Map, Parent)
K-0292	syntax	syntax_declaration	/reference/reference-semantics/semantics/core.k	38	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax KResult ::= Val
K-0293	syntax	syntax_declaration	/reference/reference-semantics/semantics/core.k	39	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Expr ::= Val
K-0294	syntax	syntax_declaration	/reference/reference-semantics/semantics/core.k	40	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"syntax Vals ::= List{Val, "",""}"
K-0295	syntax	syntax_declaration	/reference/reference-semantics/semantics/core.k	41	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"syntax Exc ::= ""NoExc"" | ""AssertionError"""
K-0296	syntax	syntax_declaration	/reference/reference-semantics/semantics/core.k	42	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"syntax RetState ::= ""noRet"" | retV(Val)"
K-0297	configuration	configuration	/reference/reference-semantics/semantics/core.k	49	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"configuration <k> #loadAll($PGM:Module) </k> <env> 0 </env> <scopes> 0 |-> scope(.Map, parent(-1)) -1 |-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap> .Map </heap> <heapLoc> 0 </heapLoc> <stack> .List </stack> <ret> noRet </ret> <exc> NoExc </exc> <exit-code exit=""""> 0 </exit-code>"
K-0298	syntax	syntax_declaration+function+total	/reference/reference-semantics/semantics/core.k	68	MPY-CORE	function,total	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Bool ::= isRefV(Val) [function, total]
K-0299	rule	ordinary_rule	/reference/reference-semantics/semantics/core.k	69	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule isRefV(ref(_:Int)) => true
K-0300	rule	owise_rule	/reference/reference-semantics/semantics/core.k	70	MPY-CORE	owise	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule isRefV(_:Val) => false [owise]
K-0301	syntax	syntax_declaration	/reference/reference-semantics/semantics/core.k	75	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax HeapVal ::= cellV(Val)
K-0302	syntax	syntax_declaration+function+total	/reference/reference-semantics/semantics/core.k	76	MPY-CORE	function,total	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Bool ::= isCellRef(Val) [function, total]
K-0303	rule	ordinary_rule	/reference/reference-semantics/semantics/core.k	77	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule isCellRef(cellRef(_:Int)) => true
K-0304	rule	owise_rule	/reference/reference-semantics/semantics/core.k	78	MPY-CORE	owise	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule isCellRef(_:Val) => false [owise]
K-0305	rule	priority_rule	/reference/reference-semantics/semantics/core.k	85	MPY-CORE	priority	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	"rule <k> cellRef(H:Int) => V ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap> requires ""$cells"" in_keys(M) [priority(40)]"
K-0306	syntax	syntax_declaration	/reference/reference-semantics/semantics/core.k	95	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Val ::= kwV(String, Val)
K-0307	syntax	syntax_declaration	/reference/reference-semantics/semantics/core.k	96	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax KItem ::= #kwTag(String)
K-0308	rule	ordinary_rule	/reference/reference-semantics/semantics/core.k	97	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> KwArg(N:String, E:Expr) => E ~> #kwTag(N) ... </k>
K-0309	rule	ordinary_rule	/reference/reference-semantics/semantics/core.k	98	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> V:Val ~> #kwTag(N:String) => kwV(N, V) ... </k> requires notBool isKwV(V)
K-0310	syntax	syntax_declaration+function+total	/reference/reference-semantics/semantics/core.k	100	MPY-CORE	function,total	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Bool ::= isKwV(Val) [function, total]
K-0311	rule	ordinary_rule	/reference/reference-semantics/semantics/core.k	101	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule isKwV(kwV(_:String, _:Val)) => true
K-0312	rule	owise_rule	/reference/reference-semantics/semantics/core.k	102	MPY-CORE	owise	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule isKwV(_:Val) => false [owise]
K-0313	syntax	syntax_declaration	/reference/reference-semantics/semantics/core.k	106	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Val ::= cellsMark(ParamNames)
K-0314	syntax	syntax_declaration+function	/reference/reference-semantics/semantics/core.k	107	MPY-CORE	function	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax ParamNames ::= cellsOf(Val) [function]
K-0315	rule	ordinary_rule	/reference/reference-semantics/semantics/core.k	108	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule cellsOf(cellsMark(CVS:ParamNames)) => CVS
K-0316	syntax	syntax_declaration+function+total	/reference/reference-semantics/semantics/core.k	109	MPY-CORE	function,total	ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax Bool ::= pnMember(String, ParamNames) [function, total]
K-0317	rule	ordinary_rule	/reference/reference-semantics/semantics/core.k	110	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule pnMember(_:String, .ParamNames) => false
K-0318	rule	ordinary_rule	/reference/reference-semantics/semantics/core.k	111	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule pnMember(X:String, (P:String, R:ParamNames)) => X ==String P orBool pnMember(X, R)
K-0319	syntax	syntax_declaration	/reference/reference-semantics/semantics/core.k	113	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax KItem ::= #cellW(Val, Val)
K-0320	rule	ordinary_rule	/reference/reference-semantics/semantics/core.k	114	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	rule <k> #cellW(cellRef(H:Int), V:Val) => .K ... </k> <heap> ... H |-> cellV(_:Val => V) ... </heap>
K-0321	syntax	syntax_declaration	/reference/reference-semantics/semantics/core.k	117	MPY-CORE		ACCEPT_SELECTED_SUPPLIED_SEMANTICS	syntax KItem ::= #alloc(Val)
