# Exhaustive local K declaration and rule inventory
# disposition meanings:
#   USED_PATH_REVIEWED: reached by the submitted Module or by the candidate Call claim
#   FIXED_UNUSED_NO_FALSE_WITNESS: supplied baseline declaration/rule not reached here;
#     no concrete or symbolic false-conclusion witness was found in this audit
#   LOCAL_CLAIM_REVIEWED: candidate reachability claim, reviewed separately for adequacy

## FILE semantics.k declarations=0
(no local syntax, rules, claims, contexts, or configuration)

## FILE semantics/assert.k declarations=3
semantics/assert.k:6 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> Assert(V:Val) => .K ... </k>
semantics/concrete.k:31 | kind=rule | classes=ordinary_semantic_rule,priority_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), kwV("reverse", RB:Bool), .Vals)) => #ksort(VS, KV, .ValSeq, RB) ... </k> [priority(40)]
semantics/concrete.k:34 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool) => #alloc(list(condRev(unpairVS(ACC), RB))) ... </k>
semantics/concrete.k:36 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool) => KV ~> #callee((V, .Exprs)) ~> #ksIns(V, R, KV, ACC, RB) ... </k>
semantics/concrete.k:38 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool) => #ksort(R, KV, insPair(ACC, K, V), RB) ... </k>
semantics/concrete.k:42 | kind=syntax | classes=syntax_declaration,function | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]
semantics/concrete.k:43 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)
semantics/concrete.k:44 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K, V), vCons(kvP(K2, V2), R))
semantics/concrete.k:47 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K2, V2), insPair(R, K, V))
semantics/concrete.k:51 | kind=syntax | classes=syntax_declaration,function | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Bool ::= kLt(Val, Val) [function]
semantics/concrete.k:52 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule kLt(I1:Int, I2:Int)             => I1 <Int I2
semantics/concrete.k:53 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule kLt(F1:Float, F2:Float)         => F1 <Float F2
semantics/concrete.k:54 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)
semantics/concrete.k:56 | kind=syntax | classes=syntax_declaration,function,total | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax ValSeq ::= unpairVS(ValSeq) [function, total]
semantics/concrete.k:57 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule unpairVS(.ValSeq) => .ValSeq
semantics/concrete.k:58 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))
semantics/concrete.k:59 | kind=rule | classes=ordinary_semantic_rule,owise_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]

## FILE semantics/controls.k declarations=37
semantics/controls.k:9 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> Assign(Name(X:String), V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- V ], _) ... </scopes>
semantics/controls.k:12 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes>
semantics/controls.k:20 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- applyBin(OP, {M[X]}:>Val, V) ], _) ... </scopes>
semantics/controls.k:27 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes>
semantics/controls.k:35 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> ImportFrom("math", NS:ParamNames) => #bindImports(NS) ... </k>
semantics/controls.k:36 | kind=rule | classes=ordinary_semantic_rule,owise_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]
semantics/controls.k:37 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax KItem ::= #bindImports(ParamNames)
semantics/controls.k:38 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #bindImports(.ParamNames) => .K ... </k>
semantics/controls.k:39 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ N <- builtinV(N) ], _) ... </scopes>
semantics/controls.k:43 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k>
semantics/controls.k:48 | kind=rule | classes=ordinary_semantic_rule | disposition=USED_PATH_REVIEWED (module docstring Expr statement is discarded after evaluation) | rule <k> Expr(_:Val) => .K ... </k>
semantics/controls.k:51 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax KItem ::= #branch(Bool, Stmts, Stmts)
semantics/controls.k:52 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>
semantics/controls.k:53 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #branch(true,  T:Stmts, _:Stmts) => T ... </k>
semantics/controls.k:54 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>
semantics/controls.k:57 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k>
semantics/controls.k:59 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k>
semantics/controls.k:65 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax KItem ::= #loop(Val, Expr, Stmts) | #loopStep(Expr, Stmts) | #while(Expr, Stmts) | #whileCond(Expr, Stmts) | #loopLbl(K) | "#cont" | "#brk"
semantics/controls.k:69 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>
semantics/controls.k:71 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>
semantics/controls.k:72 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>
semantics/controls.k:73 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts) => #bindTgt(T, V) ~> B ~> #loopLbl(#loop(REST, T, B)) ... </k>
semantics/controls.k:77 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>
semantics/controls.k:78 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>
semantics/controls.k:79 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k>
semantics/controls.k:81 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k>
semantics/controls.k:85 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #loopLbl(NEXT:K) => NEXT ... </k>
semantics/controls.k:86 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> Continue => #cont ... </k>
semantics/controls.k:87 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> Break => #brk ... </k>
semantics/controls.k:88 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>
semantics/controls.k:89 | kind=rule | classes=ordinary_semantic_rule,owise_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]
semantics/controls.k:90 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>
semantics/controls.k:91 | kind=rule | classes=ordinary_semantic_rule,owise_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]
semantics/controls.k:95 | kind=rule | classes=ordinary_semantic_rule,priority_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
semantics/controls.k:98 | kind=rule | classes=ordinary_semantic_rule,priority_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
semantics/controls.k:101 | kind=rule | classes=ordinary_semantic_rule,priority_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
semantics/controls.k:106 | kind=rule | classes=ordinary_semantic_rule,priority_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]

## FILE semantics/core.k declarations=84
semantics/core.k:13 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax IntSeq ::= ".IntSeq" | iCons(Int, IntSeq)
semantics/core.k:14 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax ValSeq ::= ".ValSeq" | vCons(Val, ValSeq)
semantics/core.k:15 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Str    ::= str(IntSeq)
semantics/core.k:18 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Iterable ::= list(ValSeq) | tuple(ValSeq) | Str | rangeObj(Int, Int, Int) | zipObj(ValSeq, ValSeq) | zipObjS(IntSeq, IntSeq)
semantics/core.k:25 | kind=syntax | classes=syntax_declaration,function | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Val      ::= Int | Bool | "noneV" | Iterable | ref(Int)          // a heap object: <heap> holds its list(VS) | cellRef(Int)      // a closure cell: <heap> holds cellV(V) | closureVal(ParamNames, Stmts, Int) | typeV(String)     // a type object (int/str), resolved from the builtins frame | builtinV(String)  // a builtin function, resolved like any name (LEGB fallthrough) | boundMethodV(Val, String)   // a cooled Attribute: obj.method
semantics/core.k:36 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Parent   ::= "root" | parent(Int)
semantics/core.k:37 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Scope    ::= scope(Map, Parent)
semantics/core.k:38 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax KResult  ::= Val
semantics/core.k:39 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Expr     ::= Val   // cooling puts results back into expression holes
semantics/core.k:40 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Vals     ::= List{Val, ","}
semantics/core.k:41 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Exc      ::= "NoExc" | "AssertionError"
semantics/core.k:42 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax RetState ::= "noRet" | retV(Val)
semantics/core.k:49 | kind=configuration | classes=configuration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | configuration <k>       #loadAll($PGM:Module) </k> <env>     0 </env> <scopes>   0     |-> scope(.Map, parent(-1)) -1    |-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap>    .Map </heap> <heapLoc> 0 </heapLoc> <stack>   .List </stack> <ret>     noRet </ret> <exc>     NoExc </exc> <exit-code exit=""> 0 </exit-code>
semantics/core.k:68 | kind=syntax | classes=syntax_declaration,function,total | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Bool ::= isRefV(Val) [function, total]
semantics/core.k:69 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule isRefV(ref(_:Int)) => true
semantics/core.k:70 | kind=rule | classes=ordinary_semantic_rule,owise_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule isRefV(_:Val)      => false [owise]
semantics/core.k:75 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax HeapVal ::= cellV(Val)
semantics/core.k:76 | kind=syntax | classes=syntax_declaration,function,total | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Bool ::= isCellRef(Val) [function, total]
semantics/core.k:77 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule isCellRef(cellRef(_:Int)) => true
semantics/core.k:78 | kind=rule | classes=ordinary_semantic_rule,owise_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule isCellRef(_:Val)          => false [owise]
semantics/core.k:85 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> cellRef(H:Int) => V ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap>
semantics/core.k:95 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Val ::= kwV(String, Val)
semantics/core.k:96 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax KItem ::= #kwTag(String)
semantics/core.k:97 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> KwArg(N:String, E:Expr) => E ~> #kwTag(N) ... </k>
semantics/core.k:98 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> V:Val ~> #kwTag(N:String) => kwV(N, V) ... </k>
semantics/core.k:100 | kind=syntax | classes=syntax_declaration,function,total | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Bool ::= isKwV(Val) [function, total]
semantics/core.k:101 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule isKwV(kwV(_:String, _:Val)) => true
semantics/core.k:102 | kind=rule | classes=ordinary_semantic_rule,owise_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule isKwV(_:Val)                => false [owise]
semantics/core.k:106 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Val ::= cellsMark(ParamNames)
semantics/core.k:107 | kind=syntax | classes=syntax_declaration,function | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax ParamNames ::= cellsOf(Val) [function]
semantics/core.k:108 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule cellsOf(cellsMark(CVS:ParamNames)) => CVS
semantics/core.k:109 | kind=syntax | classes=syntax_declaration,function,total | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Bool ::= pnMember(String, ParamNames) [function, total]
semantics/core.k:110 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule pnMember(_:String, .ParamNames) => false
semantics/core.k:111 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule pnMember(X:String, (P:String, R:ParamNames)) => X ==String P orBool pnMember(X, R)
semantics/core.k:113 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax KItem ::= #cellW(Val, Val)
semantics/core.k:114 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #cellW(cellRef(H:Int), V:Val) => .K ... </k> <heap> ... H |-> cellV(_:Val => V) ... </heap>
semantics/core.k:117 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax KItem ::= #alloc(Val)
semantics/core.k:118 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #alloc(V:Val) => ref(N) ... </k> <heap>    H:Map => (N |-> V) H </heap> <heapLoc> N:Int => N +Int 1 </heapLoc>
semantics/core.k:124 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax KItem ::= #loadAll(Module)
semantics/core.k:125 | kind=rule | classes=ordinary_semantic_rule | disposition=USED_PATH_REVIEWED (actual Module loader) | rule <k> #loadAll(Module(SS:Stmts)) => SS ... </k>
semantics/core.k:126 | kind=rule | classes=ordinary_semantic_rule | disposition=USED_PATH_REVIEWED (left-to-right statement sequencing) | rule <k> (S:Stmt SS:Stmts):Stmts => S ~> SS ... </k>
semantics/core.k:127 | kind=rule | classes=ordinary_semantic_rule | disposition=USED_PATH_REVIEWED (empty statement sequence) | rule <k> .Stmts => .K ... </k>
semantics/core.k:130 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax KItem ::= #look(String, Int)
semantics/core.k:131 | kind=rule | classes=ordinary_semantic_rule | disposition=USED_PATH_REVIEWED (callee/body Name lookup begins) | rule <k> Name(X:String) => #look(X, L) ... </k> <env> L:Int </env>
semantics/core.k:132 | kind=rule | classes=ordinary_semantic_rule | disposition=USED_PATH_REVIEWED (successful lexical lookup) | rule <k> #look(X:String, L:Int) => {M[X]}:>Val ... </k> <scopes> ... L |-> scope(M:Map, _:Parent) ... </scopes>
semantics/core.k:145 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> #look(X:String, L:Int) => V ... </k> <scopes> ... L |-> scope(M:Map, _:Parent) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap>
semantics/core.k:152 | kind=rule | classes=ordinary_semantic_rule | disposition=USED_PATH_REVIEWED (parent-scope lookup fallback (potential path)) | rule <k> #look(X:String, L:Int) => #look(X, P) ... </k> <scopes> ... L |-> scope(M:Map, parent(P:Int)) ... </scopes>
semantics/core.k:157 | kind=syntax | classes=syntax_declaration,function,total | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Scope ::= "builtinsScope" [function, total]
semantics/core.k:158 | kind=rule | classes=ordinary_semantic_rule | disposition=USED_PATH_REVIEWED (builtinsScope normalization in configuration) | rule builtinsScope => scope(.Map [ "len"    <- builtinV("len")    ] [ "set"    <- builtinV("set")    ] [ "sum"    <- builtinV("sum")    ] [ "abs"    <- builtinV("abs")    ] [ "min"    <- builtinV("min")    ] [ "max"    <- builtinV("max")    ] [ "ord"    <- builtinV("ord")    ] [ "chr"    <- builtinV("chr")    ] [ "range"  <- builtinV("range")  ] [ "all"    <- builtinV("all")    ] [ "any"    <- builtinV("any")    ] [ "zip"    <- builtinV("zip")    ] [ "isinstance" <- builtinV("isinstance") ] [ "sorted" <- builtinV("sorted") ] [ "list"   <- builtinV("list")   ] [ "round"  <- builtinV("round")  ] [ "bin"    <- builtinV("bin")    ] [ "enumerate" <- builtinV("enumerate") ] [ "map"    <- builtinV("map")    ] [ "eval"   <- builtinV("eval")   ] [ "int"    <- typeV("int")       ] [ "str"    <- typeV("str")       ] [ "float"  <- typeV("float")     ], root)
semantics/core.k:185 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax ApplyK ::= toCall(Val)
semantics/core.k:186 | kind=syntax | classes=syntax_declaration | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax KItem  ::= #evalArgs(Exprs, Vals, ApplyK) | #evalArgCont(Exprs, Vals, ApplyK) | #applyK(ApplyK, Vals)
semantics/core.k:189 | kind=rule | classes=ordinary_semantic_rule | disposition=USED_PATH_REVIEWED (argument evaluation starts left-to-right) | rule <k> #evalArgs((A:Expr, REST:Exprs), ACC:Vals, K:ApplyK) => A ~> #evalArgCont(REST, ACC, K) ... </k>
semantics/core.k:190 | kind=rule | classes=ordinary_semantic_rule | disposition=USED_PATH_REVIEWED (evaluated argument appended) | rule <k> V:Val ~> #evalArgCont(REST:Exprs, ACC:Vals, K:ApplyK) => #evalArgs(REST, appendVal(ACC, V), K) ... </k>
semantics/core.k:191 | kind=rule | classes=ordinary_semantic_rule | disposition=USED_PATH_REVIEWED (argument evaluation completes) | rule <k> #evalArgs(.Exprs, ACC:Vals, K:ApplyK) => #applyK(K, ACC) ... </k>
semantics/core.k:194 | kind=rule | classes=ordinary_semantic_rule | disposition=USED_PATH_REVIEWED (Int literal (not used by target body)) | rule <k> Int(I:Int)   => I ... </k>
semantics/core.k:195 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> Bool(B:Bool) => B ... </k>
semantics/core.k:196 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> NoneVal      => noneV ... </k>
semantics/core.k:199 | kind=syntax | classes=syntax_declaration,function | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Bool ::= truthy(Val) [function]
semantics/core.k:200 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule truthy(B:Bool)          => B
semantics/core.k:201 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule truthy(noneV)           => false
semantics/core.k:202 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule truthy(I:Int)           => I =/=Int 0
semantics/core.k:203 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule truthy(str(S:IntSeq))   => notBool (S ==K .IntSeq)
semantics/core.k:204 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule truthy(list(V:ValSeq))  => notBool (V ==K .ValSeq)
semantics/core.k:205 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule truthy(tuple(V:ValSeq)) => notBool (V ==K .ValSeq)
semantics/core.k:208 | kind=syntax | classes=syntax_declaration,function | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Val  ::= applyUn(String, Val) [function]
semantics/core.k:209 | kind=syntax | classes=syntax_declaration,function | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Val  ::= applyBin(String, Val, Val) [function]
semantics/core.k:210 | kind=syntax | classes=syntax_declaration,function | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Bool ::= applyCmp(String, Val, Val) [function]
semantics/core.k:213 | kind=syntax | classes=syntax_declaration,function,total | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax Vals ::= appendVal(Vals, Val) [function, total]
semantics/core.k:214 | kind=rule | classes=ordinary_semantic_rule | disposition=USED_PATH_REVIEWED (appendVal base case for one call argument) | rule appendVal(.Vals, V:Val)              => V , .Vals
semantics/core.k:215 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule appendVal((V0:Val, VS:Vals), V:Val)  => V0 , appendVal(VS, V)
semantics/core.k:217 | kind=syntax | classes=syntax_declaration,function,total | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | syntax ValSeq ::= vals2valSeq(Vals) [function, total]
semantics/core.k:218 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule vals2valSeq(.Vals)            => .ValSeq
semantics/core.k:219 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule vals2valSeq((V:Val, VS:Vals)) => vCons(V, vals2valSeq(VS))
