source	line	kind	attributes	origin_review_class	declaration
reference-semantics/semantics/builtins.k	255	syntax	function,total	SUPPLIED_BASE	syntax EvPair ::= passLGoE(String, Int, OpSeq, IntSeq, OpSeq, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	256	rule	-	SUPPLIED_BASE	rule passLGoE(_:String, CUR:Int, .OpSeq, _:IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR))
reference-semantics/semantics/builtins.k	257	rule	-	SUPPLIED_BASE	rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq) => passLGoE(L, applyOpE(O, CUR, N), OPS, NDS, OO, ON) requires inLevelE(L, O)
reference-semantics/semantics/builtins.k	260	rule	-	SUPPLIED_BASE	rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq) => passLGoE(L, N, OPS, NDS, appendOpE(OO, O), appendIE(ON, CUR)) requires notBool inLevelE(L, O)
reference-semantics/semantics/builtins.k	263	rule	owise	SUPPLIED_BASE	rule passLGoE(_:String, CUR:Int, oCons(_:String, _:OpSeq), .IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR)) [owise]
reference-semantics/semantics/builtins.k	265	syntax	function,total	SUPPLIED_BASE	syntax Bool ::= inLevelE(String, String) [function, total]
reference-semantics/semantics/builtins.k	266	rule	-	SUPPLIED_BASE	rule inLevelE("mul", O:String) => O ==String "*" orBool O ==String "//" orBool O ==String "/"
reference-semantics/semantics/builtins.k	267	rule	-	SUPPLIED_BASE	rule inLevelE("add", O:String) => O ==String "+" orBool O ==String "-"
reference-semantics/semantics/builtins.k	268	rule	owise	SUPPLIED_BASE	rule inLevelE(_:String, _:String) => false [owise]
reference-semantics/semantics/builtins.k	269	syntax	function,total	SUPPLIED_BASE	syntax OpSeq ::= appendOpE(OpSeq, String) [function, total]
reference-semantics/semantics/builtins.k	270	rule	-	SUPPLIED_BASE	rule appendOpE(.OpSeq, O:String) => oCons(O, .OpSeq)
reference-semantics/semantics/builtins.k	271	rule	-	SUPPLIED_BASE	rule appendOpE(oCons(H:String, T:OpSeq), O:String) => oCons(H, appendOpE(T, O))
reference-semantics/semantics/builtins.k	272	syntax	function,total	SUPPLIED_BASE	syntax IntSeq ::= appendIE(IntSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	273	rule	-	SUPPLIED_BASE	rule appendIE(.IntSeq, N:Int) => iCons(N, .IntSeq)
reference-semantics/semantics/builtins.k	274	rule	-	SUPPLIED_BASE	rule appendIE(iCons(H:Int, T:IntSeq), N:Int) => iCons(H, appendIE(T, N))
reference-semantics/semantics/builtins.k	279	syntax	-	SUPPLIED_BASE	syntax KItem ::= "#md5"
reference-semantics/semantics/builtins.k	280	rule	priority	SUPPLIED_BASE	rule <k> Call(Attribute(Name("hashlib"), "md5"), (E:Expr, .Exprs)) => E ~> #md5 ... </k> [priority(40)]
reference-semantics/semantics/builtins.k	282	rule	-	SUPPLIED_BASE	rule <k> str(CS:IntSeq) ~> #md5 => md5Obj(CS) ... </k>
reference-semantics/semantics/builtins.k	283	syntax	-	SUPPLIED_BASE	syntax Val ::= md5Obj(IntSeq)
reference-semantics/semantics/builtins.k	284	rule	-	SUPPLIED_BASE	rule applyMethod(md5Obj(CS:IntSeq), "hexdigest", .Vals) => str(md5hexCodes(CS))
reference-semantics/semantics/builtins.k	285	syntax	function,total,symbol,no-evaluators	SUPPLIED_BASE	syntax IntSeq ::= md5hexCodes(IntSeq) [function, total, symbol(md5hexCodes), no-evaluators]
reference-semantics/semantics/builtins.k	291	rule	-	SUPPLIED_BASE	rule applyBuiltin("isinstance", V:Val, typeV("int"), .Vals) => isIntV(V)
reference-semantics/semantics/builtins.k	292	rule	-	SUPPLIED_BASE	rule applyBuiltin("isinstance", V:Val, typeV("str"), .Vals) => isStrV(V)
reference-semantics/semantics/builtins.k	293	syntax	function	SUPPLIED_BASE	syntax Bool ::= isIntV(Val) [function] | isStrV(Val) [function]
reference-semantics/semantics/builtins.k	294	rule	-	SUPPLIED_BASE	rule isIntV(_:Int)         => true
reference-semantics/semantics/builtins.k	295	rule	owise	SUPPLIED_BASE	rule isIntV(_:Val)         => false [owise]
reference-semantics/semantics/builtins.k	296	rule	-	SUPPLIED_BASE	rule isStrV(str(_:IntSeq)) => true
reference-semantics/semantics/builtins.k	297	rule	owise	SUPPLIED_BASE	rule isStrV(_:Val)         => false [owise]
reference-semantics/semantics/builtins.k	298	endmodule	-	SUPPLIED_BASE	endmodule
reference-semantics/semantics/call.k	10	module	-	SUPPLIED_BASE	module MPY-CALL
reference-semantics/semantics/call.k	11	imports	-	SUPPLIED_BASE	imports MPY-METHODS
reference-semantics/semantics/call.k	12	imports	-	SUPPLIED_BASE	imports MPY-BUILTINS
reference-semantics/semantics/call.k	13	imports	-	SUPPLIED_BASE	imports MPY-FUNCTIONS
reference-semantics/semantics/call.k	16	rule	-	SUPPLIED_BASE	rule <k> Attribute(V:Val, M:String) => boundMethodV(V, M) ... </k>
reference-semantics/semantics/call.k	19	syntax	-	SUPPLIED_BASE	syntax KItem ::= #callee(Exprs)
reference-semantics/semantics/call.k	20	rule	owise	SUPPLIED_BASE	rule <k> Call(Fe:Expr, ARGS:Exprs) => Fe ~> #callee(ARGS) ... </k> [owise]
reference-semantics/semantics/call.k	21	rule	-	SUPPLIED_BASE	rule <k> CV:Val ~> #callee(ARGS:Exprs) => #evalArgs(ARGS, .Vals, toCall(CV)) ... </k>
reference-semantics/semantics/call.k	24	rule	-	SUPPLIED_BASE	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), ACC:Vals) => applyMethod(OBJ, M, ACC) ... </k>
reference-semantics/semantics/call.k	26	rule	-	SUPPLIED_BASE	rule <k> #applyK(toCall(builtinV("sum")), (OBJ:Iterable, .Vals)) => #sumAcc(OBJ, 0) ... </k>
reference-semantics/semantics/call.k	27	rule	-	SUPPLIED_BASE	rule <k> #applyK(toCall(builtinV("all")), (OBJ:Iterable, .Vals)) => #allAcc(OBJ)    ... </k>
reference-semantics/semantics/call.k	28	rule	-	SUPPLIED_BASE	rule <k> #applyK(toCall(builtinV("any")), (OBJ:Iterable, .Vals)) => #anyAcc(OBJ)    ... </k>
reference-semantics/semantics/call.k	29	rule	-	SUPPLIED_BASE	rule <k> #applyK(toCall(builtinV("max")), (OBJ:Iterable, .Vals)) => #maxAcc0(OBJ)   ... </k>
reference-semantics/semantics/call.k	30	rule	-	SUPPLIED_BASE	rule <k> #applyK(toCall(builtinV("min")), (OBJ:Iterable, .Vals)) => #minAcc0(OBJ)   ... </k>
reference-semantics/semantics/call.k	31	rule	owise	SUPPLIED_BASE	rule <k> #applyK(toCall(builtinV(BN:String)), ACC:Vals) => applyBuiltin(BN, ACC) ... </k> [owise]
reference-semantics/semantics/call.k	32	rule	-	SUPPLIED_BASE	rule <k> #applyK(toCall(typeV(T:String)),     ACC:Vals) => applyBuiltin(T, ACC)  ... </k>
reference-semantics/semantics/call.k	38	rule	priority	SUPPLIED_BASE	rule <k> #applyK(toCall(builtinV(BN:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/call.k	42	rule	priority	SUPPLIED_BASE	rule <k> #applyK(toCall(builtinV(BN:String)), (A:Val, ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (A, V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isRefV(A) [priority(40)]
reference-semantics/semantics/call.k	47	rule	priority	SUPPLIED_BASE	rule <k> #applyK(toCall(typeV(T:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(typeV(T)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/call.k	52	syntax	function,total	SUPPLIED_BASE	syntax Bool ::= isMutMethod(String) [function, total]
reference-semantics/semantics/call.k	53	rule	-	SUPPLIED_BASE	rule isMutMethod(M:String) => M ==String "append" orBool M ==String "sort" orBool M ==String "extend" orBool M ==String "insert" orBool M ==String "pop" orBool M ==String "remove"
reference-semantics/semantics/call.k	56	rule	priority	SUPPLIED_BASE	rule <k> #applyK(toCall(boundMethodV(ref(H:Int), M:String)), ACC:Vals) => #applyK(toCall(boundMethodV(V, M)), ACC) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isMutMethod(M) [priority(40)]
reference-semantics/semantics/call.k	63	rule	priority	SUPPLIED_BASE	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(boundMethodV(OBJ, M)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isMutMethod(M) andBool notBool isRefV(OBJ) [priority(40)]
reference-semantics/semantics/call.k	69	rule	-	SUPPLIED_BASE	rule <k> #applyK(toCall(closureVal(PNS:ParamNames, BODY:Stmts, DEFL:Int)), ACC:Vals) ~> CONT => #bindP(PNS, ACC) ~> BODY ~> #endcall </k> <env>     CALLERL:Int => NEWL </env> <scopes>   STORE:Map => STORE [ NEWL <- scope(.Map, parent(DEFL)) ] </scopes> <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc> <stack>   .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>
reference-semantics/semantics/call.k	80	rule	-	SUPPLIED_BASE	rule <k> #applyK(toCall(closureValC(PNS:ParamNames, CVS:ParamNames, BODY:Stmts, CM:Map)), ACC:Vals) ~> CONT => #allocCells(CVS) ~> #bindP(PNS, ACC) ~> BODY ~> #endcall </k> <env>     CALLERL:Int => NEWL </env> <scopes>   STORE:Map => STORE [ NEWL <- scope(CM [ "$cells" <- cellsMark(CVS) ], parent(0)) ] </scopes> <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc> <stack>   .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>
reference-semantics/semantics/call.k	87	syntax	-	SUPPLIED_BASE	syntax KItem ::= #allocCells(ParamNames)
reference-semantics/semantics/call.k	88	rule	-	SUPPLIED_BASE	rule <k> #allocCells(.ParamNames) => .K ... </k>
reference-semantics/semantics/call.k	89	rule	-	SUPPLIED_BASE	rule <k> #allocCells((CV:String, R:ParamNames)) => #allocCells(R) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ CV <- cellRef(N) ], _) ... </scopes> <heap>    H:Map => (N |-> cellV(noneV)) H </heap> <heapLoc> N:Int => N +Int 1 </heapLoc> requires notBool N in_keys(H)
reference-semantics/semantics/call.k	95	endmodule	-	SUPPLIED_BASE	endmodule
reference-semantics/semantics/comprehension.k	3	module	-	SUPPLIED_BASE	module MPY-COMPREHENSION
reference-semantics/semantics/comprehension.k	4	imports	-	SUPPLIED_BASE	imports MPY-CORE
reference-semantics/semantics/comprehension.k	5	imports	-	SUPPLIED_BASE	imports MPY-OPERATORS
reference-semantics/semantics/comprehension.k	6	imports	-	SUPPLIED_BASE	imports MPY-LIST
reference-semantics/semantics/comprehension.k	7	imports	-	SUPPLIED_BASE	imports MPY-CONTROLS
reference-semantics/semantics/comprehension.k	8	imports	-	SUPPLIED_BASE	imports MPY-FUNCTIONS
reference-semantics/semantics/comprehension.k	11	rule	-	SUPPLIED_BASE	rule ListComp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
reference-semantics/semantics/comprehension.k	12	rule	-	SUPPLIED_BASE	rule GenExp(ELT:Expr, Gs:CompFors)   => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
reference-semantics/semantics/comprehension.k	14	syntax	macro	SUPPLIED_BASE	syntax Stmts ::= compBody(CompFors, Expr) [macro]
reference-semantics/semantics/comprehension.k	15	rule	-	SUPPLIED_BASE	rule compBody(Gs:CompFors, ELT:Expr) => Assign(Name("$acc"), ListExpr(.Exprs)) compNest(Gs, ELT) Return(Name("$acc"))
reference-semantics/semantics/comprehension.k	18	syntax	macro-rec	SUPPLIED_BASE	syntax Stmt ::= compNest(CompFors, Expr) [macro-rec]
reference-semantics/semantics/comprehension.k	19	rule	-	SUPPLIED_BASE	rule compNest(.CompFors, ELT:Expr) => Assign(Name("$acc"), BinOp("+", Name("$acc"), ListExpr(ELT)))
reference-semantics/semantics/comprehension.k	21	rule	-	SUPPLIED_BASE	rule compNest((CompFor(T:Expr, ITER:Expr, Fs:Exprs) GRest:CompFors), ELT:Expr) => For(T, ITER, If(compGuard(Fs), compNest(GRest, ELT), .Stmts))
reference-semantics/semantics/comprehension.k	24	syntax	macro	SUPPLIED_BASE	syntax Expr ::= compGuard(Exprs) [macro]
reference-semantics/semantics/comprehension.k	25	rule	-	SUPPLIED_BASE	rule compGuard(.Exprs)             => Bool(true)
reference-semantics/semantics/comprehension.k	26	rule	-	SUPPLIED_BASE	rule compGuard((F:Expr, Fs:Exprs)) => BoolOp("and", (F, Fs))
reference-semantics/semantics/comprehension.k	27	endmodule	-	SUPPLIED_BASE	endmodule
reference-semantics/semantics/concrete.k	8	module	-	SUPPLIED_BASE	module MPY-CONCRETE
reference-semantics/semantics/concrete.k	9	imports	-	SUPPLIED_BASE	imports MPY
reference-semantics/semantics/concrete.k	13	rule	-	SUPPLIED_BASE	rule <k> Compare(list(A:ValSeq), CmpOp("==", list(B:ValSeq))) => deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap> requires hasRefVS(A) orBool hasRefVS(B)
reference-semantics/semantics/concrete.k	16	rule	-	SUPPLIED_BASE	rule <k> Compare(list(A:ValSeq), CmpOp("!=", list(B:ValSeq))) => notBool deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap> requires hasRefVS(A) orBool hasRefVS(B)
reference-semantics/semantics/concrete.k	25	syntax	-	SUPPLIED_BASE	syntax Val ::= kvP(Val, Val)
reference-semantics/semantics/concrete.k	26	syntax	-	SUPPLIED_BASE	syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool) | #ksIns(Val, ValSeq, Val, ValSeq, Bool)
reference-semantics/semantics/concrete.k	28	rule	priority	SUPPLIED_BASE	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), .Vals)) => #ksort(VS, KV, .ValSeq, false) ... </k> [priority(40)]
reference-semantics/semantics/concrete.k	31	rule	priority	SUPPLIED_BASE	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), kwV("reverse", RB:Bool), .Vals)) => #ksort(VS, KV, .ValSeq, RB) ... </k> [priority(40)]
reference-semantics/semantics/concrete.k	34	rule	-	SUPPLIED_BASE	rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool) => #alloc(list(condRev(unpairVS(ACC), RB))) ... </k>
reference-semantics/semantics/concrete.k	36	rule	-	SUPPLIED_BASE	rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool) => KV ~> #callee((V, .Exprs)) ~> #ksIns(V, R, KV, ACC, RB) ... </k>
reference-semantics/semantics/concrete.k	38	rule	-	SUPPLIED_BASE	rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool) => #ksort(R, KV, insPair(ACC, K, V), RB) ... </k> requires notBool isKwV(K)
reference-semantics/semantics/concrete.k	42	syntax	function	SUPPLIED_BASE	syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]
reference-semantics/semantics/concrete.k	43	rule	-	SUPPLIED_BASE	rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)
reference-semantics/semantics/concrete.k	44	rule	-	SUPPLIED_BASE	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K, V), vCons(kvP(K2, V2), R)) requires kLt(K, K2)
reference-semantics/semantics/concrete.k	47	rule	-	SUPPLIED_BASE	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K2, V2), insPair(R, K, V)) requires notBool kLt(K, K2)
reference-semantics/semantics/concrete.k	51	syntax	function	SUPPLIED_BASE	syntax Bool ::= kLt(Val, Val) [function]
reference-semantics/semantics/concrete.k	52	rule	-	SUPPLIED_BASE	rule kLt(I1:Int, I2:Int)             => I1 <Int I2
reference-semantics/semantics/concrete.k	53	rule	-	SUPPLIED_BASE	rule kLt(F1:Float, F2:Float)         => F1 <Float F2
reference-semantics/semantics/concrete.k	54	rule	-	SUPPLIED_BASE	rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)
reference-semantics/semantics/concrete.k	56	syntax	function,total	SUPPLIED_BASE	syntax ValSeq ::= unpairVS(ValSeq) [function, total]
reference-semantics/semantics/concrete.k	57	rule	-	SUPPLIED_BASE	rule unpairVS(.ValSeq) => .ValSeq
reference-semantics/semantics/concrete.k	58	rule	-	SUPPLIED_BASE	rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))
reference-semantics/semantics/concrete.k	59	rule	owise	SUPPLIED_BASE	rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]
reference-semantics/semantics/concrete.k	60	endmodule	-	SUPPLIED_BASE	endmodule
reference-semantics/semantics/controls.k	3	module	-	SUPPLIED_BASE	module MPY-CONTROLS
reference-semantics/semantics/controls.k	4	imports	-	SUPPLIED_BASE	imports MPY-CORE
reference-semantics/semantics/controls.k	5	imports	-	SUPPLIED_BASE	imports MPY-TUPLE
reference-semantics/semantics/controls.k	6	imports	-	SUPPLIED_BASE	imports MPY-ITER
reference-semantics/semantics/controls.k	9	rule	-	SUPPLIED_BASE	rule <k> Assign(Name(X:String), V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- V ], _) ... </scopes>
reference-semantics/semantics/controls.k	12	rule	priority	SUPPLIED_BASE	rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires "$cells" in_keys(M) andBool pnMember(X, cellsOf({M["$cells"]}:>Val)) andBool X in_keys(M) andBool isCellRef({M[X]}:>Val) [priority(40)]
reference-semantics/semantics/controls.k	20	rule	-	SUPPLIED_BASE	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- applyBin(OP, {M[X]}:>Val, V) ], _) ... </scopes> requires X in_keys(M)
reference-semantics/semantics/controls.k	27	rule	priority	SUPPLIED_BASE	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires X in_keys(M) andBool isRefV({M[X]}:>Val) [priority(40)]
reference-semantics/semantics/controls.k	35	rule	-	SUPPLIED_BASE	rule <k> ImportFrom("math", NS:ParamNames) => #bindImports(NS) ... </k>
reference-semantics/semantics/controls.k	36	rule	owise	SUPPLIED_BASE	rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]
reference-semantics/semantics/controls.k	37	syntax	-	SUPPLIED_BASE	syntax KItem ::= #bindImports(ParamNames)
reference-semantics/semantics/controls.k	38	rule	-	SUPPLIED_BASE	rule <k> #bindImports(.ParamNames) => .K ... </k>
reference-semantics/semantics/controls.k	39	rule	-	SUPPLIED_BASE	rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ N <- builtinV(N) ], _) ... </scopes> requires N ==String "floor" orBool N ==String "ceil"
reference-semantics/semantics/controls.k	43	rule	-	SUPPLIED_BASE	rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> requires notBool (N ==String "floor" orBool N ==String "ceil")
reference-semantics/semantics/controls.k	48	rule	-	SUPPLIED_BASE	rule <k> Expr(_:Val) => .K ... </k>
reference-semantics/semantics/controls.k	51	syntax	-	SUPPLIED_BASE	syntax KItem ::= #branch(Bool, Stmts, Stmts)
reference-semantics/semantics/controls.k	52	rule	-	SUPPLIED_BASE	rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>
reference-semantics/semantics/controls.k	53	rule	-	SUPPLIED_BASE	rule <k> #branch(true,  T:Stmts, _:Stmts) => T ... </k>
reference-semantics/semantics/controls.k	54	rule	-	SUPPLIED_BASE	rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>
reference-semantics/semantics/controls.k	57	rule	-	SUPPLIED_BASE	rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k> requires truthy(V)
reference-semantics/semantics/controls.k	59	rule	-	SUPPLIED_BASE	rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k> requires notBool truthy(V)
reference-semantics/semantics/controls.k	65	syntax	-	SUPPLIED_BASE	syntax KItem ::= #loop(Val, Expr, Stmts) | #loopStep(Expr, Stmts) | #while(Expr, Stmts) | #whileCond(Expr, Stmts) | #loopLbl(K) | "#cont" | "#brk"
reference-semantics/semantics/controls.k	69	rule	-	SUPPLIED_BASE	rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>
reference-semantics/semantics/controls.k	71	rule	-	SUPPLIED_BASE	rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>
reference-semantics/semantics/controls.k	72	rule	-	SUPPLIED_BASE	rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>
reference-semantics/semantics/controls.k	73	rule	-	SUPPLIED_BASE	rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts) => #bindTgt(T, V) ~> B ~> #loopLbl(#loop(REST, T, B)) ... </k>
reference-semantics/semantics/controls.k	77	rule	-	SUPPLIED_BASE	rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>
reference-semantics/semantics/controls.k	78	rule	-	SUPPLIED_BASE	rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>
reference-semantics/semantics/controls.k	79	rule	-	SUPPLIED_BASE	rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k> requires truthy(V)
reference-semantics/semantics/controls.k	81	rule	-	SUPPLIED_BASE	rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k> requires notBool truthy(V)
reference-semantics/semantics/controls.k	85	rule	-	SUPPLIED_BASE	rule <k> #loopLbl(NEXT:K) => NEXT ... </k>
reference-semantics/semantics/controls.k	86	rule	-	SUPPLIED_BASE	rule <k> Continue => #cont ... </k>
reference-semantics/semantics/controls.k	87	rule	-	SUPPLIED_BASE	rule <k> Break => #brk ... </k>
reference-semantics/semantics/controls.k	88	rule	-	SUPPLIED_BASE	rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>
reference-semantics/semantics/controls.k	89	rule	owise	SUPPLIED_BASE	rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]
reference-semantics/semantics/controls.k	90	rule	-	SUPPLIED_BASE	rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>
reference-semantics/semantics/controls.k	91	rule	owise	SUPPLIED_BASE	rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]
reference-semantics/semantics/controls.k	95	rule	priority	SUPPLIED_BASE	rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/controls.k	98	rule	priority	SUPPLIED_BASE	rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/controls.k	101	rule	priority	SUPPLIED_BASE	rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/controls.k	106	rule	priority	SUPPLIED_BASE	rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/controls.k	109	endmodule	-	SUPPLIED_BASE	endmodule
reference-semantics/semantics/core.k	3	module	-	SUPPLIED_BASE	module MPY-CORE
reference-semantics/semantics/core.k	4	imports	-	SUPPLIED_BASE	imports MPY-SYNTAX
reference-semantics/semantics/core.k	5	imports	-	SUPPLIED_BASE	imports INT
reference-semantics/semantics/core.k	6	imports	-	SUPPLIED_BASE	imports BOOL
reference-semantics/semantics/core.k	7	imports	-	SUPPLIED_BASE	imports STRING
reference-semantics/semantics/core.k	8	imports	-	SUPPLIED_BASE	imports MAP
reference-semantics/semantics/core.k	9	imports	-	SUPPLIED_BASE	imports LIST
reference-semantics/semantics/core.k	10	imports	-	SUPPLIED_BASE	imports K-EQUAL
reference-semantics/semantics/core.k	13	syntax	-	SUPPLIED_BASE	syntax IntSeq ::= ".IntSeq" | iCons(Int, IntSeq)
reference-semantics/semantics/core.k	14	syntax	-	SUPPLIED_BASE	syntax ValSeq ::= ".ValSeq" | vCons(Val, ValSeq)
reference-semantics/semantics/core.k	15	syntax	-	SUPPLIED_BASE	syntax Str    ::= str(IntSeq)
reference-semantics/semantics/core.k	18	syntax	-	SUPPLIED_BASE	syntax Iterable ::= list(ValSeq) | tuple(ValSeq) | Str | rangeObj(Int, Int, Int) | zipObj(ValSeq, ValSeq) | zipObjS(IntSeq, IntSeq)
reference-semantics/semantics/core.k	25	syntax	function	SUPPLIED_BASE	syntax Val      ::= Int | Bool | "noneV" | Iterable | ref(Int)          // a heap object: <heap> holds its list(VS) | cellRef(Int)      // a closure cell: <heap> holds cellV(V) | closureVal(ParamNames, Stmts, Int) | typeV(String)     // a type object (int/str), resolved from the builtins frame | builtinV(String)  // a builtin function, resolved like any name (LEGB fallthrough) | boundMethodV(Val, String)   // a cooled Attribute: obj.method
reference-semantics/semantics/core.k	36	syntax	-	SUPPLIED_BASE	syntax Parent   ::= "root" | parent(Int)
reference-semantics/semantics/core.k	37	syntax	-	SUPPLIED_BASE	syntax Scope    ::= scope(Map, Parent)
reference-semantics/semantics/core.k	38	syntax	-	SUPPLIED_BASE	syntax KResult  ::= Val
reference-semantics/semantics/core.k	39	syntax	-	SUPPLIED_BASE	syntax Expr     ::= Val   // cooling puts results back into expression holes
reference-semantics/semantics/core.k	40	syntax	-	SUPPLIED_BASE	syntax Vals     ::= List{Val, ","}
reference-semantics/semantics/core.k	41	syntax	-	SUPPLIED_BASE	syntax Exc      ::= "NoExc" | "AssertionError"
reference-semantics/semantics/core.k	42	syntax	-	SUPPLIED_BASE	syntax RetState ::= "noRet" | retV(Val)
reference-semantics/semantics/core.k	49	configuration	-	SUPPLIED_BASE	configuration <k>       #loadAll($PGM:Module) </k> <env>     0 </env> <scopes>   0     |-> scope(.Map, parent(-1)) -1    |-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap>    .Map </heap> <heapLoc> 0 </heapLoc> <stack>   .List </stack> <ret>     noRet </ret> <exc>     NoExc </exc> <exit-code exit=""> 0 </exit-code>
reference-semantics/semantics/core.k	68	syntax	function,total	SUPPLIED_BASE	syntax Bool ::= isRefV(Val) [function, total]
reference-semantics/semantics/core.k	69	rule	-	SUPPLIED_BASE	rule isRefV(ref(_:Int)) => true
