$ python3 /audit-output/evidence/differential_test.py
CASE index=0 n=1 m=5 canonical=('return', 'str', '0b11') candidate=('return', 'str', '0b11')
CASE index=288 n=187 m=179 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=289 n=186 m=220 canonical=('return', 'str', '0b11001011') candidate=('return', 'str', '0b11001011')
CASE index=290 n=100 m=52 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=291 n=220 m=62 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=292 n=27 m=26 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=293 n=181 m=135 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=294 n=109 m=94 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=295 n=159 m=121 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=296 n=154 m=36 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=297 n=160 m=7 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=298 n=220 m=99 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=299 n=14 m=238 canonical=('return', 'str', '0b1111110') candidate=('return', 'str', '0b1111110')
CASE index=300 n=97 m=168 canonical=('return', 'str', '0b10000100') candidate=('return', 'str', '0b10000100')
CASE index=301 n=164 m=147 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=302 n=150 m=17 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=303 n=116 m=111 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=304 n=168 m=95 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=305 n=33 m=162 canonical=('return', 'str', '0b1100010') candidate=('return', 'str', '0b1100010')
CASE index=306 n=125 m=104 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=307 n=47 m=206 canonical=('return', 'str', '0b1111110') candidate=('return', 'str', '0b1111110')
CASE index=308 n=114 m=71 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=309 n=61 m=187 canonical=('return', 'str', '0b1111100') candidate=('return', 'str', '0b1111100')
CASE index=310 n=180 m=2 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=311 n=78 m=38 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=312 n=178 m=205 canonical=('return', 'str', '0b11000000') candidate=('return', 'str', '0b11000000')
CASE index=313 n=29 m=219 canonical=('return', 'str', '0b1111100') candidate=('return', 'str', '0b1111100')
CASE index=314 n=146 m=78 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=315 n=207 m=51 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=316 n=247 m=247 canonical=('return', 'str', '0b11110111') candidate=('return', 'str', '0b11110111')
CASE index=317 n=178 m=152 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=318 n=5 m=23 canonical=('return', 'str', '0b1110') candidate=('return', 'str', '0b1110')
CASE index=319 n=203 m=176 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=320 n=145 m=128 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=321 n=77 m=6 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=322 n=130 m=137 canonical=('return', 'str', '0b10000110') candidate=('return', 'str', '0b10000110')
CASE index=323 n=95 m=13 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=324 n=148 m=189 canonical=('return', 'str', '0b10101000') candidate=('return', 'str', '0b10101000')
CASE index=325 n=106 m=152 canonical=('return', 'str', '0b10000001') candidate=('return', 'str', '0b10000001')
CASE index=326 n=97 m=201 canonical=('return', 'str', '0b10010101') candidate=('return', 'str', '0b10010101')
CASE index=327 n=188 m=172 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=328 n=79 m=6 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=329 n=213 m=86 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=330 n=192 m=133 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=331 n=242 m=69 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=332 n=40 m=217 canonical=('return', 'str', '0b10000000') candidate=('return', 'str', '0b10000000')
CASE index=333 n=221 m=98 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=334 n=183 m=126 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=335 n=47 m=246 canonical=('return', 'str', '0b10010010') candidate=('return', 'str', '0b10010010')
CASE index=336 n=234 m=135 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=337 n=129 m=153 canonical=('return', 'str', '0b10001101') candidate=('return', 'str', '0b10001101')
CASE index=338 n=46 m=24 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=339 n=54 m=192 canonical=('return', 'str', '0b1111011') candidate=('return', 'str', '0b1111011')
CASE index=340 n=104 m=206 canonical=('return', 'str', '0b10011011') candidate=('return', 'str', '0b10011011')
CASE index=341 n=34 m=60 canonical=('return', 'str', '0b101111') candidate=('return', 'str', '0b101111')
CASE index=342 n=89 m=229 canonical=('return', 'str', '0b10011111') candidate=('return', 'str', '0b10011111')
CASE index=343 n=119 m=10 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=344 n=118 m=179 canonical=('return', 'str', '0b10010100') candidate=('return', 'str', '0b10010100')
CASE index=345 n=15 m=163 canonical=('return', 'str', '0b1011001') candidate=('return', 'str', '0b1011001')
CASE index=346 n=74 m=223 canonical=('return', 'str', '0b10010100') candidate=('return', 'str', '0b10010100')
CASE index=347 n=88 m=233 canonical=('return', 'str', '0b10100000') candidate=('return', 'str', '0b10100000')
CASE index=348 n=32 m=188 canonical=('return', 'str', '0b1101110') candidate=('return', 'str', '0b1101110')
CASE index=349 n=169 m=216 canonical=('return', 'str', '0b11000000') candidate=('return', 'str', '0b11000000')
CASE index=350 n=40 m=119 canonical=('return', 'str', '0b1010000') candidate=('return', 'str', '0b1010000')
CASE index=351 n=179 m=239 canonical=('return', 'str', '0b11010001') candidate=('return', 'str', '0b11010001')
CASE index=352 n=178 m=111 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=353 n=223 m=187 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=354 n=198 m=193 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=355 n=177 m=104 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=356 n=175 m=210 canonical=('return', 'str', '0b11000000') candidate=('return', 'str', '0b11000000')
CASE index=357 n=246 m=184 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=358 n=111 m=41 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=359 n=12 m=151 canonical=('return', 'str', '0b1010010') candidate=('return', 'str', '0b1010010')
CASE index=360 n=224 m=125 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=361 n=172 m=153 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=362 n=82 m=8 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=363 n=150 m=180 canonical=('return', 'str', '0b10100101') candidate=('return', 'str', '0b10100101')
CASE index=364 n=233 m=102 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=365 n=231 m=189 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=366 n=248 m=62 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=367 n=86 m=6 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=368 n=156 m=120 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=369 n=156 m=164 canonical=('return', 'str', '0b10100000') candidate=('return', 'str', '0b10100000')
CASE index=370 n=235 m=200 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=371 n=98 m=139 canonical=('return', 'str', '0b1110110') candidate=('return', 'str', '0b1110110')
CASE index=372 n=226 m=226 canonical=('return', 'str', '0b11100010') candidate=('return', 'str', '0b11100010')
CASE index=373 n=213 m=42 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=374 n=185 m=32 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=375 n=27 m=104 canonical=('return', 'str', '0b1000010') candidate=('return', 'str', '0b1000010')
CASE index=376 n=178 m=169 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=377 n=233 m=196 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=378 n=96 m=17 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=379 n=225 m=154 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=380 n=180 m=90 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=381 n=211 m=136 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=382 n=159 m=26 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=383 n=97 m=42 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=384 n=242 m=164 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=385 n=236 m=88 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=386 n=209 m=250 canonical=('return', 'str', '0b11100110') candidate=('return', 'str', '0b11100110')
CASE index=387 n=161 m=130 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=388 n=181 m=90 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=389 n=218 m=48 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=390 n=241 m=135 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=391 n=46 m=131 canonical=('return', 'str', '0b1011000') candidate=('return', 'str', '0b1011000')
CASE index=392 n=13 m=66 canonical=('return', 'str', '0b101000') candidate=('return', 'str', '0b101000')
CASE index=393 n=153 m=249 canonical=('return', 'str', '0b11001001') candidate=('return', 'str', '0b11001001')
CASE index=394 n=99 m=131 canonical=('return', 'str', '0b1110011') candidate=('return', 'str', '0b1110011')
CASE index=395 n=218 m=198 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=396 n=119 m=176 canonical=('return', 'str', '0b10010100') candidate=('return', 'str', '0b10010100')
CASE index=397 n=227 m=214 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=398 n=12 m=27 canonical=('return', 'str', '0b10100') candidate=('return', 'str', '0b10100')
CASE index=399 n=68 m=247 canonical=('return', 'str', '0b10011110') candidate=('return', 'str', '0b10011110')
CASE index=400 n=47 m=154 canonical=('return', 'str', '0b1100100') candidate=('return', 'str', '0b1100100')
CASE index=401 n=250 m=43 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=402 n=17 m=153 canonical=('return', 'str', '0b1010101') candidate=('return', 'str', '0b1010101')
CASE index=403 n=8 m=15 canonical=('return', 'str', '0b1100') candidate=('return', 'str', '0b1100')
CASE index=404 n=138 m=109 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=405 n=149 m=26 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=406 n=96 m=13 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=407 n=163 m=116 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=408 n=38 m=215 canonical=('return', 'str', '0b1111110') candidate=('return', 'str', '0b1111110')
CASE index=409 n=239 m=195 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=410 n=65 m=240 canonical=('return', 'str', '0b10011000') candidate=('return', 'str', '0b10011000')
CASE index=411 n=31 m=200 canonical=('return', 'str', '0b1110100') candidate=('return', 'str', '0b1110100')
CASE index=412 n=96 m=159 canonical=('return', 'str', '0b10000000') candidate=('return', 'str', '0b10000000')
CASE index=413 n=81 m=155 canonical=('return', 'str', '0b1110110') candidate=('return', 'str', '0b1110110')
CASE index=414 n=81 m=246 canonical=('return', 'str', '0b10100100') candidate=('return', 'str', '0b10100100')
CASE index=415 n=13 m=34 canonical=('return', 'str', '0b11000') candidate=('return', 'str', '0b11000')
CASE index=416 n=138 m=134 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=417 n=140 m=246 canonical=('return', 'str', '0b11000001') candidate=('return', 'str', '0b11000001')
CASE index=418 n=4 m=54 canonical=('return', 'str', '0b11101') candidate=('return', 'str', '0b11101')
CASE index=419 n=225 m=247 canonical=('return', 'str', '0b11101100') candidate=('return', 'str', '0b11101100')
CASE index=420 n=175 m=243 canonical=('return', 'str', '0b11010001') candidate=('return', 'str', '0b11010001')
CASE index=421 n=87 m=116 canonical=('return', 'str', '0b1100110') candidate=('return', 'str', '0b1100110')
CASE index=422 n=204 m=39 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=423 n=123 m=170 canonical=('return', 'str', '0b10010010') candidate=('return', 'str', '0b10010010')
CASE index=424 n=186 m=178 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=425 n=141 m=31 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=426 n=221 m=140 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=427 n=130 m=210 canonical=('return', 'str', '0b10101010') candidate=('return', 'str', '0b10101010')
CASE index=428 n=24 m=71 canonical=('return', 'str', '0b110000') candidate=('return', 'str', '0b110000')
CASE index=429 n=196 m=128 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=430 n=60 m=112 canonical=('return', 'str', '0b1010110') candidate=('return', 'str', '0b1010110')
CASE index=431 n=147 m=219 canonical=('return', 'str', '0b10110111') candidate=('return', 'str', '0b10110111')
CASE index=432 n=239 m=90 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=433 n=186 m=118 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=434 n=18 m=203 canonical=('return', 'str', '0b1101110') candidate=('return', 'str', '0b1101110')
CASE index=435 n=215 m=111 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=436 n=248 m=52 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=437 n=119 m=214 canonical=('return', 'str', '0b10100110') candidate=('return', 'str', '0b10100110')
CASE index=438 n=66 m=197 canonical=('return', 'str', '0b10000100') candidate=('return', 'str', '0b10000100')
CASE index=439 n=119 m=189 canonical=('return', 'str', '0b10011010') candidate=('return', 'str', '0b10011010')
CASE index=440 n=137 m=108 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=441 n=12 m=105 canonical=('return', 'str', '0b111010') candidate=('return', 'str', '0b111010')
CASE index=442 n=217 m=120 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=443 n=165 m=129 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=444 n=103 m=243 canonical=('return', 'str', '0b10101101') candidate=('return', 'str', '0b10101101')
CASE index=445 n=209 m=186 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=446 n=45 m=40 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=447 n=228 m=40 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=448 n=220 m=96 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=449 n=122 m=205 canonical=('return', 'str', '0b10100100') candidate=('return', 'str', '0b10100100')
CASE index=450 n=29 m=229 canonical=('return', 'str', '0b10000001') candidate=('return', 'str', '0b10000001')
CASE index=451 n=115 m=101 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=452 n=28 m=225 canonical=('return', 'str', '0b1111110') candidate=('return', 'str', '0b1111110')
CASE index=453 n=141 m=55 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=454 n=37 m=139 canonical=('return', 'str', '0b1011000') candidate=('return', 'str', '0b1011000')
CASE index=455 n=134 m=93 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=456 n=105 m=162 canonical=('return', 'str', '0b10000110') candidate=('return', 'str', '0b10000110')
CASE index=457 n=83 m=109 canonical=('return', 'str', '0b1100000') candidate=('return', 'str', '0b1100000')
CASE index=458 n=150 m=20 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=459 n=137 m=37 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=460 n=226 m=224 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=461 n=115 m=93 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=462 n=148 m=18 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=463 n=187 m=218 canonical=('return', 'str', '0b11001010') candidate=('return', 'str', '0b11001010')
CASE index=464 n=42 m=132 canonical=('return', 'str', '0b1010111') candidate=('return', 'str', '0b1010111')
CASE index=465 n=138 m=228 canonical=('return', 'str', '0b10110111') candidate=('return', 'str', '0b10110111')
CASE index=466 n=47 m=229 canonical=('return', 'str', '0b10001010') candidate=('return', 'str', '0b10001010')
CASE index=467 n=127 m=128 canonical=('return', 'str', '0b10000000') candidate=('return', 'str', '0b10000000')
CASE index=468 n=131 m=163 canonical=('return', 'str', '0b10010011') candidate=('return', 'str', '0b10010011')
CASE index=469 n=232 m=57 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=470 n=247 m=31 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=471 n=79 m=212 canonical=('return', 'str', '0b10010010') candidate=('return', 'str', '0b10010010')
CASE index=472 n=219 m=192 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=473 n=96 m=171 canonical=('return', 'str', '0b10000110') candidate=('return', 'str', '0b10000110')
CASE index=474 n=65 m=165 canonical=('return', 'str', '0b1110011') candidate=('return', 'str', '0b1110011')
CASE index=475 n=153 m=104 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=476 n=78 m=135 canonical=('return', 'str', '0b1101010') candidate=('return', 'str', '0b1101010')
CASE index=477 n=243 m=148 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=478 n=231 m=8 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=479 n=9 m=196 canonical=('return', 'str', '0b1100110') candidate=('return', 'str', '0b1100110')
CASE index=480 n=85 m=228 canonical=('return', 'str', '0b10011100') candidate=('return', 'str', '0b10011100')
CASE index=481 n=195 m=36 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=482 n=176 m=169 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=483 n=132 m=143 canonical=('return', 'str', '0b10001010') candidate=('return', 'str', '0b10001010')
CASE index=484 n=123 m=41 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=485 n=34 m=181 canonical=('return', 'str', '0b1101100') candidate=('return', 'str', '0b1101100')
CASE index=486 n=129 m=3 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=487 n=45 m=89 canonical=('return', 'str', '0b1000011') candidate=('return', 'str', '0b1000011')
CASE index=488 n=206 m=130 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=489 n=41 m=206 canonical=('return', 'str', '0b1111100') candidate=('return', 'str', '0b1111100')
CASE index=490 n=70 m=105 canonical=('return', 'str', '0b1011000') candidate=('return', 'str', '0b1011000')
CASE index=491 n=171 m=74 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=492 n=133 m=121 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=493 n=71 m=139 canonical=('return', 'str', '0b1101001') candidate=('return', 'str', '0b1101001')
CASE index=494 n=207 m=103 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=495 n=56 m=25 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=496 n=167 m=215 canonical=('return', 'str', '0b10111111') candidate=('return', 'str', '0b10111111')
CASE index=497 n=186 m=53 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=498 n=38 m=48 canonical=('return', 'str', '0b101011') candidate=('return', 'str', '0b101011')
CASE index=499 n=225 m=56 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=500 n=27 m=247 canonical=('return', 'str', '0b10001001') candidate=('return', 'str', '0b10001001')
CASE index=501 n=75 m=20 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=502 n=109 m=160 canonical=('return', 'str', '0b10000110') candidate=('return', 'str', '0b10000110')
CASE index=503 n=203 m=147 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=504 n=59 m=117 canonical=('return', 'str', '0b1011000') candidate=('return', 'str', '0b1011000')
CASE index=505 n=201 m=35 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=506 n=46 m=147 canonical=('return', 'str', '0b1100000') candidate=('return', 'str', '0b1100000')
CASE index=507 n=30 m=79 canonical=('return', 'str', '0b110110') candidate=('return', 'str', '0b110110')
CASE index=508 n=7 m=104 canonical=('return', 'str', '0b111000') candidate=('return', 'str', '0b111000')
CASE index=509 n=170 m=113 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=510 n=14 m=197 canonical=('return', 'str', '0b1101010') candidate=('return', 'str', '0b1101010')
CASE index=511 n=158 m=61 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=512 n=169 m=69 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=513 n=27 m=186 canonical=('return', 'str', '0b1101010') candidate=('return', 'str', '0b1101010')
CASE index=514 n=248 m=151 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=515 n=35 m=136 canonical=('return', 'str', '0b1010110') candidate=('return', 'str', '0b1010110')
CASE index=516 n=84 m=218 canonical=('return', 'str', '0b10010111') candidate=('return', 'str', '0b10010111')
CASE index=517 n=205 m=168 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=518 n=69 m=130 canonical=('return', 'str', '0b1100100') candidate=('return', 'str', '0b1100100')
CASE index=519 n=200 m=230 canonical=('return', 'str', '0b11010111') candidate=('return', 'str', '0b11010111')
CASE index=520 n=179 m=64 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=521 n=195 m=28 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=522 n=97 m=130 canonical=('return', 'str', '0b1110010') candidate=('return', 'str', '0b1110010')
CASE index=523 n=71 m=68 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=524 n=121 m=42 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=525 n=160 m=13 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=526 n=6 m=155 canonical=('return', 'str', '0b1010000') candidate=('return', 'str', '0b1010000')
CASE index=527 n=24 m=151 canonical=('return', 'str', '0b1011000') candidate=('return', 'str', '0b1011000')
CASE index=528 n=70 m=13 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=529 n=14 m=79 canonical=('return', 'str', '0b101110') candidate=('return', 'str', '0b101110')
CASE index=530 n=194 m=169 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=531 n=249 m=95 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=532 n=132 m=26 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=533 n=86 m=56 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=534 n=110 m=221 canonical=('return', 'str', '0b10100110') candidate=('return', 'str', '0b10100110')
CASE index=535 n=225 m=160 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=536 n=186 m=238 canonical=('return', 'str', '0b11010100') candidate=('return', 'str', '0b11010100')
CASE index=537 n=143 m=139 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=538 n=164 m=142 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=539 n=234 m=117 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=540 n=159 m=190 canonical=('return', 'str', '0b10101110') candidate=('return', 'str', '0b10101110')
CASE index=541 n=54 m=250 canonical=('return', 'str', '0b10011000') candidate=('return', 'str', '0b10011000')
CASE index=542 n=228 m=84 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=543 n=12 m=176 canonical=('return', 'str', '0b1011110') candidate=('return', 'str', '0b1011110')
CASE index=544 n=36 m=208 canonical=('return', 'str', '0b1111010') candidate=('return', 'str', '0b1111010')
CASE index=545 n=50 m=146 canonical=('return', 'str', '0b1100010') candidate=('return', 'str', '0b1100010')
CASE index=546 n=98 m=186 canonical=('return', 'str', '0b10001110') candidate=('return', 'str', '0b10001110')
CASE index=547 n=148 m=148 canonical=('return', 'str', '0b10010100') candidate=('return', 'str', '0b10010100')
CASE index=548 n=212 m=139 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=549 n=66 m=249 canonical=('return', 'str', '0b10011110') candidate=('return', 'str', '0b10011110')
CASE index=550 n=225 m=210 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=551 n=188 m=224 canonical=('return', 'str', '0b11001110') candidate=('return', 'str', '0b11001110')
CASE index=552 n=175 m=209 canonical=('return', 'str', '0b11000000') candidate=('return', 'str', '0b11000000')
CASE index=553 n=96 m=146 canonical=('return', 'str', '0b1111001') candidate=('return', 'str', '0b1111001')
CASE index=554 n=118 m=116 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=555 n=212 m=41 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=556 n=72 m=99 canonical=('return', 'str', '0b1010110') candidate=('return', 'str', '0b1010110')
CASE index=557 n=153 m=58 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=558 n=103 m=93 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=559 n=68 m=18 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=560 n=8 m=247 canonical=('return', 'str', '0b10000000') candidate=('return', 'str', '0b10000000')
CASE index=561 n=173 m=108 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=562 n=88 m=24 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=563 n=250 m=33 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=564 n=118 m=115 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=565 n=238 m=20 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=566 n=116 m=173 canonical=('return', 'str', '0b10010000') candidate=('return', 'str', '0b10010000')
CASE index=567 n=45 m=79 canonical=('return', 'str', '0b111110') candidate=('return', 'str', '0b111110')
CASE index=568 n=32 m=164 canonical=('return', 'str', '0b1100010') candidate=('return', 'str', '0b1100010')
CASE index=569 n=49 m=88 canonical=('return', 'str', '0b1000100') candidate=('return', 'str', '0b1000100')
CASE index=570 n=143 m=100 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=571 n=146 m=226 canonical=('return', 'str', '0b10111010') candidate=('return', 'str', '0b10111010')
CASE index=572 n=207 m=118 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=573 n=34 m=234 canonical=('return', 'str', '0b10000110') candidate=('return', 'str', '0b10000110')
CASE index=574 n=16 m=174 canonical=('return', 'str', '0b1011111') candidate=('return', 'str', '0b1011111')
CASE index=575 n=7 m=192 canonical=('return', 'str', '0b1100100') candidate=('return', 'str', '0b1100100')
CASE index=576 n=191 m=188 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=577 n=223 m=144 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=578 n=204 m=81 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=579 n=176 m=175 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
