Script started on 2026-07-26 16:04:12-05:00 [<not executed on terminal>]
+ python3 /audit-output/evidence/rule_inventory.py
# Exhaustive K declaration and rule inventory

Sources: trusted supplied semantics tree, candidate verification.k, candidate spec.k.
files=26 records=931
kind_counts=claim:1,configuration:1,context:5,rule:696,syntax:228

| ID | source | kind | attributes | proof-slice assessment | declaration/rule |
| 155 | `semantics/builtins.k:244` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax EvPair ::= powCombE(Int, EvPair) [function, total]` |
| 156 | `semantics/builtins.k:245` | rule | - | UNUSED/INERT for submitted proof term | `rule powCombE(N:Int, evp(OPS:OpSeq, iCons(M:Int, REST:IntSeq))) => evp(OPS, iCons(N ^Int M, REST))` |
| 157 | `semantics/builtins.k:246` | rule | - | UNUSED/INERT for submitted proof term | `rule powCombE(N:Int, evp(OPS:OpSeq, .IntSeq)) => evp(OPS, iCons(N, .IntSeq))` |
| 158 | `semantics/builtins.k:247` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax EvPair ::= powCarryE(String, Int, EvPair) [function, total]` |
| 159 | `semantics/builtins.k:248` | rule | - | UNUSED/INERT for submitted proof term | `rule powCarryE(O:String, N:Int, evp(OPS:OpSeq, NDS:IntSeq)) => evp(oCons(O, OPS), iCons(N, NDS))` |
| 160 | `semantics/builtins.k:250` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax EvPair ::= passMulE(EvPair) [function, total] &#124; passAddE(EvPair) [function, total]` |
| 161 | `semantics/builtins.k:251` | rule | - | UNUSED/INERT for submitted proof term | `rule passMulE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("mul", N0, OPS, NDS, .OpSeq, .IntSeq)` |
| 162 | `semantics/builtins.k:252` | rule | - | UNUSED/INERT for submitted proof term | `rule passMulE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)` |
| 163 | `semantics/builtins.k:253` | rule | - | UNUSED/INERT for submitted proof term | `rule passAddE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("add", N0, OPS, NDS, .OpSeq, .IntSeq)` |
| 164 | `semantics/builtins.k:254` | rule | - | UNUSED/INERT for submitted proof term | `rule passAddE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)` |
| 165 | `semantics/builtins.k:255` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax EvPair ::= passLGoE(String, Int, OpSeq, IntSeq, OpSeq, IntSeq) [function, total]` |
| 166 | `semantics/builtins.k:256` | rule | - | UNUSED/INERT for submitted proof term | `rule passLGoE(_:String, CUR:Int, .OpSeq, _:IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR))` |
| 167 | `semantics/builtins.k:257` | rule | - | UNUSED/INERT for submitted proof term | `rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq) => passLGoE(L, applyOpE(O, CUR, N), OPS, NDS, OO, ON) requires inLevelE(L, O)` |
| 168 | `semantics/builtins.k:260` | rule | - | UNUSED/INERT for submitted proof term | `rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq) => passLGoE(L, N, OPS, NDS, appendOpE(OO, O), appendIE(ON, CUR)) requires notBool inLevelE(L, O)` |
| 169 | `semantics/builtins.k:263` | rule | owise | UNUSED/INERT for submitted proof term | `rule passLGoE(_:String, CUR:Int, oCons(_:String, _:OpSeq), .IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR)) [owise]` |
| 170 | `semantics/builtins.k:265` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax Bool ::= inLevelE(String, String) [function, total]` |
| 171 | `semantics/builtins.k:266` | rule | - | UNUSED/INERT for submitted proof term | `rule inLevelE("mul", O:String) => O ==String "*" orBool O ==String "//" orBool O ==String "/"` |
| 172 | `semantics/builtins.k:267` | rule | - | UNUSED/INERT for submitted proof term | `rule inLevelE("add", O:String) => O ==String "+" orBool O ==String "-"` |
| 173 | `semantics/builtins.k:268` | rule | owise | UNUSED/INERT for submitted proof term | `rule inLevelE(_:String, _:String) => false [owise]` |
| 174 | `semantics/builtins.k:269` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax OpSeq ::= appendOpE(OpSeq, String) [function, total]` |
| 175 | `semantics/builtins.k:270` | rule | - | UNUSED/INERT for submitted proof term | `rule appendOpE(.OpSeq, O:String) => oCons(O, .OpSeq)` |
| 176 | `semantics/builtins.k:271` | rule | - | UNUSED/INERT for submitted proof term | `rule appendOpE(oCons(H:String, T:OpSeq), O:String) => oCons(H, appendOpE(T, O))` |
| 177 | `semantics/builtins.k:272` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax IntSeq ::= appendIE(IntSeq, Int) [function, total]` |
| 178 | `semantics/builtins.k:273` | rule | - | UNUSED/INERT for submitted proof term | `rule appendIE(.IntSeq, N:Int) => iCons(N, .IntSeq)` |
| 179 | `semantics/builtins.k:274` | rule | - | UNUSED/INERT for submitted proof term | `rule appendIE(iCons(H:Int, T:IntSeq), N:Int) => iCons(H, appendIE(T, N))` |
| 180 | `semantics/builtins.k:279` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= "#md5"` |
| 181 | `semantics/builtins.k:280` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> Call(Attribute(Name("hashlib"), "md5"), (E:Expr, .Exprs)) => E ~> #md5 ... </k> [priority(40)]` |
| 182 | `semantics/builtins.k:282` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> str(CS:IntSeq) ~> #md5 => md5Obj(CS) ... </k>` |
| 183 | `semantics/builtins.k:283` | syntax | - | UNUSED/INERT for submitted proof term | `syntax Val ::= md5Obj(IntSeq)` |
| 184 | `semantics/builtins.k:284` | rule | - | UNUSED/INERT for submitted proof term | `rule applyMethod(md5Obj(CS:IntSeq), "hexdigest", .Vals) => str(md5hexCodes(CS))` |
| 185 | `semantics/builtins.k:285` | syntax | function,total,opaque/no-evaluators,symbol | UNUSED opaque boundary | `syntax IntSeq ::= md5hexCodes(IntSeq) [function, total, symbol(md5hexCodes), no-evaluators]` |
| 186 | `semantics/builtins.k:291` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("isinstance", V:Val, typeV("int"), .Vals) => isIntV(V)` |
| 187 | `semantics/builtins.k:292` | rule | - | UNUSED/INERT for submitted proof term | `rule applyBuiltin("isinstance", V:Val, typeV("str"), .Vals) => isStrV(V)` |
| 188 | `semantics/builtins.k:293` | syntax | function | UNUSED/INERT for submitted proof term | `syntax Bool ::= isIntV(Val) [function] &#124; isStrV(Val) [function]` |
| 189 | `semantics/builtins.k:294` | rule | - | UNUSED/INERT for submitted proof term | `rule isIntV(_:Int) => true` |
| 190 | `semantics/builtins.k:295` | rule | owise | UNUSED/INERT for submitted proof term | `rule isIntV(_:Val) => false [owise]` |
| 191 | `semantics/builtins.k:296` | rule | - | UNUSED/INERT for submitted proof term | `rule isStrV(str(_:IntSeq)) => true` |
| 192 | `semantics/builtins.k:297` | rule | owise | UNUSED/INERT for submitted proof term | `rule isStrV(_:Val) => false [owise]` |
| 193 | `semantics/call.k:16` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> Attribute(V:Val, M:String) => boundMethodV(V, M) ... </k>` |
| 194 | `semantics/call.k:19` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #callee(Exprs)` |
| 195 | `semantics/call.k:20` | rule | owise | USED-SOUND fixed semantics | `rule <k> Call(Fe:Expr, ARGS:Exprs) => Fe ~> #callee(ARGS) ... </k> [owise]` |
| 196 | `semantics/call.k:21` | rule | - | USED-SOUND fixed semantics | `rule <k> CV:Val ~> #callee(ARGS:Exprs) => #evalArgs(ARGS, .Vals, toCall(CV)) ... </k>` |
| 197 | `semantics/call.k:24` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), ACC:Vals) => applyMethod(OBJ, M, ACC) ... </k>` |
| 198 | `semantics/call.k:26` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(builtinV("sum")), (OBJ:Iterable, .Vals)) => #sumAcc(OBJ, 0) ... </k>` |
| 199 | `semantics/call.k:27` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(builtinV("all")), (OBJ:Iterable, .Vals)) => #allAcc(OBJ) ... </k>` |
| 200 | `semantics/call.k:28` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(builtinV("any")), (OBJ:Iterable, .Vals)) => #anyAcc(OBJ) ... </k>` |
| 201 | `semantics/call.k:29` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(builtinV("max")), (OBJ:Iterable, .Vals)) => #maxAcc0(OBJ) ... </k>` |
| 202 | `semantics/call.k:30` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(builtinV("min")), (OBJ:Iterable, .Vals)) => #minAcc0(OBJ) ... </k>` |
| 203 | `semantics/call.k:31` | rule | owise | USED-SOUND fixed semantics | `rule <k> #applyK(toCall(builtinV(BN:String)), ACC:Vals) => applyBuiltin(BN, ACC) ... </k> [owise]` |
| 204 | `semantics/call.k:32` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(typeV(T:String)), ACC:Vals) => applyBuiltin(T, ACC) ... </k>` |
| 205 | `semantics/call.k:38` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(builtinV(BN:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (V, REST)) ... </k> <heap> ... H &#124;-> V:Val ... </heap> [priority(40)]` |
| 206 | `semantics/call.k:42` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(builtinV(BN:String)), (A:Val, ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (A, V, REST)) ... </k> <heap> ... H &#124;-> V:Val ... </heap> requires notBool isRefV(A) [priority(40)]` |
| 207 | `semantics/call.k:47` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(typeV(T:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(typeV(T)), (V, REST)) ... </k> <heap> ... H &#124;-> V:Val ... </heap> [priority(40)]` |
| 208 | `semantics/call.k:52` | syntax | function,total | UNUSED/INERT for submitted proof term | `syntax Bool ::= isMutMethod(String) [function, total]` |
| 209 | `semantics/call.k:53` | rule | - | USED-SOUND fixed semantics | `rule isMutMethod(M:String) => M ==String "append" orBool M ==String "sort" orBool M ==String "extend" orBool M ==String "insert" orBool M ==String "pop" orBool M ==String "remove"` |
| 210 | `semantics/call.k:56` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(boundMethodV(ref(H:Int), M:String)), ACC:Vals) => #applyK(toCall(boundMethodV(V, M)), ACC) ... </k> <heap> ... H &#124;-> V:Val ... </heap> requires notBool isMutMethod(M) [priority(40)]` |
| 211 | `semantics/call.k:63` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(boundMethodV(OBJ, M)), (V, REST)) ... </k> <heap> ... H &#124;-> V:Val ... </heap> requires notBool isMutMethod(M) andBool notBool isRefV(OBJ) [priority(40)]` |
| 212 | `semantics/call.k:69` | rule | - | USED-SOUND fixed semantics | `rule <k> #applyK(toCall(closureVal(PNS:ParamNames, BODY:Stmts, DEFL:Int)), ACC:Vals) ~> CONT => #bindP(PNS, ACC) ~> BODY ~> #endcall </k> <env> CALLERL:Int => NEWL </env> <scopes> STORE:Map => STORE [ NEWL <- scope(.Map, parent(DEFL)) ] </scopes> <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc> <stack> .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>` |
| 213 | `semantics/call.k:80` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #applyK(toCall(closureValC(PNS:ParamNames, CVS:ParamNames, BODY:Stmts, CM:Map)), ACC:Vals) ~> CONT => #allocCells(CVS) ~> #bindP(PNS, ACC) ~> BODY ~> #endcall </k> <env> CALLERL:Int => NEWL </env> <scopes> STORE:Map => STORE [ NEWL <- scope(CM [ "$cells" <- cellsMark(CVS) ], parent(0)) ] </scopes> <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc> <stack> .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>` |
| 214 | `semantics/call.k:87` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #allocCells(ParamNames)` |
| 215 | `semantics/call.k:88` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #allocCells(.ParamNames) => .K ... </k>` |
| 216 | `semantics/call.k:89` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #allocCells((CV:String, R:ParamNames)) => #allocCells(R) ... </k> <env> L:Int </env> <scopes> ... L &#124;-> scope(M:Map => M [ CV <- cellRef(N) ], _) ... </scopes> <heap> H:Map => (N &#124;-> cellV(noneV)) H </heap> <heapLoc> N:Int => N +Int 1 </heapLoc> requires notBool N in_keys(H)` |
| 217 | `semantics/comprehension.k:11` | rule | - | UNUSED/INERT for submitted proof term | `rule ListComp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)` |
| 218 | `semantics/comprehension.k:12` | rule | - | UNUSED/INERT for submitted proof term | `rule GenExp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)` |
| 219 | `semantics/comprehension.k:14` | syntax | macro | UNUSED/INERT for submitted proof term | `syntax Stmts ::= compBody(CompFors, Expr) [macro]` |
| 220 | `semantics/comprehension.k:15` | rule | - | UNUSED/INERT for submitted proof term | `rule compBody(Gs:CompFors, ELT:Expr) => Assign(Name("$acc"), ListExpr(.Exprs)) compNest(Gs, ELT) Return(Name("$acc"))` |
| 221 | `semantics/comprehension.k:18` | syntax | macro | UNUSED/INERT for submitted proof term | `syntax Stmt ::= compNest(CompFors, Expr) [macro-rec]` |
| 222 | `semantics/comprehension.k:19` | rule | - | UNUSED/INERT for submitted proof term | `rule compNest(.CompFors, ELT:Expr) => Assign(Name("$acc"), BinOp("+", Name("$acc"), ListExpr(ELT)))` |
| 223 | `semantics/comprehension.k:21` | rule | - | UNUSED/INERT for submitted proof term | `rule compNest((CompFor(T:Expr, ITER:Expr, Fs:Exprs) GRest:CompFors), ELT:Expr) => For(T, ITER, If(compGuard(Fs), compNest(GRest, ELT), .Stmts))` |
| 224 | `semantics/comprehension.k:24` | syntax | macro | UNUSED/INERT for submitted proof term | `syntax Expr ::= compGuard(Exprs) [macro]` |
| 225 | `semantics/comprehension.k:25` | rule | - | UNUSED/INERT for submitted proof term | `rule compGuard(.Exprs) => Bool(true)` |
| 226 | `semantics/comprehension.k:26` | rule | - | UNUSED/INERT for submitted proof term | `rule compGuard((F:Expr, Fs:Exprs)) => BoolOp("and", (F, Fs))` |
| 227 | `semantics/concrete.k:13` | rule | - | RUNTIME-ONLY; not imported by proof module | `rule <k> Compare(list(A:ValSeq), CmpOp("==", list(B:ValSeq))) => deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap> requires hasRefVS(A) orBool hasRefVS(B)` |
| 228 | `semantics/concrete.k:16` | rule | - | RUNTIME-ONLY; not imported by proof module | `rule <k> Compare(list(A:ValSeq), CmpOp("!=", list(B:ValSeq))) => notBool deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap> requires hasRefVS(A) orBool hasRefVS(B)` |
| 229 | `semantics/concrete.k:25` | syntax | - | RUNTIME-ONLY; not imported by proof module | `syntax Val ::= kvP(Val, Val)` |
| 230 | `semantics/concrete.k:26` | syntax | - | RUNTIME-ONLY; not imported by proof module | `syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool) &#124; #ksIns(Val, ValSeq, Val, ValSeq, Bool)` |
| 231 | `semantics/concrete.k:28` | rule | priority | RUNTIME-ONLY; not imported by proof module | `rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), .Vals)) => #ksort(VS, KV, .ValSeq, false) ... </k> [priority(40)]` |
| 232 | `semantics/concrete.k:31` | rule | priority | RUNTIME-ONLY; not imported by proof module | `rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), kwV("reverse", RB:Bool), .Vals)) => #ksort(VS, KV, .ValSeq, RB) ... </k> [priority(40)]` |
| 233 | `semantics/concrete.k:34` | rule | - | RUNTIME-ONLY; not imported by proof module | `rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool) => #alloc(list(condRev(unpairVS(ACC), RB))) ... </k>` |
| 234 | `semantics/concrete.k:36` | rule | - | RUNTIME-ONLY; not imported by proof module | `rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool) => KV ~> #callee((V, .Exprs)) ~> #ksIns(V, R, KV, ACC, RB) ... </k>` |
| 235 | `semantics/concrete.k:38` | rule | - | RUNTIME-ONLY; not imported by proof module | `rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool) => #ksort(R, KV, insPair(ACC, K, V), RB) ... </k> requires notBool isKwV(K)` |
| 236 | `semantics/concrete.k:42` | syntax | function | RUNTIME-ONLY; not imported by proof module | `syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]` |
| 237 | `semantics/concrete.k:43` | rule | - | RUNTIME-ONLY; not imported by proof module | `rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)` |
| 238 | `semantics/concrete.k:44` | rule | - | RUNTIME-ONLY; not imported by proof module | `rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K, V), vCons(kvP(K2, V2), R)) requires kLt(K, K2)` |
| 239 | `semantics/concrete.k:47` | rule | - | RUNTIME-ONLY; not imported by proof module | `rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K2, V2), insPair(R, K, V)) requires notBool kLt(K, K2)` |
| 240 | `semantics/concrete.k:51` | syntax | function | RUNTIME-ONLY; not imported by proof module | `syntax Bool ::= kLt(Val, Val) [function]` |
| 241 | `semantics/concrete.k:52` | rule | - | RUNTIME-ONLY; not imported by proof module | `rule kLt(I1:Int, I2:Int) => I1 <Int I2` |
| 242 | `semantics/concrete.k:53` | rule | - | RUNTIME-ONLY; not imported by proof module | `rule kLt(F1:Float, F2:Float) => F1 <Float F2` |
| 243 | `semantics/concrete.k:54` | rule | - | RUNTIME-ONLY; not imported by proof module | `rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)` |
| 244 | `semantics/concrete.k:56` | syntax | function,total | RUNTIME-ONLY; not imported by proof module | `syntax ValSeq ::= unpairVS(ValSeq) [function, total]` |
| 245 | `semantics/concrete.k:57` | rule | - | RUNTIME-ONLY; not imported by proof module | `rule unpairVS(.ValSeq) => .ValSeq` |
| 246 | `semantics/concrete.k:58` | rule | - | RUNTIME-ONLY; not imported by proof module | `rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))` |
| 247 | `semantics/concrete.k:59` | rule | owise | RUNTIME-ONLY; not imported by proof module | `rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]` |
| 248 | `semantics/controls.k:9` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> Assign(Name(X:String), V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L &#124;-> scope(M:Map => M [ X <- V ], _) ... </scopes>` |
| 249 | `semantics/controls.k:12` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L &#124;-> scope(M:Map, _) ... </scopes> requires "$cells" in_keys(M) andBool pnMember(X, cellsOf({M["$cells"]}:>Val)) andBool X in_keys(M) andBool isCellRef({M[X]}:>Val) [priority(40)]` |
| 250 | `semantics/controls.k:20` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L &#124;-> scope(M:Map => M [ X <- applyBin(OP, {M[X]}:>Val, V) ], _) ... </scopes> requires X in_keys(M)` |
| 251 | `semantics/controls.k:27` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k> <env> L:Int </env> <scopes> ... L &#124;-> scope(M:Map, _) ... </scopes> requires X in_keys(M) andBool isRefV({M[X]}:>Val) [priority(40)]` |
| 252 | `semantics/controls.k:35` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> ImportFrom("math", NS:ParamNames) => #bindImports(NS) ... </k>` |
| 253 | `semantics/controls.k:36` | rule | owise | UNUSED/INERT for submitted proof term | `rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]` |
| 254 | `semantics/controls.k:37` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #bindImports(ParamNames)` |
| 255 | `semantics/controls.k:38` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #bindImports(.ParamNames) => .K ... </k>` |
| 256 | `semantics/controls.k:39` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> <env> L:Int </env> <scopes> ... L &#124;-> scope(M:Map => M [ N <- builtinV(N) ], _) ... </scopes> requires N ==String "floor" orBool N ==String "ceil"` |
| 257 | `semantics/controls.k:43` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> requires notBool (N ==String "floor" orBool N ==String "ceil")` |
| 258 | `semantics/controls.k:48` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> Expr(_:Val) => .K ... </k>` |
| 259 | `semantics/controls.k:51` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #branch(Bool, Stmts, Stmts)` |
| 260 | `semantics/controls.k:52` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>` |
| 261 | `semantics/controls.k:53` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #branch(true, T:Stmts, _:Stmts) => T ... </k>` |
| 262 | `semantics/controls.k:54` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>` |
| 263 | `semantics/controls.k:57` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k> requires truthy(V)` |
| 264 | `semantics/controls.k:59` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k> requires notBool truthy(V)` |
| 265 | `semantics/controls.k:65` | syntax | - | UNUSED/INERT for submitted proof term | `syntax KItem ::= #loop(Val, Expr, Stmts) &#124; #loopStep(Expr, Stmts) &#124; #while(Expr, Stmts) &#124; #whileCond(Expr, Stmts) &#124; #loopLbl(K) &#124; "#cont" &#124; "#brk"` |
| 266 | `semantics/controls.k:69` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>` |
| 267 | `semantics/controls.k:71` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>` |
| 268 | `semantics/controls.k:72` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>` |
| 269 | `semantics/controls.k:73` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts) => #bindTgt(T, V) ~> B ~> #loopLbl(#loop(REST, T, B)) ... </k>` |
| 270 | `semantics/controls.k:77` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>` |
| 271 | `semantics/controls.k:78` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>` |
| 272 | `semantics/controls.k:79` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k> requires truthy(V)` |
| 273 | `semantics/controls.k:81` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k> requires notBool truthy(V)` |
| 274 | `semantics/controls.k:85` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #loopLbl(NEXT:K) => NEXT ... </k>` |
| 275 | `semantics/controls.k:86` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> Continue => #cont ... </k>` |
| 276 | `semantics/controls.k:87` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> Break => #brk ... </k>` |
| 277 | `semantics/controls.k:88` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>` |
| 278 | `semantics/controls.k:89` | rule | owise | UNUSED/INERT for submitted proof term | `rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]` |
| 279 | `semantics/controls.k:90` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>` |
| 280 | `semantics/controls.k:91` | rule | owise | UNUSED/INERT for submitted proof term | `rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]` |
| 281 | `semantics/controls.k:95` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k> <heap> ... H &#124;-> V:Val ... </heap> [priority(40)]` |
| 282 | `semantics/controls.k:98` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k> <heap> ... H &#124;-> V:Val ... </heap> [priority(40)]` |
| 283 | `semantics/controls.k:101` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k> <heap> ... H &#124;-> V:Val ... </heap> [priority(40)]` |
| 284 | `semantics/controls.k:106` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k> <heap> ... H &#124;-> V:Val ... </heap> [priority(40)]` |
| 285 | `semantics/core.k:13` | syntax | - | UNUSED/INERT for submitted proof term | `syntax IntSeq ::= ".IntSeq" &#124; iCons(Int, IntSeq)` |
| 286 | `semantics/core.k:14` | syntax | - | UNUSED/INERT for submitted proof term | `syntax ValSeq ::= ".ValSeq" &#124; vCons(Val, ValSeq)` |
| 287 | `semantics/core.k:15` | syntax | - | UNUSED/INERT for submitted proof term | `syntax Str ::= str(IntSeq)` |
| 288 | `semantics/core.k:18` | syntax | - | UNUSED/INERT for submitted proof term | `syntax Iterable ::= list(ValSeq) &#124; tuple(ValSeq) &#124; Str &#124; rangeObj(Int, Int, Int) &#124; zipObj(ValSeq, ValSeq) &#124; zipObjS(IntSeq, IntSeq)` |
