source	start_line	end_line	kind	attributes	audit_class	declaration
reference-semantics/semantics/builtins.k	250	250	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax EvPair ::= passMulE(EvPair) [function, total] | passAddE(EvPair) [function, total]
reference-semantics/semantics/builtins.k	251	251	rule	-	SUPPLIED_FIXED_RULE	rule passMulE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("mul", N0, OPS, NDS, .OpSeq, .IntSeq)
reference-semantics/semantics/builtins.k	252	252	rule	-	SUPPLIED_FIXED_RULE	rule passMulE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
reference-semantics/semantics/builtins.k	253	253	rule	-	SUPPLIED_FIXED_RULE	rule passAddE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("add", N0, OPS, NDS, .OpSeq, .IntSeq)
reference-semantics/semantics/builtins.k	254	254	rule	-	SUPPLIED_FIXED_RULE	rule passAddE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
reference-semantics/semantics/builtins.k	255	255	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax EvPair ::= passLGoE(String, Int, OpSeq, IntSeq, OpSeq, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	256	256	rule	-	SUPPLIED_FIXED_RULE	rule passLGoE(_:String, CUR:Int, .OpSeq, _:IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR))
reference-semantics/semantics/builtins.k	257	259	rule	-	SUPPLIED_FIXED_RULE	rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq) => passLGoE(L, applyOpE(O, CUR, N), OPS, NDS, OO, ON) requires inLevelE(L, O)
reference-semantics/semantics/builtins.k	260	262	rule	-	SUPPLIED_FIXED_RULE	rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq) => passLGoE(L, N, OPS, NDS, appendOpE(OO, O), appendIE(ON, CUR)) requires notBool inLevelE(L, O)
reference-semantics/semantics/builtins.k	263	264	rule	owise	SUPPLIED_FIXED_RULE	rule passLGoE(_:String, CUR:Int, oCons(_:String, _:OpSeq), .IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR)) [owise]
reference-semantics/semantics/builtins.k	265	265	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax Bool ::= inLevelE(String, String) [function, total]
reference-semantics/semantics/builtins.k	266	266	rule	-	SUPPLIED_FIXED_RULE	rule inLevelE("mul", O:String) => O ==String "*" orBool O ==String "//" orBool O ==String "/"
reference-semantics/semantics/builtins.k	267	267	rule	-	SUPPLIED_FIXED_RULE	rule inLevelE("add", O:String) => O ==String "+" orBool O ==String "-"
reference-semantics/semantics/builtins.k	268	268	rule	owise	SUPPLIED_FIXED_RULE	rule inLevelE(_:String, _:String) => false [owise]
reference-semantics/semantics/builtins.k	269	269	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax OpSeq ::= appendOpE(OpSeq, String) [function, total]
reference-semantics/semantics/builtins.k	270	270	rule	-	SUPPLIED_FIXED_RULE	rule appendOpE(.OpSeq, O:String) => oCons(O, .OpSeq)
reference-semantics/semantics/builtins.k	271	271	rule	-	SUPPLIED_FIXED_RULE	rule appendOpE(oCons(H:String, T:OpSeq), O:String) => oCons(H, appendOpE(T, O))
reference-semantics/semantics/builtins.k	272	272	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax IntSeq ::= appendIE(IntSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	273	273	rule	-	SUPPLIED_FIXED_RULE	rule appendIE(.IntSeq, N:Int) => iCons(N, .IntSeq)
reference-semantics/semantics/builtins.k	274	274	rule	-	SUPPLIED_FIXED_RULE	rule appendIE(iCons(H:Int, T:IntSeq), N:Int) => iCons(H, appendIE(T, N))
reference-semantics/semantics/builtins.k	279	279	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax KItem ::= "#md5"
reference-semantics/semantics/builtins.k	280	281	rule	priority	SUPPLIED_FIXED_RULE	rule <k> Call(Attribute(Name("hashlib"), "md5"), (E:Expr, .Exprs)) => E ~> #md5 ... </k> [priority(40)]
reference-semantics/semantics/builtins.k	282	282	rule	-	SUPPLIED_FIXED_RULE	rule <k> str(CS:IntSeq) ~> #md5 => md5Obj(CS) ... </k>
reference-semantics/semantics/builtins.k	283	283	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax Val ::= md5Obj(IntSeq)
reference-semantics/semantics/builtins.k	284	284	rule	-	SUPPLIED_FIXED_RULE	rule applyMethod(md5Obj(CS:IntSeq), "hexdigest", .Vals) => str(md5hexCodes(CS))
reference-semantics/semantics/builtins.k	285	285	syntax	function,total,no-evaluators,symbol	SUPPLIED_FIXED_DECLARATION	syntax IntSeq ::= md5hexCodes(IntSeq) [function, total, symbol(md5hexCodes), no-evaluators]
reference-semantics/semantics/builtins.k	291	291	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("isinstance", V:Val, typeV("int"), .Vals) => isIntV(V)
reference-semantics/semantics/builtins.k	292	292	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("isinstance", V:Val, typeV("str"), .Vals) => isStrV(V)
reference-semantics/semantics/builtins.k	293	293	syntax	function	SUPPLIED_FIXED_DECLARATION	syntax Bool ::= isIntV(Val) [function] | isStrV(Val) [function]
reference-semantics/semantics/builtins.k	294	294	rule	-	SUPPLIED_FIXED_RULE	rule isIntV(_:Int) => true
reference-semantics/semantics/builtins.k	295	295	rule	owise	SUPPLIED_FIXED_RULE	rule isIntV(_:Val) => false [owise]
reference-semantics/semantics/builtins.k	296	296	rule	-	SUPPLIED_FIXED_RULE	rule isStrV(str(_:IntSeq)) => true
reference-semantics/semantics/builtins.k	297	297	rule	owise	SUPPLIED_FIXED_RULE	rule isStrV(_:Val) => false [owise]
reference-semantics/semantics/call.k	16	16	rule	-	SUPPLIED_FIXED_RULE	rule <k> Attribute(V:Val, M:String) => boundMethodV(V, M) ... </k>
reference-semantics/semantics/call.k	19	19	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax KItem ::= #callee(Exprs)
reference-semantics/semantics/call.k	20	20	rule	owise	SUPPLIED_FIXED_RULE	rule <k> Call(Fe:Expr, ARGS:Exprs) => Fe ~> #callee(ARGS) ... </k> [owise]
reference-semantics/semantics/call.k	21	21	rule	-	SUPPLIED_FIXED_RULE	rule <k> CV:Val ~> #callee(ARGS:Exprs) => #evalArgs(ARGS, .Vals, toCall(CV)) ... </k>
reference-semantics/semantics/call.k	24	24	rule	-	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), ACC:Vals) => applyMethod(OBJ, M, ACC) ... </k>
reference-semantics/semantics/call.k	26	26	rule	-	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(builtinV("sum")), (OBJ:Iterable, .Vals)) => #sumAcc(OBJ, 0) ... </k>
reference-semantics/semantics/call.k	27	27	rule	-	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(builtinV("all")), (OBJ:Iterable, .Vals)) => #allAcc(OBJ) ... </k>
reference-semantics/semantics/call.k	28	28	rule	-	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(builtinV("any")), (OBJ:Iterable, .Vals)) => #anyAcc(OBJ) ... </k>
reference-semantics/semantics/call.k	29	29	rule	-	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(builtinV("max")), (OBJ:Iterable, .Vals)) => #maxAcc0(OBJ) ... </k>
reference-semantics/semantics/call.k	30	30	rule	-	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(builtinV("min")), (OBJ:Iterable, .Vals)) => #minAcc0(OBJ) ... </k>
reference-semantics/semantics/call.k	31	31	rule	owise	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(builtinV(BN:String)), ACC:Vals) => applyBuiltin(BN, ACC) ... </k> [owise]
reference-semantics/semantics/call.k	32	32	rule	-	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(typeV(T:String)), ACC:Vals) => applyBuiltin(T, ACC) ... </k>
reference-semantics/semantics/call.k	38	41	rule	priority	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(builtinV(BN:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/call.k	42	46	rule	priority	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(builtinV(BN:String)), (A:Val, ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (A, V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isRefV(A) [priority(40)]
reference-semantics/semantics/call.k	47	50	rule	priority	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(typeV(T:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(typeV(T)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/call.k	52	52	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax Bool ::= isMutMethod(String) [function, total]
reference-semantics/semantics/call.k	53	55	rule	-	SUPPLIED_FIXED_RULE	rule isMutMethod(M:String) => M ==String "append" orBool M ==String "sort" orBool M ==String "extend" orBool M ==String "insert" orBool M ==String "pop" orBool M ==String "remove"
reference-semantics/semantics/call.k	56	60	rule	priority	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(boundMethodV(ref(H:Int), M:String)), ACC:Vals) => #applyK(toCall(boundMethodV(V, M)), ACC) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isMutMethod(M) [priority(40)]
reference-semantics/semantics/call.k	63	67	rule	priority	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(boundMethodV(OBJ, M)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool isMutMethod(M) andBool notBool isRefV(OBJ) [priority(40)]
reference-semantics/semantics/call.k	69	74	rule	-	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(closureVal(PNS:ParamNames, BODY:Stmts, DEFL:Int)), ACC:Vals) ~> CONT => #bindP(PNS, ACC) ~> BODY ~> #endcall </k> <env> CALLERL:Int => NEWL </env> <scopes> STORE:Map => STORE [ NEWL <- scope(.Map, parent(DEFL)) ] </scopes> <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc> <stack> .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>
reference-semantics/semantics/call.k	80	85	rule	-	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(closureValC(PNS:ParamNames, CVS:ParamNames, BODY:Stmts, CM:Map)), ACC:Vals) ~> CONT => #allocCells(CVS) ~> #bindP(PNS, ACC) ~> BODY ~> #endcall </k> <env> CALLERL:Int => NEWL </env> <scopes> STORE:Map => STORE [ NEWL <- scope(CM [ "$cells" <- cellsMark(CVS) ], parent(0)) ] </scopes> <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc> <stack> .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>
reference-semantics/semantics/call.k	87	87	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax KItem ::= #allocCells(ParamNames)
reference-semantics/semantics/call.k	88	88	rule	-	SUPPLIED_FIXED_RULE	rule <k> #allocCells(.ParamNames) => .K ... </k>
reference-semantics/semantics/call.k	89	94	rule	-	SUPPLIED_FIXED_RULE	rule <k> #allocCells((CV:String, R:ParamNames)) => #allocCells(R) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ CV <- cellRef(N) ], _) ... </scopes> <heap> H:Map => (N |-> cellV(noneV)) H </heap> <heapLoc> N:Int => N +Int 1 </heapLoc> requires notBool N in_keys(H)
reference-semantics/semantics/comprehension.k	11	11	rule	-	SUPPLIED_FIXED_RULE	rule ListComp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
reference-semantics/semantics/comprehension.k	12	12	rule	-	SUPPLIED_FIXED_RULE	rule GenExp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
reference-semantics/semantics/comprehension.k	14	14	syntax	macro	SUPPLIED_FIXED_DECLARATION	syntax Stmts ::= compBody(CompFors, Expr) [macro]
reference-semantics/semantics/comprehension.k	15	16	rule	-	SUPPLIED_FIXED_RULE	rule compBody(Gs:CompFors, ELT:Expr) => Assign(Name("$acc"), ListExpr(.Exprs)) compNest(Gs, ELT) Return(Name("$acc"))
reference-semantics/semantics/comprehension.k	18	18	syntax	macro	SUPPLIED_FIXED_DECLARATION	syntax Stmt ::= compNest(CompFors, Expr) [macro-rec]
reference-semantics/semantics/comprehension.k	19	20	rule	-	SUPPLIED_FIXED_RULE	rule compNest(.CompFors, ELT:Expr) => Assign(Name("$acc"), BinOp("+", Name("$acc"), ListExpr(ELT)))
reference-semantics/semantics/comprehension.k	21	22	rule	-	SUPPLIED_FIXED_RULE	rule compNest((CompFor(T:Expr, ITER:Expr, Fs:Exprs) GRest:CompFors), ELT:Expr) => For(T, ITER, If(compGuard(Fs), compNest(GRest, ELT), .Stmts))
reference-semantics/semantics/comprehension.k	24	24	syntax	macro	SUPPLIED_FIXED_DECLARATION	syntax Expr ::= compGuard(Exprs) [macro]
reference-semantics/semantics/comprehension.k	25	25	rule	-	SUPPLIED_FIXED_RULE	rule compGuard(.Exprs) => Bool(true)
reference-semantics/semantics/comprehension.k	26	26	rule	-	SUPPLIED_FIXED_RULE	rule compGuard((F:Expr, Fs:Exprs)) => BoolOp("and", (F, Fs))
reference-semantics/semantics/concrete.k	13	15	rule	-	SUPPLIED_FIXED_RULE	rule <k> Compare(list(A:ValSeq), CmpOp("==", list(B:ValSeq))) => deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap> requires hasRefVS(A) orBool hasRefVS(B)
reference-semantics/semantics/concrete.k	16	18	rule	-	SUPPLIED_FIXED_RULE	rule <k> Compare(list(A:ValSeq), CmpOp("!=", list(B:ValSeq))) => notBool deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap> requires hasRefVS(A) orBool hasRefVS(B)
reference-semantics/semantics/concrete.k	25	25	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax Val ::= kvP(Val, Val)
reference-semantics/semantics/concrete.k	26	27	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool) | #ksIns(Val, ValSeq, Val, ValSeq, Bool)
reference-semantics/semantics/concrete.k	28	30	rule	priority	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), .Vals)) => #ksort(VS, KV, .ValSeq, false) ... </k> [priority(40)]
reference-semantics/semantics/concrete.k	31	33	rule	priority	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), kwV("reverse", RB:Bool), .Vals)) => #ksort(VS, KV, .ValSeq, RB) ... </k> [priority(40)]
reference-semantics/semantics/concrete.k	34	35	rule	-	SUPPLIED_FIXED_RULE	rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool) => #alloc(list(condRev(unpairVS(ACC), RB))) ... </k>
reference-semantics/semantics/concrete.k	36	37	rule	-	SUPPLIED_FIXED_RULE	rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool) => KV ~> #callee((V, .Exprs)) ~> #ksIns(V, R, KV, ACC, RB) ... </k>
reference-semantics/semantics/concrete.k	38	40	rule	-	SUPPLIED_FIXED_RULE	rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool) => #ksort(R, KV, insPair(ACC, K, V), RB) ... </k> requires notBool isKwV(K)
reference-semantics/semantics/concrete.k	42	42	syntax	function	SUPPLIED_FIXED_DECLARATION	syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]
reference-semantics/semantics/concrete.k	43	43	rule	-	SUPPLIED_FIXED_RULE	rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)
reference-semantics/semantics/concrete.k	44	46	rule	-	SUPPLIED_FIXED_RULE	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K, V), vCons(kvP(K2, V2), R)) requires kLt(K, K2)
reference-semantics/semantics/concrete.k	47	49	rule	-	SUPPLIED_FIXED_RULE	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K2, V2), insPair(R, K, V)) requires notBool kLt(K, K2)
reference-semantics/semantics/concrete.k	51	51	syntax	function	SUPPLIED_FIXED_DECLARATION	syntax Bool ::= kLt(Val, Val) [function]
reference-semantics/semantics/concrete.k	52	52	rule	-	SUPPLIED_FIXED_RULE	rule kLt(I1:Int, I2:Int) => I1 <Int I2
reference-semantics/semantics/concrete.k	53	53	rule	-	SUPPLIED_FIXED_RULE	rule kLt(F1:Float, F2:Float) => F1 <Float F2
reference-semantics/semantics/concrete.k	54	54	rule	-	SUPPLIED_FIXED_RULE	rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)
reference-semantics/semantics/concrete.k	56	56	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax ValSeq ::= unpairVS(ValSeq) [function, total]
reference-semantics/semantics/concrete.k	57	57	rule	-	SUPPLIED_FIXED_RULE	rule unpairVS(.ValSeq) => .ValSeq
reference-semantics/semantics/concrete.k	58	58	rule	-	SUPPLIED_FIXED_RULE	rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))
reference-semantics/semantics/concrete.k	59	59	rule	owise	SUPPLIED_FIXED_RULE	rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]
reference-semantics/semantics/controls.k	9	11	rule	-	SUPPLIED_FIXED_RULE	rule <k> Assign(Name(X:String), V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- V ], _) ... </scopes>
reference-semantics/semantics/controls.k	12	18	rule	priority	SUPPLIED_FIXED_RULE	rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires "$cells" in_keys(M) andBool pnMember(X, cellsOf({M["$cells"]}:>Val)) andBool X in_keys(M) andBool isCellRef({M[X]}:>Val) [priority(40)]
reference-semantics/semantics/controls.k	20	23	rule	-	SUPPLIED_FIXED_RULE	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- applyBin(OP, {M[X]}:>Val, V) ], _) ... </scopes> requires X in_keys(M)
reference-semantics/semantics/controls.k	27	31	rule	priority	SUPPLIED_FIXED_RULE	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires X in_keys(M) andBool isRefV({M[X]}:>Val) [priority(40)]
reference-semantics/semantics/controls.k	35	35	rule	-	SUPPLIED_FIXED_RULE	rule <k> ImportFrom("math", NS:ParamNames) => #bindImports(NS) ... </k>
reference-semantics/semantics/controls.k	36	36	rule	owise	SUPPLIED_FIXED_RULE	rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]
reference-semantics/semantics/controls.k	37	37	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax KItem ::= #bindImports(ParamNames)
reference-semantics/semantics/controls.k	38	38	rule	-	SUPPLIED_FIXED_RULE	rule <k> #bindImports(.ParamNames) => .K ... </k>
reference-semantics/semantics/controls.k	39	42	rule	-	SUPPLIED_FIXED_RULE	rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ N <- builtinV(N) ], _) ... </scopes> requires N ==String "floor" orBool N ==String "ceil"
reference-semantics/semantics/controls.k	43	44	rule	-	SUPPLIED_FIXED_RULE	rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> requires notBool (N ==String "floor" orBool N ==String "ceil")
reference-semantics/semantics/controls.k	48	48	rule	-	SUPPLIED_FIXED_RULE	rule <k> Expr(_:Val) => .K ... </k>
reference-semantics/semantics/controls.k	51	51	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax KItem ::= #branch(Bool, Stmts, Stmts)
reference-semantics/semantics/controls.k	52	52	rule	-	SUPPLIED_FIXED_RULE	rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>
reference-semantics/semantics/controls.k	53	53	rule	-	SUPPLIED_FIXED_RULE	rule <k> #branch(true, T:Stmts, _:Stmts) => T ... </k>
reference-semantics/semantics/controls.k	54	54	rule	-	SUPPLIED_FIXED_RULE	rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>
reference-semantics/semantics/controls.k	57	58	rule	-	SUPPLIED_FIXED_RULE	rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k> requires truthy(V)
reference-semantics/semantics/controls.k	59	60	rule	-	SUPPLIED_FIXED_RULE	rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k> requires notBool truthy(V)
reference-semantics/semantics/controls.k	65	67	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax KItem ::= #loop(Val, Expr, Stmts) | #loopStep(Expr, Stmts) | #while(Expr, Stmts) | #whileCond(Expr, Stmts) | #loopLbl(K) | "#cont" | "#brk"
reference-semantics/semantics/controls.k	69	69	rule	-	SUPPLIED_FIXED_RULE	rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>
reference-semantics/semantics/controls.k	71	71	rule	-	SUPPLIED_FIXED_RULE	rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>
reference-semantics/semantics/controls.k	72	72	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>
reference-semantics/semantics/controls.k	73	74	rule	-	SUPPLIED_FIXED_RULE	rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts) => #bindTgt(T, V) ~> B ~> #loopLbl(#loop(REST, T, B)) ... </k>
reference-semantics/semantics/controls.k	77	77	rule	-	SUPPLIED_FIXED_RULE	rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>
reference-semantics/semantics/controls.k	78	78	rule	-	SUPPLIED_FIXED_RULE	rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>
reference-semantics/semantics/controls.k	79	80	rule	-	SUPPLIED_FIXED_RULE	rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k> requires truthy(V)
reference-semantics/semantics/controls.k	81	82	rule	-	SUPPLIED_FIXED_RULE	rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k> requires notBool truthy(V)
reference-semantics/semantics/controls.k	85	85	rule	-	SUPPLIED_FIXED_RULE	rule <k> #loopLbl(NEXT:K) => NEXT ... </k>
reference-semantics/semantics/controls.k	86	86	rule	-	SUPPLIED_FIXED_RULE	rule <k> Continue => #cont ... </k>
reference-semantics/semantics/controls.k	87	87	rule	-	SUPPLIED_FIXED_RULE	rule <k> Break => #brk ... </k>
reference-semantics/semantics/controls.k	88	88	rule	-	SUPPLIED_FIXED_RULE	rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>
reference-semantics/semantics/controls.k	89	89	rule	owise	SUPPLIED_FIXED_RULE	rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]
reference-semantics/semantics/controls.k	90	90	rule	-	SUPPLIED_FIXED_RULE	rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>
reference-semantics/semantics/controls.k	91	91	rule	owise	SUPPLIED_FIXED_RULE	rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]
reference-semantics/semantics/controls.k	95	97	rule	priority	SUPPLIED_FIXED_RULE	rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/controls.k	98	100	rule	priority	SUPPLIED_FIXED_RULE	rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/controls.k	101	103	rule	priority	SUPPLIED_FIXED_RULE	rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/controls.k	106	108	rule	priority	SUPPLIED_FIXED_RULE	rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/core.k	13	13	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax IntSeq ::= ".IntSeq" | iCons(Int, IntSeq)
reference-semantics/semantics/core.k	14	14	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax ValSeq ::= ".ValSeq" | vCons(Val, ValSeq)
reference-semantics/semantics/core.k	15	15	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax Str ::= str(IntSeq)
reference-semantics/semantics/core.k	18	23	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax Iterable ::= list(ValSeq) | tuple(ValSeq) | Str | rangeObj(Int, Int, Int) | zipObj(ValSeq, ValSeq) | zipObjS(IntSeq, IntSeq)
reference-semantics/semantics/core.k	25	34	syntax	function	SUPPLIED_FIXED_DECLARATION	syntax Val ::= Int | Bool | "noneV" | Iterable | ref(Int) // a heap object: <heap> holds its list(VS) | cellRef(Int) // a closure cell: <heap> holds cellV(V) | closureVal(ParamNames, Stmts, Int) | typeV(String) // a type object (int/str), resolved from the builtins frame | builtinV(String) // a builtin function, resolved like any name (LEGB fallthrough) | boundMethodV(Val, String) // a cooled Attribute: obj.method
reference-semantics/semantics/core.k	36	36	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax Parent ::= "root" | parent(Int)
reference-semantics/semantics/core.k	37	37	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax Scope ::= scope(Map, Parent)
reference-semantics/semantics/core.k	38	38	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax KResult ::= Val
reference-semantics/semantics/core.k	39	39	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax Expr ::= Val // cooling puts results back into expression holes
reference-semantics/semantics/core.k	40	40	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax Vals ::= List{Val, ","}
reference-semantics/semantics/core.k	41	41	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax Exc ::= "NoExc" | "AssertionError"
reference-semantics/semantics/core.k	42	42	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax RetState ::= "noRet" | retV(Val)
