COMMAND: python3 /audit-output/evidence/k_inventory.py
# item_count=1100
# kind_counts={'claim': 1, 'configuration': 1, 'context': 5, 'endmodule': 27, 'imports': 88, 'module': 27, 'requires': 25, 'rule': 697, 'syntax': 229}
# attribute_counts={'concrete': 35, 'function': 145, 'macro': 5, 'macro-rec': 1, 'no-evaluators': 22, 'owise': 26, 'priority': 45, 'seqstrict': 1, 'strict': 2, 'total': 107}
# decision_counts={'ASSEMBLY_OR_MODULE_DECLARATION': 167, 'EXECUTED_FIXED_FRAGMENT_ACCEPTED': 55, 'OPAQUE_FIXED_PRIMITIVE_UNREACHED': 22, 'PROOF_LOCAL_ACCEPTED_EXACT_HARNESS': 4, 'TARGET_CLAIM_RESULT_CONSTRAINING': 1, 'UNREACHED_NO_INTENDED_DOMAIN_WITNESS': 851}
id	path	lines	kind	attributes	relevance	decision	declaration
K0286	reference-semantics/semantics/call.k	95-95	endmodule	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	endmodule
K0287	reference-semantics/semantics/comprehension.k	3-3	module	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	module MPY-COMPREHENSION
K0288	reference-semantics/semantics/comprehension.k	4-4	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-CORE
K0289	reference-semantics/semantics/comprehension.k	5-5	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-OPERATORS
K0290	reference-semantics/semantics/comprehension.k	6-6	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-LIST
K0291	reference-semantics/semantics/comprehension.k	7-7	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-CONTROLS
K0292	reference-semantics/semantics/comprehension.k	8-10	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-FUNCTIONS
K0293	reference-semantics/semantics/comprehension.k	11-11	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule ListComp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
K0294	reference-semantics/semantics/comprehension.k	12-13	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule GenExp(ELT:Expr, Gs:CompFors)   => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
K0295	reference-semantics/semantics/comprehension.k	14-14	syntax	macro	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax Stmts ::= compBody(CompFors, Expr) [macro]
K0296	reference-semantics/semantics/comprehension.k	15-17	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule compBody(Gs:CompFors, ELT:Expr) => Assign(Name("$acc"), ListExpr(.Exprs)) compNest(Gs, ELT) Return(Name("$acc"))
K0297	reference-semantics/semantics/comprehension.k	18-18	syntax	macro,macro-rec	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax Stmt ::= compNest(CompFors, Expr) [macro-rec]
K0298	reference-semantics/semantics/comprehension.k	19-20	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule compNest(.CompFors, ELT:Expr) => Assign(Name("$acc"), BinOp("+", Name("$acc"), ListExpr(ELT)))
K0299	reference-semantics/semantics/comprehension.k	21-23	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule compNest((CompFor(T:Expr, ITER:Expr, Fs:Exprs) GRest:CompFors), ELT:Expr) => For(T, ITER, If(compGuard(Fs), compNest(GRest, ELT), .Stmts))
K0300	reference-semantics/semantics/comprehension.k	24-24	syntax	macro	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax Expr ::= compGuard(Exprs) [macro]
K0301	reference-semantics/semantics/comprehension.k	25-25	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule compGuard(.Exprs)             => Bool(true)
K0302	reference-semantics/semantics/comprehension.k	26-26	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule compGuard((F:Expr, Fs:Exprs)) => BoolOp("and", (F, Fs))
K0303	reference-semantics/semantics/comprehension.k	27-27	endmodule	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	endmodule
K0304	reference-semantics/semantics/concrete.k	8-8	module	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	module MPY-CONCRETE
K0305	reference-semantics/semantics/concrete.k	9-12	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY
K0306	reference-semantics/semantics/concrete.k	13-15	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> Compare(list(A:ValSeq), CmpOp("==", list(B:ValSeq))) => deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap> requires hasRefVS(A) orBool hasRefVS(B)
K0307	reference-semantics/semantics/concrete.k	16-24	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> Compare(list(A:ValSeq), CmpOp("!=", list(B:ValSeq))) => notBool deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap> requires hasRefVS(A) orBool hasRefVS(B)
K0308	reference-semantics/semantics/concrete.k	25-25	syntax	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax Val ::= kvP(Val, Val)
K0309	reference-semantics/semantics/concrete.k	26-27	syntax	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool) | #ksIns(Val, ValSeq, Val, ValSeq, Bool)
K0310	reference-semantics/semantics/concrete.k	28-30	rule	priority	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), .Vals)) => #ksort(VS, KV, .ValSeq, false) ... </k> [priority(40)]
K0311	reference-semantics/semantics/concrete.k	31-33	rule	priority	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), kwV("reverse", RB:Bool), .Vals)) => #ksort(VS, KV, .ValSeq, RB) ... </k> [priority(40)]
K0312	reference-semantics/semantics/concrete.k	34-35	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool) => #alloc(list(condRev(unpairVS(ACC), RB))) ... </k>
K0313	reference-semantics/semantics/concrete.k	36-37	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool) => KV ~> #callee((V, .Exprs)) ~> #ksIns(V, R, KV, ACC, RB) ... </k>
K0314	reference-semantics/semantics/concrete.k	38-41	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool) => #ksort(R, KV, insPair(ACC, K, V), RB) ... </k> requires notBool isKwV(K)
K0315	reference-semantics/semantics/concrete.k	42-42	syntax	function	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]
K0316	reference-semantics/semantics/concrete.k	43-43	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)
K0317	reference-semantics/semantics/concrete.k	44-46	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K, V), vCons(kvP(K2, V2), R)) requires kLt(K, K2)
K0318	reference-semantics/semantics/concrete.k	47-50	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val) => vCons(kvP(K2, V2), insPair(R, K, V)) requires notBool kLt(K, K2)
K0319	reference-semantics/semantics/concrete.k	51-51	syntax	function	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax Bool ::= kLt(Val, Val) [function]
K0320	reference-semantics/semantics/concrete.k	52-52	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule kLt(I1:Int, I2:Int)             => I1 <Int I2
K0321	reference-semantics/semantics/concrete.k	53-53	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule kLt(F1:Float, F2:Float)         => F1 <Float F2
K0322	reference-semantics/semantics/concrete.k	54-55	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)
K0323	reference-semantics/semantics/concrete.k	56-56	syntax	function,total	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax ValSeq ::= unpairVS(ValSeq) [function, total]
K0324	reference-semantics/semantics/concrete.k	57-57	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule unpairVS(.ValSeq) => .ValSeq
K0325	reference-semantics/semantics/concrete.k	58-58	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))
K0326	reference-semantics/semantics/concrete.k	59-59	rule	owise	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]
K0327	reference-semantics/semantics/concrete.k	60-60	endmodule	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	endmodule
K0328	reference-semantics/semantics/controls.k	3-3	module	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	module MPY-CONTROLS
K0329	reference-semantics/semantics/controls.k	4-4	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-CORE
K0330	reference-semantics/semantics/controls.k	5-5	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-TUPLE
K0331	reference-semantics/semantics/controls.k	6-8	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-ITER
K0332	reference-semantics/semantics/controls.k	9-11	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> Assign(Name(X:String), V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- V ], _) ... </scopes>
K0333	reference-semantics/semantics/controls.k	12-19	rule	priority	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires "$cells" in_keys(M) andBool pnMember(X, cellsOf({M["$cells"]}:>Val)) andBool X in_keys(M) andBool isCellRef({M[X]}:>Val) [priority(40)]
K0334	reference-semantics/semantics/controls.k	20-26	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- applyBin(OP, {M[X]}:>Val, V) ], _) ... </scopes> requires X in_keys(M)
K0335	reference-semantics/semantics/controls.k	27-34	rule	priority	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires X in_keys(M) andBool isRefV({M[X]}:>Val) [priority(40)]
K0336	reference-semantics/semantics/controls.k	35-35	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> ImportFrom("math", NS:ParamNames) => #bindImports(NS) ... </k>
K0337	reference-semantics/semantics/controls.k	36-36	rule	owise	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]
K0338	reference-semantics/semantics/controls.k	37-37	syntax	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax KItem ::= #bindImports(ParamNames)
K0339	reference-semantics/semantics/controls.k	38-38	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #bindImports(.ParamNames) => .K ... </k>
K0340	reference-semantics/semantics/controls.k	39-42	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ N <- builtinV(N) ], _) ... </scopes> requires N ==String "floor" orBool N ==String "ceil"
K0341	reference-semantics/semantics/controls.k	43-47	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k> requires notBool (N ==String "floor" orBool N ==String "ceil")
K0342	reference-semantics/semantics/controls.k	48-50	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> Expr(_:Val) => .K ... </k>
K0343	reference-semantics/semantics/controls.k	51-51	syntax	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax KItem ::= #branch(Bool, Stmts, Stmts)
K0344	reference-semantics/semantics/controls.k	52-52	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>
K0345	reference-semantics/semantics/controls.k	53-53	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #branch(true,  T:Stmts, _:Stmts) => T ... </k>
K0346	reference-semantics/semantics/controls.k	54-56	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>
K0347	reference-semantics/semantics/controls.k	57-58	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k> requires truthy(V)
K0348	reference-semantics/semantics/controls.k	59-64	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k> requires notBool truthy(V)
K0349	reference-semantics/semantics/controls.k	65-68	syntax	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax KItem ::= #loop(Val, Expr, Stmts) | #loopStep(Expr, Stmts) | #while(Expr, Stmts) | #whileCond(Expr, Stmts) | #loopLbl(K) | "#cont" | "#brk"
K0350	reference-semantics/semantics/controls.k	69-70	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>
K0351	reference-semantics/semantics/controls.k	71-71	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>
K0352	reference-semantics/semantics/controls.k	72-72	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>
K0353	reference-semantics/semantics/controls.k	73-76	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts) => #bindTgt(T, V) ~> B ~> #loopLbl(#loop(REST, T, B)) ... </k>
K0354	reference-semantics/semantics/controls.k	77-77	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>
K0355	reference-semantics/semantics/controls.k	78-78	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>
K0356	reference-semantics/semantics/controls.k	79-80	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k> requires truthy(V)
K0357	reference-semantics/semantics/controls.k	81-84	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k> requires notBool truthy(V)
K0358	reference-semantics/semantics/controls.k	85-85	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #loopLbl(NEXT:K) => NEXT ... </k>
K0359	reference-semantics/semantics/controls.k	86-86	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> Continue => #cont ... </k>
K0360	reference-semantics/semantics/controls.k	87-87	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> Break => #brk ... </k>
K0361	reference-semantics/semantics/controls.k	88-88	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>
K0362	reference-semantics/semantics/controls.k	89-89	rule	owise	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]
K0363	reference-semantics/semantics/controls.k	90-90	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>
K0364	reference-semantics/semantics/controls.k	91-94	rule	owise	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #brk ~> (_:KItem => .K) ... </k> [owise]
K0365	reference-semantics/semantics/controls.k	95-97	rule	priority	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0366	reference-semantics/semantics/controls.k	98-100	rule	priority	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0367	reference-semantics/semantics/controls.k	101-105	rule	priority	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0368	reference-semantics/semantics/controls.k	106-108	rule	priority	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0369	reference-semantics/semantics/controls.k	109-109	endmodule	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	endmodule
K0370	reference-semantics/semantics/core.k	3-3	module	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	module MPY-CORE
K0371	reference-semantics/semantics/core.k	4-4	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-SYNTAX
K0372	reference-semantics/semantics/core.k	5-5	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports INT
K0373	reference-semantics/semantics/core.k	6-6	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports BOOL
K0374	reference-semantics/semantics/core.k	7-7	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports STRING
K0375	reference-semantics/semantics/core.k	8-8	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MAP
K0376	reference-semantics/semantics/core.k	9-9	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports LIST
K0377	reference-semantics/semantics/core.k	10-12	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports K-EQUAL
K0378	reference-semantics/semantics/core.k	13-13	syntax	-	executed-fragment	EXECUTED_FIXED_FRAGMENT_ACCEPTED	syntax IntSeq ::= ".IntSeq" | iCons(Int, IntSeq)
K0379	reference-semantics/semantics/core.k	14-14	syntax	-	executed-fragment	EXECUTED_FIXED_FRAGMENT_ACCEPTED	syntax ValSeq ::= ".ValSeq" | vCons(Val, ValSeq)
K0380	reference-semantics/semantics/core.k	15-17	syntax	-	executed-fragment	EXECUTED_FIXED_FRAGMENT_ACCEPTED	syntax Str    ::= str(IntSeq)
K0381	reference-semantics/semantics/core.k	18-24	syntax	-	executed-fragment	EXECUTED_FIXED_FRAGMENT_ACCEPTED	syntax Iterable ::= list(ValSeq) | tuple(ValSeq) | Str | rangeObj(Int, Int, Int) | zipObj(ValSeq, ValSeq) | zipObjS(IntSeq, IntSeq)
K0382	reference-semantics/semantics/core.k	25-35	syntax	-	executed-fragment	EXECUTED_FIXED_FRAGMENT_ACCEPTED	syntax Val      ::= Int | Bool | "noneV" | Iterable | ref(Int) | cellRef(Int) | closureVal(ParamNames, Stmts, Int) | typeV(String) | builtinV(String) | boundMethodV(Val, String)
K0383	reference-semantics/semantics/core.k	36-36	syntax	-	executed-fragment	EXECUTED_FIXED_FRAGMENT_ACCEPTED	syntax Parent   ::= "root" | parent(Int)
K0384	reference-semantics/semantics/core.k	37-37	syntax	-	executed-fragment	EXECUTED_FIXED_FRAGMENT_ACCEPTED	syntax Scope    ::= scope(Map, Parent)
K0385	reference-semantics/semantics/core.k	38-38	syntax	-	executed-fragment	EXECUTED_FIXED_FRAGMENT_ACCEPTED	syntax KResult  ::= Val
K0386	reference-semantics/semantics/core.k	39-39	syntax	-	executed-fragment	EXECUTED_FIXED_FRAGMENT_ACCEPTED	syntax Expr     ::= Val
K0387	reference-semantics/semantics/core.k	40-40	syntax	-	executed-fragment	EXECUTED_FIXED_FRAGMENT_ACCEPTED	syntax Vals     ::= List{Val, ","}
K0388	reference-semantics/semantics/core.k	41-41	syntax	-	executed-fragment	EXECUTED_FIXED_FRAGMENT_ACCEPTED	syntax Exc      ::= "NoExc" | "AssertionError"
K0389	reference-semantics/semantics/core.k	42-48	syntax	-	executed-fragment	EXECUTED_FIXED_FRAGMENT_ACCEPTED	syntax RetState ::= "noRet" | retV(Val)
K0390	reference-semantics/semantics/core.k	49-67	configuration	-	executed-fragment	EXECUTED_FIXED_FRAGMENT_ACCEPTED	configuration <k>       #loadAll($PGM:Module) </k> <env>     0 </env> <scopes>   0     |-> scope(.Map, parent(-1)) -1    |-> builtinsScope </scopes> <scopeLoc> 1 </scopeLoc> <heap>    .Map </heap> <heapLoc> 0 </heapLoc> <stack>   .List </stack> <ret>     noRet </ret> <exc>     NoExc </exc> <exit-code exit=""> 0 </exit-code>
K0391	reference-semantics/semantics/core.k	68-68	syntax	function,total	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax Bool ::= isRefV(Val) [function, total]
K0392	reference-semantics/semantics/core.k	69-69	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule isRefV(ref(_:Int)) => true
K0393	reference-semantics/semantics/core.k	70-74	rule	owise	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule isRefV(_:Val)      => false [owise]
K0394	reference-semantics/semantics/core.k	75-75	syntax	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax HeapVal ::= cellV(Val)
K0395	reference-semantics/semantics/core.k	76-76	syntax	function,total	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax Bool ::= isCellRef(Val) [function, total]
K0396	reference-semantics/semantics/core.k	77-77	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule isCellRef(cellRef(_:Int)) => true
K0397	reference-semantics/semantics/core.k	78-84	rule	owise	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule isCellRef(_:Val)          => false [owise]
K0398	reference-semantics/semantics/core.k	85-94	rule	priority	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> cellRef(H:Int) => V ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> <heap> ... H |-> cellV(V:Val) ... </heap> requires "$cells" in_keys(M) [priority(40)]
K0399	reference-semantics/semantics/core.k	95-95	syntax	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax Val ::= kwV(String, Val)
K0400	reference-semantics/semantics/core.k	96-96	syntax	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax KItem ::= #kwTag(String)
K0401	reference-semantics/semantics/core.k	97-97	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> KwArg(N:String, E:Expr) => E ~> #kwTag(N) ... </k>
K0402	reference-semantics/semantics/core.k	98-99	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> V:Val ~> #kwTag(N:String) => kwV(N, V) ... </k> requires notBool isKwV(V)
K0403	reference-semantics/semantics/core.k	100-100	syntax	function,total	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax Bool ::= isKwV(Val) [function, total]
K0404	reference-semantics/semantics/core.k	101-101	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule isKwV(kwV(_:String, _:Val)) => true
K0405	reference-semantics/semantics/core.k	102-105	rule	owise	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule isKwV(_:Val)                => false [owise]
K0406	reference-semantics/semantics/core.k	106-106	syntax	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax Val ::= cellsMark(ParamNames)
K0407	reference-semantics/semantics/core.k	107-107	syntax	function	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax ParamNames ::= cellsOf(Val) [function]
K0408	reference-semantics/semantics/core.k	108-108	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule cellsOf(cellsMark(CVS:ParamNames)) => CVS
K0409	reference-semantics/semantics/core.k	109-109	syntax	function,total	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax Bool ::= pnMember(String, ParamNames) [function, total]
K0410	reference-semantics/semantics/core.k	110-110	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule pnMember(_:String, .ParamNames) => false
K0411	reference-semantics/semantics/core.k	111-112	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule pnMember(X:String, (P:String, R:ParamNames)) => X ==String P orBool pnMember(X, R)
K0412	reference-semantics/semantics/core.k	113-113	syntax	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax KItem ::= #cellW(Val, Val)
K0413	reference-semantics/semantics/core.k	114-116	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #cellW(cellRef(H:Int), V:Val) => .K ... </k> <heap> ... H |-> cellV(_:Val => V) ... </heap>
K0414	reference-semantics/semantics/core.k	117-117	syntax	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	syntax KItem ::= #alloc(Val)
K0415	reference-semantics/semantics/core.k	118-123	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> #alloc(V:Val) => ref(N) ... </k> <heap>    H:Map => (N |-> V) H </heap> <heapLoc> N:Int => N +Int 1 </heapLoc> requires notBool N in_keys(H)
K0416	reference-semantics/semantics/core.k	124-124	syntax	-	executed-fragment	EXECUTED_FIXED_FRAGMENT_ACCEPTED	syntax KItem ::= #loadAll(Module)
