WORKDIR: /audit-output
COMMAND: /audit-output/evidence/stage5/inventory_k.sh /candidate
FILE	reference-semantics/semantics.k	SHA256	57e8f9f3178639bbb87f95e5cc596bbaa91a6463f965b1965911eff9a0269f97
ITEM	reference-semantics/semantics/builtins.k	223	rule	rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
ITEM	reference-semantics/semantics/builtins.k	223	attribute	rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
ITEM	reference-semantics/semantics/builtins.k	225	syntax	syntax EvPair ::= evp(OpSeq, IntSeq)
ITEM	reference-semantics/semantics/builtins.k	226	syntax	syntax Int ::= firstNdE(EvPair) [function, total]
ITEM	reference-semantics/semantics/builtins.k	226	attribute	syntax Int ::= firstNdE(EvPair) [function, total]
ITEM	reference-semantics/semantics/builtins.k	227	rule	rule firstNdE(evp(_:OpSeq, iCons(N:Int, _:IntSeq))) => N
ITEM	reference-semantics/semantics/builtins.k	228	rule	rule firstNdE(_:EvPair) => 0 [owise]
ITEM	reference-semantics/semantics/builtins.k	228	attribute	rule firstNdE(_:EvPair) => 0 [owise]
ITEM	reference-semantics/semantics/builtins.k	230	syntax	syntax Int ::= applyOpE(String, Int, Int) [function, total]
ITEM	reference-semantics/semantics/builtins.k	230	attribute	syntax Int ::= applyOpE(String, Int, Int) [function, total]
ITEM	reference-semantics/semantics/builtins.k	231	rule	rule applyOpE("+",  A:Int, B:Int) => A +Int B
ITEM	reference-semantics/semantics/builtins.k	232	rule	rule applyOpE("-",  A:Int, B:Int) => A -Int B
ITEM	reference-semantics/semantics/builtins.k	233	rule	rule applyOpE("*",  A:Int, B:Int) => A *Int B
ITEM	reference-semantics/semantics/builtins.k	234	rule	rule applyOpE("//", A:Int, B:Int) => A divInt B
ITEM	reference-semantics/semantics/builtins.k	235	rule	rule applyOpE("**", A:Int, B:Int) => A ^Int B
ITEM	reference-semantics/semantics/builtins.k	236	rule	rule applyOpE(_:String, A:Int, _:Int) => A [owise]
ITEM	reference-semantics/semantics/builtins.k	236	attribute	rule applyOpE(_:String, A:Int, _:Int) => A [owise]
ITEM	reference-semantics/semantics/builtins.k	238	syntax	syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	238	attribute	syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	239	rule	rule passPowE(.OpSeq, NDS:IntSeq) => evp(.OpSeq, NDS)
ITEM	reference-semantics/semantics/builtins.k	240	rule	rule passPowE(oCons("**", OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCombE(N, passPowE(OPS, NDS))
ITEM	reference-semantics/semantics/builtins.k	241	rule	rule passPowE(oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq)) => powCarryE(O, N, passPowE(OPS, NDS))
ITEM	reference-semantics/semantics/builtins.k	242	requires	requires O =/=String "**"
ITEM	reference-semantics/semantics/builtins.k	243	rule	rule passPowE(_:OpSeq, .IntSeq) => evp(.OpSeq, .IntSeq) [owise]
ITEM	reference-semantics/semantics/builtins.k	243	attribute	rule passPowE(_:OpSeq, .IntSeq) => evp(.OpSeq, .IntSeq) [owise]
ITEM	reference-semantics/semantics/builtins.k	244	syntax	syntax EvPair ::= powCombE(Int, EvPair) [function, total]
ITEM	reference-semantics/semantics/builtins.k	244	attribute	syntax EvPair ::= powCombE(Int, EvPair) [function, total]
ITEM	reference-semantics/semantics/builtins.k	245	rule	rule powCombE(N:Int, evp(OPS:OpSeq, iCons(M:Int, REST:IntSeq))) => evp(OPS, iCons(N ^Int M, REST))
ITEM	reference-semantics/semantics/builtins.k	246	rule	rule powCombE(N:Int, evp(OPS:OpSeq, .IntSeq)) => evp(OPS, iCons(N, .IntSeq))
ITEM	reference-semantics/semantics/builtins.k	247	syntax	syntax EvPair ::= powCarryE(String, Int, EvPair) [function, total]
ITEM	reference-semantics/semantics/builtins.k	247	attribute	syntax EvPair ::= powCarryE(String, Int, EvPair) [function, total]
ITEM	reference-semantics/semantics/builtins.k	248	rule	rule powCarryE(O:String, N:Int, evp(OPS:OpSeq, NDS:IntSeq)) => evp(oCons(O, OPS), iCons(N, NDS))
ITEM	reference-semantics/semantics/builtins.k	250	syntax	syntax EvPair ::= passMulE(EvPair) [function, total] | passAddE(EvPair) [function, total]
ITEM	reference-semantics/semantics/builtins.k	250	attribute	syntax EvPair ::= passMulE(EvPair) [function, total] | passAddE(EvPair) [function, total]
ITEM	reference-semantics/semantics/builtins.k	251	rule	rule passMulE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("mul", N0, OPS, NDS, .OpSeq, .IntSeq)
ITEM	reference-semantics/semantics/builtins.k	252	rule	rule passMulE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
ITEM	reference-semantics/semantics/builtins.k	253	rule	rule passAddE(evp(OPS:OpSeq, iCons(N0:Int, NDS:IntSeq))) => passLGoE("add", N0, OPS, NDS, .OpSeq, .IntSeq)
ITEM	reference-semantics/semantics/builtins.k	254	rule	rule passAddE(evp(OPS:OpSeq, .IntSeq)) => evp(OPS, .IntSeq)
ITEM	reference-semantics/semantics/builtins.k	255	syntax	syntax EvPair ::= passLGoE(String, Int, OpSeq, IntSeq, OpSeq, IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	255	attribute	syntax EvPair ::= passLGoE(String, Int, OpSeq, IntSeq, OpSeq, IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	256	rule	rule passLGoE(_:String, CUR:Int, .OpSeq, _:IntSeq, OO:OpSeq, ON:IntSeq) => evp(OO, appendIE(ON, CUR))
ITEM	reference-semantics/semantics/builtins.k	257	rule	rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq)
ITEM	reference-semantics/semantics/builtins.k	259	requires	requires inLevelE(L, O)
ITEM	reference-semantics/semantics/builtins.k	260	rule	rule passLGoE(L:String, CUR:Int, oCons(O:String, OPS:OpSeq), iCons(N:Int, NDS:IntSeq), OO:OpSeq, ON:IntSeq)
ITEM	reference-semantics/semantics/builtins.k	262	requires	requires notBool inLevelE(L, O)
ITEM	reference-semantics/semantics/builtins.k	263	rule	rule passLGoE(_:String, CUR:Int, oCons(_:String, _:OpSeq), .IntSeq, OO:OpSeq, ON:IntSeq)
ITEM	reference-semantics/semantics/builtins.k	264	attribute	=> evp(OO, appendIE(ON, CUR)) [owise]
ITEM	reference-semantics/semantics/builtins.k	265	syntax	syntax Bool ::= inLevelE(String, String) [function, total]
ITEM	reference-semantics/semantics/builtins.k	265	attribute	syntax Bool ::= inLevelE(String, String) [function, total]
ITEM	reference-semantics/semantics/builtins.k	266	rule	rule inLevelE("mul", O:String) => O ==String "*" orBool O ==String "//" orBool O ==String "/"
ITEM	reference-semantics/semantics/builtins.k	267	rule	rule inLevelE("add", O:String) => O ==String "+" orBool O ==String "-"
ITEM	reference-semantics/semantics/builtins.k	268	rule	rule inLevelE(_:String, _:String) => false [owise]
ITEM	reference-semantics/semantics/builtins.k	268	attribute	rule inLevelE(_:String, _:String) => false [owise]
ITEM	reference-semantics/semantics/builtins.k	269	syntax	syntax OpSeq ::= appendOpE(OpSeq, String) [function, total]
ITEM	reference-semantics/semantics/builtins.k	269	attribute	syntax OpSeq ::= appendOpE(OpSeq, String) [function, total]
ITEM	reference-semantics/semantics/builtins.k	270	rule	rule appendOpE(.OpSeq, O:String) => oCons(O, .OpSeq)
ITEM	reference-semantics/semantics/builtins.k	271	rule	rule appendOpE(oCons(H:String, T:OpSeq), O:String) => oCons(H, appendOpE(T, O))
ITEM	reference-semantics/semantics/builtins.k	272	syntax	syntax IntSeq ::= appendIE(IntSeq, Int) [function, total]
ITEM	reference-semantics/semantics/builtins.k	272	attribute	syntax IntSeq ::= appendIE(IntSeq, Int) [function, total]
ITEM	reference-semantics/semantics/builtins.k	273	rule	rule appendIE(.IntSeq, N:Int) => iCons(N, .IntSeq)
ITEM	reference-semantics/semantics/builtins.k	274	rule	rule appendIE(iCons(H:Int, T:IntSeq), N:Int) => iCons(H, appendIE(T, N))
ITEM	reference-semantics/semantics/builtins.k	279	syntax	syntax KItem ::= "#md5"
ITEM	reference-semantics/semantics/builtins.k	280	rule	rule <k> Call(Attribute(Name("hashlib"), "md5"), (E:Expr, .Exprs)) => E ~> #md5 ... </k>
ITEM	reference-semantics/semantics/builtins.k	281	attribute	[priority(40)]
ITEM	reference-semantics/semantics/builtins.k	282	rule	rule <k> str(CS:IntSeq) ~> #md5 => md5Obj(CS) ... </k>
ITEM	reference-semantics/semantics/builtins.k	283	syntax	syntax Val ::= md5Obj(IntSeq)
ITEM	reference-semantics/semantics/builtins.k	284	rule	rule applyMethod(md5Obj(CS:IntSeq), "hexdigest", .Vals) => str(md5hexCodes(CS))
ITEM	reference-semantics/semantics/builtins.k	285	syntax	syntax IntSeq ::= md5hexCodes(IntSeq) [function, total, symbol(md5hexCodes), no-evaluators]
ITEM	reference-semantics/semantics/builtins.k	285	attribute	syntax IntSeq ::= md5hexCodes(IntSeq) [function, total, symbol(md5hexCodes), no-evaluators]
ITEM	reference-semantics/semantics/builtins.k	291	rule	rule applyBuiltin("isinstance", V:Val, typeV("int"), .Vals) => isIntV(V)
ITEM	reference-semantics/semantics/builtins.k	292	rule	rule applyBuiltin("isinstance", V:Val, typeV("str"), .Vals) => isStrV(V)
ITEM	reference-semantics/semantics/builtins.k	293	syntax	syntax Bool ::= isIntV(Val) [function] | isStrV(Val) [function]
ITEM	reference-semantics/semantics/builtins.k	293	attribute	syntax Bool ::= isIntV(Val) [function] | isStrV(Val) [function]
ITEM	reference-semantics/semantics/builtins.k	294	rule	rule isIntV(_:Int)         => true
ITEM	reference-semantics/semantics/builtins.k	295	rule	rule isIntV(_:Val)         => false [owise]
ITEM	reference-semantics/semantics/builtins.k	295	attribute	rule isIntV(_:Val)         => false [owise]
ITEM	reference-semantics/semantics/builtins.k	296	rule	rule isStrV(str(_:IntSeq)) => true
ITEM	reference-semantics/semantics/builtins.k	297	rule	rule isStrV(_:Val)         => false [owise]
ITEM	reference-semantics/semantics/builtins.k	297	attribute	rule isStrV(_:Val)         => false [owise]
COUNT	reference-semantics/semantics/builtins.k	rules=137	syntax=38	claims=0	configurations=0	contexts=0
FILE	reference-semantics/semantics/call.k	SHA256	7e4d6c7cabe7bb4ccff52f21c5d5f30920ccb48d42864146ce53146509f736e4
ITEM	reference-semantics/semantics/call.k	10	module	module MPY-CALL
ITEM	reference-semantics/semantics/call.k	11	imports	imports MPY-METHODS
ITEM	reference-semantics/semantics/call.k	12	imports	imports MPY-BUILTINS
ITEM	reference-semantics/semantics/call.k	13	imports	imports MPY-FUNCTIONS
ITEM	reference-semantics/semantics/call.k	16	rule	rule <k> Attribute(V:Val, M:String) => boundMethodV(V, M) ... </k>
ITEM	reference-semantics/semantics/call.k	19	syntax	syntax KItem ::= #callee(Exprs)
ITEM	reference-semantics/semantics/call.k	20	rule	rule <k> Call(Fe:Expr, ARGS:Exprs) => Fe ~> #callee(ARGS) ... </k> [owise]
ITEM	reference-semantics/semantics/call.k	20	attribute	rule <k> Call(Fe:Expr, ARGS:Exprs) => Fe ~> #callee(ARGS) ... </k> [owise]
ITEM	reference-semantics/semantics/call.k	21	rule	rule <k> CV:Val ~> #callee(ARGS:Exprs) => #evalArgs(ARGS, .Vals, toCall(CV)) ... </k>
ITEM	reference-semantics/semantics/call.k	24	rule	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), ACC:Vals) => applyMethod(OBJ, M, ACC) ... </k>
ITEM	reference-semantics/semantics/call.k	26	rule	rule <k> #applyK(toCall(builtinV("sum")), (OBJ:Iterable, .Vals)) => #sumAcc(OBJ, 0) ... </k>
ITEM	reference-semantics/semantics/call.k	27	rule	rule <k> #applyK(toCall(builtinV("all")), (OBJ:Iterable, .Vals)) => #allAcc(OBJ)    ... </k>
ITEM	reference-semantics/semantics/call.k	28	rule	rule <k> #applyK(toCall(builtinV("any")), (OBJ:Iterable, .Vals)) => #anyAcc(OBJ)    ... </k>
ITEM	reference-semantics/semantics/call.k	29	rule	rule <k> #applyK(toCall(builtinV("max")), (OBJ:Iterable, .Vals)) => #maxAcc0(OBJ)   ... </k>
ITEM	reference-semantics/semantics/call.k	30	rule	rule <k> #applyK(toCall(builtinV("min")), (OBJ:Iterable, .Vals)) => #minAcc0(OBJ)   ... </k>
ITEM	reference-semantics/semantics/call.k	31	rule	rule <k> #applyK(toCall(builtinV(BN:String)), ACC:Vals) => applyBuiltin(BN, ACC) ... </k> [owise]
ITEM	reference-semantics/semantics/call.k	31	attribute	rule <k> #applyK(toCall(builtinV(BN:String)), ACC:Vals) => applyBuiltin(BN, ACC) ... </k> [owise]
ITEM	reference-semantics/semantics/call.k	32	rule	rule <k> #applyK(toCall(typeV(T:String)),     ACC:Vals) => applyBuiltin(T, ACC)  ... </k>
ITEM	reference-semantics/semantics/call.k	38	rule	rule <k> #applyK(toCall(builtinV(BN:String)), (ref(H:Int), REST:Vals))
ITEM	reference-semantics/semantics/call.k	41	attribute	[priority(40)]
ITEM	reference-semantics/semantics/call.k	42	rule	rule <k> #applyK(toCall(builtinV(BN:String)), (A:Val, ref(H:Int), REST:Vals))
ITEM	reference-semantics/semantics/call.k	45	requires	requires notBool isRefV(A)
ITEM	reference-semantics/semantics/call.k	46	attribute	[priority(40)]
ITEM	reference-semantics/semantics/call.k	47	rule	rule <k> #applyK(toCall(typeV(T:String)), (ref(H:Int), REST:Vals))
ITEM	reference-semantics/semantics/call.k	50	attribute	[priority(40)]
ITEM	reference-semantics/semantics/call.k	52	syntax	syntax Bool ::= isMutMethod(String) [function, total]
ITEM	reference-semantics/semantics/call.k	52	attribute	syntax Bool ::= isMutMethod(String) [function, total]
ITEM	reference-semantics/semantics/call.k	53	rule	rule isMutMethod(M:String)
ITEM	reference-semantics/semantics/call.k	56	rule	rule <k> #applyK(toCall(boundMethodV(ref(H:Int), M:String)), ACC:Vals)
ITEM	reference-semantics/semantics/call.k	59	requires	requires notBool isMutMethod(M)
ITEM	reference-semantics/semantics/call.k	60	attribute	[priority(40)]
ITEM	reference-semantics/semantics/call.k	63	rule	rule <k> #applyK(toCall(boundMethodV(OBJ:Val, M:String)), (ref(H:Int), REST:Vals))
ITEM	reference-semantics/semantics/call.k	66	requires	requires notBool isMutMethod(M) andBool notBool isRefV(OBJ)
ITEM	reference-semantics/semantics/call.k	67	attribute	[priority(40)]
ITEM	reference-semantics/semantics/call.k	69	rule	rule <k> #applyK(toCall(closureVal(PNS:ParamNames, BODY:Stmts, DEFL:Int)), ACC:Vals) ~> CONT
ITEM	reference-semantics/semantics/call.k	80	rule	rule <k> #applyK(toCall(closureValC(PNS:ParamNames, CVS:ParamNames, BODY:Stmts, CM:Map)), ACC:Vals) ~> CONT
ITEM	reference-semantics/semantics/call.k	87	syntax	syntax KItem ::= #allocCells(ParamNames)
ITEM	reference-semantics/semantics/call.k	88	rule	rule <k> #allocCells(.ParamNames) => .K ... </k>
ITEM	reference-semantics/semantics/call.k	89	rule	rule <k> #allocCells((CV:String, R:ParamNames)) => #allocCells(R) ... </k>
ITEM	reference-semantics/semantics/call.k	94	requires	requires notBool N in_keys(H)
COUNT	reference-semantics/semantics/call.k	rules=21	syntax=3	claims=0	configurations=0	contexts=0
FILE	reference-semantics/semantics/comprehension.k	SHA256	cf7c38aad5cff698ebb05ecbadf00cbf210ddb2f54ae86f22b328311c027c6a7
ITEM	reference-semantics/semantics/comprehension.k	3	module	module MPY-COMPREHENSION
ITEM	reference-semantics/semantics/comprehension.k	4	imports	imports MPY-CORE
ITEM	reference-semantics/semantics/comprehension.k	5	imports	imports MPY-OPERATORS
ITEM	reference-semantics/semantics/comprehension.k	6	imports	imports MPY-LIST
ITEM	reference-semantics/semantics/comprehension.k	7	imports	imports MPY-CONTROLS
ITEM	reference-semantics/semantics/comprehension.k	8	imports	imports MPY-FUNCTIONS
ITEM	reference-semantics/semantics/comprehension.k	11	rule	rule ListComp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
ITEM	reference-semantics/semantics/comprehension.k	12	rule	rule GenExp(ELT:Expr, Gs:CompFors)   => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
ITEM	reference-semantics/semantics/comprehension.k	14	syntax	syntax Stmts ::= compBody(CompFors, Expr) [macro]
ITEM	reference-semantics/semantics/comprehension.k	14	attribute	syntax Stmts ::= compBody(CompFors, Expr) [macro]
ITEM	reference-semantics/semantics/comprehension.k	15	rule	rule compBody(Gs:CompFors, ELT:Expr)
ITEM	reference-semantics/semantics/comprehension.k	18	syntax	syntax Stmt ::= compNest(CompFors, Expr) [macro-rec]
ITEM	reference-semantics/semantics/comprehension.k	18	attribute	syntax Stmt ::= compNest(CompFors, Expr) [macro-rec]
ITEM	reference-semantics/semantics/comprehension.k	19	rule	rule compNest(.CompFors, ELT:Expr)
ITEM	reference-semantics/semantics/comprehension.k	21	rule	rule compNest((CompFor(T:Expr, ITER:Expr, Fs:Exprs) GRest:CompFors), ELT:Expr)
ITEM	reference-semantics/semantics/comprehension.k	24	syntax	syntax Expr ::= compGuard(Exprs) [macro]
ITEM	reference-semantics/semantics/comprehension.k	24	attribute	syntax Expr ::= compGuard(Exprs) [macro]
ITEM	reference-semantics/semantics/comprehension.k	25	rule	rule compGuard(.Exprs)             => Bool(true)
ITEM	reference-semantics/semantics/comprehension.k	26	rule	rule compGuard((F:Expr, Fs:Exprs)) => BoolOp("and", (F, Fs))
COUNT	reference-semantics/semantics/comprehension.k	rules=7	syntax=3	claims=0	configurations=0	contexts=0
FILE	reference-semantics/semantics/concrete.k	SHA256	1ffea42a32610e9116506d709e9163413aeb5f6deb7824ea554aca8341f2d305
ITEM	reference-semantics/semantics/concrete.k	8	module	module MPY-CONCRETE
ITEM	reference-semantics/semantics/concrete.k	9	imports	imports MPY
ITEM	reference-semantics/semantics/concrete.k	13	rule	rule <k> Compare(list(A:ValSeq), CmpOp("==", list(B:ValSeq))) => deepEqVS(A, B, HP) ... </k>
ITEM	reference-semantics/semantics/concrete.k	15	requires	requires hasRefVS(A) orBool hasRefVS(B)
ITEM	reference-semantics/semantics/concrete.k	16	rule	rule <k> Compare(list(A:ValSeq), CmpOp("!=", list(B:ValSeq))) => notBool deepEqVS(A, B, HP) ... </k>
ITEM	reference-semantics/semantics/concrete.k	18	requires	requires hasRefVS(A) orBool hasRefVS(B)
ITEM	reference-semantics/semantics/concrete.k	25	syntax	syntax Val ::= kvP(Val, Val)
ITEM	reference-semantics/semantics/concrete.k	26	syntax	syntax KItem ::= #ksort(ValSeq, Val, ValSeq, Bool)
ITEM	reference-semantics/semantics/concrete.k	28	rule	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), .Vals))
ITEM	reference-semantics/semantics/concrete.k	30	attribute	[priority(40)]
ITEM	reference-semantics/semantics/concrete.k	31	rule	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), kwV("reverse", RB:Bool), .Vals))
ITEM	reference-semantics/semantics/concrete.k	33	attribute	[priority(40)]
ITEM	reference-semantics/semantics/concrete.k	34	rule	rule <k> #ksort(.ValSeq, _:Val, ACC:ValSeq, RB:Bool)
ITEM	reference-semantics/semantics/concrete.k	36	rule	rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool)
ITEM	reference-semantics/semantics/concrete.k	38	rule	rule <k> K:Val ~> #ksIns(V:Val, R:ValSeq, KV:Val, ACC:ValSeq, RB:Bool)
ITEM	reference-semantics/semantics/concrete.k	40	requires	requires notBool isKwV(K)
ITEM	reference-semantics/semantics/concrete.k	42	syntax	syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]
ITEM	reference-semantics/semantics/concrete.k	42	attribute	syntax ValSeq ::= insPair(ValSeq, Val, Val) [function]
ITEM	reference-semantics/semantics/concrete.k	43	rule	rule insPair(.ValSeq, K:Val, V:Val) => vCons(kvP(K, V), .ValSeq)
ITEM	reference-semantics/semantics/concrete.k	44	rule	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val)
ITEM	reference-semantics/semantics/concrete.k	46	requires	requires kLt(K, K2)
ITEM	reference-semantics/semantics/concrete.k	47	rule	rule insPair(vCons(kvP(K2:Val, V2:Val), R:ValSeq), K:Val, V:Val)
ITEM	reference-semantics/semantics/concrete.k	49	requires	requires notBool kLt(K, K2)
ITEM	reference-semantics/semantics/concrete.k	51	syntax	syntax Bool ::= kLt(Val, Val) [function]
ITEM	reference-semantics/semantics/concrete.k	51	attribute	syntax Bool ::= kLt(Val, Val) [function]
ITEM	reference-semantics/semantics/concrete.k	52	rule	rule kLt(I1:Int, I2:Int)             => I1 <Int I2
ITEM	reference-semantics/semantics/concrete.k	53	rule	rule kLt(F1:Float, F2:Float)         => F1 <Float F2
ITEM	reference-semantics/semantics/concrete.k	54	rule	rule kLt(str(A:IntSeq), str(B:IntSeq)) => strLt(A, B)
ITEM	reference-semantics/semantics/concrete.k	56	syntax	syntax ValSeq ::= unpairVS(ValSeq) [function, total]
ITEM	reference-semantics/semantics/concrete.k	56	attribute	syntax ValSeq ::= unpairVS(ValSeq) [function, total]
ITEM	reference-semantics/semantics/concrete.k	57	rule	rule unpairVS(.ValSeq) => .ValSeq
ITEM	reference-semantics/semantics/concrete.k	58	rule	rule unpairVS(vCons(kvP(_:Val, V:Val), R:ValSeq)) => vCons(V, unpairVS(R))
ITEM	reference-semantics/semantics/concrete.k	59	rule	rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]
ITEM	reference-semantics/semantics/concrete.k	59	attribute	rule unpairVS(vCons(V:Val, R:ValSeq)) => vCons(V, unpairVS(R)) [owise]
COUNT	reference-semantics/semantics/concrete.k	rules=16	syntax=5	claims=0	configurations=0	contexts=0
FILE	reference-semantics/semantics/controls.k	SHA256	325c73757d5a7ccf541b93240accd590a2cee90d84470efa3a4a0a14165aafae
ITEM	reference-semantics/semantics/controls.k	3	module	module MPY-CONTROLS
ITEM	reference-semantics/semantics/controls.k	4	imports	imports MPY-CORE
ITEM	reference-semantics/semantics/controls.k	5	imports	imports MPY-TUPLE
ITEM	reference-semantics/semantics/controls.k	6	imports	imports MPY-ITER
ITEM	reference-semantics/semantics/controls.k	9	rule	rule <k> Assign(Name(X:String), V:Val) => .K ... </k>
ITEM	reference-semantics/semantics/controls.k	12	rule	rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k>
ITEM	reference-semantics/semantics/controls.k	15	requires	requires "$cells" in_keys(M)
ITEM	reference-semantics/semantics/controls.k	18	attribute	[priority(40)]
ITEM	reference-semantics/semantics/controls.k	20	rule	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k>
ITEM	reference-semantics/semantics/controls.k	23	requires	requires X in_keys(M)
ITEM	reference-semantics/semantics/controls.k	27	rule	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k>
ITEM	reference-semantics/semantics/controls.k	30	requires	requires X in_keys(M) andBool isRefV({M[X]}:>Val)
ITEM	reference-semantics/semantics/controls.k	31	attribute	[priority(40)]
ITEM	reference-semantics/semantics/controls.k	35	rule	rule <k> ImportFrom("math", NS:ParamNames) => #bindImports(NS) ... </k>
ITEM	reference-semantics/semantics/controls.k	36	rule	rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]
ITEM	reference-semantics/semantics/controls.k	36	attribute	rule <k> ImportFrom(_:String, _:ParamNames) => .K ... </k> [owise]
ITEM	reference-semantics/semantics/controls.k	37	syntax	syntax KItem ::= #bindImports(ParamNames)
ITEM	reference-semantics/semantics/controls.k	38	rule	rule <k> #bindImports(.ParamNames) => .K ... </k>
ITEM	reference-semantics/semantics/controls.k	39	rule	rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k>
ITEM	reference-semantics/semantics/controls.k	42	requires	requires N ==String "floor" orBool N ==String "ceil"
ITEM	reference-semantics/semantics/controls.k	43	rule	rule <k> #bindImports((N:String, NS:ParamNames)) => #bindImports(NS) ... </k>
ITEM	reference-semantics/semantics/controls.k	44	requires	requires notBool (N ==String "floor" orBool N ==String "ceil")
ITEM	reference-semantics/semantics/controls.k	48	rule	rule <k> Expr(_:Val) => .K ... </k>
ITEM	reference-semantics/semantics/controls.k	51	syntax	syntax KItem ::= #branch(Bool, Stmts, Stmts)
ITEM	reference-semantics/semantics/controls.k	52	rule	rule <k> If(C:Val, T:Stmts, E:Stmts) => #branch(truthy(C), T, E) ... </k>
ITEM	reference-semantics/semantics/controls.k	53	rule	rule <k> #branch(true,  T:Stmts, _:Stmts) => T ... </k>
ITEM	reference-semantics/semantics/controls.k	54	rule	rule <k> #branch(false, _:Stmts, E:Stmts) => E ... </k>
ITEM	reference-semantics/semantics/controls.k	57	rule	rule <k> IfExp(V:Val, T:Expr, _:Expr) => T ... </k>
ITEM	reference-semantics/semantics/controls.k	58	requires	requires truthy(V)
ITEM	reference-semantics/semantics/controls.k	59	rule	rule <k> IfExp(V:Val, _:Expr, E:Expr) => E ... </k>
ITEM	reference-semantics/semantics/controls.k	60	requires	requires notBool truthy(V)
ITEM	reference-semantics/semantics/controls.k	65	syntax	syntax KItem ::= #loop(Val, Expr, Stmts) | #loopStep(Expr, Stmts)
ITEM	reference-semantics/semantics/controls.k	69	rule	rule <k> For(T:Expr, OBJ:Val, B:Stmts) => #loop(OBJ, T, B) ... </k>
ITEM	reference-semantics/semantics/controls.k	71	rule	rule <k> #loop(IT:Iterable, T:Expr, B:Stmts) => #iterNext(IT) ~> #loopStep(T, B) ... </k>
ITEM	reference-semantics/semantics/controls.k	72	rule	rule <k> #iterDone ~> #loopStep(_:Expr, _:Stmts) => .K ... </k>
ITEM	reference-semantics/semantics/controls.k	73	rule	rule <k> #iterYield(V:Val, REST:Iterable) ~> #loopStep(T:Expr, B:Stmts)
ITEM	reference-semantics/semantics/controls.k	77	rule	rule <k> While(C:Expr, B:Stmts) => #while(C, B) ... </k>
ITEM	reference-semantics/semantics/controls.k	78	rule	rule <k> #while(C:Expr, B:Stmts) => C ~> #whileCond(C, B) ... </k>
ITEM	reference-semantics/semantics/controls.k	79	rule	rule <k> V:Val ~> #whileCond(C:Expr, B:Stmts) => B ~> #loopLbl(#while(C, B)) ... </k>
ITEM	reference-semantics/semantics/controls.k	80	requires	requires truthy(V)
ITEM	reference-semantics/semantics/controls.k	81	rule	rule <k> V:Val ~> #whileCond(_C:Expr, _B:Stmts) => .K ... </k>
ITEM	reference-semantics/semantics/controls.k	82	requires	requires notBool truthy(V)
ITEM	reference-semantics/semantics/controls.k	85	rule	rule <k> #loopLbl(NEXT:K) => NEXT ... </k>
ITEM	reference-semantics/semantics/controls.k	86	rule	rule <k> Continue => #cont ... </k>
ITEM	reference-semantics/semantics/controls.k	87	rule	rule <k> Break => #brk ... </k>
ITEM	reference-semantics/semantics/controls.k	88	rule	rule <k> #cont ~> #loopLbl(NEXT:K) => NEXT ... </k>
ITEM	reference-semantics/semantics/controls.k	89	rule	rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]
ITEM	reference-semantics/semantics/controls.k	89	attribute	rule <k> #cont ~> (_:KItem => .K) ... </k> [owise]
ITEM	reference-semantics/semantics/controls.k	90	rule	rule <k> #brk ~> #loopLbl(_:K) => .K ... </k>
